日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.38,4.3,4.42,4.3,37817,34676750.0,2.74,-1.83,-0.08,1.38
2010-01-05,4.3,4.35,4.35,4.24,37747,34325042.0,2.56,1.16,0.05,1.38
2010-01-06,4.35,4.37,4.41,4.3,48713,45050335.0,2.53,0.46,0.02,1.78
2010-01-07,4.36,4.19,4.4,4.16,47812,43164508.0,5.49,-4.12,-0.18,1.74
2010-01-08,4.19,4.22,4.24,4.07,36400,32017690.0,4.06,0.72,0.03,1.33
2010-01-11,4.25,4.2,4.29,4.17,34208,30404529.0,2.84,-0.47,-0.02,1.25
2010-01-12,4.17,4.29,4.29,4.16,40119,36087310.0,3.1,2.14,0.09,1.46
2010-01-13,4.2,4.32,4.38,4.16,67850,61906941.0,5.13,0.7,0.03,2.48
2010-01-14,4.42,4.52,4.55,4.42,139782,132119873.0,3.01,4.63,0.2,5.1
2010-01-15,4.52,4.49,4.52,4.44,73906,69671936.0,1.77,-0.66,-0.03,2.7
2010-01-18,4.56,4.62,4.65,4.56,99250,96073207.0,2.0,2.9,0.13,3.62
2010-01-19,4.61,4.5,4.61,4.48,67948,64789049.0,2.81,-2.6,-0.12,2.48
2010-01-20,4.43,4.32,4.49,4.31,65320,60678807.0,4.0,-4.0,-0.18,2.38
2010-01-21,4.31,4.34,4.38,4.28,33301,30458964.0,2.31,0.46,0.02,1.22
2010-01-22,4.32,4.28,4.41,4.19,40002,36346719.0,5.07,-1.38,-0.06,1.46
2010-01-25,4.2,4.15,4.25,4.15,27187,24071213.0,2.34,-3.04,-0.13,0.99
2010-01-26,4.13,3.94,4.19,3.89,31934,27229792.0,7.23,-5.06,-0.21,1.17
2010-01-27,3.94,3.86,3.97,3.83,25038,20743783.0,3.55,-2.03,-0.08,0.91
2010-01-28,3.86,3.92,3.96,3.84,19443,16186247.0,3.11,1.55,0.06,0.71
2010-01-29,3.92,4.04,4.11,3.89,37331,32041018.0,5.61,3.06,0.12,1.36
2010-02-01,4.04,4.01,4.1,3.92,25803,21991288.0,4.46,-0.74,-0.03,0.94
2010-02-02,4.01,4.0,4.09,4.0,23489,20197191.0,2.24,-0.25,-0.01,0.86
2010-02-03,4.0,4.08,4.08,3.87,28691,24489467.0,5.25,2.0,0.08,1.05
2010-02-04,4.04,4.19,4.29,4.03,48522,42991016.0,6.37,2.7,0.11,1.77
2010-02-05,4.15,4.11,4.23,4.06,30168,26380394.0,4.06,-1.91,-0.08,1.1
2010-02-08,4.14,4.2,4.3,4.13,32373,29006886.0,4.14,2.19,0.09,1.18
2010-02-09,4.23,4.24,4.28,4.16,22655,20189265.0,2.86,0.95,0.04,0.83
2010-02-10,4.24,4.22,4.28,4.19,16256,14548253.0,2.12,-0.47,-0.02,0.59
2010-02-11,4.22,4.09,4.22,4.09,23590,20742769.0,3.08,-3.08,-0.13,0.86
2010-02-12,4.09,4.17,4.18,4.09,13453,11776213.0,2.2,1.96,0.08,0.49
2010-02-22,4.17,4.19,4.2,4.12,17347,15347095.0,1.92,0.48,0.02,0.63
2010-02-23,4.19,4.14,4.2,4.1,20368,17826776.0,2.39,-1.19,-0.05,0.74
2010-02-24,4.09,4.27,4.28,4.09,57672,51771639.0,4.59,3.14,0.13,2.1
2010-02-25,4.28,4.3,4.31,4.24,49959,45191408.0,1.64,0.7,0.03,1.82
2010-02-26,4.31,4.38,4.45,4.28,74152,68753996.0,3.95,1.86,0.08,2.71
2010-03-01,4.41,4.45,4.48,4.38,61586,57567648.0,2.28,1.6,0.07,2.25
2010-03-02,4.49,4.38,4.49,4.35,49114,45551139.0,3.15,-1.57,-0.07,1.79
2010-03-03,4.39,4.68,4.7,4.32,152044,145462975.0,8.68,6.85,0.3,5.55
2010-03-04,4.64,4.4,4.67,4.37,108720,104022692.0,6.41,-5.98,-0.28,3.97
2010-03-05,4.44,4.42,4.49,4.38,53180,49597197.0,2.5,0.45,0.02,1.94
2010-03-08,4.48,4.56,4.61,4.43,68081,65097901.0,4.07,3.17,0.14,2.48
2010-03-09,4.61,4.52,4.61,4.48,46488,44265279.0,2.85,-0.88,-0.04,1.7
2010-03-10,4.54,4.39,4.54,4.36,36874,34328904.0,3.98,-2.88,-0.13,1.35
2010-03-11,4.38,4.36,4.41,4.31,23577,21674009.0,2.28,-0.68,-0.03,0.86
2010-03-12,4.36,4.26,4.39,4.25,29802,27215707.0,3.21,-2.29,-0.1,1.09
2010-03-15,4.25,4.16,4.25,4.1,41176,36303062.0,3.52,-2.35,-0.1,1.5
2010-03-16,4.15,4.22,4.23,4.11,24795,21975909.0,2.88,1.44,0.06,0.9
2010-03-17,4.2,4.31,4.31,4.2,34946,31688006.0,2.61,2.13,0.09,1.28
2010-03-18,4.3,4.35,4.38,4.3,27409,25104056.0,1.86,0.93,0.04,1.0
2010-03-19,4.36,4.36,4.37,4.3,27341,25073097.0,1.61,0.23,0.01,1.0
2010-03-22,4.35,4.42,4.43,4.33,32657,30324327.0,2.29,1.38,0.06,1.19
2010-03-23,4.45,4.35,4.48,4.33,34499,31981077.0,3.39,-1.58,-0.07,1.26
2010-03-24,4.35,4.34,4.38,4.32,25859,23767694.0,1.38,-0.23,-0.01,0.94
2010-03-25,4.35,4.22,4.35,4.2,27383,24661629.0,3.46,-2.76,-0.12,1.0
2010-03-26,4.21,4.31,4.33,4.19,19410,17565380.0,3.32,2.13,0.09,0.71
2010-03-29,4.34,4.4,4.43,4.33,40474,37514703.0,2.32,2.09,0.09,1.48
2010-03-30,4.38,4.4,4.41,4.35,32313,29864807.0,1.36,0.0,0.0,1.18
2010-03-31,4.39,4.4,4.45,4.36,28195,26160087.0,2.05,0.0,0.0,1.03
2010-04-01,4.42,4.46,4.48,4.41,60011,56357461.0,1.59,1.36,0.06,2.19
2010-04-02,4.46,4.46,4.49,4.41,42654,40040827.0,1.79,0.0,0.0,1.56
2010-04-06,4.46,4.44,4.48,4.38,43150,40179630.0,2.24,-0.45,-0.02,1.57
