日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.54,6.52,6.63,6.41,86888,77365498.0,3.39,0.46,0.03,2.18
2010-01-05,6.55,6.75,6.78,6.51,183912,167735185.0,4.14,3.53,0.23,4.61
2010-01-06,6.71,6.6,6.9,6.58,145933,134431407.0,4.74,-2.22,-0.15,3.66
2010-01-07,6.59,6.45,6.68,6.38,81699,73025349.0,4.55,-2.27,-0.15,2.05
2010-01-08,6.45,7.12,7.12,6.45,155974,148304606.0,10.39,10.39,0.67,3.91
2010-01-11,7.42,7.87,7.87,7.35,463377,484401938.0,7.3,10.53,0.75,11.62
2010-01-12,8.01,8.09,8.11,7.81,628145,676557444.0,3.81,2.8,0.22,15.75
2010-01-13,8.23,7.91,8.9,7.78,527135,578277443.0,13.84,-2.22,-0.18,13.22
2010-01-14,8.3,8.74,8.74,8.1,450934,512304734.0,8.09,10.49,0.83,11.3
2010-01-15,9.07,8.87,9.41,8.8,730507,889205430.0,6.98,1.49,0.13,18.31
2010-01-18,8.68,8.94,9.11,8.63,335818,403382218.0,5.41,0.79,0.07,7.75
2010-01-19,8.83,9.07,9.18,8.68,322357,387454844.0,5.59,1.45,0.13,7.44
2010-01-20,8.94,8.75,9.03,8.53,290013,343806906.0,5.51,-3.53,-0.32,6.69
2010-01-21,8.68,9.38,9.66,8.57,424148,518880412.0,12.46,7.2,0.63,9.79
2010-01-22,9.11,8.86,9.17,8.61,269141,323151486.0,5.97,-5.54,-0.52,6.21
2010-01-25,8.86,8.77,9.07,8.73,130717,156222312.0,3.84,-1.02,-0.09,3.02
2010-01-26,8.65,8.25,8.79,7.9,227470,253187938.0,10.15,-5.93,-0.52,5.25
2010-01-27,8.15,8.15,8.42,8.11,179377,200872209.0,3.76,-1.21,-0.1,4.14
2010-01-28,8.2,8.86,8.97,8.09,280917,325973299.0,10.8,8.71,0.71,6.48
2010-01-29,8.83,8.95,9.29,8.7,280020,341035390.0,6.66,1.02,0.09,6.46
2010-02-01,8.95,9.26,9.48,8.71,314901,388131183.0,8.6,3.46,0.31,7.27
2010-02-02,9.15,9.11,9.26,8.89,196152,238836696.0,4.0,-1.62,-0.15,4.53
2010-02-03,8.99,8.81,9.05,8.38,237318,277708481.0,7.35,-3.29,-0.3,5.48
2010-02-04,8.7,9.73,9.73,8.48,413290,525448124.0,14.19,10.44,0.92,9.54
2010-02-05,9.53,9.36,9.98,9.11,451594,578194157.0,8.94,-3.8,-0.37,10.42
2010-02-08,9.15,9.26,9.64,9.15,185853,234280468.0,5.24,-1.07,-0.1,4.29
2010-02-09,9.17,9.32,9.68,9.17,204674,259665264.0,5.51,0.65,0.06,4.72
2010-02-10,9.51,9.9,10.15,9.51,353529,467664125.0,6.87,6.22,0.58,8.16
2010-02-11,9.88,9.46,9.95,9.41,202669,262828928.0,5.45,-4.44,-0.44,4.68
2010-02-12,9.51,9.55,9.61,9.26,158678,201341179.0,3.7,0.95,0.09,3.66
2010-02-22,9.46,9.54,9.75,9.36,136617,175871230.0,4.08,-0.1,-0.01,3.15
2010-02-23,9.45,9.75,9.8,9.15,203128,257424251.0,6.81,2.2,0.21,4.69
2010-02-24,9.61,9.76,9.84,9.53,175991,229156900.0,3.18,0.1,0.01,4.06
2010-02-25,9.88,9.88,10.36,9.82,268639,362214902.0,5.53,1.23,0.12,6.2
2010-02-26,9.82,10.06,10.27,9.67,263268,351041542.0,6.07,1.82,0.18,6.07
2010-03-01,10.03,10.37,10.61,9.93,250950,344471186.0,6.76,3.08,0.31,5.79
2010-03-02,10.4,10.19,10.42,10.03,197167,268925674.0,3.76,-1.74,-0.18,4.55
2010-03-03,10.12,10.21,10.36,9.96,175149,237664364.0,3.93,0.2,0.02,4.04
2010-03-04,10.15,9.51,10.16,9.5,224836,295738350.0,6.46,-6.86,-0.7,5.19
2010-03-05,9.5,9.41,9.62,9.3,126498,160446796.0,3.36,-1.05,-0.1,2.92
2010-03-08,9.59,9.61,9.78,9.46,110203,142636749.0,3.4,2.13,0.2,2.54
2010-03-09,9.55,9.45,9.55,9.35,79941,101424268.0,2.08,-1.66,-0.16,1.84
2010-03-10,9.46,9.18,9.79,9.07,209103,263538706.0,7.62,-2.86,-0.27,4.82
2010-03-11,9.17,8.94,9.17,8.72,175783,211236054.0,4.9,-2.61,-0.24,4.06
2010-03-12,8.91,8.94,9.07,8.79,97647,117404813.0,3.13,0.0,0.0,2.25
2010-03-15,8.91,8.81,9.01,8.69,64330,76320477.0,3.58,-1.45,-0.13,1.48
2010-03-16,8.76,9.02,9.03,8.76,76718,91932474.0,3.06,2.38,0.21,1.77
2010-03-17,9.03,9.38,9.54,9.01,208866,260441621.0,5.88,3.99,0.36,4.82
2010-03-18,9.75,9.52,10.07,9.42,254294,331076939.0,6.93,1.49,0.14,5.87
2010-03-19,9.41,9.65,9.84,9.35,200464,258821558.0,5.15,1.37,0.13,4.63
2010-03-22,9.67,9.97,10.05,9.57,260641,344316655.0,4.97,3.32,0.32,6.01
2010-03-23,9.98,9.69,9.98,9.64,176328,231123497.0,3.41,-2.81,-0.28,4.07
2010-03-24,9.8,9.65,9.9,9.61,123195,160540561.0,2.99,-0.41,-0.04,2.84
2010-03-25,9.61,9.54,9.81,9.47,131077,169749467.0,3.52,-1.14,-0.11,3.02
2010-03-26,9.42,9.63,9.66,9.34,101257,129426260.0,3.35,0.94,0.09,2.34
2010-03-29,9.65,9.56,9.72,9.43,99168,127561287.0,3.01,-0.73,-0.07,2.29
2010-03-30,9.53,9.61,9.65,9.47,77530,99543073.0,1.88,0.52,0.05,1.79
2010-03-31,9.61,9.62,9.67,9.45,94918,121986204.0,2.29,0.1,0.01,2.19
2010-04-01,9.58,9.91,9.95,9.5,225640,296982261.0,4.68,3.01,0.29,5.21
2010-04-02,9.89,9.87,10.19,9.76,201399,268800760.0,4.34,-0.4,-0.04,4.65
2010-04-06,9.83,9.68,9.99,9.61,135566,177441341.0,3.85,-1.93,-0.19,3.13
2010-04-07,9.65,9.68,9.8,9.58,81069,105384814.0,2.27,0.0,0.0,1.87
2010-04-08,9.68,9.91,10.0,9.58,178336,235773292.0,4.34,2.38,0.23,4.11
2010-04-09,9.99,10.11,10.38,9.94,275590,375869531.0,4.44,2.02,0.2,6.36
2010-04-12,10.15,10.38,10.45,10.03,247043,340947252.0,4.15,2.67,0.27,5.7
2010-04-13,10.38,9.85,10.42,9.53,218377,291464898.0,8.57,-5.11,-0.53,5.04
2010-04-14,9.84,9.83,9.91,9.65,94641,124081349.0,2.64,-0.2,-0.02,2.18
2010-04-15,9.88,9.62,9.88,9.54,89262,115823665.0,3.46,-2.14,-0.21,2.06
2010-04-16,9.56,9.6,9.75,9.54,51562,66828047.0,2.18,-0.21,-0.02,1.19
2010-04-19,9.52,9.09,9.68,9.05,95370,120772868.0,6.56,-5.31,-0.51,2.2
2010-04-20,9.11,9.22,9.24,8.93,69568,85230201.0,3.41,1.43,0.13,1.61
2010-04-21,9.22,9.54,9.61,9.18,89149,112698938.0,4.66,3.47,0.32,2.06
2010-04-22,9.53,9.98,10.11,9.46,243741,324103438.0,6.81,4.61,0.44,5.62
2010-04-23,9.97,10.19,10.28,9.91,290069,395325184.0,3.71,2.1,0.21,6.69
2010-04-26,10.16,10.48,10.99,9.85,348836,491137130.0,11.19,2.85,0.29,8.05
2010-04-27,10.37,10.31,10.47,9.77,215448,291665206.0,6.68,-1.62,-0.17,4.97
2010-04-28,10.08,10.57,10.74,9.96,236578,334281049.0,7.57,2.52,0.26,5.46
2010-04-29,10.69,9.87,10.81,9.81,196967,271418712.0,9.46,-6.62,-0.7,4.54
2010-04-30,9.68,9.61,9.96,9.38,114763,148565189.0,5.88,-2.63,-0.26,2.65
2010-05-04,9.38,9.69,9.86,9.23,86116,111089711.0,6.56,0.83,0.08,1.99
2010-05-05,9.53,10.13,10.14,9.44,108082,143018589.0,7.22,4.54,0.44,2.49
2010-05-06,10.07,9.83,10.37,9.81,154903,210495938.0,5.53,-2.96,-0.3,3.57
2010-05-07,9.34,9.45,10.13,9.19,136761,178045205.0,9.56,-3.87,-0.38,3.16
2010-05-10,9.24,8.59,9.57,8.48,215771,254924750.0,11.53,-9.1,-0.86,4.98
2010-05-11,8.76,8.13,8.82,8.0,114676,128974459.0,9.55,-5.36,-0.46,2.65
2010-05-12,7.92,7.98,8.15,7.62,88285,93983604.0,6.52,-1.85,-0.15,2.04
2010-05-13,7.91,8.2,8.29,7.65,123182,132785037.0,8.02,2.76,0.22,2.84
2010-05-14,8.08,8.26,8.37,8.01,91095,101000645.0,4.39,0.73,0.06,2.1
2010-05-17,8.18,7.55,8.25,7.46,101683,108586232.0,9.56,-8.6,-0.71,2.35
2010-05-19,7.7,7.75,7.95,7.61,80951,85398418.0,4.5,2.65,0.2,1.87
2010-05-20,7.68,7.46,7.83,7.38,66190,68367473.0,5.81,-3.74,-0.29,1.53
2010-05-21,7.22,7.67,7.68,7.15,74412,75265366.0,7.1,2.82,0.21,1.72
2010-05-24,7.8,8.2,8.28,7.8,91177,99222936.0,6.26,6.91,0.53,2.1
2010-05-25,8.26,8.34,8.61,8.26,185568,211177039.0,4.27,1.71,0.14,4.28
2010-05-26,8.31,8.35,8.49,8.16,105936,118498965.0,3.96,0.12,0.01,2.44
2010-05-27,8.43,8.59,8.6,8.26,131284,150412583.0,4.07,2.87,0.24,3.03
2010-05-28,8.67,8.6,8.83,8.45,144628,168338067.0,4.42,0.12,0.01,3.34
2010-05-31,8.46,7.95,8.47,7.88,151602,168853821.0,6.86,-7.56,-0.65,3.5
2010-06-01,7.95,8.19,8.25,7.9,98469,107635188.0,4.4,3.02,0.24,2.27
2010-06-02,8.15,8.35,8.35,7.92,65552,71943445.0,5.25,1.95,0.16,1.51
2010-06-03,8.39,8.22,8.44,8.18,86340,97091912.0,3.11,-1.56,-0.13,1.99
2010-06-04,8.15,8.33,8.41,8.07,73109,81548946.0,4.14,1.34,0.11,1.69
2010-06-07,8.16,8.33,8.5,8.02,57957,50006389.0,5.76,0.0,0.0,1.03
2010-06-08,9.19,9.19,9.19,9.07,167008,158122290.0,1.44,10.32,0.86,2.96
2010-06-09,9.97,9.7,10.14,9.52,884045,896634114.0,6.75,5.55,0.51,15.69
2010-06-10,9.77,10.02,10.28,9.63,660955,679564584.0,6.7,3.3,0.32,11.73
2010-06-11,9.92,9.64,9.92,9.55,389476,388210747.0,3.69,-3.79,-0.38,6.91
2010-06-17,9.74,9.53,10.02,9.52,283496,284396331.0,5.19,-1.14,-0.11,5.03
2010-06-18,9.38,8.98,9.58,8.73,255588,239552981.0,8.92,-5.77,-0.55,4.54
2010-06-21,8.92,9.18,9.26,8.67,189214,176019157.0,6.57,2.23,0.2,3.36
2010-06-22,9.21,9.22,9.37,9.13,151928,144902024.0,2.61,0.44,0.04,2.7
2010-06-23,9.16,9.32,9.44,9.04,149501,142917180.0,4.34,1.08,0.1,2.65
2010-06-24,9.75,9.81,10.06,9.65,448330,452729696.0,4.4,5.26,0.49,7.96
2010-06-25,9.8,9.78,9.82,9.47,251157,249636804.0,3.57,-0.31,-0.03,4.46
2010-06-28,9.64,9.33,9.71,9.26,164437,159820817.0,4.6,-4.6,-0.45,2.92
2010-06-29,9.3,8.57,9.37,8.54,222096,202052530.0,8.9,-8.15,-0.76,3.94
2010-06-30,8.5,8.41,8.5,8.12,150560,129041812.0,4.43,-1.87,-0.16,2.67
2010-07-01,8.61,8.55,8.88,8.41,230702,205431077.0,5.59,1.66,0.14,4.09
2010-07-02,8.6,8.74,8.99,8.23,367751,330812454.0,8.89,2.22,0.19,6.53
2010-07-05,8.52,8.38,8.52,8.13,146837,127178269.0,4.46,-4.12,-0.36,2.61
2010-07-06,8.36,8.69,8.71,8.18,170733,149979280.0,6.32,3.7,0.31,3.03
2010-07-07,8.66,8.73,8.8,8.45,196368,175228306.0,4.03,0.46,0.04,3.49
2010-07-08,8.73,8.76,9.01,8.67,223757,203945138.0,3.89,0.34,0.03,3.97
2010-07-09,8.72,8.91,8.95,8.48,265565,240554564.0,5.37,1.71,0.15,4.71
2010-07-12,8.87,8.92,9.03,8.82,228614,210392864.0,2.36,0.11,0.01,4.06
2010-07-13,8.82,9.0,9.07,8.72,254115,233912012.0,3.92,0.9,0.08,4.51
