日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-15,5.56,6.71,6.71,5.56,1074,740243.0,25.0,45.87,2.11,0.04
2016-08-16,7.4,7.4,7.4,7.4,493,374444.0,0.0,10.28,0.69,0.02
2016-08-17,8.16,8.16,8.16,8.16,280,234080.0,0.0,10.27,0.76,0.01
2016-08-18,9.0,9.0,9.0,9.0,428,393962.0,0.0,10.29,0.84,0.01
2016-08-19,9.92,9.92,9.92,9.92,1678,1697640.0,0.0,10.22,0.92,0.06
2016-08-22,10.93,10.93,10.93,10.93,1707,1900080.0,0.0,10.18,1.01,0.06
2016-08-23,12.04,12.04,12.04,12.04,2737,3350406.0,0.0,10.16,1.11,0.09
2016-08-24,13.26,13.26,13.26,13.26,2197,2957795.0,0.0,10.13,1.22,0.07
2016-08-25,14.61,14.61,14.61,14.61,8293,12281252.0,0.0,10.18,1.35,0.28
2016-08-26,16.09,16.09,16.09,16.09,10366,16886996.0,0.0,10.13,1.48,0.35
2016-08-29,17.72,17.72,17.72,17.72,9587,17179277.0,0.0,10.13,1.63,0.32
2016-08-30,19.51,17.61,19.51,17.51,1534259,2832145312.0,11.29,-0.62,-0.11,51.14
2016-08-31,17.48,17.01,17.48,16.41,950453,1623312448.0,6.08,-3.41,-0.6,31.68
2016-09-01,16.7,16.65,17.27,16.46,573684,976905744.0,4.76,-2.12,-0.36,19.12
2016-09-02,16.48,16.39,16.73,16.25,388239,646475152.0,2.88,-1.56,-0.26,12.94
2016-09-05,16.49,16.13,16.55,16.06,287571,473444096.0,2.99,-1.59,-0.26,9.59
2016-09-06,16.17,16.21,16.23,15.81,311817,506061312.0,2.6,0.5,0.08,10.39
2016-09-07,16.12,15.8,16.13,15.78,316732,511316032.0,2.16,-2.53,-0.41,10.56
2016-09-08,15.8,15.62,15.99,15.54,239932,382562384.0,2.85,-1.14,-0.18,8.0
2016-09-09,15.57,14.89,15.63,14.82,365133,563853104.0,5.19,-4.67,-0.73,12.17
2016-09-12,14.7,15.23,16.17,14.61,481576,754082096.0,10.48,2.28,0.34,16.05
2016-09-13,15.2,15.04,15.34,14.82,249388,379814288.0,3.41,-1.25,-0.19,8.31
2016-09-14,14.83,14.83,15.04,14.78,145390,219307122.0,1.73,-1.4,-0.21,4.85
2016-09-19,14.98,14.89,14.98,14.83,120078,181210855.0,1.01,0.4,0.06,4.0
2016-09-20,14.86,14.92,15.06,14.7,164657,248277204.0,2.42,0.2,0.03,5.49
2016-09-21,14.89,14.69,14.92,14.68,130189,195074967.0,1.61,-1.54,-0.23,4.34
2016-09-22,14.8,14.58,14.84,14.56,139415,207653262.0,1.91,-0.75,-0.11,4.65
2016-09-23,14.6,14.04,14.61,14.02,210826,305278016.0,4.05,-3.7,-0.54,7.03
2016-09-26,13.98,13.45,13.98,13.16,242504,332348032.0,5.84,-4.2,-0.59,8.08
2016-09-27,13.4,13.38,13.59,13.11,152348,205857367.0,3.57,-0.52,-0.07,5.08
2016-09-28,13.41,13.18,13.42,13.16,94129,126555533.0,1.94,-1.49,-0.2,3.14
2016-09-29,13.28,13.41,13.77,13.28,223422,307528048.0,3.72,1.75,0.23,7.45
2016-09-30,13.34,13.31,13.45,13.25,102301,138323683.0,1.49,-0.75,-0.1,3.41
2016-10-10,13.35,13.62,13.69,13.31,133785,183512779.0,2.85,2.33,0.31,4.46
2016-10-11,13.57,13.92,13.96,13.53,193229,269606336.0,3.16,2.2,0.3,6.44
2016-10-12,13.8,13.82,13.98,13.74,132774,186551250.0,1.72,-0.72,-0.1,4.43
2016-10-13,13.82,13.63,13.87,13.6,107930,150034128.0,1.95,-1.37,-0.19,3.6
2016-10-14,13.58,13.5,13.65,13.41,86187,118045543.0,1.76,-0.95,-0.13,2.87
2016-10-17,13.51,13.22,13.56,13.18,105004,142670157.0,2.81,-2.07,-0.28,3.5
2016-10-18,13.2,13.4,13.41,13.18,93432,126135474.0,1.74,1.36,0.18,3.11
2016-10-19,13.4,13.43,13.55,13.32,114466,155977889.0,1.72,0.22,0.03,3.82
2016-10-20,13.4,13.37,13.47,13.36,80102,108862698.0,0.82,-0.45,-0.06,2.67
2016-10-21,13.3,13.43,13.49,13.08,160229,215977179.0,3.07,0.45,0.06,5.34
2016-10-24,13.35,14.11,14.43,13.33,430135,607807680.0,8.19,5.06,0.68,14.34
2016-10-25,14.0,14.06,14.25,13.88,260004,370238480.0,2.62,-0.35,-0.05,8.67
2016-10-26,14.03,13.91,14.2,13.87,151058,214549037.0,2.35,-1.07,-0.15,5.04
2016-10-27,13.89,14.28,14.46,13.85,378197,546363328.0,4.39,2.66,0.37,12.61
2016-10-28,14.24,14.59,14.78,14.14,490594,720612800.0,4.48,2.17,0.31,16.35
2016-10-31,14.43,14.04,14.48,13.98,255557,366712688.0,3.43,-3.77,-0.55,8.52
2016-11-01,14.04,14.13,14.29,14.01,181519,260585235.0,1.99,0.64,0.09,6.05
2016-11-02,14.14,14.17,14.38,13.88,257219,367387344.0,3.54,0.28,0.04,8.57
2016-11-03,14.13,14.6,15.09,14.06,516080,765844784.0,7.27,3.03,0.43,17.2
2016-11-04,14.53,14.78,14.95,14.41,447996,666962576.0,3.7,1.23,0.18,14.93
2016-11-07,14.86,14.64,14.93,14.54,257203,383215024.0,2.64,-0.95,-0.14,8.57
2016-11-08,14.7,15.39,15.47,14.48,703371,1073669744.0,6.76,5.12,0.75,23.45
2016-11-09,15.21,15.22,15.42,14.81,525041,805762112.0,3.96,-1.1,-0.17,17.5
2016-11-10,15.35,15.99,16.46,15.11,793283,1270285840.0,8.87,5.06,0.77,26.44
2016-11-11,15.96,17.09,17.6,15.83,1031438,1775985296.0,11.07,6.88,1.1,34.38
2016-11-14,16.6,16.77,17.25,16.3,613252,1033212192.0,5.56,-1.87,-0.32,20.44
2016-11-15,16.7,16.31,16.76,16.21,382978,635198864.0,3.28,-2.74,-0.46,12.77
2016-11-16,16.41,15.73,16.49,15.7,404810,651685232.0,4.84,-3.56,-0.58,13.49
2016-11-17,15.6,15.39,15.6,15.22,251992,392894272.0,2.42,-2.16,-0.34,8.4
2016-11-18,15.35,15.42,15.77,15.35,251846,397666384.0,2.73,0.19,0.03,8.39
2016-11-21,15.3,15.69,15.75,15.09,280218,439589072.0,4.28,1.75,0.27,9.34
2016-11-22,15.68,15.6,15.79,15.48,224990,355605536.0,1.98,-0.57,-0.09,7.5
2016-11-23,15.7,15.17,15.72,15.13,224787,350151744.0,3.78,-2.76,-0.43,7.49
2016-11-24,15.09,14.86,15.27,14.75,215400,327202288.0,3.43,-2.04,-0.31,7.18
2016-11-25,14.84,14.69,14.92,14.08,192034,282524576.0,5.65,-1.14,-0.17,6.4
2016-11-28,14.7,14.57,14.75,14.5,100229,148272944.0,1.7,-0.82,-0.12,3.34
2016-11-29,14.5,14.43,14.75,14.4,134588,198761006.0,2.4,-0.96,-0.14,4.49
2016-11-30,14.43,14.47,14.55,14.28,98467,143777720.0,1.87,0.28,0.04,3.28
2016-12-01,14.47,14.88,14.9,14.43,198493,295779328.0,3.25,2.83,0.41,6.62
2016-12-02,14.8,14.43,14.98,14.41,154855,230690302.0,3.83,-3.02,-0.45,5.16
