日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.33,2.37,2.4,2.3,29220,46484293.57,4.31,2.16,0.05,7.71
2010-01-05,2.36,2.4,2.43,2.33,32792,53052461.1,4.22,1.27,0.03,8.65
2010-01-06,2.39,2.32,2.42,2.32,23184,37259094.04,4.17,-3.33,-0.08,6.12
2010-01-07,2.31,2.27,2.33,2.26,20398,31651602.36,3.02,-2.16,-0.05,5.38
2010-01-08,2.27,2.34,2.34,2.26,15335,23913562.36,3.52,3.08,0.07,4.05
2010-01-11,2.34,2.42,2.44,2.32,30716,50011678.55,5.13,3.42,0.08,8.11
2010-01-12,2.42,2.41,2.48,2.4,29546,48692000.89,3.31,-0.41,-0.01,7.8
2010-01-13,2.37,2.42,2.46,2.37,27559,45119832.55,3.73,0.41,0.01,7.27
2010-01-14,2.42,2.47,2.52,2.42,44125,73973963.6,4.13,2.07,0.05,11.64
2010-01-15,2.47,2.46,2.47,2.41,32460,53590300.82,2.43,-0.4,-0.01,8.57
2010-01-18,2.44,2.5,2.51,2.41,24410,40667199.35,4.07,1.63,0.04,6.44
2010-01-19,2.49,2.37,2.5,2.37,24090,39823202.94,5.2,-5.2,-0.13,6.36
2010-01-20,2.48,2.44,2.62,2.41,69300,117792527.76,8.86,2.95,0.07,18.29
2010-01-21,2.36,2.38,2.42,2.32,30130,48346154.08,4.1,-2.46,-0.06,7.95
2010-01-22,2.3,2.31,2.35,2.22,22532,35086533.54,5.46,-2.94,-0.07,5.95
2010-01-25,2.27,2.31,2.35,2.27,11685,18339992.18,3.46,0.0,0.0,3.08
2010-01-26,2.31,2.18,2.33,2.16,13561,20516855.83,7.36,-5.63,-0.13,3.58
2010-01-27,2.18,2.14,2.2,2.13,10288,15159441.04,3.21,-1.83,-0.04,2.72
2010-01-28,2.15,2.19,2.2,2.13,7749,11437926.47,3.27,2.34,0.05,2.04
2010-01-29,2.19,2.23,2.26,2.17,11140,16847180.56,4.11,1.83,0.04,2.94
2010-02-01,2.24,2.18,2.24,2.16,10694,15880505.57,3.59,-2.24,-0.05,2.82
2010-02-02,2.21,2.19,2.22,2.17,7111,10651424.29,2.29,0.46,0.01,1.88
2010-02-03,2.19,2.19,2.21,2.05,12293,17980635.76,7.31,0.0,0.0,3.24
2010-02-04,2.18,2.21,2.24,2.16,10906,16383766.02,3.65,0.91,0.02,2.88
2010-02-05,2.16,2.17,2.2,2.14,10825,15964076.43,2.71,-1.81,-0.04,2.86
2010-02-08,2.19,2.19,2.2,2.16,4995,7429693.9,1.84,0.92,0.02,1.32
2010-02-09,2.19,2.19,2.22,2.17,5682,8458013.71,2.28,0.0,0.0,1.5
2010-02-10,2.21,2.23,2.25,2.2,11891,17926437.07,2.28,1.83,0.04,3.14
2010-02-11,2.24,2.21,2.24,2.2,5240,7902014.9,1.79,-0.9,-0.02,1.38
2010-02-12,2.23,2.25,2.25,2.21,9125,13813904.27,1.81,1.81,0.04,2.41
2010-02-22,2.24,2.23,2.26,2.22,8539,12989603.3,1.78,-0.89,-0.02,2.25
2010-02-23,2.22,2.27,2.28,2.2,8284,12607324.35,3.59,1.79,0.04,2.19
2010-02-24,2.26,2.32,2.33,2.25,16243,25358386.75,3.52,2.2,0.05,4.29
2010-02-25,2.33,2.35,2.36,2.3,16841,26635977.73,2.59,1.29,0.03,4.44
2010-02-26,2.35,2.34,2.37,2.33,13927,22099704.82,1.7,-0.43,-0.01,3.68
2010-03-01,2.34,2.38,2.38,2.33,14779,23653976.32,2.14,1.71,0.04,3.9
2010-03-02,2.37,2.37,2.4,2.35,15811,25335946.71,2.1,-0.42,-0.01,4.17
2010-03-03,2.35,2.42,2.44,2.35,28309,46105440.67,3.8,2.11,0.05,7.47
2010-03-04,2.44,2.3,2.48,2.26,29573,47761728.59,9.09,-4.96,-0.12,7.8
2010-03-05,2.3,2.32,2.35,2.3,11895,18723959.73,2.17,0.87,0.02,3.14
2010-03-08,2.32,2.39,2.41,2.32,16566,26719430.11,3.88,3.02,0.07,4.37
2010-03-09,2.36,2.39,2.42,2.36,17996,29087028.09,2.51,0.0,0.0,4.75
2010-03-10,2.38,2.35,2.43,2.33,13656,21925247.84,4.18,-1.67,-0.04,3.6
2010-03-11,2.34,2.36,2.39,2.32,9384,14917655.86,2.98,0.43,0.01,2.48
2010-03-12,2.37,2.41,2.44,2.34,42660,69491318.75,4.24,2.12,0.05,11.26
2010-03-15,2.43,2.52,2.61,2.43,91488,155718689.74,7.47,4.56,0.11,24.14
2010-03-16,2.47,2.56,2.6,2.43,61818,105052526.92,6.75,1.59,0.04,16.31
2010-03-17,2.57,2.71,2.77,2.54,92029,162546933.93,8.98,5.86,0.15,24.29
2010-03-18,2.68,2.71,2.82,2.66,96524,177480143.88,5.9,0.0,0.0,25.47
2010-03-19,2.7,2.74,2.78,2.68,56314,103497765.26,3.69,1.11,0.03,14.86
2010-03-22,2.74,2.72,2.76,2.69,44675,81298856.92,2.55,-0.73,-0.02,11.79
2010-03-23,2.72,2.65,2.74,2.6,54701,97766163.32,5.15,-2.57,-0.07,14.44
2010-03-24,2.65,2.65,2.71,2.63,32111,57606784.72,3.02,0.0,0.0,8.47
2010-03-25,2.69,2.69,2.8,2.68,66914,123140200.79,4.53,1.51,0.04,17.66
2010-03-26,2.65,2.64,2.66,2.57,38972,68639637.7,3.35,-1.86,-0.05,10.29
2010-03-29,2.63,2.62,2.65,2.57,27990,49042166.66,3.03,-0.76,-0.02,7.39
2010-03-30,2.62,2.65,2.67,2.6,21687,38667372.78,2.67,1.15,0.03,5.72
2010-03-31,2.65,2.75,2.78,2.62,42304,77181858.77,6.04,3.77,0.1,11.16
2010-04-01,2.76,2.74,2.78,2.71,37312,68947622.94,2.55,-0.36,-0.01,9.85
2010-04-02,2.74,2.76,2.77,2.72,29007,53450759.59,1.82,0.73,0.02,7.66
2010-04-06,2.77,2.9,2.97,2.77,62398,120839725.27,7.25,5.07,0.14,16.47
2010-04-07,2.87,2.93,2.96,2.84,46169,89444505.34,4.14,1.03,0.03,12.18
2010-04-08,2.92,2.88,2.94,2.87,29364,56829637.35,2.39,-1.71,-0.05,7.75
2010-04-09,2.87,2.87,2.91,2.81,33041,63183878.01,3.47,-0.35,-0.01,8.72
2010-04-12,2.84,2.9,2.9,2.83,45314,86736185.63,2.44,1.05,0.03,11.96
2010-04-13,2.92,2.77,2.95,2.68,53122,100338329.29,9.31,-4.48,-0.13,14.02
2010-04-14,2.77,2.75,2.83,2.68,21433,39596511.91,5.42,-0.72,-0.02,5.66
2010-04-15,2.76,2.68,2.78,2.66,23240,42352565.55,4.36,-2.55,-0.07,6.13
2010-04-16,2.68,2.7,2.72,2.62,14272,25662293.7,3.73,0.75,0.02,3.77
2010-04-19,2.7,2.64,2.75,2.64,23635,42759211.66,4.07,-2.22,-0.06,6.24
2010-04-20,2.63,2.67,2.68,2.58,17120,30366496.68,3.79,1.14,0.03,4.52
2010-04-21,2.71,2.76,2.77,2.66,27670,50801562.88,4.12,3.37,0.09,7.3
2010-04-22,2.76,2.79,2.83,2.74,31346,58630471.22,3.26,1.09,0.03,8.27
2010-04-23,2.81,2.71,2.81,2.7,25576,47304590.91,3.94,-2.87,-0.08,6.75
2010-04-26,2.7,2.58,2.7,2.51,25901,45193904.01,7.01,-4.8,-0.13,6.84
2010-04-27,2.59,2.46,2.59,2.41,21947,36704417.2,6.98,-4.65,-0.12,5.79
2010-04-28,2.43,2.51,2.51,2.41,12580,21044997.3,4.07,2.03,0.05,3.32
2010-04-29,2.51,2.43,2.55,2.43,10867,18261106.13,4.78,-3.19,-0.08,2.87
