日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-07-19,3.82,4.7,4.7,3.82,159,83661.0,28.48,52.1,1.61,0.04
2017-07-20,5.23,5.23,5.23,5.23,23,13624.0,0.0,11.28,0.53,0.01
2017-07-21,5.81,5.81,5.81,5.81,24,15611.0,0.0,11.09,0.58,0.01
2017-07-24,6.45,6.45,6.45,6.45,105,73597.0,0.0,11.02,0.64,0.03
2017-07-25,7.15,7.15,7.15,7.15,208,160846.0,0.0,10.85,0.7,0.06
2017-07-26,7.92,7.92,7.92,7.92,194,164986.0,0.0,10.77,0.77,0.05
2017-07-27,8.77,8.77,8.77,8.77,325,303204.0,0.0,10.73,0.85,0.09
2017-07-28,9.7,9.7,9.7,9.7,405,415513.0,0.0,10.6,0.93,0.11
2017-07-31,10.73,10.73,10.73,10.73,704,796051.0,0.0,10.62,1.03,0.19
2017-08-01,11.86,11.86,11.86,11.86,793,986283.0,0.0,10.53,1.13,0.22
2017-08-02,13.1,13.1,13.1,13.1,966,1320795.0,0.0,10.46,1.24,0.26
2017-08-03,14.47,14.47,14.47,14.47,1180,1775186.0,0.0,10.46,1.37,0.32
2017-08-04,15.97,15.97,15.97,15.97,3581,5923685.0,0.0,10.37,1.5,0.98
2017-08-07,17.62,17.62,17.62,17.34,64403,117099532.0,1.75,10.33,1.65,17.56
2017-08-08,18.62,18.12,19.04,17.84,256623,484527712.0,6.81,2.84,0.5,69.99
2017-08-09,17.43,16.25,17.67,16.25,179735,313704672.0,7.84,-10.32,-1.87,49.02
2017-08-10,16.03,15.78,16.72,15.75,127524,213359249.0,5.97,-2.89,-0.47,34.78
2017-08-11,17.42,17.42,17.42,16.75,162582,291989840.0,4.25,10.39,1.64,44.34
2017-08-14,18.13,19.22,19.22,17.51,127073,241812717.0,9.82,10.33,1.8,34.66
2017-08-15,20.54,21.18,21.2,20.44,252483,544294720.0,3.95,10.2,1.96,68.86
2017-08-16,20.68,21.13,22.27,20.36,231130,507701792.0,9.02,-0.24,-0.05,63.04
2017-08-17,21.14,23.3,23.3,20.59,134620,307669104.0,12.83,10.27,2.17,36.71
2017-08-18,23.23,22.96,25.18,22.94,231178,567132544.0,9.61,-1.46,-0.34,63.05
2017-08-21,22.2,25.31,25.31,22.09,182283,444491920.0,14.02,10.24,2.35,49.71
2017-08-22,25.81,27.9,27.9,25.34,212634,592176112.0,10.11,10.23,2.59,57.99
2017-08-23,26.76,30.14,30.66,25.6,237894,692682496.0,18.14,8.03,2.24,64.88
2017-08-24,28.88,33.03,33.06,28.42,235131,749884208.0,15.39,9.59,2.89,64.13
2017-08-25,32.68,36.39,36.39,31.77,184197,652523488.0,13.99,10.17,3.36,50.24
2017-08-28,38.93,40.09,40.09,37.43,155196,617033664.0,7.31,10.17,3.7,42.33
2017-08-29,41.43,42.33,44.16,37.65,186645,799193024.0,16.24,5.59,2.24,50.9
2017-08-30,40.23,42.24,43.93,40.23,195411,839548464.0,8.74,-0.21,-0.09,53.29
2017-08-31,41.05,44.24,45.43,40.26,197084,839383856.0,12.24,4.73,2.0,53.75
