日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-05-27,4.23,5.1,5.1,4.23,76,76909.0,24.79,45.3,1.59,0.02
2015-05-28,5.62,5.62,5.62,5.62,25,28525.0,0.0,10.2,0.52,0.01
2015-05-29,6.19,6.19,6.19,6.19,52,65260.0,0.0,10.14,0.57,0.02
2015-06-01,6.82,6.82,6.82,6.82,54,74574.0,0.0,10.18,0.63,0.02
2015-06-02,7.51,7.51,7.51,7.51,15,22785.0,0.0,10.12,0.69,0.0
2015-06-03,8.27,8.27,8.27,8.27,57,95247.0,0.0,10.12,0.76,0.02
2015-06-04,9.1,9.1,9.1,9.1,103,189314.0,0.0,10.04,0.83,0.03
2015-06-05,10.02,10.02,10.02,10.02,53,107166.0,0.0,10.11,0.92,0.02
2015-06-08,11.03,11.03,11.03,11.03,57,126768.0,0.0,10.08,1.01,0.02
2015-06-09,12.14,12.14,12.14,12.14,152,371792.0,0.0,10.06,1.11,0.05
2015-06-10,13.37,13.37,13.37,13.37,83,223353.0,0.0,10.13,1.23,0.02
2015-06-11,14.71,14.71,14.71,14.71,50,148000.0,0.0,10.02,1.34,0.01
2015-06-12,16.19,16.19,16.19,16.19,43,140008.0,0.0,10.06,1.48,0.01
2015-06-15,17.82,17.82,17.82,17.82,346,1239372.0,0.0,10.07,1.63,0.1
2015-06-16,19.61,19.61,19.61,19.61,865,3408100.0,0.0,10.04,1.79,0.26
2015-06-17,21.58,21.58,21.58,21.58,1124,4871416.0,0.0,10.05,1.97,0.34
2015-06-18,23.75,23.75,23.75,23.75,1995,9510832.0,0.0,10.06,2.17,0.6
2015-06-19,24.91,26.13,26.13,22.95,149378,767357792.0,13.39,10.02,2.38,44.8
2015-06-23,26.66,28.75,28.75,26.4,109426,618094272.0,8.99,10.03,2.62,32.82
2015-06-24,31.64,26.93,31.64,26.7,195358,1169458768.0,17.18,-6.33,-1.82,58.6
2015-06-25,25.47,28.47,29.35,25.41,129484,704191040.0,14.63,5.72,1.54,38.84
2015-06-26,26.42,27.0,30.45,25.64,120499,675729184.0,16.89,-5.16,-1.47,36.14
2015-06-29,26.91,29.71,29.71,26.37,115699,663581760.0,12.37,10.04,2.71,34.7
2015-06-30,29.72,27.95,31.16,26.73,109543,621989760.0,14.91,-5.92,-1.76,32.86
2015-07-01,25.91,25.14,28.51,25.14,120765,629115168.0,12.06,-10.05,-2.81,36.22
2015-07-02,22.72,22.62,24.01,22.62,53462,244301431.0,5.53,-10.02,-2.52,16.04
2015-07-03,20.35,20.35,21.61,20.35,50679,208825956.0,5.57,-10.04,-2.27,15.2
2015-07-06,21.69,18.44,21.96,18.3,84013,327722976.0,17.99,-9.39,-1.91,25.2
2015-07-07,16.94,16.59,17.34,16.59,12190,40906252.0,4.07,-10.03,-1.85,3.66
2015-07-13,18.26,18.26,18.26,18.26,15363,56366920.0,0.0,10.07,1.67,4.61
2015-07-14,20.09,20.09,20.09,19.42,51255,206456922.0,3.67,10.02,1.83,15.37
2015-07-15,19.91,18.07,19.91,18.07,41795,157099280.0,9.16,-10.05,-2.02,12.54
2015-07-16,16.26,17.22,18.66,16.26,62136,216505085.0,13.28,-4.7,-0.85,18.64
2015-07-17,17.56,18.51,18.71,17.16,52808,190740891.0,9.0,7.49,1.29,15.84
2015-07-20,18.11,18.44,19.31,17.91,49650,185426753.0,7.56,-0.38,-0.07,14.89
2015-07-21,18.0,20.29,20.3,17.77,67291,260935265.0,13.72,10.03,1.85,20.18
2015-07-22,20.4,21.47,21.53,19.42,79304,326141296.0,10.4,5.82,1.18,23.79
2015-07-23,20.93,23.63,23.63,20.93,64371,289035888.0,12.58,10.06,2.16,19.31
2015-07-24,24.41,23.12,26.0,22.69,88070,434155296.0,14.01,-2.16,-0.51,26.42
2015-07-27,23.29,22.04,25.44,21.91,114508,556334400.0,15.27,-4.67,-1.08,34.35
2015-07-28,19.86,20.56,23.11,19.83,66685,279196608.0,14.88,-6.72,-1.48,20.0
2015-07-29,21.31,22.63,22.63,19.06,70634,298197776.0,17.36,10.07,2.07,21.19
2015-07-30,21.41,22.93,24.47,21.41,83641,385260656.0,13.52,1.33,0.3,25.09
2015-07-31,21.91,25.23,25.23,21.67,108483,527627536.0,15.53,10.03,2.3,32.54
2015-08-03,24.66,22.81,25.31,22.7,89398,429133872.0,10.34,-9.59,-2.42,26.81
2015-08-04,22.51,23.04,23.91,20.52,91198,400839744.0,14.86,1.01,0.23,27.35
2015-08-05,22.35,23.68,24.7,21.81,85213,397523696.0,12.54,2.78,0.64,25.56
2015-08-06,22.71,21.9,23.19,21.64,53457,240834643.0,6.55,-7.52,-1.78,16.03
2015-08-07,21.9,22.15,23.0,21.74,48616,217639002.0,5.75,1.14,0.25,14.58
2015-08-10,22.01,23.37,23.66,21.66,65145,296358720.0,9.03,5.51,1.22,19.54
2015-08-11,23.43,24.35,25.34,23.15,85885,421950592.0,9.37,4.19,0.98,25.76
2015-08-12,23.66,23.28,24.16,23.16,53095,250780871.0,4.11,-4.39,-1.07,15.93
2015-08-13,23.1,25.61,25.61,22.92,95074,468844528.0,11.55,10.01,2.33,28.52
2015-08-14,25.85,24.82,26.56,24.66,85756,436533136.0,7.42,-3.08,-0.79,25.72
2015-08-17,24.01,23.87,24.44,23.04,50990,241923728.0,5.64,-3.83,-0.95,15.29
2015-08-18,23.88,21.47,24.26,21.47,55705,252937109.0,11.69,-10.05,-2.4,16.71
2015-08-19,20.16,21.3,21.86,19.35,52721,215534520.0,11.69,-0.79,-0.17,15.81
2015-08-20,20.69,19.51,21.1,19.47,29691,121546609.0,7.65,-8.4,-1.79,8.91
2015-08-21,18.94,18.38,19.41,18.27,26038,98198217.0,5.84,-5.79,-1.13,7.81
2015-08-24,17.59,16.53,17.64,16.53,13658,45944850.0,6.04,-10.07,-1.85,4.1
2015-08-25,14.87,14.87,16.41,14.87,34339,104808882.0,9.32,-10.04,-1.66,10.3
2015-08-26,14.89,15.17,16.33,13.91,49125,151903373.0,16.27,2.02,0.3,14.73
2015-08-27,15.56,15.96,16.01,14.52,36723,114162755.0,9.82,5.21,0.79,11.01
2015-08-28,16.16,17.17,17.47,15.64,49643,162216277.0,11.47,7.58,1.21,14.89
2015-08-31,16.67,15.45,16.9,15.45,33504,109924550.0,8.44,-10.02,-1.72,10.05
2015-09-01,14.92,13.89,15.26,13.89,25129,72076917.0,8.87,-10.1,-1.56,7.54
2015-09-02,12.67,12.57,14.28,12.5,40541,108527755.0,12.81,-9.5,-1.32,12.16
2015-09-07,12.92,12.88,13.55,12.84,41833,111156664.0,5.65,2.47,0.31,12.55
2015-09-08,12.79,14.17,14.17,12.66,47000,129423378.0,11.72,10.02,1.29,14.1
2015-09-09,14.86,15.6,15.6,14.81,40037,123981940.0,5.58,10.09,1.43,12.01
2015-09-10,15.42,15.67,16.35,15.41,58949,187753995.0,6.03,0.45,0.07,17.68
2015-09-11,15.43,15.88,16.23,15.2,33134,105335601.0,6.57,1.34,0.21,9.94
2015-09-14,15.66,14.29,15.91,14.29,27946,84124683.0,10.2,-10.01,-1.59,8.38
2015-09-15,13.07,12.85,14.11,12.85,30082,80348286.0,8.82,-10.08,-1.44,9.02
2015-09-16,13.07,14.15,14.15,13.07,28289,77427473.0,8.4,10.12,1.3,8.49
2015-09-17,14.14,13.7,15.04,13.62,34837,101681452.0,10.04,-3.18,-0.45,10.45
2015-09-18,13.96,14.27,14.37,13.69,22533,63828991.0,4.96,4.16,0.57,6.76
2015-09-21,14.11,15.7,15.7,13.89,31883,97831874.0,12.68,10.02,1.43,9.56
2015-09-22,16.7,16.37,17.0,16.08,58383,194636739.0,5.86,4.27,0.67,17.51
2015-09-23,15.66,17.01,17.91,15.42,51623,175941109.0,15.21,3.91,0.64,15.48
2015-09-24,16.91,17.62,18.41,16.71,41430,147009221.0,9.99,3.59,0.61,12.43
2015-09-25,17.41,17.46,18.25,16.9,50264,178321924.0,7.66,-0.91,-0.16,15.08
