日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-03-03,17.02,16.85,18.4,15.95,438219,933509947.17,20.55,41.36,4.93,78.25
2011-03-04,16.11,17.75,18.79,16.0,285140,619137527.21,16.56,5.34,0.9,50.92
2011-03-07,17.52,17.0,17.61,16.72,176620,374754528.93,5.01,-4.23,-0.75,31.54
2011-03-08,17.12,16.57,17.27,16.23,120082,247703714.75,6.12,-2.53,-0.43,21.44
2011-03-09,16.64,16.91,17.2,16.42,108266,227380610.51,4.71,2.05,0.34,19.33
2011-03-10,16.92,16.37,17.02,16.32,75545,155811481.92,4.14,-3.19,-0.54,13.49
2011-03-11,16.2,16.41,16.72,16.08,64320,131280413.99,3.91,0.24,0.04,11.49
2011-03-14,16.22,16.06,16.41,15.82,57423,115466174.45,3.6,-2.13,-0.35,10.25
2011-03-15,16.01,15.69,16.05,15.42,58884,116288082.11,3.92,-2.3,-0.37,10.52
2011-03-16,15.67,15.85,15.97,15.62,36003,71608357.16,2.23,1.02,0.16,6.43
2011-03-17,15.71,15.15,15.71,15.14,47120,92041515.49,3.6,-4.42,-0.7,8.41
2011-03-18,15.26,15.72,15.9,15.22,41104,80883318.83,4.49,3.76,0.57,7.34
2011-03-21,15.72,15.63,15.8,15.45,21940,43091247.51,2.23,-0.57,-0.09,3.92
2011-03-22,15.75,16.27,16.3,15.59,70399,142286270.51,4.54,4.09,0.64,12.57
2011-03-23,16.3,16.11,16.34,15.86,36607,73557535.87,2.95,-0.98,-0.16,6.54
2011-03-24,16.08,15.6,16.13,15.6,43283,86052712.22,3.29,-3.17,-0.51,7.73
2011-03-25,15.6,15.57,15.77,15.52,27827,54791284.42,1.6,-0.19,-0.03,4.97
2011-03-28,15.62,15.43,15.66,15.35,32206,62852660.49,1.99,-0.9,-0.14,5.75
2011-03-29,15.43,15.18,15.43,15.12,27887,53882322.05,2.01,-1.62,-0.25,4.98
2011-03-30,15.18,15.26,15.49,15.18,21869,42452721.65,2.04,0.53,0.08,3.91
2011-03-31,15.26,14.82,15.39,14.57,30672,58338996.15,5.37,-2.88,-0.44,5.48
2011-04-01,14.8,14.94,15.05,14.64,14895,28199938.4,2.77,0.81,0.12,2.66
2011-04-06,14.84,14.7,14.84,14.62,18828,35348695.66,1.47,-1.61,-0.24,3.36
2011-04-07,14.6,14.91,14.98,14.58,27498,51726223.06,2.72,1.43,0.21,4.91
2011-04-08,14.87,14.85,14.87,14.69,17408,32874440.19,1.21,-0.4,-0.06,3.11
2011-04-11,14.74,14.61,14.94,14.59,19124,36014146.49,2.36,-1.62,-0.24,3.42
2011-04-12,14.49,14.36,14.57,14.26,22948,42378235.93,2.12,-1.71,-0.25,4.1
2011-04-13,14.33,14.83,14.9,14.27,23563,44174559.47,4.39,3.27,0.47,4.21
2011-04-14,14.8,14.56,14.82,14.47,15748,29438409.72,2.36,-1.82,-0.27,2.81
2011-04-15,14.56,14.45,14.72,14.36,13695,25424663.37,2.47,-0.76,-0.11,2.45
2011-04-18,14.51,14.85,14.9,14.46,22492,42286993.23,3.04,2.77,0.4,4.02
2011-04-19,14.82,14.6,14.82,14.48,15819,29520439.22,2.29,-1.68,-0.25,2.82
2011-04-20,14.67,14.63,14.72,14.53,12330,23054494.79,1.3,0.21,0.03,2.2
2011-04-21,14.63,14.79,14.82,14.62,14704,27634744.52,1.37,1.09,0.16,2.63
2011-04-22,14.8,14.47,14.81,14.42,15017,28027242.8,2.64,-2.16,-0.32,2.68
2011-04-25,14.53,14.27,14.59,14.2,12064,22229486.11,2.7,-1.38,-0.2,2.15
2011-04-26,14.3,14.36,14.42,14.22,8309,15287201.51,1.4,0.63,0.09,1.48
2011-04-27,14.38,13.62,14.55,13.44,19353,34990908.7,7.73,-5.15,-0.74,3.46
2011-04-28,13.72,12.6,13.8,12.58,27858,47664037.55,8.96,-7.49,-1.02,4.97
2011-04-29,12.62,12.82,12.87,12.59,9766,16447202.72,2.22,1.75,0.22,1.74
2011-05-03,12.82,12.84,12.91,12.6,9243,15552010.9,2.42,0.16,0.02,1.65
2011-05-04,12.81,12.32,12.81,12.19,11396,18954127.19,4.83,-4.05,-0.52,2.04
2011-05-05,12.19,12.36,12.45,12.18,7472,12283368.43,2.19,0.32,0.04,1.33
2011-05-06,12.32,12.52,12.61,12.22,8619,14274240.69,3.16,1.29,0.16,1.54
2011-05-09,12.52,12.79,12.85,12.45,9999,16805003.69,3.19,2.16,0.27,1.79
2011-05-10,12.71,12.66,12.79,12.55,6823,11400338.4,1.88,-1.02,-0.13,1.22
2011-05-11,12.58,12.62,12.69,12.58,6678,11163023.24,0.87,-0.32,-0.04,1.19
2011-05-12,12.65,12.27,12.65,12.27,8921,14746836.52,3.01,-2.77,-0.35,1.59
2011-05-13,12.27,12.52,12.52,12.17,8188,13441248.43,2.85,2.04,0.25,1.46
2011-05-16,12.52,12.7,12.9,12.49,13711,23061843.45,3.27,1.44,0.18,2.45
2011-05-17,12.66,12.56,12.68,12.32,8845,14708888.48,2.83,-1.1,-0.14,1.58
2011-05-18,12.56,12.56,12.62,12.47,6646,11051528.33,1.19,0.0,0.0,1.19
2011-05-19,12.63,12.64,12.73,12.54,9689,16201692.57,1.51,0.64,0.08,1.73
2011-05-20,12.62,12.38,12.64,12.3,6536,10789655.68,2.69,-2.06,-0.26,1.17
2011-05-23,12.32,11.7,12.32,11.69,14474,23148207.65,5.09,-5.49,-0.68,2.58
2011-05-24,11.65,11.73,11.73,11.35,10013,15606192.52,3.25,0.26,0.03,1.79
2011-05-25,11.71,11.23,11.71,11.22,8716,13556713.23,4.18,-4.26,-0.5,1.56
2011-05-26,11.33,11.24,11.42,11.24,5067,7810413.29,1.6,0.09,0.01,0.9
2011-05-27,11.27,11.32,11.41,11.01,7850,12007105.2,3.56,0.71,0.08,1.4
2011-05-30,11.2,11.24,11.47,11.1,6091,9381201.43,3.27,-0.71,-0.08,1.09
2011-05-31,11.25,11.47,11.47,11.23,6540,10102487.12,2.14,2.05,0.23,1.17
2011-06-01,11.43,12.05,12.2,11.39,16764,26655344.22,7.06,5.06,0.58,2.99
2011-06-02,11.8,11.4,11.8,11.4,14681,23037926.33,3.32,-5.39,-0.65,2.62
2011-06-03,11.39,11.45,11.57,11.33,14182,22057363.47,2.11,0.44,0.05,2.03
2011-06-07,11.4,12.0,12.06,11.17,37367,58736728.36,7.77,4.8,0.55,5.34
2011-06-08,11.82,12.11,12.27,11.65,32594,52487973.52,5.17,0.92,0.11,4.66
2011-06-09,12.14,12.08,12.4,11.92,60209,97958421.49,3.96,-0.25,-0.03,8.6
2011-06-10,11.89,11.52,11.91,11.32,28526,44563439.88,4.88,-4.64,-0.56,4.08
2011-06-13,11.35,11.19,11.35,10.99,13456,20457372.58,3.13,-2.86,-0.33,1.92
2011-06-14,11.09,11.31,11.42,11.09,10596,16308769.52,2.95,1.07,0.12,1.51
2011-06-15,11.32,11.09,11.39,11.09,9355,14373599.66,2.65,-1.95,-0.22,1.34
2011-06-16,11.09,10.97,11.24,10.97,11313,17123106.42,2.43,-1.08,-0.12,1.62
2011-06-17,10.87,10.68,11.06,10.66,8762,13116470.18,3.65,-2.64,-0.29,1.25
2011-06-20,10.52,10.38,10.67,10.32,10586,15401992.97,3.28,-2.81,-0.3,1.51
2011-06-22,10.58,10.52,10.7,10.5,8791,12916799.5,1.93,1.35,0.14,1.26
2011-06-23,10.53,11.1,11.25,10.48,25237,38088704.13,7.32,5.51,0.58,3.61
2011-06-24,11.01,11.49,11.64,10.98,28528,44070310.25,5.95,3.51,0.39,4.08
2011-06-27,11.49,11.36,11.67,11.33,20450,31859490.58,2.96,-1.13,-0.13,2.92
2011-06-28,11.38,11.42,11.5,11.29,13286,20571535.28,1.85,0.53,0.06,1.9
2011-06-29,11.45,11.07,11.49,11.07,12963,19896936.21,3.68,-3.06,-0.35,1.85
2011-06-30,11.07,11.23,11.34,11.07,9398,14411141.73,2.44,1.45,0.16,1.34
2011-07-01,11.28,11.36,11.5,11.26,13792,21364622.58,2.14,1.16,0.13,1.97
