日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.49,5.47,5.55,5.41,16316,24722329.73,2.55,-0.36,-0.02,1.24
2010-01-05,5.44,6.06,6.06,5.36,87599,140963189.04,12.8,10.79,0.59,6.68
2010-01-06,6.15,6.29,6.43,6.04,74769,128074272.65,6.44,3.8,0.23,5.7
2010-01-07,6.24,5.98,6.27,5.9,40642,68092006.78,5.88,-4.93,-0.31,3.1
2010-01-08,5.98,6.11,6.2,5.91,24810,41342714.73,4.85,2.17,0.13,1.89
2010-01-11,5.96,6.18,6.28,5.96,44631,75681456.26,5.24,1.15,0.07,3.4
2010-01-12,6.13,6.38,6.4,6.13,37757,65349738.68,4.37,3.24,0.2,2.88
2010-01-13,6.21,6.16,6.36,6.07,25915,44292313.38,4.55,-3.45,-0.22,1.98
2010-01-14,6.17,6.45,6.45,6.16,25578,44502357.03,4.71,4.71,0.29,1.95
2010-01-15,6.55,6.36,6.62,6.31,24701,43983702.18,4.81,-1.4,-0.09,1.88
2010-01-18,6.36,6.43,6.46,6.23,13629,23717409.47,3.62,1.1,0.07,1.04
2010-01-19,6.43,6.15,6.43,6.15,25798,44380254.01,4.35,-4.35,-0.28,1.97
2010-01-20,6.15,5.7,6.25,5.59,34287,55701891.57,10.73,-7.32,-0.45,2.61
2010-01-21,5.76,5.78,5.8,5.62,15455,24556124.89,3.16,1.4,0.08,1.18
2010-01-22,5.74,5.44,5.74,5.36,31745,48175086.85,6.57,-5.88,-0.34,2.42
2010-01-25,5.44,5.44,5.63,5.4,13224,20185555.02,4.23,0.0,0.0,1.01
2010-01-26,5.51,5.27,5.54,5.09,13635,20314754.74,8.27,-3.13,-0.17,1.04
2010-01-27,5.28,5.09,5.28,5.01,20108,28764466.26,5.12,-3.42,-0.18,1.53
2010-01-28,5.13,5.15,5.16,5.05,11282,16102635.36,2.16,1.18,0.06,0.86
2010-01-29,5.09,5.24,5.46,5.09,13026,19191879.61,7.18,1.75,0.09,0.99
2010-02-01,5.24,5.15,5.31,5.07,6561,9424496.44,4.58,-1.72,-0.09,0.5
2010-02-02,5.17,5.16,5.28,5.15,6525,9478843.64,2.52,0.19,0.01,0.5
2010-02-03,5.17,5.32,5.35,5.06,14377,20908913.44,5.62,3.1,0.16,1.1
2010-02-04,5.32,5.31,5.43,5.23,13804,20539935.33,3.76,-0.19,-0.01,1.05
2010-02-05,5.23,5.11,5.27,5.04,17911,25914520.74,4.33,-3.77,-0.2,1.37
2010-02-08,5.11,5.07,5.2,5.05,5756,8199722.31,2.94,-0.78,-0.04,0.44
2010-02-09,5.07,4.95,5.08,4.92,13015,18154926.27,3.16,-2.37,-0.12,0.99
2010-02-10,4.98,5.03,5.06,4.97,9060,12690016.72,1.82,1.62,0.08,0.69
2010-02-11,5.02,4.98,5.06,4.96,6298,8817478.82,1.99,-0.99,-0.05,0.48
2010-02-12,4.98,5.08,5.08,4.96,7350,10336253.29,2.41,2.01,0.1,0.56
2010-02-22,5.09,5.1,5.16,5.01,8215,11692669.74,2.95,0.39,0.02,0.63
