日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-04-12,5.08,5.08,5.08,5.08,159,309096.0,0.0,55.35,1.81,0.08
2016-04-13,5.67,5.67,5.67,5.67,43,91934.0,0.0,11.61,0.59,0.02
2016-04-14,6.33,6.33,6.33,6.33,11,25872.0,0.0,11.64,0.66,0.01
2016-04-15,7.04,7.04,7.04,7.04,57,146166.0,0.0,11.22,0.71,0.03
2016-04-18,7.83,7.83,7.83,7.83,97,274952.0,0.0,11.22,0.79,0.05
2016-04-19,8.7,8.7,8.7,8.7,146,455561.0,0.0,11.11,0.87,0.07
2016-04-20,9.66,9.66,9.66,9.66,378,1300351.0,0.0,11.03,0.96,0.19
2016-04-21,10.71,10.71,10.71,10.71,351,1328300.0,0.0,10.87,1.05,0.18
2016-04-22,11.87,11.87,11.87,11.87,733,3055244.0,0.0,10.83,1.16,0.37
2016-04-25,13.14,13.14,13.14,13.14,2153,9868344.0,0.0,10.7,1.27,1.1
2016-04-26,14.54,14.54,14.54,14.54,3279,16534382.0,0.0,10.65,1.4,1.67
2016-04-27,16.07,16.07,16.07,16.07,1293,7171200.0,0.0,10.52,1.53,0.66
2016-04-28,17.77,17.77,17.77,17.77,6400,39044448.0,0.0,10.58,1.7,3.27
2016-04-29,19.63,19.63,19.63,19.04,81647,546247648.0,3.32,10.47,1.86,41.66
2016-05-03,20.36,19.09,20.85,18.68,110002,732499760.0,11.05,-2.75,-0.54,56.12
2016-05-04,18.83,19.44,20.1,18.83,92738,616364032.0,6.65,1.83,0.35,47.32
2016-05-05,19.14,18.79,19.16,18.54,63147,406126416.0,3.19,-3.34,-0.65,32.22
2016-05-06,18.83,17.77,19.0,17.7,54028,343977184.0,6.92,-5.43,-1.02,27.57
2016-05-09,17.16,15.93,17.25,15.91,44811,252161441.0,7.54,-10.35,-1.84,22.86
2016-05-10,15.84,16.03,16.53,15.84,31381,175273021.0,4.33,0.63,0.1,16.01
2016-05-11,16.17,14.99,16.29,14.96,33479,179052596.0,8.3,-6.49,-1.04,17.08
2016-05-12,14.51,15.25,15.29,14.41,27938,143998349.0,5.87,1.73,0.26,14.25
2016-05-13,15.13,15.32,15.89,14.96,29803,158836133.0,6.1,0.46,0.07,15.21
2016-05-16,15.23,15.31,15.32,14.73,22550,117538229.0,3.85,-0.07,-0.01,11.51
2016-05-17,15.35,15.31,15.78,15.29,24565,131419647.0,3.2,0.0,0.0,12.53
2016-05-18,14.88,13.86,15.01,13.69,32640,162065873.0,8.62,-9.47,-1.45,16.65
2016-05-19,13.8,13.8,14.3,13.76,21084,102934318.0,3.9,-0.43,-0.06,10.76
2016-05-20,13.52,14.28,14.28,13.44,26494,129045497.0,6.09,3.48,0.48,13.52
2016-05-23,14.55,15.79,15.79,14.49,54484,290768848.0,9.1,10.57,1.51,27.8
2016-05-24,15.63,15.21,15.71,14.91,39768,209114796.0,5.07,-3.67,-0.58,20.29
2016-05-25,15.54,16.0,16.16,15.34,51479,278953168.0,5.39,5.19,0.79,26.26
2016-05-26,15.67,16.54,16.91,15.06,46375,253074647.0,11.56,3.38,0.54,23.66
2016-05-27,16.39,16.06,17.0,15.99,41241,234371353.0,6.11,-2.9,-0.48,21.04
2016-05-30,15.35,16.12,16.5,15.35,30365,167576451.0,7.16,0.37,0.06,15.49
2016-05-31,16.18,17.12,17.46,16.09,42624,247085790.0,8.5,6.2,1.0,21.75
2016-06-01,17.14,17.21,17.72,16.97,39554,235533880.0,4.38,0.53,0.09,20.18
2016-06-02,16.87,17.98,18.06,16.87,46036,276439488.0,6.91,4.47,0.77,23.49
2016-06-03,17.83,17.72,18.32,17.64,38987,239714623.0,3.78,-1.45,-0.26,19.89
2016-06-06,17.78,17.62,18.21,17.0,30486,184999549.0,6.83,-0.56,-0.1,15.55
2016-06-07,17.58,19.04,19.28,17.49,53037,335526496.0,10.16,8.06,1.42,27.06
2016-06-08,18.68,19.12,19.86,18.07,54380,352980480.0,9.4,0.42,0.08,27.75
2016-06-13,18.37,17.14,19.7,17.12,55648,354173264.0,13.49,-10.36,-1.98,28.39
2016-06-14,16.86,16.94,17.52,16.54,37111,216569760.0,5.72,-1.17,-0.2,18.93
2016-06-15,16.64,18.72,18.72,16.55,44866,279917376.0,12.81,10.51,1.78,22.89
2016-06-16,19.29,19.26,19.8,18.74,54758,361091696.0,5.66,2.88,0.54,27.94
2016-06-17,19.08,21.27,21.27,19.06,81190,572542528.0,11.47,10.44,2.01,41.42
2016-06-20,21.89,22.34,23.09,21.58,89341,675915152.0,7.1,5.03,1.07,45.58
2016-06-21,22.31,21.52,22.77,21.18,76899,575570496.0,7.12,-3.67,-0.82,39.23
