日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-11-11,5.44,5.32,5.69,5.32,248155,589883408.0,7.3,4.93,0.25,77.55
2011-11-14,5.47,5.41,5.49,5.27,113022,262721234.0,4.14,1.69,0.09,35.32
2011-11-15,5.34,5.38,5.4,5.24,84092,193459011.0,2.96,-0.55,-0.03,26.28
2011-11-16,5.36,5.22,5.41,5.18,72246,166140463.0,4.28,-2.97,-0.16,22.58
2011-11-17,5.19,5.21,5.26,5.08,63043,141358473.0,3.45,-0.19,-0.01,19.7
2011-11-18,5.14,5.09,5.15,5.01,46595,102984799.0,2.69,-2.3,-0.12,14.56
2011-11-21,5.09,4.93,5.12,4.83,39510,85185459.0,5.7,-3.14,-0.16,12.35
2011-11-22,4.82,4.83,4.88,4.74,27999,58781852.0,2.84,-2.03,-0.1,8.75
2011-11-23,4.8,4.77,4.88,4.77,30422,64054485.0,2.28,-1.24,-0.06,9.51
2011-11-24,4.68,4.9,4.92,4.54,54137,110979595.0,7.97,2.73,0.13,16.92
2011-11-25,4.94,4.98,5.08,4.94,98237,213880404.0,2.86,1.63,0.08,30.7
2011-11-28,4.94,4.79,4.95,4.78,43585,91944076.0,3.41,-3.82,-0.19,13.62
2011-11-29,4.84,4.8,4.86,4.69,40453,84009897.0,3.55,0.21,0.01,12.64
2011-11-30,4.79,4.39,4.79,4.34,41173,82422143.0,9.38,-8.54,-0.41,12.87
2011-12-01,4.54,4.55,4.65,4.42,48565,96551754.0,5.24,3.64,0.16,15.18
2011-12-02,4.5,4.24,4.5,4.22,41137,78270241.0,6.15,-6.81,-0.31,12.86
2011-12-05,4.23,4.05,4.23,4.05,28358,51384382.0,4.25,-4.48,-0.19,8.86
2011-12-06,4.02,4.24,4.28,3.97,37387,68644214.0,7.65,4.69,0.19,11.68
2011-12-07,4.2,4.33,4.35,4.17,47567,89585233.0,4.25,2.12,0.09,14.86
2011-12-08,4.31,4.38,4.4,4.27,45197,86186948.0,3.0,1.15,0.05,14.12
2011-12-09,4.43,4.38,4.46,4.32,44667,86067116.0,3.2,0.0,0.0,13.96
2011-12-12,4.37,4.24,4.4,4.18,27211,51182904.0,5.02,-3.2,-0.14,8.5
2011-12-13,4.17,4.02,4.2,4.01,19654,35569187.0,4.48,-5.19,-0.22,6.14
2011-12-14,4.01,3.82,4.08,3.82,18198,31858723.0,6.47,-4.98,-0.2,5.69
2011-12-15,3.83,3.66,3.83,3.65,16539,27486480.0,4.71,-4.19,-0.16,5.17
2011-12-16,3.7,3.77,3.78,3.57,20031,32820000.0,5.74,3.01,0.11,6.26
2011-12-19,3.72,3.7,3.72,3.57,19875,32391605.0,3.98,-1.86,-0.07,6.21
2011-12-20,3.66,3.65,3.76,3.64,16638,27538732.0,3.24,-1.35,-0.05,5.2
2011-12-21,3.69,3.44,3.73,3.44,21178,34145266.0,7.95,-5.75,-0.21,6.62
2011-12-22,3.38,3.38,3.45,3.19,30100,45084941.0,7.56,-1.74,-0.06,9.41
2011-12-23,3.38,3.4,3.48,3.34,26000,40102457.0,4.14,0.59,0.02,8.13
2011-12-26,3.4,3.28,3.4,3.27,17736,26669012.0,3.82,-3.53,-0.12,5.54
