日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-07,22.38,22.38,22.38,22.38,10,45000.0,0.0,223.88,15.47,0.01
2015-12-08,22.38,22.38,22.38,22.38,40,180000.0,0.0,0.0,0.0,0.02
2015-12-09,0.11,15.99,22.38,0.11,110,354350.0,99.51,-28.55,-6.39,0.06
2015-12-14,10.47,10.47,10.47,10.47,380,804460.0,0.0,-34.52,-5.52,0.21
2015-12-15,10.47,10.47,10.47,10.47,330,698610.0,0.0,0.0,0.0,0.18
2015-12-17,5.42,5.42,5.42,5.42,950,1051650.0,0.0,-48.23,-5.05,0.51
2015-12-21,18.88,18.88,18.88,18.88,20,76000.0,0.0,248.34,13.46,0.01
2015-12-22,1.81,1.81,18.88,1.81,240,160626.0,90.41,-90.41,-17.07,0.13
2015-12-23,1.81,1.81,1.81,1.81,113,43616.0,0.0,0.0,0.0,0.06
2015-12-24,1.81,1.81,1.81,1.81,725,279125.0,0.0,0.0,0.0,0.39
2015-12-25,1.81,1.81,1.81,1.81,2994,1152620.0,0.0,0.0,0.0,1.62
2015-12-29,1.81,2.25,14.88,1.81,3550,1680550.0,722.1,24.31,0.44,1.92
2015-12-30,15.38,15.38,15.38,15.38,10,31000.0,0.0,583.56,13.13,0.01
2016-01-11,9.32,7.32,9.32,3.04,4900,7292300.0,40.83,-52.41,-8.06,2.65
2016-01-12,13.88,13.88,13.88,13.88,20,56000.0,0.0,89.62,6.56,0.01
2016-01-13,13.88,13.88,13.88,13.88,10,28000.0,0.0,0.0,0.0,0.01
2016-01-14,9.32,4.9,9.32,0.38,13850,13901000.0,64.41,-64.7,-8.98,7.5
2016-01-15,9.32,9.32,9.32,9.32,6000,11328000.0,0.0,90.2,4.42,3.25
2016-01-21,0.38,0.38,0.38,0.38,5810,581000.0,0.0,-95.92,-8.94,3.15
2016-01-22,14.88,14.88,14.88,14.88,10,30000.0,0.0,3815.79,14.5,0.01
2016-01-25,5.42,5.42,5.42,5.42,360,398520.0,0.0,-63.58,-9.46,0.2
2016-01-27,0.38,14.88,14.88,0.38,5183,1553356.0,267.53,174.54,9.46,2.81
2016-01-28,5.42,5.55,14.88,1.38,10410,6942900.0,90.73,-62.7,-9.33,5.64
2016-01-29,12.86,12.14,12.87,11.88,780,1915370.0,17.84,118.74,6.59,0.42
2016-02-02,12.13,11.88,12.13,11.53,150,355260.0,4.94,-2.14,-0.26,0.08
2016-02-03,11.88,11.88,11.88,11.88,10,24000.0,0.0,0.0,0.0,0.01
2016-02-04,11.91,11.88,11.91,11.36,40,95050.0,4.63,0.0,0.0,0.02
2016-02-05,11.48,11.88,11.88,11.33,50,115900.0,4.63,0.0,0.0,0.03
2016-02-15,11.91,11.38,11.91,11.33,60,139790.0,4.88,-4.21,-0.5,0.03
2016-02-16,11.44,10.95,11.5,10.95,160,366950.0,4.83,-3.78,-0.43,0.09
2016-02-17,10.95,10.4,10.95,10.4,50,106670.0,5.02,-5.02,-0.55,0.03
2016-02-18,10.38,10.03,10.43,10.03,340,711470.0,3.85,-3.56,-0.37,0.18
2016-02-19,10.03,9.62,10.03,9.62,40,80370.0,4.09,-4.09,-0.41,0.02
2016-02-22,9.63,9.63,9.63,9.63,80,155950.0,0.0,0.1,0.01,0.04
2016-02-23,9.65,9.22,9.65,9.22,50,95910.0,4.47,-4.26,-0.41,0.03
2016-02-24,9.22,9.23,9.23,9.22,80,149490.0,0.11,0.11,0.01,0.04
2016-02-25,9.32,9.38,9.67,9.32,540,1038280.0,3.79,1.63,0.15,0.29
2016-02-26,9.4,9.45,9.45,9.4,40,76260.0,0.53,0.75,0.07,0.02
2016-02-29,9.45,9.63,9.63,9.43,150,287750.0,2.12,1.9,0.18,0.08
2016-03-01,9.65,9.65,9.65,9.65,60,117180.0,0.0,0.21,0.02,0.03
2016-03-02,9.17,9.57,9.63,9.14,450,857190.0,5.08,-0.83,-0.08,0.24
2016-03-03,9.32,9.43,9.43,9.1,140,261070.0,3.45,-1.46,-0.14,0.08
2016-03-04,9.45,9.43,9.46,9.43,90,172270.0,0.32,0.0,0.0,0.05
2016-03-07,9.48,9.62,9.62,9.48,200,386450.0,1.48,2.01,0.19,0.11
2016-03-08,9.62,9.63,9.63,9.28,60,116240.0,3.64,0.1,0.01,0.03
