日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-07-21,5.3,6.5,6.5,5.3,112,143487.0,27.84,50.81,2.19,0.05
2017-07-24,7.22,7.22,7.22,7.22,54,77032.0,0.0,11.08,0.72,0.03
2017-07-25,8.01,8.01,8.01,8.01,20,31260.0,0.0,10.94,0.79,0.01
2017-07-26,8.87,8.87,8.87,8.87,54,93599.0,0.0,10.74,0.86,0.03
2017-07-27,9.83,9.83,9.83,9.83,186,352255.0,0.0,10.82,0.96,0.09
2017-07-28,10.88,10.88,10.88,10.88,292,606548.0,0.0,10.68,1.05,0.14
2017-07-31,12.03,12.03,12.03,12.03,324,740945.0,0.0,10.57,1.15,0.16
2017-08-01,13.31,13.31,13.31,13.31,678,1706123.0,0.0,10.64,1.28,0.33
2017-08-02,14.71,14.71,14.71,14.71,3508,9712599.0,0.0,10.52,1.4,1.69
2017-08-07,14.71,14.41,15.57,14.06,112077,311030928.0,10.27,-2.04,-0.3,53.93
2017-08-08,14.04,13.88,14.14,13.53,79239,206616674.0,4.23,-3.68,-0.53,38.13
2017-08-09,13.64,13.71,13.95,13.6,43896,114139689.0,2.52,-1.22,-0.17,21.12
2017-08-10,13.69,13.28,13.94,13.21,42949,109956744.0,5.32,-3.14,-0.43,20.67
2017-08-11,13.17,13.16,13.49,13.0,32672,81657736.0,3.69,-0.9,-0.12,15.72
2017-08-14,13.14,13.29,13.32,13.0,25673,64119392.0,2.43,0.99,0.13,12.35
2017-08-15,13.27,14.04,14.26,13.26,60227,156000592.0,7.52,5.64,0.75,28.98
2017-08-16,13.91,14.28,14.92,13.88,69241,188866828.0,7.41,1.71,0.24,33.32
2017-08-17,14.01,13.93,14.49,13.8,49615,132249723.0,4.83,-2.45,-0.35,23.88
2017-08-18,14.21,15.39,15.39,14.05,77805,219598914.0,9.62,10.48,1.46,37.44
2017-08-21,15.98,17.0,17.0,15.87,126277,392725104.0,7.34,10.46,1.61,60.77
2017-08-22,16.58,16.07,16.87,15.9,96010,293945536.0,5.71,-5.47,-0.93,46.2
2017-08-23,16.17,17.75,17.75,15.77,95105,301493728.0,12.32,10.45,1.68,45.77
2017-08-24,18.21,17.29,19.54,16.83,130690,449272128.0,15.27,-2.59,-0.46,62.89
2017-08-25,16.9,18.39,18.76,16.83,103630,345113056.0,11.16,6.36,1.1,49.87
2017-08-28,18.37,20.29,20.29,17.86,111700,397460240.0,13.21,10.33,1.9,53.75
2017-08-29,20.02,19.54,22.27,19.28,119229,457559088.0,14.74,-3.7,-0.75,57.38
2017-08-30,19.1,18.69,19.88,18.22,80055,282200816.0,8.5,-4.35,-0.85,38.53
2017-08-31,18.6,19.22,19.6,18.6,61709,220153726.0,5.35,2.84,0.53,29.7
2017-09-01,19.12,18.56,19.63,18.37,51667,181322218.0,6.56,-3.43,-0.66,24.86
2017-09-04,18.21,17.33,18.21,17.11,48500,159346983.0,5.93,-6.63,-1.23,23.34
2017-09-05,17.33,17.73,17.93,17.33,28962,95829145.0,3.46,2.31,0.4,13.94
2017-09-06,17.48,17.55,17.73,17.1,26463,85784997.0,3.55,-1.02,-0.18,12.73
2017-09-07,17.66,17.88,18.42,17.58,36928,124586311.0,4.79,1.88,0.33,17.77
2017-09-08,17.59,17.66,17.77,17.17,25498,83411119.0,3.36,-1.23,-0.22,12.27
2017-09-11,17.81,19.01,19.04,17.71,53063,185064094.0,7.53,7.64,1.35,25.54
2017-09-12,18.77,18.67,18.91,18.27,40596,140503210.0,3.37,-1.79,-0.34,19.54
2017-09-13,18.52,19.01,19.21,18.34,34529,120948997.0,4.66,1.82,0.34,16.62
2017-09-14,18.88,18.63,19.12,18.37,26997,94231163.0,3.95,-2.0,-0.38,12.99
2017-09-15,18.47,17.54,18.62,17.42,26038,87604086.0,6.44,-5.85,-1.09,12.53
2017-09-18,17.1,17.06,17.36,16.84,19171,61242973.0,2.96,-2.74,-0.48,9.23
2017-09-19,17.07,17.27,17.31,17.07,11153,35911998.0,1.41,1.23,0.21,5.37
2017-09-20,17.12,17.64,17.81,17.01,16432,53695684.0,4.63,2.14,0.37,7.91
2017-09-21,17.56,17.3,17.98,17.24,13017,42759627.0,4.2,-1.93,-0.34,6.26
2017-09-22,17.11,17.49,17.68,16.87,18281,59382461.0,4.68,1.1,0.19,8.8
2017-09-25,17.49,17.37,17.93,17.28,14695,48421803.0,3.72,-0.69,-0.12,7.07
2017-09-26,17.1,16.03,17.26,15.77,25184,77332925.0,8.58,-7.71,-1.34,12.12
2017-09-27,16.06,16.11,16.19,15.96,12757,38469622.0,1.43,0.5,0.08,6.14
2017-09-28,16.27,15.99,16.6,15.82,15501,47108326.0,4.84,-0.74,-0.12,7.46
2017-09-29,16.06,16.33,16.6,16.05,14904,45517101.0,3.44,2.13,0.34,7.17
