日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-04-05,13.48,13.48,13.48,13.48,221,422981.0,0.0,49.94,4.49,0.03
2017-04-06,14.95,14.95,14.95,14.95,103,216506.0,0.0,10.91,1.47,0.01
2017-04-07,16.56,16.56,16.56,16.56,97,223154.0,0.0,10.77,1.61,0.01
2017-04-10,18.34,18.34,18.34,18.34,197,499750.0,0.0,10.75,1.78,0.03
2017-04-11,20.29,20.29,20.29,20.29,324,906340.0,0.0,10.63,1.95,0.05
2017-04-12,22.45,22.45,22.45,22.45,433,1333295.0,0.0,10.65,2.16,0.06
2017-04-13,24.82,24.82,24.82,24.82,1245,4214393.0,0.0,10.56,2.37,0.18
2017-04-14,27.43,27.43,27.43,27.43,3057,11382443.0,0.0,10.52,2.61,0.43
2017-04-17,28.01,24.56,28.41,24.56,295453,1035438112.0,14.04,-10.46,-2.87,41.59
2017-04-18,25.09,22.96,25.16,22.39,220340,707726640.0,11.28,-6.51,-1.6,31.02
2017-04-19,22.93,23.43,23.9,22.6,173237,553365344.0,5.66,2.05,0.47,24.39
2017-04-20,22.86,21.38,23.0,21.01,169244,506388976.0,8.49,-8.75,-2.05,23.82
2017-04-21,21.09,20.71,21.39,20.47,105281,301415312.0,4.3,-3.13,-0.67,14.82
2017-04-24,20.89,20.91,21.83,20.55,120834,351688640.0,6.18,0.97,0.2,17.01
2017-04-25,20.75,20.96,21.77,20.62,109105,319425488.0,5.5,0.24,0.05,15.36
2017-04-26,20.74,21.54,21.68,20.36,115427,334655904.0,6.3,2.77,0.58,16.25
2017-04-27,21.28,23.04,23.82,21.15,216957,679916240.0,12.4,6.96,1.5,30.54
2017-04-28,22.55,22.86,23.37,21.69,148491,462673872.0,7.29,-0.78,-0.18,20.9
2017-05-02,22.86,23.37,23.81,22.78,130208,413564368.0,4.51,2.23,0.51,18.33
2017-05-03,23.09,22.71,23.83,22.08,147357,461724080.0,7.49,-2.82,-0.66,20.74
2017-05-04,22.32,22.76,23.76,22.25,140281,441960896.0,6.65,0.22,0.05,19.75
2017-05-05,22.09,21.07,22.59,20.99,107057,323719824.0,7.03,-7.43,-1.69,15.07
2017-05-08,20.86,19.4,21.23,19.36,97617,273180096.0,8.88,-7.93,-1.67,13.74
2017-05-09,19.32,19.75,20.08,19.16,65237,177081005.0,4.74,1.8,0.35,9.18
2017-05-10,19.75,19.09,20.26,19.01,77479,211572027.0,6.33,-3.34,-0.66,10.91
2017-05-11,18.79,19.94,19.98,18.69,80076,214053477.0,6.76,4.45,0.85,11.27
2017-05-12,19.93,20.58,20.93,19.76,99097,279356128.0,5.87,3.21,0.64,13.95
2017-05-15,20.47,20.24,20.78,20.1,69067,193948826.0,3.3,-1.65,-0.34,9.72
2017-05-16,20.13,21.13,21.24,19.59,102574,290024976.0,8.15,4.4,0.89,14.44
2017-05-17,21.01,21.03,22.24,20.98,105583,312866560.0,5.96,-0.47,-0.1,14.86
2017-05-18,20.47,20.09,20.96,20.03,85214,240193466.0,4.42,-4.47,-0.94,12.0
2017-05-19,20.06,20.1,20.58,19.65,54842,152483558.0,4.63,0.05,0.01,7.72
2017-05-22,20.99,22.23,22.23,20.78,95752,285638640.0,7.21,10.6,2.13,13.48
2017-05-23,22.28,21.89,23.21,21.33,265022,814659360.0,8.46,-1.53,-0.34,37.31
2017-05-24,20.29,21.39,21.82,19.58,191338,539782768.0,10.23,-2.28,-0.5,26.93
2017-05-25,21.13,23.66,23.66,21.11,237546,743631808.0,11.92,10.61,2.27,33.44
2017-05-26,24.93,24.26,25.61,23.69,316634,1059360816.0,8.11,2.54,0.6,44.57
2017-05-31,24.91,22.73,25.97,22.4,250662,837267264.0,14.72,-6.31,-1.53,35.28
