日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.57,3.45,3.57,3.43,18983,28391494.0,3.98,-1.99,-0.07,1.71
2010-01-05,3.46,3.35,3.51,3.28,22841,33327660.0,6.67,-2.9,-0.1,2.06
2010-01-06,3.35,3.37,3.45,3.28,31822,46772620.0,5.07,0.6,0.02,2.87
2010-01-07,3.34,3.3,3.46,3.25,30027,43953376.0,6.23,-2.08,-0.07,2.71
2010-01-08,3.32,3.4,3.41,3.26,16401,23931376.0,4.55,3.03,0.1,1.48
2010-01-11,3.4,3.23,3.42,3.22,22810,32920370.0,5.88,-5.0,-0.17,2.06
2010-01-12,3.23,3.37,3.38,3.21,21462,31145580.0,5.26,4.33,0.14,1.94
2010-01-13,3.24,3.27,3.35,3.21,25408,36431072.0,4.15,-2.97,-0.1,2.29
2010-01-14,3.28,3.38,3.39,3.23,24145,35018108.0,4.89,3.36,0.11,2.18
2010-01-15,3.4,3.45,3.53,3.4,28583,42733672.0,3.85,2.07,0.07,2.58
2010-01-18,3.45,3.7,3.71,3.43,54475,83869704.0,8.12,7.25,0.25,4.92
2010-01-19,3.71,3.55,3.74,3.51,43512,67053336.0,6.22,-4.05,-0.15,3.93
2010-01-20,3.58,3.2,3.61,3.14,51635,75277248.0,13.24,-9.86,-0.35,4.66
2010-01-21,3.23,3.27,3.31,3.15,19117,27233036.0,5.0,2.19,0.07,1.72
2010-01-22,3.18,3.1,3.18,2.98,24318,33654612.0,6.12,-5.2,-0.17,2.19
2010-01-25,3.08,3.03,3.15,3.02,11499,15866348.0,4.19,-2.26,-0.07,1.04
2010-01-26,3.06,2.8,3.09,2.75,26997,35307936.0,11.22,-7.59,-0.23,2.44
2010-01-27,2.84,2.79,2.89,2.71,16474,21384014.0,6.43,-0.36,-0.01,1.49
2010-01-28,2.78,2.79,2.85,2.71,20171,25952906.0,5.02,0.0,0.0,1.82
2010-01-29,2.76,2.72,2.84,2.7,22242,28693094.0,5.02,-2.51,-0.07,2.01
2010-02-01,2.71,2.73,2.81,2.55,20648,25765952.0,9.56,0.37,0.01,1.86
2010-02-02,2.74,2.73,2.83,2.7,18264,23411850.0,4.76,0.0,0.0,1.65
2010-02-03,2.73,3.05,3.15,2.56,40748,54335200.0,21.61,11.72,0.32,3.68
2010-02-04,2.94,2.93,3.06,2.87,21741,29287422.0,6.23,-3.93,-0.12,1.96
2010-02-05,2.78,2.74,2.85,2.68,13915,17881396.0,5.8,-6.48,-0.19,1.26
2010-02-08,2.78,2.76,2.81,2.74,7080,9131336.0,2.55,0.73,0.02,0.64
2010-02-09,2.76,2.76,2.78,2.71,8455,10833668.0,2.54,0.0,0.0,0.76
2010-02-10,2.77,2.82,2.84,2.75,7731,10011573.0,3.26,2.17,0.06,0.7
2010-02-11,2.81,2.86,2.93,2.81,12490,16517503.0,4.26,1.42,0.04,1.13
2010-02-12,2.9,2.89,2.93,2.83,8700,11533537.0,3.5,1.05,0.03,0.79
2010-02-22,2.9,2.81,2.9,2.76,9142,11871953.0,4.84,-2.77,-0.08,0.82
2010-02-23,2.81,2.81,2.84,2.73,9833,12692349.0,3.91,0.0,0.0,0.89
2010-02-24,2.78,2.94,2.98,2.75,13621,18023648.0,8.19,4.63,0.13,1.23
2010-02-25,3.01,3.07,3.11,3.01,25798,35398892.0,3.4,4.42,0.13,2.33
2010-02-26,3.07,3.05,3.1,3.02,18237,24962120.0,2.61,-0.65,-0.02,1.65
2010-03-01,3.06,3.04,3.09,2.98,17205,23512402.0,3.61,-0.33,-0.01,1.55
2010-03-02,3.04,3.11,3.13,3.02,28779,39816564.0,3.62,2.3,0.07,2.6
2010-03-04,3.04,3.06,3.26,3.02,37189,52199364.0,7.72,-1.61,-0.05,3.36
2010-03-05,3.04,2.98,3.08,2.94,17520,23850352.0,4.58,-2.61,-0.08,1.58
2010-03-08,3.03,3.05,3.1,2.99,13582,18618236.0,3.69,2.35,0.07,1.23
2010-03-09,3.06,3.15,3.23,2.95,37236,52059580.0,9.18,3.28,0.1,3.36
2010-03-10,3.16,3.08,3.16,3.05,15482,21474530.0,3.49,-2.22,-0.07,1.4
2010-03-11,3.07,3.05,3.18,2.98,16170,22227498.0,6.49,-0.97,-0.03,1.46
2010-03-12,3.05,2.91,3.07,2.9,13207,17819076.0,5.57,-4.59,-0.14,1.19
2010-03-15,2.91,2.97,2.99,2.88,10998,14695426.0,3.78,2.06,0.06,0.99
2010-03-16,2.92,3.07,3.11,2.86,22186,30057128.0,8.42,3.37,0.1,2.0
2010-03-17,3.07,3.21,3.25,3.02,36038,50512868.0,7.49,4.56,0.14,3.25
2010-03-18,3.24,3.26,3.47,3.21,73872,107765048.0,8.1,1.56,0.05,6.67
2010-03-19,3.25,3.28,3.35,3.25,31215,45051208.0,3.07,0.61,0.02,2.82
2010-03-22,3.29,3.27,3.29,3.18,20314,28978386.0,3.35,-0.3,-0.01,1.83
2010-03-23,3.27,3.11,3.27,3.09,19823,27839432.0,5.5,-4.89,-0.16,1.79
2010-03-24,3.12,3.1,3.16,3.09,14196,19735728.0,2.25,-0.32,-0.01,1.28
2010-03-25,3.08,3.03,3.14,3.03,15214,21011334.0,3.55,-2.26,-0.07,1.37
2010-03-26,3.03,3.1,3.11,2.99,14255,19628746.0,3.96,2.31,0.07,1.29
2010-03-29,3.13,3.16,3.2,3.08,19029,26671568.0,3.87,1.94,0.06,1.72
2010-03-30,3.16,3.23,3.24,3.13,20454,28899446.0,3.48,2.22,0.07,1.85
2010-03-31,3.21,3.35,3.41,3.2,47506,69134704.0,6.5,3.72,0.12,4.29
2010-04-01,3.4,3.37,3.46,3.32,42044,61787624.0,4.18,0.6,0.02,3.79
2010-04-02,3.38,3.37,3.45,3.34,27843,41060588.0,3.26,0.0,0.0,2.51
2010-04-06,3.35,3.22,3.41,3.15,44424,63490756.0,7.72,-4.45,-0.15,4.01
2010-04-07,3.22,3.21,3.24,3.14,23921,33652564.0,3.11,-0.31,-0.01,2.16
2010-04-08,3.16,3.17,3.21,3.15,17371,24500160.0,1.87,-1.25,-0.04,1.57
2010-04-09,3.19,3.18,3.21,3.16,19596,27665776.0,1.58,0.32,0.01,1.77
2010-04-12,3.21,2.97,3.22,2.93,51878,70807224.0,9.12,-6.6,-0.21,4.68
