日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-30,19.49,18.77,19.49,16.08,5148813,11533337088.0,17.77,-2.19,-0.42,27.11
2015-12-31,17.31,16.45,17.93,16.45,2801830,5993870848.0,7.88,-12.36,-2.32,15.86
2016-01-04,15.79,15.22,16.76,14.59,1533408,3074335088.0,13.19,-7.48,-1.23,8.68
2016-01-05,14.94,15.09,15.93,14.17,1624083,3170522608.0,11.56,-0.85,-0.13,9.2
2016-01-06,14.95,15.1,15.19,14.4,1244261,2388081440.0,5.24,0.07,0.01,7.04
2016-01-07,14.85,13.22,14.85,13.16,316123,582790640.0,11.19,-12.45,-1.88,1.79
2016-01-08,13.67,12.62,13.87,11.8,1536063,2654856480.0,15.66,-4.54,-0.6,8.7
2016-01-11,12.06,10.92,12.09,10.92,1518530,2420680224.0,9.27,-13.47,-1.7,8.6
2016-01-12,10.86,11.77,12.39,10.67,1405773,2257678496.0,15.75,7.78,0.85,7.4
2016-01-13,11.69,11.79,12.71,11.37,1160568,1905178304.0,11.38,0.17,0.02,6.11
2016-01-14,11.19,13.08,13.08,11.1,1471695,2472379792.0,16.79,10.94,1.29,7.75
2016-01-15,12.7,12.19,13.01,12.0,970283,1640173408.0,7.72,-6.8,-0.89,5.11
2016-01-18,12.04,12.3,12.65,11.96,757323,1271748128.0,5.66,0.9,0.11,3.99
2016-01-19,12.52,12.77,12.94,12.09,912712,1546888448.0,6.91,3.82,0.47,4.81
2016-01-20,12.59,11.99,12.73,11.79,866212,1442186800.0,7.36,-6.11,-0.78,4.56
2016-01-21,11.72,11.41,12.24,11.39,684784,1109114912.0,7.09,-4.84,-0.58,3.61
2016-01-22,11.7,11.5,11.77,11.17,468611,745103984.0,5.26,0.79,0.09,2.47
2016-01-25,11.68,11.56,11.78,11.42,362215,580164736.0,3.13,0.52,0.06,1.91
2016-01-26,11.39,9.97,11.42,9.96,652801,983302144.0,12.63,-13.75,-1.59,3.44
2016-01-27,10.08,9.81,10.18,8.97,726845,1020051232.0,12.14,-1.6,-0.16,3.83
2016-01-28,9.57,9.39,10.16,9.39,518813,737825712.0,7.85,-4.28,-0.42,2.73
2016-01-29,9.51,10.01,10.15,9.43,557289,797823584.0,7.67,6.6,0.62,2.93
2016-02-01,10.03,9.69,10.04,9.46,349316,496097856.0,5.79,-3.2,-0.32,1.84
2016-02-02,9.79,10.62,11.09,9.73,679400,1009677200.0,14.04,9.6,0.93,3.58
2016-02-03,10.59,10.86,11.21,10.31,720892,1098101712.0,8.47,2.26,0.24,3.8
2016-02-04,10.86,10.87,11.13,10.69,464941,712376528.0,4.05,0.09,0.01,2.45
2016-02-05,10.9,10.54,11.02,10.53,346813,525554736.0,4.51,-3.04,-0.33,1.83
2016-02-15,9.9,10.23,10.44,9.9,358957,524980720.0,5.12,-2.94,-0.31,1.89
2016-02-16,10.33,10.78,11.15,10.3,498783,759761552.0,8.31,5.38,0.55,2.63
2016-02-17,10.74,11.01,11.17,10.69,437895,673142896.0,4.45,2.13,0.23,2.31
2016-02-18,11.09,10.94,11.57,10.9,511054,797581168.0,6.09,-0.64,-0.07,2.69
2016-02-19,10.98,10.66,11.06,10.48,512915,776678864.0,5.3,-2.56,-0.28,2.7
2016-02-22,11.04,10.99,11.2,10.82,678283,1047169488.0,3.56,3.1,0.33,3.57
2016-02-23,11.07,10.93,11.21,10.73,477177,735052624.0,4.37,-0.55,-0.06,2.51
2016-02-24,10.94,10.8,11.03,10.46,435048,658691312.0,5.22,-1.19,-0.13,2.29
2016-02-25,10.79,9.36,10.79,9.28,693791,997869680.0,13.98,-13.33,-1.44,3.65
2016-02-26,9.51,9.59,9.84,9.31,439395,614478624.0,5.66,2.46,0.23,2.31
2016-02-29,9.77,9.52,10.08,9.2,823238,1158327792.0,9.18,-0.73,-0.07,4.33
2016-03-01,9.68,10.58,10.91,9.55,1283504,1906002000.0,14.29,11.13,1.06,6.76
2016-03-02,10.46,12.08,12.08,10.46,1777450,2824947840.0,15.31,14.18,1.5,9.36
2016-03-03,12.29,11.92,12.79,11.74,1733171,2899691984.0,8.69,-1.32,-0.16,9.12
2016-03-04,11.59,12.01,13.44,11.52,1932653,3272376608.0,16.11,0.76,0.09,10.17
2016-03-07,12.28,12.17,12.66,11.77,921842,1529568688.0,7.41,1.33,0.16,4.85
2016-03-08,12.01,11.62,12.01,10.96,861286,1362197680.0,8.63,-4.52,-0.55,4.53
2016-03-09,11.08,11.0,11.33,10.94,524858,815887472.0,3.36,-5.34,-0.62,2.76
2016-03-10,11.06,10.26,11.17,10.14,693165,1038863664.0,9.36,-6.73,-0.74,3.65
2016-03-11,10.0,10.04,10.24,9.79,452399,652242960.0,4.39,-2.14,-0.22,2.38
2016-03-14,10.18,10.5,10.7,10.18,576267,860365328.0,5.18,4.58,0.46,3.03
2016-03-15,10.41,10.26,10.48,10.05,400704,586372224.0,4.1,-2.29,-0.24,2.11
2016-03-16,10.3,10.15,10.53,10.08,325317,476755632.0,4.39,-1.07,-0.11,1.71
2016-03-17,10.31,10.72,10.85,10.14,677222,1011476144.0,7.0,5.62,0.57,3.57
2016-03-18,10.7,11.47,11.8,10.7,1005021,1581221200.0,10.26,7.0,0.75,5.29
2016-03-21,11.65,11.64,11.76,11.3,708917,1132273072.0,4.01,1.48,0.17,3.73
2016-03-22,11.54,11.22,11.54,11.12,551419,867050960.0,3.61,-3.61,-0.42,2.9
2016-03-23,11.13,11.2,11.31,10.89,436554,677719040.0,3.74,-0.18,-0.02,2.3
2016-03-24,10.99,10.95,11.29,10.75,472215,728355856.0,4.82,-2.23,-0.25,2.49
2016-03-25,10.97,11.05,11.18,10.8,327720,504676176.0,3.47,0.91,0.1,1.73
2016-03-28,11.02,10.62,11.07,10.58,518016,789737392.0,4.43,-3.89,-0.43,2.73
2016-03-29,10.72,10.29,10.78,10.26,373210,556640384.0,4.9,-3.11,-0.33,1.96
2016-03-30,10.48,10.74,10.75,10.47,420112,631439872.0,2.72,4.37,0.45,2.21
2016-03-31,10.78,10.64,10.92,10.59,394579,598377344.0,3.07,-0.93,-0.1,2.08
2016-04-01,10.64,10.58,10.67,10.34,327434,487744192.0,3.1,-0.56,-0.06,1.72
2016-04-05,10.59,11.19,11.37,10.59,745723,1155791312.0,7.37,5.77,0.61,3.93
2016-04-06,11.15,11.03,11.15,10.86,524221,807836288.0,2.59,-1.43,-0.16,2.76
2016-04-07,11.04,10.71,11.14,10.7,412807,630249248.0,3.99,-2.9,-0.32,2.17
2016-04-08,10.59,10.42,10.6,10.23,510436,755144960.0,3.45,-2.71,-0.29,2.69
