日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-29,5.2,5.76,5.76,5.2,269,655381.0,14.11,45.09,1.79,0.09
2015-06-30,6.35,6.35,6.35,6.35,159,425418.0,0.0,10.24,0.59,0.05
2015-07-01,6.99,6.99,6.99,6.99,100,293672.0,0.0,10.08,0.64,0.03
2015-07-02,7.7,7.7,7.7,7.7,389,1261169.0,0.0,10.16,0.71,0.13
2015-07-03,8.48,8.48,8.48,7.7,112320,392155440.0,10.13,10.13,0.78,37.44
2015-07-06,9.34,9.34,9.34,9.03,133130,521070912.0,3.66,10.14,0.86,44.38
2015-07-07,8.4,8.4,8.4,8.4,7078,25013652.0,0.0,-10.06,-0.94,2.36
2015-07-08,7.55,7.55,7.55,7.55,1076,3422756.0,0.0,-10.12,-0.85,0.36
2015-07-09,6.78,8.31,8.31,6.78,125744,398055744.0,20.26,10.07,0.76,41.91
2015-07-10,9.01,9.15,9.15,8.73,29250,111145686.0,5.05,10.11,0.84,9.75
2015-07-13,10.04,10.08,10.08,9.69,75767,319665856.0,4.26,10.16,0.93,25.26
2015-07-14,10.38,11.09,11.09,10.09,107197,492396464.0,9.92,10.02,1.01,35.73
2015-07-15,11.2,9.97,11.2,9.97,35802,158431882.0,11.09,-10.1,-1.12,11.93
2015-07-16,8.97,9.66,10.24,8.97,128656,507556816.0,12.74,-3.11,-0.31,42.89
2015-07-17,9.66,10.05,10.48,9.17,94208,390363744.0,13.56,4.04,0.39,31.4
2015-07-20,9.98,9.26,10.07,9.22,92928,374596784.0,8.46,-7.86,-0.79,30.98
2015-07-21,9.0,9.37,9.52,8.61,72061,277710240.0,9.83,1.19,0.11,24.02
2015-07-22,9.28,9.23,9.71,9.04,65396,258964705.0,7.15,-1.49,-0.14,21.8
2015-07-23,9.21,10.16,10.16,9.17,56656,231063988.0,10.73,10.08,0.93,18.89
2015-07-24,10.48,10.12,11.12,9.73,122799,548623648.0,13.68,-0.39,-0.04,40.93
2015-07-27,9.54,9.09,10.55,9.09,93719,392988736.0,14.43,-10.18,-1.03,31.24
2015-07-28,8.57,8.83,9.47,8.18,78427,287816624.0,14.19,-2.86,-0.26,26.14
2015-07-29,9.02,9.72,9.72,8.34,69723,264430082.0,15.63,10.08,0.89,23.24
2015-07-30,9.88,10.2,10.7,9.68,125176,546684576.0,10.49,4.94,0.48,41.73
2015-07-31,9.9,11.23,11.23,9.83,138906,628915168.0,13.73,10.1,1.03,46.3
2015-08-03,11.31,12.36,12.36,11.03,137345,679700896.0,11.84,10.06,1.13,45.78
2015-08-04,12.75,11.12,13.04,11.12,145290,706416208.0,15.53,-10.03,-1.24,48.43
2015-08-05,10.56,11.63,12.16,10.45,112828,539164096.0,15.38,4.59,0.51,37.61
2015-08-06,11.09,10.79,11.6,10.46,80964,370594512.0,9.8,-7.22,-0.84,26.99
2015-08-07,10.59,10.91,11.29,10.57,69254,316258624.0,6.67,1.11,0.12,23.08
2015-08-10,11.01,11.29,11.44,10.74,71968,337861504.0,6.42,3.48,0.38,23.99
2015-08-11,11.22,11.91,12.39,11.15,81762,404150832.0,10.98,5.49,0.62,27.25
2015-08-12,11.72,11.03,11.84,10.92,67928,324435376.0,7.72,-7.39,-0.88,22.64
2015-08-13,10.76,11.14,11.24,10.62,45383,208194274.0,5.62,1.0,0.11,15.13
2015-08-14,11.25,11.08,11.42,10.92,48457,226323812.0,4.49,-0.54,-0.06,16.15
2015-08-17,10.91,10.59,11.06,10.53,38218,171499892.0,4.78,-4.42,-0.49,12.74
2015-08-18,10.48,9.53,11.08,9.52,57580,250751949.0,14.73,-10.01,-1.06,19.19
2015-08-19,9.28,9.8,10.0,8.77,50197,198599658.0,12.91,2.83,0.27,16.73
2015-08-20,9.72,9.08,9.72,9.08,33266,131923284.0,6.53,-7.35,-0.72,11.09
2015-08-21,8.83,8.58,9.16,8.56,32098,119752626.0,6.61,-5.51,-0.5,10.7
2015-08-24,8.21,7.71,8.31,7.71,34863,116137161.0,6.99,-10.14,-0.87,11.62
2015-08-25,7.0,7.35,8.27,6.96,58422,184689140.0,16.99,-4.67,-0.36,19.47
2015-08-26,7.64,8.07,8.1,7.5,70045,232383979.0,8.16,9.8,0.72,23.35
2015-08-27,8.1,8.31,8.48,7.59,69189,235285582.0,11.03,2.97,0.24,23.06
2015-08-28,8.27,8.57,8.78,7.98,66445,231890390.0,9.63,3.13,0.26,22.15
2015-08-31,8.31,7.71,8.43,7.71,37050,125519367.0,8.4,-10.04,-0.86,12.35
2015-09-01,7.47,6.92,7.47,6.92,36891,111347581.0,7.13,-10.25,-0.79,12.3
2015-09-02,6.6,6.73,7.41,6.4,36500,107410818.0,14.6,-2.75,-0.19,12.17
2015-09-07,6.95,6.91,7.23,6.75,28797,85400283.0,7.13,2.67,0.18,9.6
2015-09-08,6.91,7.62,7.62,6.87,43805,135572091.0,10.85,10.27,0.71,14.6
2015-09-09,7.62,7.85,8.02,7.56,51911,171168124.0,6.04,3.02,0.23,17.3
2015-09-10,7.64,7.43,7.78,7.42,31028,99182729.0,4.59,-5.35,-0.42,10.34
2015-09-11,7.4,7.53,7.64,7.35,21060,66793605.0,3.9,1.35,0.1,7.02
2015-09-14,7.53,6.77,7.58,6.77,29134,86891772.0,10.76,-10.09,-0.76,9.71
2015-09-15,6.55,6.63,6.95,6.51,26937,76238239.0,6.5,-2.07,-0.14,8.98
2015-09-16,6.7,7.3,7.3,6.7,37237,109915259.0,9.05,10.11,0.67,12.41
2015-09-17,7.17,7.03,7.52,7.03,44251,135367465.0,6.71,-3.7,-0.27,14.75
