日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.57,9.78,9.99,9.52,163790,196752913.0,4.93,2.52,0.24,2.77
2010-01-05,9.74,9.79,9.87,9.64,90570,109025936.0,2.35,0.1,0.01,1.53
2010-01-06,9.79,9.69,9.95,9.6,118543,143870116.0,3.58,-1.02,-0.1,2.01
2010-01-07,9.65,9.44,9.7,9.39,99749,117004881.0,3.2,-2.58,-0.25,1.69
2010-01-08,9.39,9.94,9.97,9.38,144978,174470070.0,6.25,5.3,0.5,2.45
2010-01-11,10.0,10.34,10.48,9.85,281560,356002875.0,6.34,4.02,0.4,4.76
2010-01-12,10.29,10.39,10.51,10.17,157495,200985273.0,3.29,0.48,0.05,2.67
2010-01-13,10.14,10.62,11.15,10.09,272677,359882941.0,10.2,2.21,0.23,4.61
2010-01-14,10.64,10.83,11.13,10.64,273617,367384081.0,4.61,1.98,0.21,4.63
2010-01-15,10.82,10.56,10.82,10.45,173536,226208645.0,3.42,-2.49,-0.27,2.94
2010-01-18,10.57,10.98,11.06,10.49,197855,263807801.0,5.4,3.98,0.42,3.35
2010-01-19,11.06,10.89,11.07,10.7,136498,182737957.0,3.37,-0.82,-0.09,2.31
2010-01-20,10.89,10.25,10.89,10.2,125508,162647556.0,6.34,-5.88,-0.64,2.12
2010-01-21,10.27,10.45,10.54,10.14,98480,126092545.0,3.9,1.95,0.2,1.67
2010-01-22,10.31,10.55,10.63,10.14,109821,141280140.0,4.69,0.96,0.1,1.86
2010-01-26,10.29,9.7,10.36,9.49,97706,118976893.0,8.25,-8.06,-0.85,1.65
2010-01-27,9.64,9.41,9.65,9.35,65343,76707031.0,3.09,-2.99,-0.29,1.11
2010-01-28,9.42,9.58,9.64,9.4,46639,54932135.0,2.55,1.81,0.17,0.79
2010-01-29,9.55,9.69,10.0,9.48,69976,84389567.0,5.43,1.15,0.11,1.18
2010-02-01,9.59,9.84,9.86,9.49,71665,85854267.0,3.82,1.55,0.15,1.21
2010-02-02,9.89,9.72,9.92,9.69,70223,85013191.0,2.34,-1.22,-0.12,1.19
2010-02-03,9.7,9.65,9.77,9.23,66689,78335562.0,5.56,-0.72,-0.07,1.13
2010-02-04,9.57,9.99,10.14,9.42,115707,141440301.0,7.46,3.52,0.34,1.96
2010-02-05,9.69,9.63,9.92,9.53,82533,98876672.0,3.9,-3.6,-0.36,1.4
2010-02-08,9.61,9.67,9.85,9.54,41628,49929003.0,3.22,0.42,0.04,0.7
2010-02-09,9.65,9.69,9.81,9.57,30153,36096548.0,2.48,0.21,0.02,0.51
2010-02-10,9.79,9.93,9.96,9.74,50528,61466398.0,2.27,2.48,0.24,0.86
2010-02-11,9.94,9.95,10.09,9.85,65409,80513131.0,2.42,0.2,0.02,1.11
2010-02-12,10.06,10.1,10.19,9.96,50763,63000528.0,2.31,1.51,0.15,0.86
2010-02-22,10.12,10.01,10.14,9.95,53160,65832980.0,1.88,-0.89,-0.09,0.9
2010-02-23,9.98,9.99,10.01,9.7,67609,82255043.0,3.1,-0.2,-0.02,1.14
2010-02-24,9.91,10.26,10.29,9.85,131858,164420174.0,4.4,2.7,0.27,2.23
2010-02-25,10.24,10.34,10.38,10.16,98828,125239877.0,2.14,0.78,0.08,1.67
2010-02-26,10.29,10.52,10.6,10.24,121705,157004277.0,3.48,1.74,0.18,2.06
2010-03-01,10.5,10.58,10.6,10.4,86927,112674366.0,1.9,0.57,0.06,1.47
2010-03-02,10.56,10.4,10.7,10.25,99734,127954803.0,4.25,-1.7,-0.18,1.69
2010-03-03,10.4,10.56,10.65,10.28,100296,129367755.0,3.56,1.54,0.16,1.7
2010-03-04,10.56,10.29,10.89,10.24,161745,210958549.0,6.16,-2.56,-0.27,2.74
2010-03-05,10.24,10.29,10.43,10.07,83800,106144376.0,3.5,0.0,0.0,1.42
2010-03-08,10.37,10.84,10.98,10.31,285135,378148553.0,6.51,5.34,0.55,4.83
2010-03-09,10.79,10.78,10.86,10.63,136406,179973842.0,2.12,-0.55,-0.06,2.31
2010-03-10,10.81,10.36,10.84,10.21,137947,178168038.0,5.84,-3.9,-0.42,2.33
2010-03-11,10.37,10.14,10.42,10.07,88167,110708638.0,3.38,-2.12,-0.22,1.49
2010-03-12,10.14,10.09,10.34,10.04,62674,78575356.0,2.96,-0.49,-0.05,1.06
2010-03-15,10.1,9.98,10.11,9.88,47912,58899729.0,2.28,-1.09,-0.11,0.81
2010-03-16,9.98,10.04,10.09,9.88,50720,62319249.0,2.1,0.6,0.06,0.86
2010-03-17,10.1,10.22,10.26,10.02,76392,95792421.0,2.39,1.79,0.18,1.29
2010-03-18,10.31,10.32,10.48,10.19,75383,95966259.0,2.84,0.98,0.1,1.28
2010-03-19,10.36,10.3,10.39,10.14,73468,92570954.0,2.42,-0.19,-0.02,1.24
2010-03-22,10.39,10.63,10.69,10.25,112823,145590483.0,4.27,3.2,0.33,1.91
2010-03-23,10.56,10.69,10.8,10.54,159979,210118600.0,2.45,0.56,0.06,2.71
2010-03-24,10.66,10.61,10.73,10.54,103196,134725345.0,1.78,-0.75,-0.08,1.75
2010-03-25,10.59,10.32,10.59,10.31,65825,84577144.0,2.64,-2.73,-0.29,1.11
2010-03-26,10.29,10.68,10.79,10.28,114120,149203559.0,4.94,3.49,0.36,1.93
2010-03-29,10.73,10.74,10.87,10.6,123942,163858772.0,2.53,0.56,0.06,2.1
2010-03-30,10.74,10.88,10.91,10.66,147663,196694321.0,2.33,1.3,0.14,2.5
2010-03-31,10.88,10.78,10.97,10.72,119064,159140989.0,2.3,-0.92,-0.1,2.01
2010-04-01,10.73,10.99,10.99,10.73,131568,176090758.0,2.41,1.95,0.21,2.23
2010-04-02,11.01,10.99,11.12,10.86,130749,176575238.0,2.37,0.0,0.0,2.21
2010-04-06,11.0,10.81,11.04,10.78,87957,117394359.0,2.37,-1.64,-0.18,1.49
2010-04-07,10.76,10.83,11.04,10.75,123989,166041161.0,2.68,0.19,0.02,2.1
2010-04-08,10.9,11.46,11.88,10.88,352173,496126229.0,9.23,5.82,0.63,5.96
2010-04-09,11.42,11.63,11.86,11.32,227650,324866241.0,4.71,1.48,0.17,3.85
2010-04-12,11.62,12.49,12.54,11.58,275129,409276432.0,8.25,7.39,0.86,4.66
2010-04-13,12.44,12.66,12.73,11.93,237856,360764785.0,6.41,1.36,0.17,4.03
2010-04-14,12.54,12.42,12.54,12.24,97242,147597262.0,2.37,-1.9,-0.24,1.65
2010-04-15,12.52,11.86,12.54,11.83,131882,195803160.0,5.72,-4.51,-0.56,2.23
2010-04-16,11.88,11.86,12.1,11.74,71416,104354799.0,3.04,0.0,0.0,1.21
2010-04-19,11.77,11.49,12.06,11.31,106984,155189216.0,6.32,-3.12,-0.37,1.81
2010-04-20,11.48,12.01,12.02,11.33,97144,139920238.0,6.01,4.53,0.52,1.64
2010-04-21,12.01,12.2,12.34,11.83,128499,191148125.0,4.25,1.58,0.19,2.17
2010-04-22,12.16,12.34,12.54,12.03,129682,196915250.0,4.18,1.15,0.14,2.19
2010-04-23,12.29,11.94,12.4,11.86,110124,163436569.0,4.38,-3.24,-0.4,1.86
2010-04-26,11.88,12.14,12.49,11.86,95504,143854452.0,5.28,1.68,0.2,1.62
2010-04-27,12.14,11.99,12.23,11.64,76641,111726761.0,4.86,-1.24,-0.15,1.3
2010-04-28,11.85,12.36,12.39,11.85,123720,185368852.0,4.5,3.09,0.37,2.09
2010-04-29,12.4,11.75,12.47,11.66,123514,184865517.0,6.55,-4.94,-0.61,2.09
2010-04-30,11.66,10.85,11.66,10.74,117514,158577601.0,7.83,-7.66,-0.9,1.99
2010-05-04,10.87,10.96,11.23,10.82,81305,110344575.0,3.78,1.01,0.11,1.38
