日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-07-29,3.74,4.18,4.57,3.71,80116,347134238.0,32.95,60.15,1.57,89.02
2011-08-01,3.91,4.33,4.59,3.75,58949,263348569.0,20.1,3.59,0.15,65.5
2011-08-02,4.11,4.17,4.47,4.1,44722,205804110.0,8.55,-3.7,-0.16,49.69
2011-08-03,3.96,3.91,4.15,3.85,27393,119293643.0,7.19,-6.24,-0.26,30.44
2011-08-04,3.92,3.99,4.13,3.92,21162,92212882.0,5.37,2.05,0.08,23.51
2011-08-05,3.76,3.71,3.85,3.54,20400,82949619.0,7.77,-7.02,-0.28,22.67
2011-08-08,3.64,3.29,3.65,3.29,19006,71391984.0,9.7,-11.32,-0.42,21.12
2011-08-09,3.02,3.18,3.36,2.92,20038,69676235.0,13.37,-3.34,-0.11,22.26
2011-08-10,3.23,3.18,3.43,3.16,16036,58281766.0,8.49,0.0,0.0,17.82
2011-08-11,3.03,3.27,3.29,3.0,14611,51820146.0,9.12,2.83,0.09,16.23
2011-08-12,3.3,3.24,3.38,3.24,11663,42731363.0,4.28,-0.92,-0.03,12.96
2011-08-15,3.25,3.46,3.48,3.24,20171,75788404.0,7.41,6.79,0.22,22.41
2011-08-16,3.44,3.53,3.54,3.43,17499,67261509.0,3.18,2.02,0.07,19.44
2011-08-17,3.55,3.56,3.63,3.5,14096,55575036.0,3.68,0.85,0.03,15.66
2011-08-18,3.52,3.3,3.54,3.29,15535,58533211.0,7.02,-7.3,-0.26,17.26
2011-08-19,3.17,3.15,3.21,3.09,10185,35764654.0,3.64,-4.55,-0.15,11.32
2011-08-22,3.18,3.4,3.51,3.16,19049,71882193.0,11.11,7.94,0.25,21.17
2011-08-23,3.44,3.68,3.74,3.38,24090,94701072.0,10.59,8.24,0.28,26.77
2011-08-24,3.65,3.57,3.8,3.56,23552,94334224.0,6.52,-2.99,-0.11,26.17
2011-08-25,3.55,3.57,3.64,3.46,14032,54593557.0,5.04,0.0,0.0,15.59
2011-08-26,3.55,3.81,3.84,3.54,22422,91725339.0,8.4,6.72,0.24,24.91
2011-08-29,3.81,3.76,3.83,3.71,13909,57281916.0,3.15,-1.31,-0.05,15.45
2011-08-30,3.76,3.57,3.84,3.57,14205,57598087.0,7.18,-5.05,-0.19,15.78
2011-08-31,3.52,3.67,3.67,3.39,13559,52777836.0,7.84,2.8,0.1,15.07
2011-09-01,3.64,3.55,3.77,3.53,12049,48093060.0,6.54,-3.27,-0.12,13.39
2011-09-02,3.5,3.63,3.67,3.44,12299,48251733.0,6.48,2.25,0.08,13.67
2011-09-05,3.53,3.53,3.64,3.45,10062,39438035.0,5.23,-2.75,-0.1,11.18
2011-09-06,3.47,3.21,3.51,3.21,12159,44716811.0,8.5,-9.07,-0.32,13.51
2011-09-07,3.23,3.33,3.35,3.22,6268,22904227.0,4.05,3.74,0.12,6.96
2011-09-08,3.39,3.13,3.39,3.11,8440,30520532.0,8.41,-6.01,-0.2,9.38
2011-09-09,3.06,3.1,3.18,3.03,5306,18488573.0,4.79,-0.96,-0.03,5.9
2011-09-13,3.08,3.06,3.1,2.94,3644,12332130.0,5.16,-1.29,-0.04,4.05
2011-09-14,3.06,3.23,3.23,3.06,6776,23857270.0,5.56,5.56,0.17,7.53
2011-09-15,3.24,3.2,3.31,3.19,4548,16431504.0,3.72,-0.93,-0.03,5.05
2011-09-16,3.19,3.07,3.25,3.07,4747,16647228.0,5.63,-4.06,-0.13,5.27
2011-09-19,3.09,2.86,3.09,2.86,5305,17629240.0,7.49,-6.84,-0.21,5.89
2011-09-20,2.82,2.86,2.91,2.81,4729,15323103.0,3.5,0.0,0.0,5.25
2011-09-21,2.9,2.96,2.99,2.82,4962,16448637.0,5.94,3.5,0.1,5.51
2011-09-22,2.93,2.78,2.96,2.77,6260,20275787.0,6.42,-6.08,-0.18,6.96
2011-09-23,2.69,2.77,2.8,2.69,2930,9167918.0,3.96,-0.36,-0.01,3.26
2011-09-26,2.75,2.74,2.81,2.72,2083,6549024.0,3.25,-1.08,-0.03,2.31
