日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-20,2.88,3.25,3.25,2.88,50,59020.0,17.13,50.46,1.09,0.02
2016-09-21,3.61,3.61,3.61,3.61,20,26000.0,0.0,11.08,0.36,0.01
2016-09-22,4.0,4.0,4.0,4.0,21,30030.0,0.0,10.8,0.39,0.01
2016-09-23,4.43,4.43,4.43,4.43,32,50336.0,0.0,10.75,0.43,0.01
2016-09-26,4.9,4.9,4.9,4.9,56,96880.0,0.0,10.61,0.47,0.02
2016-09-27,5.43,5.43,5.43,5.43,38,71400.0,0.0,10.82,0.53,0.02
2016-09-28,6.0,6.0,6.0,6.0,80,167188.0,0.0,10.5,0.57,0.04
2016-09-29,6.63,6.63,6.63,6.63,122,281856.0,0.0,10.5,0.63,0.05
2016-09-30,7.32,7.32,7.32,7.32,94,239046.0,0.0,10.41,0.69,0.04
2016-10-10,8.09,8.09,8.09,8.09,158,439528.0,0.0,10.52,0.77,0.07
2016-10-11,8.93,8.93,8.93,8.93,138,422433.0,0.0,10.38,0.84,0.06
2016-10-12,9.85,9.85,9.85,9.85,124,417913.0,0.0,10.3,0.92,0.05
2016-10-13,10.87,10.87,10.87,10.87,151,561536.0,0.0,10.36,1.02,0.07
2016-10-14,11.99,11.99,11.99,11.99,610,2488721.0,0.0,10.3,1.12,0.27
2016-10-17,13.22,13.22,13.22,13.22,195,874770.0,0.0,10.26,1.23,0.09
2016-10-18,14.57,14.57,14.57,14.57,4015,19813630.0,0.0,10.21,1.35,1.78
2016-10-19,16.06,16.06,16.06,16.06,2373,12883559.0,0.0,10.23,1.49,1.05
2016-10-20,17.7,17.7,17.7,17.7,653,3898820.0,0.0,10.21,1.64,0.29
2016-10-21,19.5,19.5,19.5,19.5,1179,7746756.0,0.0,10.17,1.8,0.52
2016-10-24,19.9,19.7,20.5,18.72,134630,892285728.0,9.13,1.03,0.2,59.7
2016-10-25,19.58,20.07,21.62,19.58,101142,699157440.0,10.36,1.88,0.37,44.85
2016-10-26,20.26,20.59,21.07,19.9,77225,532421280.0,5.83,2.59,0.52,34.25
2016-10-27,20.56,22.12,22.6,20.26,80540,576832240.0,11.36,7.43,1.53,35.72
2016-10-28,21.71,21.67,23.07,21.26,70334,518816160.0,8.18,-2.03,-0.45,31.19
2016-10-31,21.62,20.41,21.62,20.35,51012,357236448.0,5.86,-5.81,-1.26,22.62
2016-11-01,20.22,20.63,20.97,20.21,32921,229220761.0,3.72,1.08,0.22,14.6
2016-11-02,20.26,20.84,21.25,20.25,36027,252480621.0,4.85,1.02,0.21,15.98
2016-11-03,20.62,20.17,20.92,20.09,40841,281829664.0,3.98,-3.21,-0.67,18.11
2016-11-04,20.18,20.63,20.91,20.14,31988,220451182.0,3.82,2.28,0.46,14.19
2016-11-07,20.77,21.23,21.81,20.61,44716,319442384.0,5.82,2.91,0.6,19.83
2016-11-08,21.1,21.55,21.97,21.1,36075,260618989.0,4.1,1.51,0.32,16.0
2016-11-09,21.52,21.42,21.84,20.8,37636,269516448.0,4.83,-0.6,-0.13,16.69
2016-11-10,21.62,22.46,22.85,21.5,42676,318767152.0,6.3,4.86,1.04,18.93
2016-11-11,22.64,22.34,23.36,22.01,43877,332633616.0,6.01,-0.53,-0.12,19.46
2016-11-14,22.37,22.06,22.77,21.86,26752,199505206.0,4.07,-1.25,-0.28,11.86
2016-11-15,22.07,21.54,22.22,21.22,20863,151553430.0,4.53,-2.36,-0.52,9.25
2016-11-16,21.7,21.09,21.99,21.07,18992,137129060.0,4.27,-2.09,-0.45,8.42
2016-11-17,21.11,20.94,21.12,20.74,12712,89445212.0,1.8,-0.71,-0.15,5.64
2016-11-18,21.28,21.08,21.68,20.95,17466,125476974.0,3.49,0.67,0.14,7.75
2016-11-21,21.19,21.31,21.58,20.73,16666,118300773.0,4.03,1.09,0.23,7.39
2016-11-22,21.26,22.88,23.47,21.26,63472,483720128.0,10.37,7.37,1.57,28.15
2016-11-23,22.55,21.77,22.61,21.71,43697,325508880.0,3.93,-4.85,-1.11,19.38
2016-11-24,21.71,21.2,21.9,21.09,18858,136281266.0,3.72,-2.62,-0.57,8.36
2016-11-25,20.92,21.71,21.72,20.35,22658,160822671.0,6.46,2.41,0.51,10.05
2016-11-28,21.44,21.13,21.77,21.11,13589,97753950.0,3.04,-2.67,-0.58,6.03
2016-11-29,21.17,20.77,21.56,20.62,12221,86225610.0,4.45,-1.7,-0.36,5.42
2016-11-30,20.35,20.81,20.97,20.35,9589,66978908.0,2.99,0.19,0.04,4.25
2016-12-01,20.88,20.85,21.3,20.77,10835,76522864.0,2.55,0.19,0.04,4.8
2016-12-02,20.89,20.17,20.94,20.07,15304,104953003.0,4.17,-3.26,-0.68,6.79
2016-12-05,19.81,19.75,20.19,19.73,8157,54672004.0,2.28,-2.08,-0.42,3.62
2016-12-06,19.87,19.81,20.04,19.65,6641,44433366.0,1.97,0.3,0.06,2.94
2016-12-07,19.72,19.92,20.11,19.32,11068,73514128.0,3.99,0.56,0.11,4.91
2016-12-08,19.93,19.69,19.97,19.56,7567,50423694.0,2.06,-1.15,-0.23,3.36
2016-12-09,19.64,18.93,19.93,18.93,19542,128719036.0,5.08,-3.86,-0.76,8.67
2016-12-12,18.45,17.01,18.63,17.01,19682,117349109.0,8.56,-10.14,-1.92,8.73
2016-12-13,16.75,16.72,17.05,16.41,12094,68202196.0,3.76,-1.7,-0.29,5.36
2016-12-14,16.73,16.46,16.91,16.43,7164,40198521.0,2.87,-1.56,-0.26,3.18
2016-12-15,16.46,16.67,17.18,16.4,12577,71448608.0,4.74,1.28,0.21,5.58
2016-12-16,16.72,16.82,17.02,16.68,7868,44780180.0,2.04,0.9,0.15,3.49
2016-12-19,16.87,16.82,16.98,16.58,5193,29400778.0,2.38,0.0,0.0,2.3
