日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-07,10.14,11.48,11.78,10.11,156156,1062965651.0,17.96,23.44,2.18,87.63
2011-01-10,11.37,11.44,11.77,11.24,56768,398463990.0,4.62,-0.35,-0.04,31.86
2011-01-11,11.33,10.6,11.39,10.37,40755,272176725.0,8.92,-7.34,-0.84,22.87
2011-01-12,10.56,10.65,10.75,10.2,18347,118019091.0,5.19,0.47,0.05,10.3
2011-01-13,10.66,10.52,11.1,10.5,12367,81565172.0,5.63,-1.22,-0.13,6.94
2011-01-14,10.55,10.71,10.96,10.55,12410,81540378.0,3.9,1.81,0.19,6.96
2011-01-17,10.59,9.62,10.63,9.62,13498,81176041.0,9.43,-10.18,-1.09,7.57
2011-01-18,9.1,9.51,9.72,9.02,17425,101268075.0,7.28,-1.14,-0.11,9.78
2011-01-19,9.51,9.57,9.59,9.28,9495,55133670.0,3.26,0.63,0.06,5.33
2011-01-20,9.4,9.78,9.94,9.36,8036,48171746.0,6.06,2.19,0.21,4.51
2011-01-21,9.77,9.86,9.93,9.55,9071,54121878.0,3.89,0.82,0.08,5.09
2011-01-24,9.81,9.47,9.97,9.34,13971,82930752.0,6.39,-3.96,-0.39,7.84
2011-01-25,9.45,9.15,9.47,8.82,6708,37784874.0,6.86,-3.38,-0.32,3.76
2011-01-26,9.14,9.35,9.4,9.12,3838,21878962.0,3.06,2.19,0.2,2.15
2011-01-27,9.25,9.53,9.59,9.17,1838,10666570.0,4.49,1.93,0.18,1.03
2011-01-28,9.48,9.44,9.62,9.4,2001,11620634.0,2.31,-0.94,-0.09,1.12
2011-01-31,9.34,10.03,10.14,9.34,5535,33625485.0,8.47,6.25,0.59,3.11
2011-02-01,10.14,10.02,10.14,9.81,8350,50736472.0,3.29,-0.1,-0.01,4.69
2011-02-09,9.92,9.88,10.07,9.85,1445,8788733.0,2.2,-1.4,-0.14,0.81
2011-02-10,9.98,10.08,10.12,9.67,10441,63232029.0,4.55,2.02,0.2,5.86
2011-02-11,10.08,10.52,10.67,10.04,10661,67803456.0,6.25,4.37,0.44,5.98
2011-02-14,10.34,10.58,10.69,10.34,4352,28122503.0,3.33,0.57,0.06,2.44
2011-02-15,10.47,10.43,10.69,10.31,4767,30304468.0,3.59,-1.42,-0.15,2.68
2011-02-16,10.45,10.67,10.72,10.3,3701,23930934.0,4.03,2.3,0.24,2.08
2011-02-17,10.64,10.44,10.75,10.34,5053,32349563.0,3.84,-2.16,-0.23,2.84
2011-02-18,10.39,10.51,10.58,10.32,4067,25997764.0,2.49,0.67,0.07,2.28
2011-02-21,10.47,11.22,11.28,10.47,7998,53833229.0,7.71,6.76,0.71,4.49
2011-02-22,11.31,11.44,11.55,11.1,11276,77745742.0,4.01,1.96,0.22,6.33
2011-02-23,11.49,11.55,11.89,11.3,5573,39521652.0,5.16,0.96,0.11,3.13
2011-02-24,11.52,11.55,11.72,11.3,2819,19835895.0,3.64,0.0,0.0,1.58
2011-02-25,11.47,10.95,11.47,10.94,6973,47247794.0,4.59,-5.19,-0.6,3.91
2011-02-28,11.06,10.86,11.11,10.72,4432,29433829.0,3.56,-0.82,-0.09,2.49
2011-03-01,10.93,10.77,11.04,10.7,3339,22023200.0,3.13,-0.83,-0.09,1.87
2011-03-02,10.74,11.07,11.1,10.64,4544,30376629.0,4.27,2.79,0.3,2.55
2011-03-03,11.1,10.97,11.3,10.78,4240,28760265.0,4.7,-0.9,-0.1,2.38
2011-03-04,10.8,11.05,11.08,10.73,7385,49084008.0,3.19,0.73,0.08,4.14
2011-03-07,11.21,11.14,11.25,10.8,3818,25769475.0,4.07,0.81,0.09,2.14
2011-03-08,11.1,10.78,11.1,10.64,6082,40055456.0,4.13,-3.23,-0.36,3.41
2011-03-09,10.72,10.8,10.83,10.62,2115,13887338.0,1.95,0.19,0.02,1.19
2011-03-10,10.8,10.86,11.21,10.8,2951,19879501.0,3.8,0.56,0.06,1.66
2011-03-11,10.86,10.8,10.9,10.69,1396,9200018.0,1.93,-0.55,-0.06,0.78
2011-03-14,10.97,10.97,11.13,10.85,2153,14450341.0,2.59,1.57,0.17,1.21
2011-03-15,10.9,11.14,11.14,10.85,5117,34524170.0,2.64,1.55,0.17,2.87
2011-03-16,11.2,10.76,11.22,10.47,6663,43890049.0,6.73,-3.41,-0.38,3.74
2011-03-17,10.47,10.14,10.59,10.09,3343,21108648.0,4.65,-5.76,-0.62,1.88
2011-03-18,10.34,10.31,10.43,10.14,1571,9913789.0,2.86,1.68,0.17,0.88
2011-03-21,10.38,10.47,10.47,10.24,11915,75608289.0,2.23,1.55,0.16,6.69
2011-03-22,10.43,9.85,10.43,9.72,6621,40154524.0,6.78,-5.92,-0.62,3.72
