日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.6,13.08,13.27,12.6,729330,1261704413.0,5.18,1.08,0.14,13.0
2010-01-05,12.95,13.02,13.52,12.83,566090,989780723.0,5.28,-0.46,-0.06,10.09
2010-01-06,12.97,13.15,13.37,12.87,423998,738988087.0,3.84,1.0,0.13,7.56
2010-01-07,13.02,12.88,13.13,12.68,404573,694846045.0,3.42,-2.05,-0.27,7.21
2010-01-08,12.9,12.73,13.02,12.34,465229,786525477.0,5.28,-1.16,-0.15,8.29
2010-01-11,13.73,12.43,13.73,12.4,771625,1350250044.0,10.45,-2.36,-0.3,13.75
2010-01-12,12.11,12.13,12.31,11.84,383004,620291421.0,3.78,-2.41,-0.3,6.83
2010-01-13,11.91,12.03,12.38,11.87,340983,554398602.0,4.2,-0.82,-0.1,6.08
2010-01-14,12.05,12.14,12.28,11.88,253451,411091397.0,3.33,0.91,0.11,4.52
2010-01-15,12.22,12.23,12.4,12.09,219006,359566672.0,2.55,0.74,0.09,3.9
2010-01-18,12.2,12.27,12.36,11.9,250702,409035552.0,3.76,0.33,0.04,4.47
2010-01-19,12.39,13.1,13.4,12.38,492159,854471370.0,8.31,6.76,0.83,8.77
2010-01-20,12.98,12.23,13.04,12.16,348648,587487948.0,6.72,-6.64,-0.87,6.21
2010-01-21,12.19,12.44,12.71,12.15,203941,340292939.0,4.58,1.72,0.21,3.63
2010-01-22,12.19,12.02,12.28,11.72,214629,345716988.0,4.5,-3.38,-0.42,3.82
2010-01-25,11.92,11.8,12.13,11.74,97576,156777945.0,3.24,-1.83,-0.22,1.74
2010-01-26,11.86,11.16,11.91,10.99,143949,222772646.0,7.8,-5.42,-0.64,2.57
2010-01-27,11.25,10.88,11.31,10.82,105243,158019717.0,4.39,-2.51,-0.28,1.88
2010-01-28,10.9,11.05,11.13,10.74,93535,139191189.0,3.58,1.56,0.17,1.67
2010-01-29,10.94,11.13,11.38,10.9,111306,168522356.0,4.34,0.72,0.08,1.98
2010-02-01,10.97,11.28,11.55,10.61,168574,254214861.0,8.45,1.35,0.15,3.0
2010-02-02,11.19,10.88,11.42,10.85,111817,169551216.0,5.05,-3.55,-0.4,1.99
2010-02-03,10.9,11.45,11.57,10.7,180394,274817204.0,8.0,5.24,0.57,3.21
2010-02-04,11.32,11.4,11.64,11.23,157198,243633684.0,3.58,-0.44,-0.05,2.8
2010-02-05,11.02,11.52,11.56,10.9,171315,259239707.0,5.79,1.05,0.12,3.05
2010-02-08,11.32,11.76,12.03,11.28,183175,288910203.0,6.51,2.08,0.24,3.26
2010-02-09,11.78,11.72,11.98,11.61,120736,191329150.0,3.15,-0.34,-0.04,2.15
2010-02-10,11.86,11.93,12.03,11.71,110219,176137397.0,2.73,1.79,0.21,1.96
2010-02-11,11.97,11.73,12.05,11.68,97226,154548184.0,3.1,-1.68,-0.2,1.73
2010-02-12,11.82,12.1,12.32,11.77,139053,225049957.0,4.69,3.15,0.37,2.48
2010-02-22,12.35,11.77,12.38,11.73,167639,270234650.0,5.37,-2.73,-0.33,2.99
2010-02-23,11.72,11.25,11.72,10.97,161723,245442335.0,6.37,-4.42,-0.52,2.88
2010-02-24,11.07,11.35,11.38,11.01,97917,149453575.0,3.29,0.89,0.1,1.74
2010-02-25,11.38,11.65,11.69,11.32,130626,203382062.0,3.26,2.64,0.3,2.33
2010-02-26,11.55,11.57,11.73,11.55,104285,163392527.0,1.55,-0.69,-0.08,1.86
2010-03-01,11.58,11.96,11.96,11.43,177157,279892608.0,4.58,3.37,0.39,3.16
2010-03-02,11.88,11.8,11.96,11.67,134785,214100292.0,2.42,-1.34,-0.16,2.4
2010-03-03,11.82,12.1,12.14,11.78,182927,294448597.0,3.05,2.54,0.3,3.26
2010-03-04,12.1,11.71,12.15,11.66,189494,304661268.0,4.05,-3.22,-0.39,3.38
2010-03-05,11.89,12.24,12.48,11.73,354463,579432092.0,6.4,4.53,0.53,6.32
2010-03-08,12.25,12.35,12.56,12.03,234246,386771092.0,4.33,0.9,0.11,4.17
2010-03-09,12.3,12.38,12.48,12.16,195498,323615757.0,2.59,0.24,0.03,3.48
2010-03-10,12.42,11.92,12.48,11.81,164387,266641761.0,5.41,-3.72,-0.46,2.93
2010-03-11,11.97,11.85,12.03,11.61,120492,191690262.0,3.52,-0.59,-0.07,2.15
2010-03-12,11.87,11.42,11.94,11.41,115095,180328790.0,4.47,-3.63,-0.43,2.05
2010-03-15,11.27,11.49,11.6,11.26,77009,119094767.0,2.98,0.61,0.07,1.37
2010-03-16,11.55,11.65,11.67,11.41,68537,106672303.0,2.26,1.39,0.16,1.22
2010-03-17,11.68,11.86,11.87,11.57,93830,148226248.0,2.58,1.8,0.21,1.67
2010-03-18,11.86,11.94,12.19,11.82,131434,211943515.0,3.12,0.67,0.08,2.34
2010-03-19,11.94,12.03,12.11,11.83,89861,144731043.0,2.35,0.75,0.09,1.6
2010-03-22,12.07,12.03,12.11,11.9,97524,156982087.0,1.75,0.0,0.0,1.74
2010-03-23,12.03,11.68,12.06,11.65,102553,162823991.0,3.41,-2.91,-0.35,1.83
2010-03-24,11.68,11.93,12.03,11.58,107331,170336647.0,3.85,2.14,0.25,1.91
2010-03-25,11.91,12.13,12.35,11.73,188114,304395296.0,5.2,1.68,0.2,3.35
2010-03-26,11.97,12.44,12.47,11.93,212355,348195000.0,4.45,2.56,0.31,3.78
2010-03-29,12.63,12.38,12.86,12.32,345521,580846910.0,4.34,-0.48,-0.06,6.16
2010-03-30,12.38,12.4,12.53,12.27,149650,248336394.0,2.1,0.16,0.02,2.67
2010-03-31,12.34,12.17,12.45,12.13,143009,235283102.0,2.58,-1.85,-0.23,2.55
2010-04-01,12.17,12.25,12.32,12.06,129644,212008281.0,2.14,0.66,0.08,2.31
2010-04-02,12.25,12.38,12.39,12.14,122674,201822882.0,2.04,1.06,0.13,2.19
2010-04-06,12.36,12.35,12.45,12.24,110202,182314402.0,1.7,-0.24,-0.03,1.96
2010-04-07,12.33,12.11,12.35,12.02,121822,198119923.0,2.67,-1.94,-0.24,2.17
2010-04-08,12.11,12.05,12.23,12.03,86827,141190185.0,1.65,-0.5,-0.06,1.55
2010-04-09,12.05,12.16,12.18,11.97,90158,146465593.0,1.74,0.91,0.11,1.61
2010-04-12,12.16,12.08,12.16,11.73,194142,312143435.0,3.54,-0.66,-0.08,3.46
2010-04-13,12.07,12.56,12.61,11.93,333334,552776302.0,5.63,3.97,0.48,5.94
