日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-03-19,4.98,5.36,5.39,4.98,98875,277558396.0,12.46,62.92,2.07,82.4
2010-03-22,5.2,5.32,5.42,5.18,54828,157688616.0,4.48,-0.75,-0.04,45.69
2010-03-23,5.24,5.21,5.28,5.1,31572,88836651.0,3.38,-2.07,-0.11,26.31
2010-03-24,5.21,5.4,5.5,5.14,45650,132349557.0,6.91,3.65,0.19,38.04
2010-03-25,5.36,5.68,5.89,5.34,46076,139958194.0,10.19,5.19,0.28,38.4
2010-03-26,5.54,5.5,5.59,5.36,25768,76241015.0,4.05,-3.17,-0.18,21.47
2010-03-29,5.52,5.61,5.69,5.41,24573,73734453.0,5.09,2.0,0.11,20.48
2010-03-30,5.61,5.67,5.78,5.57,20987,64518434.0,3.74,1.07,0.06,17.49
2010-03-31,5.64,5.78,5.92,5.64,25068,78951037.0,4.94,1.94,0.11,20.89
2010-04-01,5.92,5.79,6.01,5.78,30474,97530204.0,3.98,0.17,0.01,25.39
2010-04-02,5.69,5.78,5.89,5.69,17801,55457942.0,3.45,-0.17,-0.01,14.83
2010-04-06,5.78,5.88,5.91,5.78,18532,58506204.0,2.25,1.73,0.1,15.44
2010-04-07,6.03,5.97,6.08,5.91,21647,70099935.0,2.89,1.53,0.09,18.04
2010-04-08,6.01,5.79,6.01,5.79,20280,64462062.0,3.69,-3.02,-0.18,16.9
2010-04-09,5.78,5.89,5.89,5.73,12383,39108180.0,2.76,1.73,0.1,10.32
2010-04-12,5.95,5.92,5.99,5.84,14968,47872409.0,2.55,0.51,0.03,12.47
2010-04-13,5.89,5.49,5.89,5.36,17919,54556024.0,8.95,-7.26,-0.43,14.93
2010-04-14,5.49,5.61,5.65,5.49,11026,33214669.0,2.91,2.19,0.12,9.19
2010-04-15,5.61,5.45,5.69,5.3,15095,44880930.0,6.95,-2.85,-0.16,12.58
2010-04-16,5.36,5.45,5.53,5.31,4941,14609311.0,4.04,0.0,0.0,4.12
2010-04-19,5.33,5.27,5.52,5.27,7543,22000604.0,4.59,-3.3,-0.18,6.29
2010-04-20,5.27,5.2,5.32,5.03,7294,20255071.0,5.5,-1.33,-0.07,6.08
2010-04-21,5.2,5.29,5.34,5.17,6850,19571128.0,3.27,1.73,0.09,5.71
2010-04-22,5.28,5.38,5.46,5.24,9205,26758225.0,4.16,1.7,0.09,7.67
2010-04-23,5.36,5.39,5.46,5.29,7376,21533236.0,3.16,0.19,0.01,6.15
2010-04-26,5.41,5.31,5.41,5.31,3996,11595524.0,1.86,-1.48,-0.08,3.33
2010-04-27,5.26,4.96,5.26,4.89,5636,15360434.0,6.97,-6.59,-0.35,4.7
2010-04-28,4.9,4.85,5.0,4.79,3999,10570432.0,4.23,-2.22,-0.11,3.33
2010-04-29,4.85,4.79,4.93,4.79,3561,9409731.0,2.89,-1.24,-0.06,2.97
2010-04-30,4.8,4.59,4.88,4.53,5646,14231491.0,7.31,-4.18,-0.2,4.71
2010-05-04,4.43,4.56,4.62,4.43,2648,6560382.0,4.14,-0.65,-0.03,2.21
2010-05-05,4.44,4.78,4.82,4.43,5255,13340792.0,8.55,4.82,0.22,4.38
2010-05-06,4.78,4.55,4.78,4.54,4006,10146649.0,5.02,-4.81,-0.23,3.34
2010-05-07,4.48,4.51,4.6,4.41,2825,6929364.0,4.18,-0.88,-0.04,2.35
2010-05-10,4.51,4.43,4.58,4.3,4694,11314773.0,6.21,-1.77,-0.08,3.91
2010-05-11,4.49,4.27,4.54,4.26,4975,11919391.0,6.32,-3.61,-0.16,4.15
2010-05-12,4.17,4.11,4.26,4.04,4565,10268617.0,5.15,-3.75,-0.16,3.8
2010-05-13,4.13,4.11,4.17,3.92,4772,10529970.0,6.08,0.0,0.0,3.98
2010-05-14,4.08,4.16,4.17,4.0,3425,7652667.0,4.14,1.22,0.05,2.85
2010-05-17,4.11,3.78,4.11,3.78,2922,6336317.0,7.93,-9.13,-0.38,2.43
2010-05-18,3.75,3.77,3.81,3.62,5137,10369044.0,5.03,-0.26,-0.01,4.28
2010-05-19,3.69,3.81,3.89,3.67,4498,9308582.0,5.84,1.06,0.04,3.75
2010-05-20,3.77,3.73,3.84,3.69,2891,5937841.0,3.94,-2.1,-0.08,2.41
2010-05-21,3.62,3.89,3.9,3.59,4712,9614107.0,8.31,4.29,0.16,3.93
2010-05-24,3.84,4.1,4.11,3.84,7068,15523256.0,6.94,5.4,0.21,5.89
2010-05-25,4.08,4.1,4.15,4.03,4927,10934821.0,2.93,0.0,0.0,4.11
2010-05-26,4.09,4.22,4.26,4.02,6744,15428280.0,5.85,2.93,0.12,5.62
2010-05-27,4.2,4.33,4.35,4.08,9795,22653976.0,6.4,2.61,0.11,8.16
2010-05-28,4.33,4.31,4.36,4.29,6054,14241470.0,1.62,-0.46,-0.02,5.04
2010-05-31,4.3,4.07,4.35,4.06,3608,8353733.0,6.73,-5.57,-0.24,3.01
2010-06-01,4.04,3.86,4.07,3.76,4299,9138056.0,7.62,-5.16,-0.21,3.58
2010-06-02,3.85,3.92,3.92,3.77,2142,4512059.0,3.89,1.55,0.06,1.78
2010-06-04,4.04,4.01,4.04,3.91,5937,12943477.0,3.32,2.3,0.09,4.95
2010-06-07,3.93,4.15,4.19,3.86,6244,13905577.0,8.23,3.49,0.14,5.2
2010-06-08,4.23,4.21,4.24,4.14,5403,12304885.0,2.41,1.45,0.06,4.5
2010-06-09,4.19,4.27,4.38,4.19,6375,14906222.0,4.51,1.43,0.06,5.31
2010-06-10,4.32,4.36,4.38,4.23,5239,12346487.0,3.51,2.11,0.09,4.37
2010-06-11,4.39,4.49,4.54,4.33,7811,18908654.0,4.82,2.98,0.13,6.51
2010-06-17,4.47,4.19,4.51,4.19,7047,16713098.0,7.13,-6.68,-0.3,5.87
2010-06-18,4.21,4.09,4.25,4.0,4296,9618027.0,5.97,-2.39,-0.1,3.58
2010-06-21,3.82,4.25,4.26,3.78,28134,61204042.0,11.74,3.91,0.16,18.76
2010-06-22,4.23,4.14,4.26,4.13,11886,27163485.0,3.06,-2.59,-0.11,7.92
