日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,15.12,15.24,15.47,15.09,12922,53481312.35,2.52,0.99,0.15,6.46
2010-01-05,15.24,15.06,15.27,14.7,13853,56255346.96,3.74,-1.18,-0.18,6.93
2010-01-06,14.92,15.05,15.32,14.91,12472,51160852.83,2.72,-0.07,-0.01,6.24
2010-01-07,14.99,14.67,15.11,14.51,13871,55474400.46,3.99,-2.52,-0.38,6.94
2010-01-08,14.6,14.71,14.76,14.46,9537,37698950.57,2.04,0.27,0.04,4.77
2010-01-12,15.01,16.24,16.24,15.01,23124,99060977.64,8.36,10.4,1.53,11.56
2010-01-13,16.58,16.81,17.24,16.32,64742,292183748.44,5.67,3.51,0.57,32.37
2010-01-14,16.87,17.22,17.75,16.54,42592,197308678.02,7.2,2.44,0.41,21.3
2010-01-15,17.04,17.04,17.7,16.81,24827,114436096.6,5.17,-1.05,-0.18,12.41
2010-01-18,16.83,17.02,17.22,16.79,16129,73642767.35,2.52,-0.12,-0.02,8.06
2010-01-19,17.06,16.46,17.14,16.27,17976,79951947.56,5.11,-3.29,-0.56,8.99
2010-01-20,16.46,14.99,16.56,14.77,29581,125600537.12,10.87,-8.93,-1.47,14.79
2010-01-21,14.82,15.26,15.57,14.82,14381,59426386.33,5.0,1.8,0.27,7.19
2010-01-22,15.0,14.64,15.14,14.18,13806,54980772.36,6.29,-4.06,-0.62,6.9
2010-01-25,14.43,14.45,14.77,14.39,7140,28245061.97,2.6,-1.3,-0.19,3.57
2010-01-26,14.47,14.31,14.72,14.16,9163,35683666.63,3.88,-0.97,-0.14,4.58
2010-01-27,14.7,14.94,15.69,14.66,20741,84976913.7,7.2,4.4,0.63,10.37
2010-01-29,14.91,14.85,15.45,14.39,15767,63718416.55,7.1,-0.6,-0.09,7.88
2010-02-01,14.54,14.02,14.74,13.86,13383,51205699.19,5.93,-5.59,-0.83,6.69
2010-02-02,13.93,13.92,14.43,13.89,8360,32059956.48,3.85,-0.71,-0.1,4.18
2010-02-03,13.94,14.27,14.31,13.54,10192,38636762.98,5.53,2.51,0.35,5.1
2010-02-04,14.22,14.18,14.39,14.03,8951,34561080.99,2.52,-0.63,-0.09,4.48
2010-02-05,13.7,13.71,13.93,13.54,10645,39612077.69,2.75,-3.31,-0.47,5.32
2010-02-08,13.62,13.8,13.93,13.56,5011,18815649.28,2.7,0.66,0.09,2.51
2010-02-09,13.74,13.88,13.89,13.68,3444,12912784.22,1.52,0.58,0.08,1.72
2010-02-10,13.99,14.34,14.34,13.84,7481,28808346.95,3.6,3.31,0.46,3.74
2010-02-11,14.35,14.39,14.58,14.24,7813,30574854.25,2.37,0.35,0.05,3.91
2010-02-12,14.51,14.62,14.7,14.26,7296,28627910.23,3.06,1.6,0.23,3.65
2010-02-22,14.62,14.2,14.62,14.17,6836,26531359.01,3.08,-2.87,-0.42,3.42
2010-02-23,14.2,14.12,14.2,13.81,6130,23236729.77,2.75,-0.56,-0.08,3.06
2010-02-24,14.39,15.59,15.59,14.39,22594,93973250.33,8.5,10.41,1.47,11.3
2010-02-25,16.04,15.66,16.04,15.57,30840,131394318.0,3.01,0.45,0.07,15.42
2010-02-26,15.35,15.31,15.53,15.16,18003,74749684.93,2.36,-2.23,-0.35,9.0
2010-03-01,15.22,15.5,15.72,15.22,16084,67551968.86,3.27,1.24,0.19,8.04
2010-03-02,15.52,15.75,15.86,15.38,14871,62749836.9,3.1,1.61,0.25,7.44
2010-03-03,15.66,16.17,16.54,15.55,54656,237858703.81,6.29,2.67,0.42,21.86
2010-03-04,15.97,15.49,16.38,15.32,30760,132400565.39,6.56,-4.21,-0.68,12.3
