日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.53,7.47,7.61,7.46,10202,13228443.0,1.99,-0.8,-0.06,1.8
2010-01-05,7.47,7.39,7.54,7.29,14168,18026143.0,3.35,-1.07,-0.08,2.51
2010-01-06,7.39,7.37,7.45,7.33,10696,13663899.0,1.62,-0.27,-0.02,1.89
2010-01-08,7.2,7.21,7.27,7.03,12671,15667737.0,3.26,-2.17,-0.16,2.24
2010-01-11,7.23,7.1,7.31,7.02,13130,16143541.0,4.02,-1.53,-0.11,2.32
2010-01-12,7.16,7.41,7.42,7.11,14345,18039894.0,4.37,4.37,0.31,2.54
2010-01-13,7.32,8.0,8.13,7.25,71866,97214059.0,11.88,7.96,0.59,12.71
2010-01-14,7.92,8.01,8.01,7.76,42714,58057751.0,3.13,0.13,0.01,7.55
2010-01-15,7.94,7.88,8.04,7.83,22038,30075648.0,2.62,-1.62,-0.13,3.9
2010-01-18,7.88,7.95,8.01,7.88,19172,26261953.0,1.65,0.89,0.07,3.39
2010-01-19,7.99,8.09,8.15,7.88,29385,40631448.0,3.4,1.76,0.14,5.2
2010-01-20,8.05,7.69,8.19,7.64,24938,33986747.0,6.8,-4.94,-0.4,4.41
2010-01-21,7.65,7.59,7.81,7.58,12271,16319374.0,2.99,-1.3,-0.1,2.17
2010-01-22,7.58,7.4,7.62,7.28,16329,20998189.0,4.48,-2.5,-0.19,2.89
2010-01-25,7.31,7.24,7.41,7.22,7396,9377871.0,2.57,-2.16,-0.16,1.31
2010-01-26,7.23,7.02,7.32,6.93,9111,11133431.0,5.39,-3.04,-0.22,1.61
2010-01-27,7.03,6.91,7.06,6.79,7893,9501969.0,3.85,-1.57,-0.11,1.4
2010-01-28,6.86,6.96,6.99,6.82,5849,7006814.0,2.46,0.72,0.05,1.03
2010-01-29,6.96,6.98,7.08,6.88,9188,11120584.0,2.87,0.29,0.02,1.62
2010-02-01,6.98,6.83,6.99,6.74,7278,8600476.0,3.58,-2.15,-0.15,1.29
2010-02-02,7.08,6.93,7.08,6.88,7334,8833812.0,2.93,1.46,0.1,1.3
2010-02-03,6.82,6.97,6.99,6.35,7670,9021919.0,9.24,0.58,0.04,1.36
2010-02-04,6.95,7.03,7.13,6.85,9258,11262114.0,4.02,0.86,0.06,1.64
2010-02-05,6.93,7.15,7.15,6.9,12844,15658435.0,3.56,1.71,0.12,2.27
2010-02-08,7.12,7.35,7.75,7.12,30895,39917119.0,8.81,2.8,0.2,5.46
2010-02-09,7.21,7.22,7.33,7.15,9426,11727451.0,2.45,-1.77,-0.13,1.67
2010-02-10,7.25,7.29,7.29,7.14,5717,7131359.0,2.08,0.97,0.07,1.01
2010-02-11,7.3,7.26,7.35,7.22,4046,5093170.0,1.78,-0.41,-0.03,0.72
2010-02-12,7.29,7.28,7.36,7.16,4643,5843852.0,2.75,0.28,0.02,0.82
2010-02-22,7.16,7.46,7.58,7.16,11553,14720022.0,5.77,2.47,0.18,2.04
2010-02-23,7.38,7.57,7.67,7.38,15284,19853074.0,3.89,1.47,0.11,2.7
2010-02-24,7.58,7.69,7.99,7.48,22591,29937794.0,6.74,1.59,0.12,4.0
2010-02-25,7.68,7.69,7.73,7.61,21047,27922888.0,1.56,0.0,0.0,3.72
2010-02-26,7.69,7.72,7.75,7.63,14648,19457626.0,1.56,0.39,0.03,2.59
2010-03-01,7.71,7.91,7.93,7.7,18931,25641999.0,2.98,2.46,0.19,3.35
2010-03-02,7.91,7.89,7.93,7.78,14382,19472322.0,1.9,-0.25,-0.02,2.54
2010-03-03,7.85,7.83,7.92,7.71,19267,25958152.0,2.66,-0.76,-0.06,3.41
2010-03-04,7.83,7.42,7.85,7.41,18532,24359710.0,5.62,-5.24,-0.41,3.28
2010-03-05,7.34,7.29,7.42,7.23,19502,24631292.0,2.56,-1.75,-0.13,3.45
2010-03-08,7.29,7.34,7.36,7.22,20260,25498100.0,1.92,0.69,0.05,3.58
2010-03-09,7.33,7.49,7.5,7.29,19553,25048184.0,2.86,2.04,0.15,3.46
