日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.14,6.07,6.14,6.05,38191,33536926.0,1.48,-0.49,-0.03,1.47
2010-01-05,6.14,6.28,6.31,6.1,89427,79810692.0,3.46,3.46,0.21,3.45
2010-01-06,6.28,6.16,6.31,6.13,57140,51219078.0,2.87,-1.91,-0.12,2.21
2010-01-07,6.16,5.96,6.2,5.9,61611,53740916.0,4.87,-3.25,-0.2,2.38
2010-01-08,5.97,5.99,6.0,5.85,46922,40095427.0,2.52,0.5,0.03,1.81
2010-01-11,6.04,6.04,6.12,5.97,39584,34539982.0,2.5,0.83,0.05,1.53
2010-01-12,6.08,6.25,6.29,6.04,70304,62665828.0,4.14,3.48,0.21,2.71
2010-01-13,6.14,6.17,6.28,6.11,58416,52103632.0,2.72,-1.28,-0.08,2.25
2010-01-14,6.2,6.37,6.4,6.2,112445,102486486.0,3.24,3.24,0.2,4.34
2010-01-15,6.37,6.32,6.45,6.27,70586,64326184.0,2.83,-0.78,-0.05,2.72
2010-01-18,6.31,6.42,6.44,6.27,70957,65025102.0,2.69,1.58,0.1,2.74
2010-01-19,6.44,6.56,6.61,6.37,103108,95918996.0,3.74,2.18,0.14,3.98
2010-01-20,6.54,6.21,6.58,6.21,96324,88028867.0,5.64,-5.34,-0.35,3.72
2010-01-21,6.22,6.26,6.29,6.14,44748,40085198.0,2.42,0.81,0.05,1.73
2010-01-22,6.17,6.04,6.17,5.9,62869,54837148.0,4.31,-3.51,-0.22,2.43
2010-01-26,6.37,6.24,6.49,6.09,173169,156455963.0,6.62,3.31,0.2,6.68
2010-01-27,6.18,6.37,6.48,6.12,105720,96478585.0,5.77,2.08,0.13,4.08
2010-01-28,6.39,6.49,6.52,6.3,113673,104878414.0,3.45,1.88,0.12,4.39
2010-01-29,6.47,6.69,6.76,6.4,176474,167736297.0,5.55,3.08,0.2,6.81
2010-02-01,6.61,6.3,6.67,6.22,134920,123601007.0,6.73,-5.83,-0.39,5.21
2010-02-02,6.34,6.07,6.41,6.03,100038,89849907.0,6.03,-3.65,-0.23,3.86
2010-02-03,6.1,6.24,6.24,5.94,69257,60935029.0,4.94,2.8,0.17,2.67
2010-02-04,6.23,6.28,6.37,6.11,73290,66158513.0,4.17,0.64,0.04,2.83
2010-02-05,6.17,6.1,6.17,6.01,64097,56338705.0,2.55,-2.87,-0.18,2.47
