日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-04-22,14.6,15.73,16.91,14.49,357651,1270138729.61,17.27,12.28,1.72,74.51
2011-04-25,15.69,17.26,17.36,15.15,282311,1046261971.94,14.05,9.73,1.53,58.81
2011-04-26,16.5,15.58,16.72,15.48,181848,665011907.82,7.18,-9.73,-1.68,37.89
2011-04-27,15.29,16.32,16.97,15.29,149845,553589584.18,10.78,4.75,0.74,31.22
2011-04-28,16.37,16.42,16.94,15.7,147759,552688237.43,7.6,0.61,0.1,30.78
2011-04-29,16.11,15.44,16.24,15.09,116684,413023197.23,7.0,-5.97,-0.98,24.31
2011-05-03,15.1,14.42,15.32,14.09,101440,335912526.1,7.97,-6.61,-1.02,21.13
2011-05-04,14.24,14.12,14.28,13.77,70574,225787533.26,3.54,-2.08,-0.3,14.7
2011-05-05,13.92,13.92,14.22,13.83,44538,142509734.41,2.76,-1.42,-0.2,9.28
2011-05-06,13.33,12.97,13.44,12.79,85693,255822959.7,4.67,-6.82,-0.95,17.85
2011-05-09,12.97,13.01,13.28,12.88,41971,125799726.15,3.08,0.31,0.04,8.74
2011-05-10,13.1,13.49,13.49,12.99,56775,172343077.63,3.84,3.69,0.48,11.83
2011-05-11,13.42,13.2,13.5,13.04,48924,148047428.93,3.41,-2.15,-0.29,10.19
2011-05-12,12.98,13.36,13.6,12.69,90839,273255671.37,6.89,1.21,0.16,18.92
2011-05-13,13.14,13.16,13.27,12.97,43250,129972491.86,2.25,-1.5,-0.2,9.01
2011-05-16,13.17,12.77,13.19,12.77,36067,106813556.33,3.19,-2.96,-0.39,7.51
2011-05-17,12.7,13.13,13.2,12.3,63765,186383282.87,7.05,2.82,0.36,13.28
2011-05-18,12.92,13.03,13.1,12.76,42025,124400348.5,2.59,-0.76,-0.1,8.76
2011-05-19,13.08,13.0,13.12,12.83,32246,96038407.34,2.23,-0.23,-0.03,6.72
2011-05-20,12.82,12.81,12.87,12.67,27073,79220841.28,1.54,-1.46,-0.19,5.64
2011-05-23,12.77,11.93,12.77,11.74,47152,131762782.57,8.04,-6.87,-0.88,9.82
2011-05-24,11.85,11.5,11.86,11.19,47558,125720880.62,5.62,-3.6,-0.43,9.91
2011-05-25,11.46,11.0,11.59,11.0,31839,82803995.06,5.13,-4.35,-0.5,6.63
2011-05-26,11.09,11.02,11.37,11.0,22306,57432512.01,3.36,0.18,0.02,4.65
2011-05-27,10.98,10.64,11.04,10.59,27024,67047977.85,4.08,-3.45,-0.38,5.63
2011-05-30,10.56,10.56,10.86,10.56,19540,48446413.92,2.82,-0.75,-0.08,4.07
2011-05-31,10.65,10.9,11.01,10.61,21778,54536477.67,3.79,3.22,0.34,4.54
2011-06-01,10.84,11.05,11.14,10.78,24492,62267367.51,3.3,1.38,0.15,5.1
