日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-02-01,11.58,12.76,12.76,11.58,148,476373.0,14.05,51.9,4.36,0.05
2018-02-02,14.19,14.19,14.19,14.19,55,193836.0,0.0,11.21,1.43,0.02
2018-02-05,15.76,15.76,15.76,15.76,163,631778.0,0.0,11.06,1.57,0.05
2018-02-06,17.49,17.49,17.49,17.49,820,3506389.0,0.0,10.98,1.73,0.27
2018-02-07,19.39,19.39,19.39,19.39,3339,15694758.0,0.0,10.86,1.9,1.08
2018-02-08,18.49,17.3,18.49,17.3,131092,565051264.0,6.14,-10.78,-2.09,42.56
2018-02-09,15.55,16.58,17.72,15.54,111387,454397248.0,12.6,-4.16,-0.72,36.16
2018-02-12,17.08,17.38,18.2,16.71,106132,452397728.0,8.99,4.83,0.8,34.46
2018-02-13,16.8,15.49,16.98,15.49,99389,390104368.0,8.57,-10.87,-1.89,32.27
2018-02-14,15.24,14.69,15.69,14.49,62798,233964560.0,7.75,-5.16,-0.8,20.39
2018-02-22,14.77,14.92,15.25,14.51,53571,198290265.0,5.04,1.57,0.23,17.39
2018-02-23,14.8,15.3,15.59,14.71,70280,261904907.0,5.9,2.55,0.38,22.82
2018-02-26,16.0,15.95,16.53,15.68,93148,368704096.0,5.56,4.25,0.65,30.24
2018-02-27,15.83,16.63,17.11,15.38,110010,442672304.0,10.85,4.26,0.68,35.72
2018-02-28,15.9,15.03,16.01,14.94,91850,349519088.0,6.43,-9.62,-1.6,29.82
2018-03-01,14.94,15.48,15.67,14.88,59994,228584543.0,5.26,2.99,0.45,19.48
2018-03-02,15.12,14.93,16.18,14.88,55596,208307340.0,8.4,-3.55,-0.55,18.05
2018-03-05,14.99,16.45,16.49,14.97,83698,325883616.0,10.18,10.18,1.52,27.17
2018-03-06,16.06,16.17,16.79,15.86,86163,344827808.0,5.65,-1.7,-0.28,27.98
2018-03-07,16.05,16.86,17.38,15.92,103645,424966768.0,9.03,4.27,0.69,33.65
2018-03-08,16.58,17.12,17.59,16.5,96583,403840032.0,6.47,1.54,0.26,31.36
2018-03-09,16.94,18.98,18.98,16.85,115502,506376800.0,12.44,10.86,1.86,37.5
2018-03-12,20.06,18.32,20.93,18.04,150346,709303280.0,15.23,-3.48,-0.66,48.81
2018-03-13,18.1,17.49,18.23,17.47,88531,384873168.0,4.15,-4.53,-0.83,28.74
2018-03-14,17.27,17.41,17.82,17.2,63094,270859984.0,3.54,-0.46,-0.08,20.49
2018-03-15,16.92,16.17,16.92,15.58,80049,317615712.0,7.7,-7.12,-1.24,25.99
2018-03-16,16.19,16.23,16.33,16.01,45406,180784057.0,1.98,0.37,0.06,14.74
2018-03-19,16.3,16.59,16.93,16.18,52933,215921282.0,4.62,2.22,0.36,17.19
2018-03-20,16.26,16.82,16.89,15.92,51551,207448530.0,5.85,1.39,0.23,16.74
2018-03-21,16.8,16.24,17.37,16.24,62110,257669887.0,6.72,-3.45,-0.58,20.17
2018-03-22,16.05,16.61,16.84,15.92,44036,178405078.0,5.67,2.28,0.37,14.3
2018-03-23,15.69,14.8,16.16,14.8,59574,225865608.0,8.19,-10.9,-1.81,19.34
2018-03-26,14.21,15.38,15.45,14.09,49137,182165456.0,9.19,3.92,0.58,15.95
2018-03-27,15.39,15.99,16.44,15.39,58605,231031697.0,6.83,3.97,0.61,19.03
2018-03-28,15.62,16.09,16.36,15.41,52987,208245541.0,5.94,0.63,0.1,17.2
2018-03-29,16.16,16.29,16.52,15.72,52225,208163415.0,4.97,1.24,0.2,16.96
2018-03-30,16.38,17.06,17.52,16.38,71987,298625424.0,7.0,4.73,0.77,23.37
2018-04-02,17.16,17.69,18.8,16.8,105610,461011520.0,11.72,3.69,0.63,34.29
2018-04-03,16.94,17.4,17.4,16.8,69721,291826368.0,3.39,-1.64,-0.29,22.64
2018-04-04,17.45,16.89,17.96,16.87,67093,285652608.0,6.26,-2.93,-0.51,21.78
2018-04-09,16.41,18.08,18.49,16.36,84615,360105120.0,12.61,7.05,1.19,27.47
2018-04-10,17.22,16.4,17.42,16.12,99752,408633152.0,7.19,-9.29,-1.68,32.39
2018-04-11,16.43,16.72,16.83,15.96,57528,233188505.0,5.3,1.95,0.32,18.68
2018-04-12,16.72,17.47,18.19,16.58,104369,446516160.0,9.63,4.49,0.75,33.89
2018-04-13,17.47,18.28,18.7,17.29,121886,539991168.0,8.07,4.64,0.81,39.57
2018-04-16,17.69,18.18,18.18,16.91,76276,326145040.0,6.95,-0.55,-0.1,24.76
2018-04-17,18.01,17.27,18.69,17.14,71582,313181552.0,8.53,-5.01,-0.91,23.24
2018-04-18,17.76,19.15,19.15,17.74,98559,450279600.0,8.16,10.89,1.88,32.0
2018-04-19,20.98,18.72,21.22,18.7,152824,750793232.0,13.16,-2.25,-0.43,49.62
2018-04-20,18.36,20.27,20.74,18.36,193755,922687360.0,12.71,8.28,1.55,62.91
