日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-29,7.19,7.87,7.87,7.19,148,605531.0,12.69,46.83,2.51,0.08
2015-06-30,8.69,8.69,8.69,8.69,126,568638.0,0.0,10.42,0.82,0.07
2015-07-01,9.59,9.59,9.59,9.59,44,218416.0,0.0,10.36,0.9,0.02
2015-07-02,10.58,10.58,10.58,10.58,164,895440.0,0.0,10.32,0.99,0.09
2015-07-03,11.68,11.68,11.68,11.68,1799,10807196.0,0.0,10.4,1.1,0.97
2015-07-06,12.88,12.88,12.88,12.88,2383,15745141.0,0.0,10.27,1.2,1.29
2015-07-07,14.2,14.2,14.2,13.37,126861,912424640.0,6.44,10.25,1.32,68.57
2015-07-08,12.75,12.75,14.09,12.75,55968,373437680.0,9.44,-10.21,-1.45,30.25
2015-07-09,13.27,14.06,14.06,13.27,36608,262065178.0,6.2,10.27,1.31,19.79
2015-07-10,15.5,15.5,15.5,15.5,471,3725590.0,0.0,10.24,1.44,0.25
2015-07-13,17.08,17.08,17.08,17.08,166,1447103.0,0.0,10.19,1.58,0.09
2015-07-14,18.82,18.82,18.82,18.82,453,4342473.0,0.0,10.19,1.74,0.25
2015-07-15,20.74,17.45,20.74,17.27,106394,1053712080.0,18.44,-7.28,-1.37,57.51
2015-07-16,15.97,17.53,18.48,15.72,65799,579538048.0,15.82,0.46,0.08,35.57
2015-07-17,18.0,19.32,19.32,17.53,24391,229561885.0,10.21,10.21,1.79,13.18
2015-07-20,19.87,20.09,20.86,19.27,52162,530072128.0,8.23,3.99,0.77,28.2
2015-07-21,19.02,20.94,21.87,19.01,45210,465394480.0,14.24,4.23,0.85,24.44
2015-07-22,20.48,20.87,21.86,19.91,37281,396167056.0,9.31,-0.33,-0.07,20.15
2015-07-23,20.87,22.99,22.99,20.84,25281,285093392.0,10.3,10.16,2.12,13.67
2015-07-24,25.32,25.32,25.32,24.97,41668,534359424.0,1.52,10.13,2.33,22.52
2015-07-27,23.93,23.44,27.22,22.87,64151,823169808.0,17.18,-7.42,-1.88,34.68
2015-07-28,23.11,25.82,25.82,21.97,41358,508912912.0,16.42,10.15,2.38,22.36
2015-07-29,26.99,26.51,27.96,23.21,74441,978620416.0,18.4,2.67,0.69,40.24
2015-07-30,25.46,24.77,27.67,24.77,58805,775538816.0,10.94,-6.56,-1.74,31.79
