日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-03-16,5.86,4.75,5.87,4.75,106692,475313600.0,30.94,31.22,1.13,30.49
2012-03-19,4.75,5.24,5.24,4.75,182460,758355520.0,10.32,10.32,0.49,52.15
2012-03-20,5.27,5.28,5.37,5.13,152693,657764400.0,4.58,0.76,0.04,43.64
2012-03-21,5.25,4.98,5.3,4.74,122732,501092992.0,10.61,-5.68,-0.3,35.08
2012-03-22,4.97,5.28,5.48,4.88,109971,467430512.0,12.05,6.02,0.3,31.43
2012-03-23,5.19,5.39,5.53,5.16,96708,427229120.0,7.01,2.08,0.11,27.64
2012-03-26,5.38,5.38,5.49,5.26,53143,233892831.0,4.27,-0.19,-0.01,15.19
2012-03-27,5.42,5.15,5.43,5.1,65282,278587248.0,6.13,-4.28,-0.23,18.66
2012-03-28,5.06,4.97,5.07,4.85,53001,215306565.0,4.27,-3.5,-0.18,15.15
2012-03-29,4.91,4.59,5.04,4.5,75218,292482768.0,10.87,-7.65,-0.38,21.5
2012-03-30,4.75,4.81,4.94,4.74,57725,228540607.0,4.36,4.79,0.22,16.5
2012-04-05,4.69,4.9,4.92,4.69,46713,184402192.0,4.78,1.87,0.09,13.35
2012-04-06,4.86,5.15,5.24,4.83,51515,214677171.0,8.37,5.1,0.25,14.72
2012-04-09,5.11,5.04,5.17,5.01,31881,132645771.0,3.11,-2.14,-0.11,9.11
2012-04-10,4.98,5.22,5.23,4.85,44289,182284403.0,7.54,3.57,0.18,12.66
2012-04-12,5.22,5.23,5.27,5.1,37736,160658587.0,3.26,0.19,0.01,10.78
2012-04-13,5.19,5.2,5.33,5.11,38350,164108343.0,4.21,-0.57,-0.03,10.96
2012-04-16,5.26,5.22,5.47,5.21,37209,162543641.0,5.0,0.38,0.02,10.63
2012-04-17,5.13,5.34,5.43,5.04,41329,178708662.0,7.47,2.3,0.12,11.81
2012-04-18,5.32,5.41,5.45,5.26,34504,151544027.0,3.56,1.31,0.07,9.86
2012-04-19,5.38,5.55,5.57,5.35,32616,146658932.0,4.07,2.59,0.14,9.32
2012-04-20,5.55,5.48,5.56,5.46,26951,121145999.0,1.8,-1.26,-0.07,7.7
2012-04-23,5.45,5.07,5.48,5.06,43222,185859683.0,7.66,-7.48,-0.41,12.35
2012-04-24,4.99,5.0,5.13,4.75,35174,142955737.0,7.5,-1.38,-0.07,10.05
2012-04-25,4.93,4.99,5.05,4.9,21109,86039505.0,3.0,-0.2,-0.01,6.03
2012-04-26,4.99,4.84,5.05,4.84,25351,102252560.0,4.21,-3.01,-0.15,7.25
2012-04-27,4.8,4.91,4.97,4.76,14243,57167262.0,4.34,1.45,0.07,4.07
2012-05-02,4.97,5.09,5.16,4.94,23188,96266358.0,4.48,3.67,0.18,6.63
2012-05-03,5.04,5.09,5.14,5.02,15052,62617273.0,2.36,0.0,0.0,4.3
2012-05-04,5.07,5.16,5.25,5.05,17264,72680727.0,3.93,1.38,0.07,4.93
2012-05-07,5.12,5.21,5.25,5.0,22088,92535652.0,4.84,0.97,0.05,6.31
2012-05-08,5.2,5.15,5.3,5.12,16290,69260467.0,3.45,-1.15,-0.06,4.66
2012-05-09,5.08,4.96,5.08,4.95,21066,86536705.0,2.52,-3.69,-0.19,6.02
2012-05-10,4.96,5.01,5.04,4.95,10144,41533569.0,1.81,1.01,0.05,2.9
2012-05-11,5.0,4.92,5.01,4.91,10816,44050474.0,2.0,-1.8,-0.09,3.09
2012-05-14,4.96,4.97,5.1,4.93,13069,53704728.0,3.46,1.02,0.05,3.74
2012-05-15,4.92,4.98,5.08,4.89,16734,68500235.0,3.82,0.2,0.01,4.78
2012-05-16,4.98,4.99,5.08,4.95,15673,64517352.0,2.61,0.2,0.01,4.48
2012-05-17,5.02,4.86,5.02,4.75,28741,114881992.0,5.41,-2.61,-0.13,8.21
2012-05-18,4.8,4.76,4.88,4.75,16134,63522404.0,2.67,-2.06,-0.1,4.61
2012-05-21,4.75,4.77,4.82,4.72,10774,42181743.0,2.1,0.21,0.01,3.08
2012-05-22,4.81,4.83,4.87,4.77,10265,40659827.0,2.1,1.26,0.06,2.93
2012-05-23,4.82,4.76,4.84,4.72,12882,50369723.0,2.48,-1.45,-0.07,3.68
2012-05-24,4.76,4.77,4.86,4.75,10918,43017617.0,2.31,0.21,0.01,3.12
2012-05-25,4.77,4.64,4.79,4.62,13065,50240827.0,3.56,-2.73,-0.13,3.73
2012-05-28,4.6,4.73,4.73,4.56,8837,33923339.0,3.66,1.94,0.09,2.53
2012-05-29,4.74,4.89,4.95,4.68,25782,102566070.0,5.71,3.38,0.16,7.37
2012-05-30,4.86,4.88,4.96,4.85,17784,71733107.0,2.25,-0.2,-0.01,5.08
2012-05-31,4.87,4.9,5.0,4.84,18312,74302469.0,3.28,0.41,0.02,5.23
2012-06-01,4.91,4.97,5.06,4.9,16647,68181162.0,3.27,1.43,0.07,4.76
2012-06-04,4.88,4.78,4.91,4.77,12594,50168470.0,2.82,-3.82,-0.19,3.6
2012-06-05,4.81,4.75,4.87,4.74,10247,40289902.0,2.72,-0.63,-0.03,2.93
2012-06-06,4.75,4.76,4.81,4.71,6497,25398041.0,2.11,0.21,0.01,1.86
2012-06-07,4.81,4.92,5.02,4.81,27370,110670132.0,4.41,3.36,0.16,7.82
2012-06-08,4.95,4.96,5.07,4.91,22529,92082802.0,3.25,0.81,0.04,6.44
2012-06-11,4.97,5.09,5.12,4.94,21997,91215221.0,3.63,2.62,0.13,6.29
2012-06-12,5.05,5.2,5.3,5.03,26429,112023489.0,5.3,2.16,0.11,7.55
2012-06-13,5.17,5.41,5.53,5.17,42448,186544984.0,6.92,4.04,0.21,12.13
2012-06-14,5.4,5.31,5.47,5.31,21769,96030688.0,2.96,-1.85,-0.1,6.22
2012-06-15,5.29,5.25,5.37,5.12,22523,96077418.0,4.71,-1.13,-0.06,6.44
2012-06-18,5.29,5.75,5.79,5.19,68929,318598336.0,11.43,9.52,0.5,15.78
2012-06-19,5.68,5.68,5.8,5.63,28354,131647336.0,2.96,-1.22,-0.07,6.49
2012-06-20,5.7,5.72,5.83,5.61,25512,119270839.0,3.87,0.7,0.04,5.84
2012-06-21,5.7,5.62,5.71,5.57,18510,85272554.0,2.45,-1.75,-0.1,4.24
2012-06-25,5.65,5.37,5.65,5.37,27715,123989668.0,4.98,-4.45,-0.25,6.35
2012-06-26,5.33,5.32,5.41,5.24,16701,72709451.0,3.17,-0.93,-0.05,3.82
2012-06-27,5.35,5.41,5.51,5.33,20041,89253291.0,3.38,1.69,0.09,4.59
2012-06-28,5.41,5.41,5.61,5.4,17657,79602469.0,3.88,0.0,0.0,4.04
2012-06-29,5.38,5.53,5.53,5.29,14740,65630789.0,4.44,2.22,0.12,3.37
2012-07-02,5.54,5.87,5.99,5.53,35559,167869038.0,8.32,6.15,0.34,8.14
2012-07-03,5.86,5.85,5.98,5.8,24641,118367363.0,3.07,-0.34,-0.02,5.64
2012-07-04,5.88,5.79,6.11,5.79,26454,128626943.0,5.47,-1.03,-0.06,6.06
2012-07-05,5.75,5.85,5.86,5.71,17483,82637198.0,2.59,1.04,0.06,4.0
2012-07-06,5.88,6.11,6.14,5.81,23588,115352775.0,5.64,4.44,0.26,5.4
2012-07-09,6.06,5.93,6.25,5.91,25511,126963998.0,5.56,-2.95,-0.18,5.84
2012-07-10,5.94,5.8,6.0,5.77,19695,94399859.0,3.88,-2.19,-0.13,4.51
2012-07-11,5.78,5.87,5.87,5.65,22303,104946962.0,3.79,1.21,0.07,5.11
2012-07-12,5.85,5.97,6.1,5.81,23372,113966042.0,4.94,1.7,0.1,5.35
2012-07-13,5.92,5.58,5.99,5.38,41801,194398649.0,10.22,-6.53,-0.39,9.57
2012-07-16,5.56,5.34,5.56,5.23,24481,107725303.0,5.91,-4.3,-0.24,5.6
2012-07-17,5.32,5.41,5.43,5.29,12664,55695489.0,2.62,1.31,0.07,2.9
2012-07-18,5.38,5.31,5.4,5.04,29817,127890564.0,6.65,-1.85,-0.1,6.83
2012-07-19,5.27,5.36,5.46,5.24,15787,69502011.0,4.14,0.94,0.05,3.61
2012-07-20,5.35,5.33,5.37,5.25,11472,49858900.0,2.24,-0.56,-0.03,2.63
2012-07-23,5.29,5.29,5.37,5.13,11418,48653206.0,4.5,-0.75,-0.04,2.61
2012-07-24,5.25,5.34,5.41,5.22,11994,52230732.0,3.59,0.95,0.05,2.75
2012-07-25,5.35,5.4,5.49,5.31,16380,72573770.0,3.37,1.12,0.06,3.75
2012-07-26,5.46,5.44,5.54,5.37,14135,63082635.0,3.15,0.74,0.04,3.24
2012-07-27,5.46,5.54,5.55,5.28,23827,105479185.0,4.96,1.84,0.1,5.45
2012-07-30,5.6,5.06,5.6,5.0,25292,108868928.0,10.83,-8.66,-0.48,5.79
2012-07-31,5.25,5.32,5.45,5.19,27100,117960722.0,5.14,5.14,0.26,6.2
2012-08-01,5.25,5.33,5.44,5.19,17563,76540669.0,4.7,0.19,0.01,4.02
2012-08-02,5.36,5.13,5.36,5.06,26643,113183692.0,5.63,-3.75,-0.2,6.1
2012-08-03,5.15,5.24,5.25,5.07,17435,74186243.0,3.51,2.14,0.11,3.99
2012-08-06,5.24,5.5,5.56,5.19,29949,132681272.0,7.06,4.96,0.26,6.86
2012-08-07,5.51,5.67,5.68,5.42,33777,154055730.0,4.73,3.09,0.17,7.73
2012-08-08,5.68,5.61,5.68,5.56,22089,101372456.0,2.12,-1.06,-0.06,5.06
2012-08-09,5.63,5.72,5.8,5.58,30277,141472014.0,3.92,1.96,0.11,6.93
2012-08-10,5.75,5.71,5.76,5.65,16160,75291738.0,1.92,-0.17,-0.01,3.7
2012-08-13,5.7,5.52,5.71,5.5,19676,89931809.0,3.68,-3.33,-0.19,4.5
