日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-05,21.01,18.64,22.01,18.13,297298,615631011.0,47.84,129.84,10.53,85.55
2019-11-06,17.51,17.11,18.1,16.99,153497,282535593.0,5.95,-8.21,-1.53,44.17
2019-11-07,17.91,19.09,20.21,17.69,226560,448042581.0,14.73,11.57,1.98,65.19
2019-11-08,20.01,19.01,21.45,18.41,224656,472091420.0,15.92,-0.42,-0.08,64.65
2019-11-11,18.51,17.52,18.91,17.11,151100,284522594.0,9.47,-7.84,-1.49,43.48
2019-11-12,18.09,17.44,18.45,17.21,108275,203729347.0,7.08,-0.46,-0.08,31.16
2019-11-13,17.02,17.81,18.2,16.9,104447,194498934.0,7.45,2.12,0.37,30.06
2019-11-14,17.67,17.51,18.16,17.33,92965,173375099.0,4.66,-1.68,-0.3,26.75
2019-11-15,17.33,16.09,17.35,16.09,85533,151942364.0,7.2,-8.11,-1.42,24.61
2019-11-18,16.26,15.76,16.45,15.69,54565,92755386.0,4.72,-2.05,-0.33,15.7
2019-11-19,15.87,16.19,16.31,15.81,45451,77724459.0,3.17,2.73,0.43,13.08
2019-11-20,16.21,16.06,16.33,16.01,45887,78788766.0,1.98,-0.8,-0.13,13.2
2019-11-21,16.11,15.89,16.26,15.74,39107,66355964.0,3.24,-1.06,-0.17,11.25
2019-11-22,15.98,15.43,16.2,15.26,45798,76354981.0,5.92,-2.89,-0.46,13.18
2019-11-25,15.7,15.08,15.7,14.82,33512,54377776.0,5.7,-2.27,-0.35,9.64
2019-11-26,15.16,14.91,15.27,14.72,25659,40991850.0,3.65,-1.13,-0.17,7.38
2019-11-27,15.16,15.06,15.5,15.01,35172,57037214.0,3.29,1.01,0.15,10.12
2019-11-28,14.92,15.24,15.61,14.92,35692,58035249.0,4.58,1.2,0.18,10.27
2019-11-29,15.24,15.35,15.45,15.04,28090,45723559.0,2.69,0.72,0.11,8.08
2019-12-02,15.54,15.12,15.54,15.02,18670,30306481.0,3.39,-1.5,-0.23,5.37
2019-12-03,15.01,14.73,15.13,14.52,33964,53445810.0,4.03,-2.58,-0.39,9.77
2019-12-04,14.67,14.41,14.74,14.38,30006,46547807.0,2.44,-2.17,-0.32,8.63
2019-12-05,14.45,14.48,14.61,14.32,23716,36657737.0,2.01,0.49,0.07,6.82
2019-12-06,14.51,14.12,14.54,14.01,33159,50406737.0,3.66,-2.49,-0.36,9.54
2019-12-09,14.16,14.62,14.67,14.01,34764,53385424.0,4.67,3.54,0.5,10.0
2019-12-10,14.61,15.73,15.83,14.43,87847,143498855.0,9.58,7.59,1.11,25.28
2019-12-11,15.56,15.06,15.72,15.02,50113,81536217.0,4.45,-4.26,-0.67,14.42
2019-12-12,15.26,14.86,15.36,14.84,31552,50753400.0,3.45,-1.33,-0.2,9.08
2019-12-13,15.01,14.76,15.06,14.61,27784,43825451.0,3.03,-0.67,-0.1,8.0
2019-12-16,14.81,14.98,14.98,14.74,24799,39408554.0,1.63,1.49,0.22,7.14
2019-12-17,15.01,15.17,15.24,14.88,30646,49342113.0,2.4,1.27,0.19,8.82
2019-12-18,15.26,15.82,15.82,15.15,57352,95097787.0,4.42,4.28,0.65,16.5
2019-12-19,15.99,15.6,15.99,15.41,35331,58929376.0,3.67,-1.39,-0.22,10.17
2019-12-20,15.63,15.67,15.96,15.43,40459,67742907.0,3.4,0.45,0.07,11.64
2019-12-23,15.69,14.95,15.69,14.69,30684,49846729.0,6.38,-4.59,-0.72,8.83
2019-12-24,14.96,15.21,15.25,14.96,16202,26088677.0,1.94,1.74,0.26,4.66
2019-12-25,15.41,15.47,15.86,15.32,34203,56678387.0,3.55,1.71,0.26,9.84
2019-12-26,15.56,15.9,15.91,15.41,34761,58157688.0,3.23,2.78,0.43,10.0
2019-12-27,15.86,15.41,15.99,15.34,30283,50495260.0,4.09,-3.08,-0.49,8.71
2019-12-30,15.26,15.35,15.54,15.02,19640,32020081.0,3.37,-0.39,-0.06,5.65
2019-12-31,15.35,15.43,15.5,15.23,15387,25237071.0,1.76,0.52,0.08,4.43
