日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-05-11,2.66,2.65,2.78,2.47,158937,548033072.0,12.76,9.05,0.22,59.42
2012-05-14,2.68,2.69,2.84,2.56,138079,483923952.0,10.57,1.51,0.04,51.62
2012-05-15,2.66,2.57,2.73,2.57,67336,234771045.0,5.95,-4.46,-0.12,25.17
2012-05-16,2.66,2.73,2.87,2.62,86583,309030864.0,9.73,6.23,0.16,32.37
2012-05-17,2.73,2.75,2.82,2.67,53114,189830459.0,5.49,0.73,0.02,19.86
2012-05-18,2.67,2.58,2.67,2.55,59041,204067474.0,4.36,-6.18,-0.17,22.07
2012-05-21,2.6,2.42,2.6,2.37,47157,157107908.0,8.91,-6.2,-0.16,17.63
2012-05-22,2.45,2.46,2.5,2.41,23360,77623690.0,3.72,1.65,0.04,8.73
2012-05-23,2.44,2.51,2.52,2.4,28142,93416309.0,4.88,2.03,0.05,10.52
2012-05-24,2.51,2.54,2.68,2.48,42533,146301595.0,7.97,1.2,0.03,15.9
2012-05-25,2.54,2.46,2.58,2.43,25070,84183225.0,5.91,-3.15,-0.08,9.37
2012-05-28,2.49,2.69,2.73,2.49,43739,152495036.0,9.76,9.35,0.23,16.35
2012-05-29,2.65,2.73,2.83,2.63,42723,152780952.0,7.43,1.49,0.04,15.97
2012-05-30,2.71,2.89,2.95,2.7,42488,155474081.0,9.16,5.86,0.16,15.88
2012-05-31,2.87,2.87,2.95,2.85,36923,136678468.0,3.46,-0.69,-0.02,13.8
2012-06-01,2.87,3.02,3.08,2.85,37901,143069212.0,8.01,5.23,0.15,14.17
2012-06-04,2.95,3.03,3.22,2.95,47073,181866694.0,8.94,0.33,0.01,17.6
2012-06-05,3.08,3.06,3.11,2.98,27446,104841930.0,4.29,0.99,0.03,10.26
2012-06-06,3.08,2.99,3.11,2.95,24101,91696673.0,5.23,-2.29,-0.07,9.01
2012-06-07,3.13,3.07,3.27,3.04,38710,151778939.0,7.69,2.68,0.08,14.47
2012-06-08,3.08,2.93,3.11,2.93,35669,135726128.0,5.86,-4.56,-0.14,13.33
2012-06-11,2.92,3.17,3.17,2.88,28551,108850127.0,9.9,8.19,0.24,10.67
2012-06-12,3.12,3.1,3.28,3.1,32636,128948453.0,5.68,-2.21,-0.07,12.2
2012-06-13,3.11,3.27,3.29,3.07,26280,104103807.0,7.1,5.48,0.17,9.82
2012-06-14,3.25,3.11,3.3,3.11,33032,130500850.0,5.81,-4.89,-0.16,12.35
2012-06-15,3.1,3.25,3.26,3.04,28422,111213951.0,7.07,4.5,0.14,10.62
2012-06-18,3.26,3.25,3.29,3.22,19748,79129712.0,2.15,0.0,0.0,7.38
2012-06-19,3.24,3.13,3.24,3.11,21690,85004996.0,4.0,-3.69,-0.12,8.11
2012-06-20,3.14,3.06,3.17,3.04,17617,68122344.0,4.15,-2.24,-0.07,6.59
2012-06-21,3.05,3.09,3.11,3.03,14937,57565534.0,2.61,0.98,0.03,5.58
2012-06-25,3.06,2.86,3.09,2.86,20557,77149828.0,7.44,-7.44,-0.23,7.68
2012-06-26,2.84,2.75,2.84,2.7,20002,71767459.0,4.9,-3.85,-0.11,7.48
2012-06-27,2.75,2.78,2.92,2.73,22580,82238100.0,6.91,1.09,0.03,8.44
2012-06-28,2.78,2.72,2.83,2.72,16908,60703748.0,3.96,-2.16,-0.06,6.32
2012-06-29,2.68,2.83,2.84,2.64,21706,77264644.0,7.35,4.04,0.11,8.11
2012-07-02,2.85,2.86,2.89,2.77,21077,76675946.0,4.24,1.06,0.03,7.88
2012-07-03,2.84,2.88,2.96,2.81,19064,70505113.0,5.24,0.7,0.02,7.13
2012-07-04,2.91,2.94,3.05,2.91,19875,74941177.0,4.86,2.08,0.06,7.43
2012-07-05,2.66,2.51,2.66,2.51,26672,90500269.0,5.1,-14.63,-0.43,9.97
2012-07-06,2.43,2.23,2.43,2.13,50196,158542813.0,11.95,-11.16,-0.28,18.76
2012-07-09,2.2,2.15,2.21,2.13,23909,73377496.0,3.59,-3.59,-0.08,8.94
2012-07-10,2.12,2.07,2.18,2.0,26175,78181431.0,8.37,-3.72,-0.08,9.79
2012-07-11,2.05,2.05,2.06,2.0,13637,40413091.0,2.9,-0.97,-0.02,5.1
2012-07-12,2.05,2.07,2.11,1.98,24345,72224972.0,6.34,0.98,0.02,9.1
2012-07-13,2.06,2.01,2.17,1.99,30377,91122720.0,8.7,-2.9,-0.06,11.36
2012-07-16,1.94,1.67,1.94,1.67,23806,64373129.0,13.43,-16.92,-0.34,8.9
2012-07-17,1.58,1.63,1.66,1.53,18847,48778152.0,7.78,-2.4,-0.04,7.05
2012-07-18,1.61,1.67,1.68,1.56,13605,35225373.0,7.36,2.45,0.04,5.09
2012-07-19,1.66,1.7,1.76,1.64,17871,48000106.0,7.19,1.8,0.03,6.68
2012-07-20,1.68,1.67,1.73,1.66,10169,27141473.0,4.12,-1.76,-0.03,3.8
2012-07-23,1.61,1.7,1.71,1.56,10954,28634983.0,8.98,1.8,0.03,4.09
2012-07-24,1.65,1.72,1.75,1.63,10713,28752658.0,7.06,1.18,0.02,4.0
2012-07-25,1.72,1.7,1.81,1.67,12042,32604791.0,8.14,-1.16,-0.02,4.5
2012-07-26,1.7,1.66,1.74,1.64,9947,26486665.0,5.88,-2.35,-0.04,3.72
2012-07-27,1.68,1.71,1.71,1.65,10386,27624237.0,3.61,3.01,0.05,3.88
2012-07-30,1.72,1.53,1.76,1.53,13619,35687726.0,13.45,-10.53,-0.18,5.09
2012-07-31,1.5,1.38,1.51,1.36,15758,38270640.0,9.8,-9.8,-0.15,5.89
2012-08-01,1.39,1.43,1.47,1.39,8844,21617626.0,5.8,3.62,0.05,3.31
2012-08-02,1.43,1.39,1.45,1.37,7727,18686981.0,5.59,-2.8,-0.04,2.89
2012-08-03,1.41,1.67,1.67,1.39,31857,82803586.0,20.14,20.14,0.28,11.91
2012-08-06,1.61,1.71,1.73,1.6,25286,66992114.0,7.78,2.4,0.04,9.45
2012-08-07,1.68,1.73,1.79,1.67,25882,69989431.0,7.02,1.17,0.02,9.68
2012-08-08,1.71,1.84,1.98,1.7,31045,87150201.0,16.18,6.36,0.11,11.61
2012-08-09,1.82,1.89,1.9,1.81,25623,72080006.0,4.89,2.72,0.05,9.58
2012-08-10,1.89,1.87,1.89,1.78,25315,70593735.0,5.82,-1.06,-0.02,9.46
2012-08-13,1.73,1.55,1.73,1.55,35634,93858619.0,9.63,-17.11,-0.32,13.32
2012-08-14,1.51,1.62,1.63,1.51,20022,51292757.0,7.74,4.52,0.07,7.48
2012-08-15,1.61,1.51,1.61,1.5,17328,44036442.0,6.79,-6.79,-0.11,6.48
2012-08-16,1.5,1.43,1.51,1.41,23065,56768712.0,6.62,-5.3,-0.08,6.92
2012-08-17,1.43,1.5,1.54,1.42,18792,46744683.0,8.39,4.9,0.07,5.63
2012-08-20,1.47,1.49,1.51,1.43,14843,36699436.0,5.33,-0.67,-0.01,4.45
2012-08-21,1.49,1.56,1.59,1.49,21915,55774321.0,6.71,4.7,0.07,6.57
2012-08-22,1.55,1.49,1.57,1.47,24471,61696672.0,6.41,-4.49,-0.07,7.34
