日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-08-03,0.97,0.97,0.97,0.97,10,6660.0,0.0,-91.45,-10.38,0.01
2019-06-10,1.0,1.0,1.0,1.0,10,6800.0,0.0,3.09,0.03,0.01
2019-06-11,1.0,1.0,1.0,1.0,190,129200.0,0.0,0.0,0.0,0.15
2019-06-13,1.0,1.0,1.0,1.0,60,40800.0,0.0,0.0,0.0,0.05
2019-08-19,1.46,1.46,1.46,1.46,20,18200.0,0.0,46.0,0.46,0.02
2019-08-29,1.73,1.73,1.73,1.73,10,10500.0,0.0,18.49,0.27,0.01
2019-09-02,1.73,1.73,1.73,1.73,10,10500.0,0.0,0.0,0.0,0.01
2019-09-04,1.83,1.83,1.83,1.83,10,11000.0,0.0,5.78,0.1,0.01
2019-09-06,1.99,1.99,1.99,1.99,10,11800.0,0.0,8.74,0.16,0.01
2019-09-09,2.13,2.13,2.13,2.13,10,12500.0,0.0,7.04,0.14,0.01
2019-11-04,2.83,2.83,2.83,2.83,20,31800.0,0.0,32.86,0.7,0.02
2019-11-12,1.85,1.85,1.85,1.85,150,165000.0,0.0,-34.63,-0.98,0.12
