日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-02-15,5.09,4.78,5.16,4.68,168176,365815659.0,12.63,25.79,0.98,77.86
2011-02-16,4.84,5.26,5.26,4.83,94822,216634180.0,9.0,10.04,0.48,43.9
2011-02-17,5.41,5.13,5.51,5.11,134968,321294803.0,7.6,-2.47,-0.13,62.49
2011-02-18,4.97,4.98,5.1,4.91,74581,166902705.0,3.7,-2.92,-0.15,34.53
2011-02-21,4.98,5.03,5.11,4.96,47054,105869800.0,3.01,1.0,0.05,21.78
2011-02-22,4.99,4.63,5.01,4.62,60118,128935982.0,7.75,-7.95,-0.4,27.83
2011-02-23,4.59,4.62,4.7,4.57,24343,50470983.0,2.81,-0.22,-0.01,11.27
2011-02-24,4.64,4.65,4.71,4.6,19805,41274826.0,2.38,0.65,0.03,9.17
2011-02-25,4.61,4.6,4.63,4.5,21962,44897351.0,2.8,-1.08,-0.05,10.17
2011-02-28,4.6,4.69,4.71,4.58,21893,45739985.0,2.83,1.96,0.09,10.14
2011-03-01,4.7,4.68,4.74,4.62,20531,42971859.0,2.56,-0.21,-0.01,9.51
2011-03-02,4.64,4.62,4.67,4.55,18562,38274144.0,2.56,-1.28,-0.06,8.59
2011-03-03,4.62,4.52,4.64,4.52,13588,27938353.0,2.6,-2.16,-0.1,6.29
2011-03-04,4.53,4.59,4.59,4.5,9675,19741292.0,1.99,1.55,0.07,4.48
2011-03-07,4.56,4.61,4.62,4.56,11365,23444517.0,1.31,0.44,0.02,5.26
2011-03-08,4.61,4.6,4.61,4.56,11555,23756467.0,1.08,-0.22,-0.01,5.35
2011-03-09,4.61,4.64,4.65,4.57,11672,24111302.0,1.74,0.87,0.04,5.4
2011-03-10,4.61,4.64,4.71,4.61,16548,34558183.0,2.16,0.0,0.0,7.66
2011-03-11,4.63,4.74,4.81,4.61,38524,81919514.0,4.31,2.16,0.1,17.84
2011-03-14,4.71,4.98,4.99,4.71,46150,101185807.0,5.91,5.06,0.24,21.37
2011-03-15,5.0,4.96,5.01,4.8,34557,76368943.0,4.22,-0.4,-0.02,16.0
2011-03-16,4.92,4.91,5.0,4.87,23358,51492905.0,2.62,-1.01,-0.05,10.81
2011-03-17,4.84,4.91,4.96,4.8,15283,33298156.0,3.26,0.0,0.0,7.08
2011-03-18,4.97,4.75,5.01,4.71,23923,51459848.0,6.11,-3.26,-0.16,11.08
2011-03-21,4.73,4.7,4.76,4.66,9830,20702049.0,2.11,-1.05,-0.05,4.55
2011-03-22,4.69,4.62,4.69,4.59,14441,29848473.0,2.13,-1.7,-0.08,6.69
2011-03-23,4.61,4.65,4.65,4.6,9156,19006542.0,1.08,0.65,0.03,4.24
2011-03-24,4.75,4.83,5.03,4.73,49870,108780595.0,6.45,3.87,0.18,23.09
2011-03-25,4.71,4.7,4.75,4.66,29666,62596266.0,1.86,-2.69,-0.13,13.73
2011-03-28,4.74,4.81,4.83,4.69,27914,59639454.0,2.98,2.34,0.11,12.92
2011-03-29,4.79,4.64,4.83,4.59,22600,47389496.0,4.99,-3.53,-0.17,10.46
2011-03-30,4.63,4.63,4.66,4.57,10033,20784660.0,1.94,-0.22,-0.01,4.64
2011-03-31,4.63,4.58,4.68,4.58,8609,17834528.0,2.16,-1.08,-0.05,3.99
2011-04-01,4.62,4.61,4.63,4.53,7698,15831617.0,2.18,0.66,0.03,3.56
2011-04-06,4.6,4.53,4.61,4.49,9786,19923954.0,2.6,-1.74,-0.08,4.53
2011-04-07,4.59,4.63,4.71,4.58,17913,37397611.0,2.87,2.21,0.1,8.29
2011-04-08,4.61,4.65,4.69,4.61,11257,23500165.0,1.73,0.43,0.02,5.21
2011-04-11,4.66,4.66,4.71,4.63,13058,27365965.0,1.72,0.22,0.01,6.05
2011-04-12,4.67,4.61,4.69,4.52,13933,28682817.0,3.65,-1.07,-0.05,6.45
2011-04-13,4.59,4.64,4.65,4.55,7143,14807043.0,2.17,0.65,0.03,3.31
2011-04-14,4.68,4.65,4.69,4.63,9052,18935562.0,1.29,0.22,0.01,4.19
2011-04-15,4.62,4.56,4.64,4.52,7857,16084673.0,2.58,-1.94,-0.09,3.64
2011-04-18,4.52,4.53,4.56,4.5,8155,16529996.0,1.32,-0.66,-0.03,3.78
2011-04-19,4.53,4.39,4.53,4.39,11910,23689002.0,3.09,-3.09,-0.14,5.51
2011-04-20,4.38,4.41,4.44,4.38,5058,10021444.0,1.37,0.46,0.02,2.34
2011-04-21,4.43,4.43,4.45,4.39,7303,14489611.0,1.36,0.45,0.02,3.38
2011-04-22,4.45,4.27,4.47,4.25,12863,25005215.0,4.97,-3.61,-0.16,5.96
2011-04-25,4.24,4.07,4.25,4.07,9245,17196929.0,4.22,-4.68,-0.2,4.28
2011-04-26,4.07,4.04,4.1,4.0,4414,8015288.0,2.46,-0.74,-0.03,2.04
2011-04-27,4.07,3.94,4.07,3.91,6585,11798288.0,3.96,-2.48,-0.1,3.05
2011-04-28,3.96,3.85,3.97,3.84,4893,8610171.0,3.3,-2.28,-0.09,2.27
2011-04-29,3.85,3.89,3.9,3.84,3238,5649505.0,1.56,1.04,0.04,1.5
2011-05-03,3.87,3.91,3.93,3.87,2865,5037867.0,1.54,0.51,0.02,1.33
2011-05-04,3.89,3.79,3.89,3.79,3203,5539744.0,2.56,-3.07,-0.12,1.48
2011-05-05,3.78,3.86,3.86,3.76,3864,6648449.0,2.64,1.85,0.07,1.79
2011-05-06,3.8,3.84,3.88,3.79,1868,3227834.0,2.33,-0.52,-0.02,0.86
2011-05-09,3.83,3.86,3.91,3.83,2737,4774674.0,2.08,0.52,0.02,1.27
