日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-08,6.03,6.65,6.65,6.03,35,112150.0,14.09,51.14,2.25,0.02
2016-09-09,7.38,7.38,7.38,7.38,10,35670.0,0.0,10.98,0.73,0.01
2016-09-12,8.19,8.19,8.19,8.19,15,58860.0,0.0,10.98,0.81,0.01
2016-09-13,9.07,9.07,9.07,9.07,11,47648.0,0.0,10.74,0.88,0.01
2016-09-14,10.05,10.05,10.05,10.05,15,71220.0,0.0,10.8,0.98,0.01
2016-09-19,11.13,11.13,11.13,11.13,20,104460.0,0.0,10.75,1.08,0.01
2016-09-20,12.31,12.31,12.31,12.31,15,86175.0,0.0,10.6,1.18,0.01
2016-09-21,13.61,13.61,13.61,13.61,87,549840.0,0.0,10.56,1.3,0.06
2016-09-22,15.04,15.04,15.04,15.04,70,486640.0,0.0,10.51,1.43,0.05
2016-09-23,16.61,16.61,16.61,16.61,105,802935.0,0.0,10.44,1.57,0.07
2016-09-26,18.34,18.34,18.34,18.34,359,3016795.0,0.0,10.42,1.73,0.24
2016-09-27,20.24,20.24,20.24,20.24,976,9028707.0,0.0,10.36,1.9,0.65
2016-09-28,22.34,22.34,22.34,22.34,4082,41547003.0,0.0,10.38,2.1,2.72
2016-09-29,24.16,23.97,24.63,22.75,94918,1022494176.0,8.42,7.3,1.63,63.28
2016-09-30,23.3,24.76,25.7,23.3,64772,721118000.0,10.01,3.3,0.79,43.18
2016-10-10,24.96,27.31,27.31,24.88,46628,551928624.0,9.81,10.3,2.55,31.09
2016-10-11,28.15,28.71,29.55,27.59,61701,796029168.0,7.18,5.13,1.4,41.13
2016-10-12,28.18,28.34,28.88,27.66,46033,590074992.0,4.25,-1.29,-0.37,30.69
2016-10-13,28.27,28.61,29.82,28.22,47412,621207744.0,5.65,0.95,0.27,31.61
2016-10-14,28.04,29.42,29.53,27.62,42213,549451328.0,6.68,2.83,0.81,28.14
2016-10-17,29.28,28.86,30.08,28.53,33125,436507008.0,5.27,-1.9,-0.56,22.08
2016-10-18,28.68,29.85,29.9,28.18,42397,554464800.0,5.96,3.43,0.99,28.26
2016-10-19,29.7,30.06,30.97,29.65,47231,645039680.0,4.42,0.7,0.21,31.49
2016-10-20,30.07,29.08,30.42,28.84,35308,471265824.0,5.26,-3.26,-0.98,23.54
2016-10-21,28.95,28.74,29.4,28.34,31990,417633856.0,3.65,-1.17,-0.34,21.33
2016-10-24,28.47,28.6,28.92,27.86,23700,304572224.0,3.69,-0.49,-0.14,15.8
2016-10-25,28.62,29.26,30.33,28.61,32134,428697008.0,6.01,2.31,0.66,21.42
2016-10-26,29.17,29.48,29.84,28.4,25001,328675312.0,4.92,0.75,0.22,16.67
2016-10-27,29.2,31.01,31.24,29.2,35436,483135328.0,6.92,5.19,1.53,23.62
2016-10-28,30.45,29.37,30.97,29.3,34942,478219520.0,5.39,-5.29,-1.64,23.29
2016-10-31,28.84,29.15,29.56,28.49,20614,270350576.0,3.64,-0.75,-0.22,13.74
2016-11-01,29.31,30.19,30.44,29.3,24951,337529536.0,3.91,3.57,1.04,16.63
2016-11-02,30.28,30.19,30.95,30.0,26490,364004496.0,3.15,0.0,0.0,17.66
2016-11-03,29.85,29.24,30.63,29.06,34179,462930976.0,5.2,-3.15,-0.95,22.79
2016-11-04,28.87,29.48,29.74,28.84,20515,272140896.0,3.08,0.82,0.24,13.68
2016-11-07,29.37,29.14,29.85,29.06,13764,183104558.0,2.68,-1.15,-0.34,9.18
2016-11-08,29.29,29.11,29.38,28.82,11070,145511942.0,1.92,-0.1,-0.03,7.38
2016-11-09,29.11,29.7,30.26,28.92,27049,362373232.0,4.6,2.03,0.59,18.03
2016-11-10,30.08,32.53,32.72,29.66,38233,537909648.0,10.3,9.53,2.83,25.49
2016-11-11,32.0,31.95,32.63,31.35,27206,392813824.0,3.93,-1.78,-0.58,18.14
2016-11-14,31.64,32.79,33.31,31.59,25459,376300176.0,5.38,2.63,0.84,16.97
2016-11-15,32.41,31.4,32.68,31.05,22040,314239296.0,4.97,-4.24,-1.39,14.69
2016-11-16,31.55,30.53,31.57,30.53,13980,195422409.0,3.31,-2.77,-0.87,9.32
2016-11-17,30.14,29.63,30.89,29.6,15585,213101295.0,4.23,-2.95,-0.9,10.39
2016-11-18,30.03,30.41,31.19,29.96,19032,263688891.0,4.15,2.63,0.78,12.69
2016-11-21,30.42,31.32,31.39,29.93,21638,301036128.0,4.8,2.99,0.91,14.43
2016-11-22,32.23,33.13,34.52,32.23,46118,700776160.0,7.31,5.78,1.81,30.75
2016-11-23,32.79,34.24,35.25,32.46,38154,583118352.0,8.42,3.35,1.11,25.44
2016-11-24,33.79,33.29,34.24,32.95,22806,344261200.0,3.77,-2.77,-0.95,15.2
2016-11-25,33.02,36.34,36.69,32.34,35014,547838816.0,13.07,9.16,3.05,23.34
2016-11-28,35.62,34.84,37.06,34.8,28659,461855840.0,6.22,-4.13,-1.5,19.11
2016-11-29,35.06,34.57,36.07,34.43,22076,351160016.0,4.71,-0.77,-0.27,14.72
2016-11-30,34.38,35.32,36.11,34.04,21740,345407184.0,5.99,2.17,0.75,14.49
2016-12-01,35.11,34.38,35.39,34.1,21776,340764304.0,3.65,-2.66,-0.94,14.52
2016-12-02,34.61,32.79,34.89,32.36,20667,312059056.0,7.36,-4.62,-1.59,13.78
2016-12-05,32.11,32.45,33.23,31.55,17293,252577881.0,5.12,-1.04,-0.34,11.53
2016-12-06,32.34,32.19,32.86,31.91,9991,146095448.0,2.93,-0.8,-0.26,6.66
2016-12-07,32.11,32.29,32.34,30.98,17301,247503134.0,4.22,0.31,0.1,11.53
2016-12-08,32.11,30.68,32.29,30.56,15522,220245991.0,5.36,-4.99,-1.61,10.35
2016-12-09,30.26,29.29,30.48,29.29,16032,216929229.0,3.88,-4.53,-1.39,10.69
2016-12-12,29.32,26.29,29.32,26.29,24664,305912496.0,10.34,-10.24,-3.0,16.44
2016-12-13,25.55,26.0,26.55,25.1,16103,189255820.0,5.52,-1.1,-0.29,10.74
2016-12-14,25.85,25.44,26.14,25.3,12132,141441391.0,3.23,-2.15,-0.56,8.09
2016-12-15,25.41,26.46,27.25,25.3,19737,237209376.0,7.67,4.01,1.02,13.16
2016-12-16,26.53,26.55,26.61,26.14,10684,127804825.0,1.78,0.34,0.09,7.12
2016-12-19,26.44,25.85,26.44,25.55,8085,95369816.0,3.35,-2.64,-0.7,5.39
2016-12-20,25.78,26.13,26.42,25.78,8551,101438858.0,2.48,1.08,0.28,5.7
2016-12-21,26.08,26.25,26.41,25.55,11019,130131470.0,3.29,0.46,0.12,7.35
2016-12-22,26.06,26.45,26.58,25.81,9225,109818834.0,2.93,0.76,0.2,6.15
2016-12-23,26.45,24.85,26.45,24.8,14535,168596384.0,6.24,-6.05,-1.6,9.69
2016-12-26,24.56,24.94,25.08,23.82,8989,99916063.0,5.07,0.36,0.09,5.99
2016-12-27,24.87,24.96,25.37,24.68,6915,78555860.0,2.77,0.08,0.02,4.61
2016-12-28,25.98,26.05,27.52,25.57,29468,354561984.0,7.81,4.37,1.09,19.65
2016-12-29,26.01,25.32,26.01,25.24,11513,133462010.0,2.96,-2.8,-0.73,7.68
2016-12-30,25.13,24.7,25.51,24.6,9728,110694752.0,3.59,-2.45,-0.62,6.49
2017-01-03,24.87,25.2,25.28,24.72,7543,85869615.0,2.27,2.02,0.5,5.03
2017-01-04,25.17,25.57,25.74,25.1,10290,119112692.0,2.54,1.47,0.37,6.86
2017-01-05,25.68,24.72,25.87,24.65,10530,121010832.0,4.77,-3.32,-0.85,7.02
