日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.57,5.47,5.63,5.46,26668,18796588.0,3.07,-1.26,-0.07,0.38
2010-01-05,5.48,5.38,5.51,5.22,38049,26146020.0,5.3,-1.65,-0.09,0.55
2010-01-06,5.33,5.42,5.56,5.33,33059,23129302.0,4.28,0.74,0.04,0.47
2010-01-07,5.4,5.25,5.46,5.21,30475,20933676.0,4.61,-3.14,-0.17,0.44
2010-01-08,5.25,5.28,5.29,5.13,21703,14655608.0,3.05,0.57,0.03,0.31
2010-01-11,5.34,5.23,5.41,5.2,20795,14147315.0,3.98,-0.95,-0.05,0.3
2010-01-12,5.23,5.38,5.39,5.13,30854,21031654.0,4.97,2.87,0.15,0.44
2010-01-13,5.28,5.23,5.33,5.19,24646,16727239.0,2.6,-2.79,-0.15,0.35
2010-01-14,5.23,5.56,5.66,5.2,54843,37881188.0,8.8,6.31,0.33,0.79
2010-01-15,5.55,5.64,5.72,5.49,105479,75492856.0,4.14,1.44,0.08,1.51
2010-01-18,5.56,5.57,5.61,5.4,47846,33702120.0,3.72,-1.24,-0.07,0.69
2010-01-19,5.52,5.62,5.7,5.49,64791,46137160.0,3.77,0.9,0.05,0.93
2010-01-20,5.62,5.25,5.67,5.21,66214,45811764.0,8.19,-6.58,-0.37,0.95
2010-01-21,5.23,5.23,5.29,5.14,33136,22324060.0,2.86,-0.38,-0.02,0.48
2010-01-22,5.16,5.03,5.16,4.94,33145,21732522.0,4.21,-3.82,-0.2,0.48
2010-01-25,4.97,4.95,5.04,4.94,23734,15445942.0,1.99,-1.59,-0.08,0.34
2010-01-26,4.92,4.67,5.0,4.62,23269,14676177.0,7.68,-5.66,-0.28,0.33
2010-01-27,4.66,4.65,4.76,4.55,17262,10673279.0,4.5,-0.43,-0.02,0.25
2010-01-28,4.65,4.64,4.66,4.53,17988,11048020.0,2.8,-0.22,-0.01,0.26
2010-01-29,4.61,4.57,4.69,4.54,16711,10271107.0,3.23,-1.51,-0.07,0.24
2010-02-01,4.57,4.47,4.64,4.27,32938,19664402.0,8.1,-2.19,-0.1,0.47
2010-02-02,4.47,4.43,4.56,4.42,19373,11680201.0,3.13,-0.89,-0.04,0.28
2010-02-03,4.51,4.63,4.65,4.32,30246,18225616.0,7.45,4.51,0.2,0.43
2010-02-04,4.57,4.6,4.65,4.52,26234,16065784.0,2.81,-0.65,-0.03,0.38
2010-02-05,4.47,4.49,4.53,4.39,19949,11940484.0,3.04,-2.39,-0.11,0.29
2010-02-08,4.47,4.55,4.58,4.47,14374,8727583.0,2.45,1.34,0.06,0.21
2010-02-09,4.54,4.62,4.64,4.47,18821,11492716.0,3.74,1.54,0.07,0.27
2010-02-10,4.63,4.72,4.74,4.63,21570,13430780.0,2.38,2.16,0.1,0.31
2010-02-11,4.67,4.74,4.83,4.67,22146,13921444.0,3.39,0.42,0.02,0.32
2010-02-12,4.77,4.76,4.8,4.68,16200,10127077.0,2.53,0.42,0.02,0.23
2010-02-22,4.75,4.68,4.76,4.67,14201,8847596.0,1.89,-1.68,-0.08,0.2
2010-02-23,4.68,4.59,4.68,4.45,17083,10388989.0,4.91,-1.92,-0.09,0.24
2010-02-24,4.58,4.74,4.74,4.49,26660,16461916.0,5.45,3.27,0.15,0.38
