日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-05-05,5.43,5.97,5.97,5.43,41,53274.0,13.57,50.0,1.99,0.03
2017-05-08,6.62,6.62,6.62,6.62,6,8592.0,0.0,10.89,0.65,0.0
2017-05-09,7.33,7.33,7.33,7.33,16,25200.0,0.0,10.73,0.71,0.01
2017-05-10,8.12,8.12,8.12,8.12,21,36393.0,0.0,10.78,0.79,0.01
2017-05-11,8.99,8.99,8.99,8.99,53,101018.0,0.0,10.71,0.87,0.03
2017-05-12,9.94,9.94,9.94,9.94,60,125820.0,0.0,10.57,0.95,0.04
2017-05-15,10.99,10.99,10.99,10.99,49,113043.0,0.0,10.56,1.05,0.03
2017-05-16,12.15,12.15,12.15,12.15,68,172584.0,0.0,10.56,1.16,0.04
2017-05-17,13.42,13.42,13.42,13.42,162,452304.0,0.0,10.45,1.27,0.1
2017-05-18,14.81,14.81,14.81,14.81,377,1157767.0,0.0,10.36,1.39,0.24
2017-05-19,16.35,16.35,16.35,16.35,739,2494923.0,0.0,10.4,1.54,0.46
2017-05-22,18.04,18.04,18.04,18.04,1245,4626420.0,0.0,10.34,1.69,0.78
2017-05-23,19.9,19.9,19.9,19.9,4745,19396905.0,0.0,10.31,1.86,2.97
2017-05-24,21.86,21.94,21.94,20.55,55731,249419435.0,6.98,10.25,2.04,34.83
2017-05-25,24.19,24.19,24.19,24.19,39611,195955617.0,0.0,10.26,2.25,24.76
2017-05-26,26.67,26.67,26.67,26.67,3576,19460592.0,0.0,10.25,2.48,2.24
2017-05-31,29.39,27.46,29.39,26.46,57948,337015856.0,10.99,2.96,0.79,36.22
2017-06-01,26.45,30.26,30.26,25.91,137217,784997440.0,15.84,10.2,2.8,85.76
2017-06-02,27.18,27.18,28.57,27.18,107185,600446992.0,4.59,-10.18,-3.08,66.99
2017-06-05,27.6,26.47,29.46,26.47,98259,564953824.0,11.0,-2.61,-0.71,61.41
2017-06-06,24.46,27.39,27.71,24.46,89178,473528032.0,12.28,3.48,0.92,55.74
2017-06-07,27.14,30.18,30.18,26.95,82904,483095744.0,11.79,10.19,2.79,51.81
2017-06-08,31.02,30.46,32.9,28.98,114484,710365456.0,12.99,0.93,0.28,71.55
2017-06-09,29.11,29.16,30.61,28.78,75715,454405584.0,6.01,-4.27,-1.3,47.32
2017-06-12,28.01,27.69,30.21,26.96,69097,408534816.0,11.15,-5.04,-1.47,43.19
2017-06-13,28.29,28.53,29.46,27.56,56275,324947568.0,6.86,3.03,0.84,35.17
2017-06-14,28.36,28.74,29.75,27.71,63555,374302912.0,7.15,0.74,0.21,39.72
2017-06-15,28.21,29.68,30.26,27.98,71330,423794416.0,7.93,3.27,0.94,44.58
2017-06-16,29.25,28.86,30.95,28.61,69448,420206160.0,7.88,-2.76,-0.82,43.4
2017-06-19,28.01,26.96,28.35,26.81,57569,322319680.0,5.34,-6.58,-1.9,35.98
2017-06-20,27.23,26.94,27.96,26.81,43058,240354990.0,4.27,-0.07,-0.02,26.91
2017-06-21,26.96,26.0,27.25,25.86,42049,225407843.0,5.16,-3.49,-0.94,26.28
2017-06-22,26.01,24.92,26.19,24.74,42420,219628204.0,5.58,-4.15,-1.08,26.51
2017-06-23,24.94,24.58,25.2,23.76,35092,175595834.0,5.78,-1.36,-0.34,21.93
2017-06-26,24.37,24.83,25.19,24.3,29042,147225314.0,3.62,1.02,0.25,18.15
2017-06-27,24.79,24.85,25.6,24.66,30127,154640702.0,3.79,0.08,0.02,18.83
2017-06-28,24.33,23.36,24.33,23.21,36723,177472042.0,4.51,-6.0,-1.49,22.95
2017-06-29,23.16,23.48,24.17,23.12,27286,131992520.0,4.49,0.51,0.12,17.05
2017-06-30,22.86,23.2,23.79,22.86,24499,117110817.0,3.96,-1.19,-0.28,15.31
2017-07-03,23.51,23.56,23.79,23.21,21616,104168068.0,2.5,1.55,0.36,13.51
2017-07-04,23.96,24.81,25.7,23.96,45717,230817461.0,7.39,5.31,1.25,28.57
2017-07-05,24.81,24.86,24.96,24.06,35844,179737109.0,3.63,0.2,0.05,22.4
2017-07-06,24.61,24.22,25.11,24.01,29507,147507403.0,4.42,-2.57,-0.64,18.44
2017-07-07,24.16,24.5,25.46,24.06,37305,189344612.0,5.78,1.16,0.28,23.32
2017-07-10,23.84,22.95,23.84,22.88,34253,163255358.0,3.92,-6.33,-1.55,21.41
2017-07-11,23.0,21.49,23.1,21.27,30012,135930534.0,7.97,-6.36,-1.46,18.76
2017-07-12,21.65,22.12,22.26,20.99,26320,116665466.0,5.91,2.93,0.63,16.45
2017-07-13,21.72,21.12,21.92,21.06,20451,89439928.0,3.89,-4.52,-1.0,12.78
2017-07-14,23.28,23.28,23.28,23.28,9335,44367638.0,0.0,10.23,2.16,5.83
2017-07-17,25.66,25.66,25.66,25.66,52892,276517696.0,0.0,10.22,2.38,33.06
