日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-10,10.0,10.93,10.93,10.0,20,41850.0,12.4,45.73,3.43,0.01
2015-06-11,12.06,12.06,12.06,12.06,15,35265.0,0.0,10.34,1.13,0.01
2015-06-12,13.3,13.3,13.3,13.3,15,38790.0,0.0,10.28,1.24,0.01
2015-06-15,14.66,14.66,14.66,14.66,10,28450.0,0.0,10.23,1.36,0.01
2015-06-16,16.16,16.16,16.16,16.16,17,53210.0,0.0,10.23,1.5,0.01
2015-06-17,17.81,17.81,17.81,17.81,50,172150.0,0.0,10.21,1.65,0.03
2015-06-18,19.62,19.62,19.62,19.62,84,318108.0,0.0,10.16,1.81,0.05
2015-06-19,21.61,21.61,21.61,21.61,549,2288050.0,0.0,10.14,1.99,0.33
2015-06-23,23.81,23.81,23.81,23.81,166,760778.0,0.0,10.18,2.2,0.1
2015-06-24,26.22,26.22,26.22,26.22,78,393198.0,0.0,10.12,2.41,0.05
2015-06-25,28.87,28.87,28.87,28.87,128,709760.0,0.0,10.11,2.65,0.08
2015-06-26,31.79,31.79,31.79,28.04,93914,559720288.0,12.99,10.11,2.92,56.34
2015-06-29,28.58,28.58,29.95,28.58,15134,83911951.0,4.31,-10.1,-3.21,9.08
2015-06-30,25.69,25.69,28.58,25.69,61457,310783952.0,10.11,-10.11,-2.89,36.87
2015-07-01,24.95,26.44,28.29,24.37,73825,383744320.0,15.26,2.92,0.75,44.29
2015-07-02,23.76,23.76,25.09,23.76,43276,200053913.0,5.03,-10.14,-2.68,25.96
2015-07-03,21.53,21.36,23.37,21.36,32326,135612155.0,8.46,-10.1,-2.4,19.39
2015-07-06,23.53,19.19,23.53,19.19,45876,186148956.0,20.32,-10.16,-2.17,27.52
2015-07-07,17.84,17.24,18.1,17.24,17195,58038984.0,4.48,-10.16,-1.95,10.32
2015-07-08,15.49,15.49,16.0,15.49,42911,129819460.0,2.96,-10.15,-1.75,25.74
2015-07-09,15.44,17.06,17.06,15.44,17157,54918572.0,10.46,10.14,1.57,10.29
2015-07-10,18.8,18.8,18.8,18.8,4977,18078207.0,0.0,10.2,1.74,2.99
2015-07-13,20.71,20.71,20.71,20.71,2049,8186234.0,0.0,10.16,1.91,1.23
2015-07-14,22.82,22.82,22.82,22.1,16561,72534708.0,3.48,10.19,2.11,9.93
2015-07-15,21.79,20.51,22.79,20.51,37864,155052281.0,9.99,-10.12,-2.31,22.71
2015-07-16,18.43,20.49,21.61,18.42,35600,138990551.0,15.55,-0.1,-0.02,21.36
2015-07-17,20.34,21.85,22.24,20.34,30159,124350982.0,9.27,6.64,1.36,18.09
2015-07-20,21.37,21.21,22.25,20.74,26708,110499794.0,6.91,-2.93,-0.64,16.02
2015-07-21,21.08,22.5,22.84,20.59,28444,120221669.0,10.61,6.08,1.29,17.06
2015-07-22,22.47,22.84,23.31,21.54,32362,140244764.0,7.87,1.51,0.34,19.41
2015-07-23,22.94,25.16,25.16,22.55,32640,150621756.0,11.43,10.16,2.32,19.58
2015-07-24,26.0,25.16,27.58,24.74,48200,243187384.0,11.29,0.0,0.0,28.91
2015-07-27,24.19,22.61,26.32,22.61,30678,146906597.0,14.75,-10.14,-2.55,18.4
2015-07-28,20.9,22.37,23.1,20.32,35872,148862582.0,12.3,-1.06,-0.24,21.52
2015-07-29,22.32,24.64,24.64,21.26,33881,150291694.0,15.11,10.15,2.27,20.32
2015-07-30,24.42,23.95,26.63,23.41,43242,210565611.0,13.07,-2.8,-0.69,25.94
2015-07-31,23.37,25.49,26.16,22.84,38740,185253853.0,13.86,6.43,1.54,23.24
2015-08-03,24.9,27.51,27.51,23.74,46137,228694606.0,14.79,7.92,2.02,27.68
