日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-06-19,8.81,10.82,10.82,8.81,42,126162.0,28.15,51.54,3.68,0.04
2017-06-20,12.02,12.02,12.02,12.02,3,9939.0,0.0,11.09,1.2,0.0
2017-06-21,13.34,13.34,13.34,13.34,18,65592.0,0.0,10.98,1.32,0.02
2017-06-22,14.8,14.8,14.8,14.8,53,212424.0,0.0,10.94,1.46,0.05
2017-06-23,16.4,16.4,16.4,16.4,130,573170.0,0.0,10.81,1.6,0.12
2017-06-26,18.17,18.17,18.17,18.17,144,698400.0,0.0,10.79,1.77,0.14
2017-06-27,20.11,20.11,20.11,20.11,272,1451120.0,0.0,10.68,1.94,0.26
2017-06-28,22.24,22.24,22.24,22.24,992,5821343.0,0.0,10.59,2.13,0.94
2017-06-29,24.59,24.59,24.59,24.59,9629,62164049.0,0.0,10.57,2.35,9.1
2017-06-30,25.17,25.15,26.77,24.6,67342,448409520.0,8.82,2.28,0.56,63.65
2017-07-03,25.22,25.31,25.89,24.59,38581,255017494.0,5.17,0.64,0.16,36.47
2017-07-04,24.96,26.01,26.34,24.96,39329,265280326.0,5.45,2.77,0.7,37.17
2017-07-05,25.79,26.41,27.07,25.46,38852,268021624.0,6.19,1.54,0.4,36.72
2017-07-06,26.21,25.84,26.44,25.21,32473,220011033.0,4.66,-2.16,-0.57,30.69
2017-07-07,26.04,26.76,28.37,26.04,39909,282702032.0,9.02,3.56,0.92,37.72
2017-07-10,26.25,25.18,26.53,25.16,30348,204583153.0,5.12,-5.9,-1.58,28.68
2017-07-11,25.34,25.53,26.12,25.27,18412,123694126.0,3.38,1.39,0.35,17.4
2017-07-12,25.59,27.17,27.74,25.05,32835,226226736.0,10.54,6.42,1.64,31.03
2017-07-13,27.13,26.95,28.35,26.77,31808,228440210.0,5.82,-0.81,-0.22,30.06
2017-07-14,26.99,29.17,29.68,26.97,38781,286901136.0,10.06,8.24,2.22,36.65
2017-07-17,28.37,26.13,28.61,26.13,33910,238544061.0,8.5,-10.42,-3.04,32.05
2017-07-18,25.17,27.45,27.81,25.08,27804,193638339.0,10.45,5.05,1.32,26.28
2017-07-19,27.07,26.65,27.69,26.37,23477,165493130.0,4.81,-2.91,-0.8,22.19
2017-07-20,26.69,24.73,27.57,24.57,37238,252581432.0,11.26,-7.2,-1.92,35.2
2017-07-21,23.8,22.92,24.11,22.82,23202,143859814.0,5.22,-7.32,-1.81,21.93
2017-07-24,22.69,23.2,23.65,21.98,19511,117095347.0,7.29,1.22,0.28,18.44
2017-07-25,23.2,23.22,23.84,22.93,13280,81684509.0,3.92,0.09,0.02,12.55
2017-07-26,23.25,23.97,24.29,23.09,17591,110471899.0,5.17,3.23,0.75,16.63
2017-07-27,23.86,25.64,25.89,23.49,26678,173315083.0,10.01,6.97,1.67,25.22
2017-07-28,25.29,26.33,26.53,25.25,22217,151347003.0,4.99,2.69,0.69,21.0
2017-07-31,26.57,25.94,27.5,25.45,23869,166371241.0,7.79,-1.48,-0.39,22.56
2017-08-01,25.17,24.84,25.52,24.37,22961,150095358.0,4.43,-4.24,-1.1,21.7
2017-08-02,24.79,24.23,25.55,24.23,15685,102456549.0,5.31,-2.46,-0.61,14.83
2017-08-03,23.95,24.19,24.92,23.77,13419,86105575.0,4.75,-0.17,-0.04,12.68
2017-08-04,24.07,23.94,24.67,23.85,10635,67788841.0,3.39,-1.03,-0.25,10.05
2017-08-07,24.08,24.36,24.71,24.01,8787,56275469.0,2.92,1.75,0.42,8.3
2017-08-08,24.37,23.68,24.38,23.17,14932,92744496.0,4.97,-2.79,-0.68,14.11
2017-08-09,23.58,23.34,23.71,23.17,7834,48362613.0,2.28,-1.44,-0.34,7.4
2017-08-10,23.37,22.9,23.57,22.68,8510,51752984.0,3.81,-1.89,-0.44,8.04
2017-08-11,22.81,22.98,23.35,22.72,6799,41173050.0,2.75,0.35,0.08,6.43
2017-08-14,23.05,23.57,23.62,22.81,7337,45070341.0,3.52,2.57,0.59,6.93
2017-08-15,23.57,23.92,23.92,23.41,8963,55877243.0,2.16,1.48,0.35,8.47
2017-08-16,23.85,24.36,24.76,23.73,12435,79863802.0,4.31,1.84,0.44,11.75
2017-08-17,24.36,24.32,24.62,24.16,8613,55128605.0,1.89,-0.16,-0.04,8.14
2017-08-18,24.13,23.58,24.13,23.41,8613,53762300.0,2.96,-3.04,-0.74,8.14
2017-08-21,24.77,25.17,25.76,24.05,17204,113059386.0,7.25,6.74,1.59,16.26
2017-08-22,25.18,25.32,26.29,25.05,18195,122422214.0,4.93,0.6,0.15,17.2
2017-08-23,25.06,26.17,26.54,24.69,20306,136146128.0,7.31,3.36,0.85,19.19
2017-08-24,26.05,25.01,27.01,25.0,21991,149661237.0,7.68,-4.43,-1.16,20.79
2017-08-25,25.08,26.26,26.44,24.77,16390,110075599.0,6.68,5.0,1.25,15.49
2017-08-28,26.44,27.33,27.94,26.13,20512,145426444.0,6.89,4.07,1.07,19.39
2017-08-29,27.02,28.97,30.18,26.98,36424,272605392.0,11.71,6.0,1.64,34.43
2017-08-30,28.17,27.64,28.92,27.03,24461,178224781.0,6.52,-4.59,-1.33,23.12
2017-08-31,27.61,28.4,29.14,27.55,19967,148528429.0,5.75,2.75,0.76,18.87
2017-09-01,28.4,27.72,28.64,27.41,16059,116656474.0,4.33,-2.39,-0.68,15.18
2017-09-04,27.58,26.65,27.82,26.57,15055,106943958.0,4.51,-3.86,-1.07,14.23
2017-09-05,26.6,27.67,27.96,26.57,13584,97163165.0,5.22,3.83,1.02,12.84
2017-09-06,27.37,27.92,28.45,27.25,12990,94720634.0,4.34,0.9,0.25,12.28
2017-09-07,28.16,28.02,28.96,27.88,15166,112223015.0,3.87,0.36,0.1,14.33
2017-09-08,27.69,27.21,27.85,26.78,14436,102915773.0,3.82,-2.89,-0.81,13.64
2017-09-11,27.37,29.65,29.96,27.2,18653,139868366.0,10.14,8.97,2.44,17.63
2017-09-12,29.41,28.68,30.69,28.64,18770,144739563.0,6.91,-3.27,-0.97,17.74
