日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-03-19,9.54,11.54,11.54,9.54,320,537000.0,25.38,46.45,3.66,0.15
2015-03-20,12.74,12.74,12.74,12.74,66,122031.0,0.0,10.4,1.2,0.03
2015-03-23,14.07,14.07,14.07,14.07,134,272288.0,0.0,10.44,1.33,0.06
2015-03-24,15.52,15.52,15.52,15.52,470,1050450.0,0.0,10.31,1.45,0.21
2015-03-25,17.12,17.12,17.12,17.12,654,1608186.0,0.0,10.31,1.6,0.3
2015-03-26,18.87,18.87,18.87,18.87,2442,6605610.0,0.0,10.22,1.75,1.11
2015-03-27,19.91,19.6,20.09,18.84,134471,375392368.0,6.62,3.87,0.73,61.12
2015-03-30,19.85,20.32,21.19,19.57,106278,309901152.0,8.27,3.67,0.72,48.31
2015-03-31,19.55,20.09,20.25,19.41,65865,186027155.0,4.13,-1.13,-0.23,29.94
2015-04-01,19.91,20.47,20.96,19.91,61183,179842540.0,5.23,1.89,0.38,27.81
2015-04-02,20.27,22.56,22.56,20.13,58591,180466981.0,11.87,10.21,2.09,26.63
2015-04-03,22.56,23.21,23.77,21.69,96684,315124768.0,9.22,2.88,0.65,43.95
2015-04-07,22.41,22.94,23.04,22.2,56409,182581435.0,3.62,-1.16,-0.27,25.64
2015-04-08,22.77,23.22,23.29,21.69,54702,176056624.0,6.97,1.22,0.28,24.86
2015-04-09,22.87,22.52,23.27,21.82,36134,116170025.0,6.24,-3.01,-0.7,16.42
2015-04-10,22.4,23.23,23.59,22.19,51507,169908793.0,6.22,3.15,0.71,23.41
2015-04-13,23.18,23.4,23.94,22.56,49433,164473055.0,5.94,0.73,0.17,22.47
2015-04-14,23.26,24.59,24.69,22.91,52348,176510691.0,7.61,5.09,1.19,23.79
2015-04-15,24.19,22.71,24.19,22.69,34815,116034136.0,6.1,-7.65,-1.88,15.82
2015-04-16,22.66,22.49,23.12,22.02,19835,63858430.0,4.84,-0.97,-0.22,9.02
2015-04-17,22.69,22.23,22.98,22.19,26983,86606525.0,3.51,-1.16,-0.26,12.27
2015-04-20,22.25,21.24,22.25,21.22,26447,81937495.0,4.63,-4.45,-0.99,12.02
2015-04-21,21.24,21.92,22.04,21.19,19305,60001898.0,4.0,3.2,0.68,8.77
2015-04-22,21.93,22.32,22.53,21.93,25352,80672690.0,2.74,1.82,0.4,11.52
2015-04-23,22.34,22.22,22.36,21.99,22263,70480925.0,1.66,-0.45,-0.1,10.12
2015-04-24,21.87,22.79,22.89,21.72,36916,118530757.0,5.27,2.57,0.57,16.78
2015-04-27,22.85,22.97,23.27,22.57,36905,120692265.0,3.07,0.79,0.18,16.77
2015-04-28,22.9,22.12,22.94,21.92,26080,83393238.0,4.44,-3.7,-0.85,11.85
2015-04-29,21.91,22.84,22.89,21.77,20545,66042290.0,5.06,3.25,0.72,9.34
2015-04-30,22.76,23.89,25.17,22.69,89903,313020112.0,10.86,4.6,1.05,40.87
2015-05-04,23.92,26.33,26.33,23.17,77867,278728672.0,13.23,10.21,2.44,35.39
2015-05-05,27.4,27.93,28.94,25.67,79742,308500288.0,12.42,6.08,1.6,36.25
