日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.97,7.97,8.1,7.96,79001,63991475.0,1.76,0.13,0.01,2.28
2010-01-05,7.99,7.89,7.99,7.65,65892,51931541.0,4.27,-1.0,-0.08,1.9
2010-01-06,7.79,7.96,8.09,7.76,70704,56559985.0,4.18,0.89,0.07,2.04
2010-01-07,7.9,7.63,7.9,7.6,55334,43467638.0,3.77,-4.15,-0.33,1.6
2010-01-08,7.55,7.61,7.67,7.42,31430,24080300.0,3.28,-0.26,-0.02,0.91
2010-01-11,7.65,7.63,7.72,7.52,28580,22032726.0,2.63,0.26,0.02,0.83
2010-01-12,7.6,7.87,7.88,7.54,43787,34310619.0,4.46,3.15,0.24,1.27
2010-01-13,7.79,8.08,8.08,7.68,138121,111568995.0,5.08,2.67,0.21,3.99
2010-01-14,8.06,8.08,8.19,7.93,101178,82813747.0,3.22,0.0,0.0,2.92
2010-01-15,8.11,8.02,8.25,7.99,68617,56286604.0,3.22,-0.74,-0.06,1.98
2010-01-18,8.08,8.09,8.09,7.89,71852,58074097.0,2.49,0.87,0.07,2.08
2010-01-19,8.06,8.14,8.18,7.93,80085,65394757.0,3.09,0.62,0.05,2.31
2010-01-20,8.18,7.75,8.18,7.73,68527,55207527.0,5.53,-4.79,-0.39,1.98
2010-01-21,7.75,7.78,7.85,7.65,38922,30515097.0,2.58,0.39,0.03,1.12
2010-01-22,7.72,7.47,7.72,7.35,49119,37329550.0,4.76,-3.98,-0.31,1.42
2010-01-25,7.47,7.32,7.57,7.3,22552,16933151.0,3.61,-2.01,-0.15,0.65
2010-01-26,7.35,7.02,7.39,6.9,33728,24337869.0,6.69,-4.1,-0.3,0.97
2010-01-27,7.0,6.94,7.08,6.9,21575,15299729.0,2.56,-1.14,-0.08,0.62
2010-01-28,6.94,7.0,7.04,6.93,20524,14534787.0,1.59,0.86,0.06,0.59
2010-01-29,6.99,7.02,7.12,6.95,24363,17388277.0,2.43,0.29,0.02,0.7
2010-02-01,7.02,6.66,7.04,6.6,35312,24076033.0,6.27,-5.13,-0.36,1.02
2010-02-02,6.69,6.59,6.82,6.57,25213,17139215.0,3.75,-1.05,-0.07,0.73
2010-02-03,6.58,6.81,6.82,6.51,24337,16457076.0,4.7,3.34,0.22,0.7
2010-02-04,6.8,6.83,6.94,6.71,30473,21121786.0,3.38,0.29,0.02,0.88
2010-02-05,6.73,6.68,6.81,6.62,21770,14783695.0,2.78,-2.2,-0.15,0.63
2010-02-08,6.65,6.85,6.92,6.63,29986,20652646.0,4.34,2.54,0.17,0.87
2010-02-09,6.8,6.95,7.1,6.8,30174,21348835.0,4.38,1.46,0.1,0.87
2010-02-10,7.02,6.99,7.06,6.91,15548,10991793.0,2.16,0.58,0.04,0.45
2010-02-11,7.03,6.92,7.03,6.91,12471,8797743.0,1.72,-1.0,-0.07,0.36
2010-02-12,6.93,6.95,6.98,6.92,13379,9425228.0,0.87,0.43,0.03,0.39
2010-02-22,6.94,6.92,6.99,6.87,20532,14444619.0,1.73,-0.43,-0.03,0.59
2010-02-23,6.92,6.95,6.96,6.72,30886,21484109.0,3.47,0.43,0.03,0.89
2010-02-24,6.9,7.17,7.19,6.85,44579,31929039.0,4.89,3.17,0.22,1.29
2010-02-25,7.15,7.39,7.5,7.12,89544,66547152.0,5.3,3.07,0.22,2.59
2010-02-26,7.4,7.31,7.47,7.27,69605,51968901.0,2.71,-1.08,-0.08,2.01
2010-03-01,7.26,8.05,8.05,7.26,157809,124503718.0,10.81,10.12,0.74,4.56
2010-03-02,8.15,8.24,8.67,8.04,307320,256387152.0,7.83,2.36,0.19,8.88
2010-03-03,8.1,8.11,8.24,8.06,161789,133064010.0,2.18,-1.58,-0.13,4.68
2010-03-04,8.12,8.02,8.31,7.9,172102,141858029.0,5.06,-1.11,-0.09,4.97
2010-03-05,7.96,8.09,8.1,7.8,78150,63184621.0,3.74,0.87,0.07,2.26
2010-03-08,8.12,8.14,8.3,8.09,120080,99340213.0,2.6,0.62,0.05,3.47
2010-03-09,8.14,8.14,8.29,8.05,109962,90715773.0,2.95,0.0,0.0,3.18
2010-03-10,8.14,7.91,8.2,7.81,99874,81476135.0,4.79,-2.83,-0.23,2.89
2010-03-11,7.82,7.7,7.92,7.63,59971,47187395.0,3.67,-2.65,-0.21,1.73
2010-03-12,7.65,7.76,7.84,7.61,55446,43549529.0,2.99,0.78,0.06,1.6
2010-03-15,7.74,8.03,8.1,7.69,124600,100521112.0,5.28,3.48,0.27,3.6
2010-03-16,7.95,8.18,8.18,7.93,149534,122360955.0,3.11,1.87,0.15,4.32
2010-03-17,8.08,8.23,8.28,8.05,113230,93441600.0,2.81,0.61,0.05,3.27
2010-03-18,8.21,8.09,8.21,8.04,76115,62444358.0,2.07,-1.7,-0.14,2.2
2010-03-19,8.08,8.09,8.17,7.98,60631,49591720.0,2.35,0.0,0.0,1.75
2010-03-22,8.09,8.02,8.15,7.94,69448,56386534.0,2.6,-0.87,-0.07,2.01
2010-03-23,7.98,7.83,8.06,7.82,70110,56194087.0,2.99,-2.37,-0.19,2.03
2010-03-24,7.81,7.89,7.95,7.73,48168,38292791.0,2.81,0.77,0.06,1.39
2010-03-25,7.85,7.81,7.85,7.73,34825,27464643.0,1.52,-1.01,-0.08,1.01
2010-03-26,7.82,7.98,8.0,7.77,41935,33567784.0,2.94,2.18,0.17,1.21
2010-03-29,7.98,7.93,8.05,7.9,46147,37131927.0,1.88,-0.63,-0.05,1.33
2010-03-30,7.93,8.07,8.13,7.93,67527,55095863.0,2.52,1.77,0.14,1.95
2010-03-31,8.09,7.95,8.12,7.9,50494,40832130.0,2.73,-1.49,-0.12,1.46
2010-04-01,7.96,8.03,8.13,7.9,67932,55226864.0,2.89,1.01,0.08,1.96
2010-04-02,8.03,8.12,8.16,7.98,69950,57344900.0,2.24,1.12,0.09,2.02
2010-04-06,8.14,8.2,8.3,8.12,78719,65326417.0,2.22,0.99,0.08,2.28
2010-04-07,8.18,8.05,8.18,8.0,48124,39301372.0,2.2,-1.83,-0.15,1.39
2010-04-08,8.07,8.01,8.14,8.0,57566,46982660.0,1.74,-0.5,-0.04,1.66
2010-04-09,8.02,8.05,8.1,8.0,50314,40984496.0,1.25,0.5,0.04,1.45
2010-04-12,8.09,8.29,8.34,8.02,147898,122889226.0,3.98,2.98,0.24,4.27
2010-04-13,8.3,8.07,8.43,7.9,88170,72953627.0,6.39,-2.65,-0.22,2.55
2010-04-14,8.05,8.13,8.18,7.94,47636,38977794.0,2.97,0.74,0.06,1.38
2010-04-15,8.1,7.87,8.1,7.85,81698,65775586.0,3.08,-3.2,-0.26,2.36
2010-04-16,7.81,7.87,7.99,7.72,27278,21736182.0,3.43,0.0,0.0,0.79
2010-04-19,7.8,7.42,7.93,7.4,47593,37264214.0,6.73,-5.72,-0.45,1.38
2010-04-20,7.4,7.44,7.54,7.28,43254,32437200.0,3.5,0.27,0.02,1.25
2010-04-21,7.41,7.63,7.65,7.41,37469,28633282.0,3.23,2.55,0.19,1.08
2010-04-22,7.61,7.55,7.69,7.5,37700,28966808.0,2.49,-1.05,-0.08,1.09
2010-04-23,7.56,7.46,7.65,7.45,26928,20573539.0,2.65,-1.19,-0.09,0.78
2010-04-26,7.46,7.25,7.52,7.2,42898,31864069.0,4.29,-2.82,-0.21,1.24
2010-04-27,7.21,7.02,7.21,6.93,34751,24789123.0,3.86,-3.17,-0.23,1.0
2010-04-28,7.0,7.07,7.23,6.93,33017,23865325.0,4.27,0.71,0.05,0.95
2010-04-29,7.09,6.96,7.26,6.94,26942,19483676.0,4.53,-1.56,-0.11,0.78
2010-04-30,6.96,6.74,7.04,6.61,37108,25376452.0,6.18,-3.16,-0.22,1.07
2010-05-04,6.57,6.67,6.83,6.53,18682,12731588.0,4.45,-1.04,-0.07,0.54
2010-05-05,6.67,7.06,7.11,6.65,29328,20405378.0,6.9,5.85,0.39,0.85
2010-05-06,7.03,6.85,7.06,6.78,30508,21416641.0,3.97,-2.97,-0.21,0.88
