日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-09-15,7.71,7.47,8.02,7.21,153247,730331856.13,13.8,27.26,1.6,73.68
2010-09-16,7.74,7.49,7.81,7.47,75154,358874869.38,4.55,0.27,0.02,36.13
2010-09-17,7.0,6.86,7.34,6.75,55654,243198246.14,7.88,-8.41,-0.63,26.76
2010-09-20,6.98,6.75,7.11,6.75,28764,125523607.56,5.25,-1.6,-0.11,13.83
2010-09-21,6.71,6.57,6.71,6.37,22184,90655983.76,5.04,-2.67,-0.18,10.67
2010-09-27,6.54,6.71,6.75,6.45,13675,57076750.93,4.57,2.13,0.14,6.57
2010-09-28,6.65,6.42,6.69,6.35,21043,85731329.07,5.07,-4.32,-0.29,10.12
2010-09-29,6.41,6.49,6.6,6.17,12794,51706997.36,6.7,1.09,0.07,6.15
2010-09-30,6.49,6.58,6.76,6.43,12072,49974127.89,5.08,1.39,0.09,5.8
2010-10-08,6.6,6.65,6.7,6.54,12430,51783221.1,2.43,1.06,0.07,5.98
2010-10-11,6.54,6.66,6.76,6.54,13920,57791723.51,3.31,0.15,0.01,6.69
2010-10-12,6.62,6.41,6.7,6.39,15804,64679241.75,4.65,-3.75,-0.25,7.6
2010-10-13,6.51,6.44,6.51,6.24,16828,66993980.16,4.21,0.47,0.03,8.09
2010-10-14,6.45,6.29,6.51,6.29,10075,40402121.6,3.42,-2.33,-0.15,4.84
2010-10-15,6.32,6.07,6.32,6.05,13989,54051806.29,4.29,-3.5,-0.22,6.73
2010-10-18,6.04,5.94,6.04,5.71,23032,84418615.47,5.44,-2.14,-0.13,11.07
2010-10-19,5.88,6.19,6.23,5.86,18297,70454530.76,6.23,4.21,0.25,8.8
2010-10-21,6.37,6.45,6.54,6.37,25771,104041807.5,2.75,4.2,0.26,12.39
2010-10-22,6.44,6.58,6.65,6.39,19541,80059883.23,4.03,2.02,0.13,9.39
2010-10-25,6.8,6.86,7.11,6.71,29488,127153400.45,6.08,4.26,0.28,14.18
2010-10-26,6.9,6.93,7.07,6.79,21036,91499327.74,4.08,1.02,0.07,10.11
