日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-30,2.87,3.54,3.54,2.87,41,35016.0,29.0,53.25,1.23,0.02
2016-08-31,3.94,3.94,3.94,3.94,30,29070.0,0.0,11.3,0.4,0.01
2016-09-01,4.38,4.38,4.38,4.38,41,43247.0,0.0,11.17,0.44,0.02
2016-09-02,4.86,4.86,4.86,4.86,22,25817.0,0.0,10.96,0.48,0.01
2016-09-05,5.4,5.4,5.4,5.4,36,46440.0,0.0,11.11,0.54,0.02
2016-09-06,5.98,5.98,5.98,5.98,56,79691.0,0.0,10.74,0.58,0.02
2016-09-07,6.63,6.63,6.63,6.63,10,15610.0,0.0,10.87,0.65,0.0
2016-09-08,7.34,7.34,7.34,7.34,45,77265.0,0.0,10.71,0.71,0.02
2016-09-09,8.12,8.12,8.12,8.12,47,88783.0,0.0,10.63,0.78,0.02
2016-09-12,8.98,8.98,8.98,8.98,243,503977.0,0.0,10.59,0.86,0.1
2016-09-13,9.92,9.92,9.92,9.92,133,304449.0,0.0,10.47,0.94,0.06
2016-09-14,10.96,10.96,10.96,10.96,390,981302.0,0.0,10.48,1.04,0.16
2016-09-19,12.11,12.11,12.11,12.11,200,553566.0,0.0,10.49,1.15,0.08
2016-09-20,13.37,13.37,13.37,13.37,317,964948.0,0.0,10.4,1.26,0.13
2016-09-21,14.75,14.75,14.75,14.75,976,3266811.0,0.0,10.32,1.38,0.41
2016-09-22,16.27,16.27,16.27,16.27,788,2903787.0,0.0,10.31,1.52,0.33
2016-09-23,17.95,17.95,17.95,17.95,614,2487638.0,0.0,10.33,1.68,0.26
2016-09-26,19.79,19.79,19.79,19.79,1664,7416700.0,0.0,10.25,1.84,0.7
2016-09-27,21.81,21.12,21.81,20.0,172104,805762800.0,9.15,6.72,1.33,72.46
2016-09-28,20.59,21.14,21.57,20.21,121660,570540992.0,6.44,0.09,0.02,51.23
2016-09-29,20.7,21.14,21.21,20.29,87620,410547312.0,4.35,0.0,0.0,36.89
2016-09-30,21.01,19.88,21.1,19.88,67138,308068032.0,5.77,-5.96,-1.26,28.27
2016-10-10,19.97,20.84,21.08,19.67,65763,303326624.0,7.09,4.83,0.96,27.69
2016-10-11,20.69,21.74,21.8,20.69,98273,469570752.0,5.33,4.32,0.9,41.38
2016-10-12,21.26,21.34,21.79,20.85,74654,357486576.0,4.32,-1.84,-0.4,31.43
2016-10-13,21.52,21.58,23.17,21.44,106191,529138272.0,8.11,1.12,0.24,44.71
2016-10-14,21.35,22.29,22.48,20.99,77868,383137040.0,6.9,3.29,0.71,32.79
2016-10-17,22.17,21.8,22.21,21.46,61879,303918560.0,3.36,-2.2,-0.49,26.05
2016-10-18,21.74,22.11,22.58,21.63,56366,279646688.0,4.36,1.42,0.31,23.73
2016-10-19,22.03,22.78,23.07,21.82,73425,371597200.0,5.65,3.03,0.67,30.92
2016-10-20,22.53,21.83,22.69,21.71,60337,298763808.0,4.3,-4.17,-0.95,25.41
2016-10-21,21.89,22.61,24.03,21.78,109853,562272096.0,10.31,3.57,0.78,46.25
2016-10-24,22.61,23.03,23.39,22.06,77873,396014336.0,5.88,1.86,0.42,32.79
2016-10-25,22.72,23.62,24.75,22.71,87791,469044928.0,8.86,2.56,0.59,36.96
2016-10-26,23.61,25.87,25.99,23.29,105202,583940128.0,11.43,9.53,2.25,44.3
2016-10-27,25.36,26.35,26.35,24.85,86776,496599600.0,5.8,1.86,0.48,36.54
2016-10-28,25.85,24.71,27.16,24.71,81650,470293744.0,9.3,-6.22,-1.64,34.38
2016-10-31,24.1,23.14,24.44,23.07,53979,284618208.0,5.54,-6.35,-1.57,22.73
2016-11-01,23.37,23.62,24.03,23.26,48473,257154124.0,3.33,2.07,0.48,20.41
2016-11-02,23.35,23.83,24.5,22.99,55823,298006832.0,6.39,0.89,0.21,23.5
2016-11-03,23.62,23.52,24.31,23.4,49434,264052199.0,3.82,-1.3,-0.31,20.81
2016-11-04,23.52,24.51,24.7,23.46,54906,297815504.0,5.27,4.21,0.99,23.12
2016-11-07,24.58,24.38,25.35,23.99,43122,238386808.0,5.55,-0.53,-0.13,18.16
2016-11-08,24.48,24.75,24.8,23.99,34924,191284669.0,3.32,1.52,0.37,14.7
2016-11-09,24.81,25.4,26.05,24.44,67993,384437856.0,6.51,2.63,0.65,28.63
2016-11-10,25.49,26.15,27.21,25.44,76141,447911296.0,6.97,2.95,0.75,32.06
2016-11-11,26.17,25.62,26.76,25.08,65789,382107792.0,6.42,-2.03,-0.53,27.7
2016-11-14,25.39,25.93,26.08,25.21,42923,246758757.0,3.4,1.21,0.31,18.07
2016-11-15,25.72,25.44,25.97,25.08,33991,193743271.0,3.43,-1.89,-0.49,14.31
2016-11-16,25.44,24.37,25.51,24.37,34804,193988692.0,4.48,-4.21,-1.07,14.65
2016-11-17,23.86,24.11,24.33,23.86,23959,129399239.0,1.93,-1.07,-0.26,10.09
2016-11-18,24.27,24.23,25.02,24.18,25649,141314952.0,3.48,0.5,0.12,10.8
2016-11-21,24.11,24.85,24.99,23.86,32440,177430008.0,4.66,2.56,0.62,13.66
2016-11-22,24.95,25.89,26.11,24.95,53784,308692608.0,4.67,4.19,1.04,22.65
2016-11-23,25.9,26.16,27.26,25.59,76162,451952896.0,6.45,1.04,0.27,32.07
2016-11-24,25.87,25.09,26.58,25.03,38209,219633957.0,5.93,-4.09,-1.07,16.09
2016-11-25,24.8,25.36,25.56,23.63,32326,179246129.0,7.69,1.08,0.27,13.61
2016-11-28,24.99,26.15,26.15,24.99,40602,234631890.0,4.57,3.12,0.79,17.1
2016-11-29,26.15,25.08,26.57,24.99,64279,373351552.0,6.04,-4.09,-1.07,27.06
2016-11-30,24.94,24.8,25.24,24.11,30386,168354286.0,4.51,-1.12,-0.28,12.79
2016-12-01,24.58,24.67,24.98,24.45,25230,139589191.0,2.14,-0.52,-0.13,10.62
2016-12-02,24.61,23.64,24.76,23.63,29001,156784266.0,4.58,-4.18,-1.03,12.21
2016-12-05,23.17,23.34,23.99,22.99,15155,79992061.0,4.23,-1.27,-0.3,6.38
2016-12-06,23.53,23.39,23.71,23.33,11285,59482820.0,1.63,0.21,0.05,4.75
2016-12-07,23.36,23.53,23.62,22.86,15472,80720283.0,3.25,0.6,0.14,6.51
2016-12-08,23.53,23.03,23.75,22.99,13610,71423386.0,3.23,-2.12,-0.5,5.73
2016-12-09,22.96,23.46,23.46,22.63,31295,163039004.0,3.6,1.87,0.43,13.18
2016-12-12,23.47,21.74,23.76,21.49,43401,225536566.0,9.68,-7.33,-1.72,18.27
2016-12-13,20.97,21.23,21.62,20.53,23144,109846089.0,5.01,-2.35,-0.51,9.74
2016-12-14,21.22,21.27,21.68,20.76,19943,95261874.0,4.33,0.19,0.04,8.4
2016-12-15,21.12,21.35,21.83,21.03,15880,76754472.0,3.76,0.38,0.08,6.69
2016-12-16,21.36,21.76,21.86,21.21,23206,112407963.0,3.04,1.92,0.41,9.77
2016-12-19,21.81,22.59,22.61,21.44,36621,183714497.0,5.38,3.81,0.83,15.42
2016-12-20,22.59,22.6,23.0,22.31,34927,177459817.0,3.05,0.04,0.01,14.71
2016-12-21,22.6,22.69,22.97,22.37,37655,191548538.0,2.65,0.4,0.09,15.85
2016-12-22,22.69,22.41,22.7,22.09,17768,89382987.0,2.69,-1.23,-0.28,7.48
2016-12-23,22.31,20.61,22.31,20.56,24516,117690601.0,7.81,-8.03,-1.8,10.32
