日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-02-15,6.82,8.3,8.3,6.82,52,103963.0,26.43,48.21,2.7,0.03
2017-02-16,9.18,9.18,9.18,9.18,13,29588.0,0.0,10.6,0.88,0.01
2017-02-17,10.16,10.16,10.16,10.16,34,85136.0,0.0,10.68,0.98,0.02
2017-02-20,11.22,11.22,11.22,11.22,33,90882.0,0.0,10.43,1.06,0.02
2017-02-21,12.4,12.4,12.4,12.4,25,75725.0,0.0,10.52,1.18,0.01
2017-02-22,13.69,13.69,13.69,13.69,41,136612.0,0.0,10.4,1.29,0.02
2017-02-23,15.12,15.12,15.12,15.12,84,307860.0,0.0,10.45,1.43,0.04
2017-02-24,16.69,16.69,16.69,16.69,159,641088.0,0.0,10.38,1.57,0.08
2017-02-27,18.41,18.41,18.41,18.41,124,549940.0,0.0,10.31,1.72,0.06
2017-02-28,20.31,20.31,20.31,20.31,112,546448.0,0.0,10.32,1.9,0.06
2017-03-01,22.39,22.39,22.39,22.39,696,3733821.0,0.0,10.24,2.08,0.35
2017-03-02,24.69,24.69,24.69,23.1,109080,630443744.0,7.1,10.27,2.3,54.54
2017-03-03,24.66,23.66,24.66,23.6,82341,473328608.0,4.29,-4.17,-1.03,41.17
2017-03-06,23.64,24.18,24.51,23.39,62054,357878560.0,4.73,2.2,0.52,31.03
2017-03-07,24.07,25.57,26.47,23.99,87244,523586352.0,10.26,5.75,1.39,43.62
2017-03-08,25.05,25.29,25.47,24.9,56595,340234624.0,2.23,-1.1,-0.28,28.3
2017-03-09,25.18,24.95,25.38,24.03,57030,336276320.0,5.34,-1.34,-0.34,28.51
2017-03-10,24.72,24.07,24.93,24.07,33557,196369724.0,3.45,-3.53,-0.88,16.78
2017-03-13,23.86,24.49,24.5,23.4,30479,175037504.0,4.57,1.74,0.42,15.24
2017-03-14,24.32,24.65,25.2,24.25,44444,264039361.0,3.88,0.65,0.16,22.22
2017-03-15,24.49,24.6,24.84,23.86,32443,189334975.0,3.98,-0.2,-0.05,16.22
2017-03-16,24.53,25.45,25.84,24.53,54956,332154592.0,5.33,3.46,0.85,27.48
2017-03-17,25.4,24.7,25.99,24.66,49685,300501776.0,5.23,-2.95,-0.75,24.84
2017-03-20,24.39,25.39,25.39,24.11,31843,188714549.0,5.18,2.79,0.69,15.92
2017-03-21,25.38,26.63,26.63,25.28,64049,396642352.0,5.32,4.88,1.24,32.02
2017-03-22,26.19,26.76,27.05,25.95,51995,328396944.0,4.13,0.49,0.13,26.0
2017-03-23,26.97,25.61,26.97,24.85,47208,292952208.0,7.92,-4.3,-1.15,23.6
2017-03-24,25.54,26.28,26.51,25.46,34232,213440283.0,4.1,2.62,0.67,17.12
2017-03-27,26.22,26.72,26.8,25.74,41288,259956420.0,4.03,1.67,0.44,20.64
2017-03-28,26.45,25.98,27.18,25.97,41378,263573425.0,4.53,-2.77,-0.74,20.69
2017-03-29,25.57,23.56,25.93,23.41,45668,269091248.0,9.7,-9.31,-2.42,22.83
2017-03-30,23.04,22.37,23.04,22.34,31454,170758247.0,2.97,-5.05,-1.19,15.73
2017-03-31,22.18,21.78,22.81,21.55,24438,129198745.0,5.63,-2.64,-0.59,12.22
2017-04-05,21.7,21.81,22.25,20.4,28532,147834532.0,8.49,0.14,0.03,14.27
2017-04-06,21.18,21.51,22.19,21.04,25338,131403345.0,5.27,-1.38,-0.3,12.67
2017-04-07,21.38,20.57,21.61,20.19,36445,182621368.0,6.6,-4.37,-0.94,18.22
2017-04-10,20.42,19.12,20.43,18.69,27257,127172593.0,8.46,-7.05,-1.45,13.63
2017-04-11,18.98,19.84,19.86,18.69,22073,103152263.0,6.12,3.77,0.72,11.04
2017-04-12,19.84,19.09,20.27,19.03,25285,119553318.0,6.25,-3.78,-0.75,12.64
2017-04-13,18.86,18.98,19.5,18.86,11890,54847472.0,3.35,-0.58,-0.11,5.95
