日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-19,10.85,13.61,13.61,10.85,313,666103.0,32.28,59.18,5.06,0.05
2016-08-22,15.26,15.26,15.26,15.26,38,89908.0,0.0,12.12,1.65,0.01
2016-08-23,17.08,17.08,17.08,17.08,88,229064.0,0.0,11.93,1.82,0.02
2016-08-24,19.08,19.08,19.08,19.08,120,343331.0,0.0,11.71,2.0,0.02
2016-08-25,21.28,21.28,21.28,21.28,284,895733.0,0.0,11.53,2.2,0.05
2016-08-26,23.71,23.71,23.71,23.71,636,2201580.0,0.0,11.42,2.43,0.11
2016-08-29,26.37,26.37,26.37,26.37,648,2469756.0,0.0,11.22,2.66,0.11
2016-08-30,29.3,29.3,29.3,29.3,720,3017520.0,0.0,11.11,2.93,0.12
2016-08-31,32.52,32.52,32.52,31.22,261237,1189908544.0,4.44,10.99,3.22,45.04
2016-09-01,32.52,36.07,36.07,32.52,325604,1592180768.0,10.92,10.92,3.55,56.14
2016-09-02,33.98,36.06,38.02,33.68,264868,1328908128.0,12.03,-0.03,-0.01,45.67
2016-09-05,36.06,36.7,37.72,34.95,205289,1054539504.0,7.68,1.77,0.64,35.39
2016-09-06,36.14,38.12,38.62,35.83,221602,1156687936.0,7.6,3.87,1.42,38.21
2016-09-07,37.43,35.55,37.7,35.48,206605,1062300432.0,5.82,-6.74,-2.57,35.62
2016-09-08,35.06,34.35,35.91,33.75,144245,705912640.0,6.08,-3.38,-1.2,24.87
2016-09-09,34.01,33.21,34.66,33.03,120748,576912240.0,4.75,-3.32,-1.14,20.82
2016-09-12,31.88,32.31,32.97,31.75,84376,385781216.0,3.67,-2.71,-0.9,14.55
2016-09-13,32.6,31.68,32.74,31.3,85691,388263712.0,4.46,-1.95,-0.63,14.77
2016-09-14,31.31,31.93,33.02,31.07,87555,400800880.0,6.16,0.79,0.25,15.1
2016-09-19,32.1,31.68,32.54,31.18,76515,342881200.0,4.26,-0.78,-0.25,13.19
2016-09-20,31.67,30.75,31.67,30.55,83496,368357904.0,3.54,-2.94,-0.93,14.4
2016-09-21,30.53,29.91,30.74,29.88,68666,296005248.0,2.8,-2.73,-0.84,11.84
2016-09-22,30.06,30.16,30.25,29.64,67216,287600848.0,2.04,0.84,0.25,11.59
2016-09-23,30.06,30.2,31.15,29.99,80305,349650640.0,3.85,0.13,0.04,13.85
2016-09-26,30.14,27.16,30.14,27.07,95750,388376880.0,10.17,-10.07,-3.04,16.51
2016-09-27,26.95,27.34,27.41,26.29,67133,259575357.0,4.12,0.66,0.18,11.57
2016-09-28,27.17,26.62,27.21,26.58,43314,167203791.0,2.3,-2.63,-0.72,7.47
2016-09-29,26.68,26.74,27.05,26.51,43509,168337543.0,2.03,0.45,0.12,7.5
2016-09-30,26.66,26.75,26.96,26.56,35648,137544536.0,1.5,0.04,0.01,6.15
2016-10-10,27.05,28.02,28.16,26.76,63849,253603648.0,5.23,4.75,1.27,11.01
2016-10-11,28.02,27.89,28.02,27.46,55151,219769842.0,2.0,-0.46,-0.13,9.51
2016-10-12,27.91,28.48,29.35,27.62,77296,317724592.0,6.2,2.12,0.59,13.33
2016-10-13,28.32,27.97,28.45,27.77,47418,190690110.0,2.39,-1.79,-0.51,8.18
2016-10-14,27.94,28.09,28.45,27.71,36247,145851624.0,2.65,0.43,0.12,6.25
2016-10-17,28.14,27.15,28.19,27.0,44835,177814954.0,4.24,-3.35,-0.94,7.73
2016-10-18,27.28,27.59,27.72,26.99,39754,156301785.0,2.69,1.62,0.44,6.85
2016-10-19,27.56,28.22,28.58,27.22,69396,278175312.0,4.93,2.28,0.63,11.96
2016-10-20,28.04,27.78,28.14,27.68,40132,160583162.0,1.63,-1.56,-0.44,6.92
2016-10-21,27.73,27.55,27.73,26.91,47814,188181422.0,2.95,-0.83,-0.23,8.24
2016-10-24,27.32,29.78,30.02,27.26,114772,471840944.0,10.02,8.09,2.23,19.79
2016-10-25,29.5,29.3,30.04,29.22,91511,386344352.0,2.75,-1.61,-0.48,15.78
2016-10-26,29.3,29.72,29.98,28.61,80261,335551072.0,4.68,1.43,0.42,13.84
2016-10-27,29.6,29.83,30.48,29.39,87242,372992432.0,3.67,0.37,0.11,15.04
2016-10-28,29.87,30.66,31.58,29.61,122772,533248528.0,6.6,2.78,0.83,21.17
2016-10-31,30.12,29.32,30.14,29.1,66082,278584336.0,3.39,-4.37,-1.34,11.39
2016-11-01,29.07,29.85,30.48,29.07,63889,273069696.0,4.81,1.81,0.53,11.02
2016-11-02,29.58,30.11,30.52,29.33,81829,349899728.0,3.99,0.87,0.26,14.11
2016-11-03,29.82,30.15,31.05,29.74,94132,407430320.0,4.35,0.13,0.04,16.23
2016-11-04,29.85,33.46,33.46,29.83,175534,805802272.0,12.04,10.98,3.31,30.26
2016-11-07,35.05,32.44,35.05,31.75,163975,763000304.0,9.86,-3.05,-1.02,28.27
2016-11-08,32.38,34.52,35.97,31.88,184187,878086304.0,12.61,6.41,2.08,31.76
2016-11-09,33.99,36.11,37.52,33.77,215867,1079402544.0,10.86,4.61,1.59,37.22
2016-11-10,36.37,38.04,39.02,35.52,203223,1064432080.0,9.69,5.34,1.93,35.04
2016-11-11,37.58,35.75,38.79,35.68,162831,846126032.0,8.18,-6.02,-2.29,28.07
2016-11-14,35.2,34.25,35.21,33.69,101016,489293872.0,4.25,-4.2,-1.5,17.42
2016-11-15,34.26,34.4,34.98,34.07,58288,283484576.0,2.66,0.44,0.15,10.05
2016-11-16,34.45,32.74,34.62,32.68,81022,380862880.0,5.64,-4.83,-1.66,13.97
2016-11-17,32.61,32.82,33.43,32.43,51985,242868189.0,3.05,0.24,0.08,8.96
2016-11-18,32.95,33.28,34.22,32.8,64737,307605376.0,4.33,1.4,0.46,11.16
2016-11-21,33.17,34.1,34.32,32.46,74900,355242544.0,5.59,2.46,0.82,12.91
2016-11-22,33.98,33.87,34.69,33.68,67066,323045728.0,2.96,-0.67,-0.23,11.56
