日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-28,44.77,44.77,44.77,44.77,136,983212.0,0.0,54.27,15.75,0.03
2017-03-29,49.92,49.92,49.92,49.92,70,554993.0,0.0,11.5,5.15,0.02
2017-03-30,55.58,55.58,55.58,55.58,97,846073.0,0.0,11.34,5.66,0.02
2017-03-31,61.82,61.82,61.82,61.82,605,5809795.0,0.0,11.23,6.24,0.15
2017-04-05,68.67,68.67,68.67,68.67,1755,18526082.0,0.0,11.08,6.85,0.42
2017-04-06,71.82,76.22,76.22,68.68,133857,1505257120.0,10.98,10.99,7.55,32.25
2017-04-07,78.68,74.67,82.67,73.55,148098,1761114544.0,11.97,-2.03,-1.55,35.68
2017-04-10,71.11,75.39,76.84,70.4,90947,1030472160.0,8.62,0.96,0.72,21.91
2017-04-11,72.68,70.94,74.82,68.97,75655,831264912.0,7.76,-5.9,-4.45,18.23
2017-04-12,71.9,66.26,72.53,65.67,65645,697542336.0,9.67,-6.6,-4.68,15.81
2017-04-13,64.75,68.92,69.87,64.72,60814,640546960.0,7.77,4.01,2.66,14.65
2017-04-14,67.82,66.78,68.47,66.39,29602,306631984.0,3.02,-3.11,-2.14,7.13
2017-04-17,64.41,67.58,68.48,64.04,39597,409989248.0,6.65,1.2,0.8,9.54
2017-04-18,67.79,69.11,71.75,67.59,39080,420215312.0,6.16,2.26,1.53,9.41
2017-04-19,68.59,70.12,71.33,67.68,31534,338806752.0,5.28,1.46,1.01,7.6
2017-04-20,70.17,69.37,72.32,68.41,38982,422196816.0,5.58,-1.07,-0.75,9.39
2017-04-21,68.82,68.98,70.25,67.43,25809,273342896.0,4.07,-0.56,-0.39,6.22
2017-04-24,68.23,69.39,70.24,66.19,26025,275368336.0,5.87,0.59,0.41,6.27
2017-04-25,69.04,69.96,70.88,69.04,16811,180952297.0,2.65,0.82,0.57,4.05
2017-04-26,69.68,71.41,72.18,69.26,24490,267940353.0,4.17,2.07,1.45,5.9
2017-04-27,71.06,70.73,71.62,68.34,19955,214513847.0,4.59,-0.95,-0.68,4.81
2017-04-28,70.47,68.67,71.68,68.17,21163,226460689.0,4.96,-2.91,-2.06,5.1
2017-05-10,67.54,69.42,71.82,65.62,37568,402813984.0,9.03,1.09,0.75,9.05
