日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.51,2.47,2.52,2.47,52662,54898825.0,1.99,-1.59,-0.04,3.49
2010-01-05,2.47,2.46,2.49,2.41,73343,75026751.0,3.24,-0.4,-0.01,4.86
2010-01-06,2.46,2.46,2.49,2.43,72577,74915292.0,2.44,0.0,0.0,4.81
2010-01-07,2.45,2.35,2.46,2.33,106715,106427083.0,5.28,-4.47,-0.11,7.08
2010-01-08,2.37,2.4,2.42,2.34,51943,51959382.0,3.4,2.13,0.05,3.44
2010-01-11,2.4,2.36,2.41,2.34,45413,45089927.0,2.92,-1.67,-0.04,3.01
2010-01-12,2.36,2.47,2.48,2.36,56324,57311657.0,5.08,4.66,0.11,3.73
2010-01-13,2.42,2.44,2.52,2.41,92526,95539613.0,4.45,-1.21,-0.03,6.14
2010-01-14,2.44,2.5,2.54,2.44,85466,89460417.0,4.1,2.46,0.06,5.67
2010-01-15,2.5,2.56,2.57,2.49,76398,81173931.0,3.2,2.4,0.06,5.07
2010-01-18,2.58,2.57,2.64,2.56,102056,110620281.0,3.13,0.39,0.01,6.77
2010-01-19,2.56,2.58,2.64,2.56,87365,95225467.0,3.11,0.39,0.01,5.79
2010-01-20,2.58,2.46,2.58,2.44,93346,98285046.0,5.43,-4.65,-0.12,6.19
2010-01-21,2.46,2.52,2.56,2.44,69422,72996778.0,4.88,2.44,0.06,4.6
2010-01-22,2.51,2.62,2.63,2.45,155437,166656670.0,7.14,3.97,0.1,10.31
2010-01-25,2.56,2.6,2.68,2.55,116814,128147957.0,4.96,-0.76,-0.02,7.75
2010-01-26,2.57,2.44,2.62,2.37,87326,91527394.0,9.62,-6.15,-0.16,5.79
2010-01-27,2.43,2.39,2.45,2.36,56445,56954717.0,3.69,-2.05,-0.05,3.74
2010-01-28,2.4,2.43,2.44,2.38,40163,40569612.0,2.51,1.67,0.04,2.66
2010-01-29,2.43,2.47,2.51,2.4,53873,55913395.0,4.53,1.65,0.04,3.57
2010-02-01,2.47,2.55,2.59,2.47,89624,95302717.0,4.86,3.24,0.08,5.94
2010-02-02,2.52,2.53,2.61,2.51,66156,70941322.0,3.92,-0.78,-0.02,4.39
2010-02-03,2.54,2.66,2.66,2.49,129912,141242513.0,6.72,5.14,0.13,8.61
2010-02-04,2.63,2.67,2.7,2.61,141512,157362282.0,3.38,0.38,0.01,9.38
2010-02-05,2.61,2.57,2.64,2.53,84918,91790328.0,4.12,-3.75,-0.1,5.63
2010-02-08,2.58,2.67,2.67,2.55,54230,59286787.0,4.67,3.89,0.1,3.6
2010-02-09,2.64,2.61,2.7,2.56,62364,68314506.0,5.24,-2.25,-0.06,4.14
2010-02-10,2.61,2.61,2.65,2.58,38775,42493231.0,2.68,0.0,0.0,2.57
2010-02-11,2.62,2.53,2.62,2.52,67214,71825155.0,3.83,-3.07,-0.08,4.46
2010-02-12,2.56,2.56,2.58,2.54,25749,27616370.0,1.58,1.19,0.03,1.71
2010-02-22,2.56,2.59,2.62,2.54,35027,37875490.0,3.13,1.17,0.03,2.32
2010-02-23,2.56,2.68,2.69,2.53,70908,77656628.0,6.18,3.47,0.09,4.7
2010-02-24,2.66,2.71,2.73,2.63,86979,98080744.0,3.73,1.12,0.03,5.77
2010-02-25,2.71,2.71,2.78,2.69,85672,97746798.0,3.32,0.0,0.0,5.68
2010-02-26,2.69,2.87,2.97,2.69,167932,198854891.0,10.33,5.9,0.16,11.14
2010-03-01,2.87,3.06,3.13,2.85,236261,297118866.0,9.76,6.62,0.19,15.67
2010-03-02,3.06,3.03,3.08,2.96,136080,170730834.0,3.92,-0.98,-0.03,9.02
2010-03-03,3.03,3.04,3.07,2.96,101227,127098838.0,3.63,0.33,0.01,6.71
2010-03-04,3.03,2.83,3.05,2.81,136410,165149225.0,7.89,-6.91,-0.21,9.04
2010-03-05,2.85,2.79,2.89,2.75,72601,85090551.0,4.95,-1.41,-0.04,4.81
2010-03-08,2.81,2.93,2.95,2.8,72914,87687428.0,5.38,5.02,0.14,4.83
