日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-04-28,4.04,4.94,4.94,4.04,187,398395.0,27.44,50.61,1.66,0.07
2016-04-29,5.49,5.49,5.49,5.49,58,136416.0,0.0,11.13,0.55,0.02
2016-05-03,6.09,6.09,6.09,6.09,68,175916.0,0.0,10.93,0.6,0.03
2016-05-04,6.75,6.75,6.75,6.75,53,150838.0,0.0,10.84,0.66,0.02
2016-05-05,7.48,7.48,7.48,7.48,127,396102.0,0.0,10.81,0.73,0.05
2016-05-06,8.28,8.28,8.28,8.28,137,470450.0,0.0,10.7,0.8,0.05
2016-05-09,9.15,9.15,9.15,9.15,823,3115667.0,0.0,10.51,0.87,0.33
2016-05-10,10.12,10.12,10.12,10.12,1098,4575782.0,0.0,10.6,0.97,0.44
2016-05-11,11.18,11.18,11.18,11.18,1003,4597247.0,0.0,10.47,1.06,0.4
2016-05-12,12.35,11.25,12.35,10.97,147136,703311056.0,12.34,0.63,0.07,58.85
2016-05-13,10.48,11.14,11.67,10.33,104132,467988336.0,11.91,-0.98,-0.11,41.65
2016-05-16,10.71,10.36,10.83,10.08,78816,336151968.0,6.73,-7.0,-0.78,31.53
2016-05-17,10.28,10.35,10.74,10.22,63907,275264800.0,5.02,-0.1,-0.01,25.56
2016-05-18,10.13,9.48,10.2,9.39,63699,255046532.0,7.83,-8.41,-0.87,25.48
2016-05-19,9.57,9.48,9.8,9.44,41512,164749075.0,3.8,0.0,0.0,16.6
2016-05-20,9.31,9.9,9.91,9.24,58841,234865760.0,7.07,4.43,0.42,23.54
2016-05-23,9.85,10.94,10.94,9.75,96248,414154256.0,12.02,10.51,1.04,38.5
2016-05-24,11.02,12.04,12.09,10.62,124295,573465760.0,13.44,10.05,1.1,49.72
2016-05-25,11.78,11.84,12.39,11.48,122447,597429376.0,7.56,-1.66,-0.2,48.98
2016-05-26,11.48,12.12,12.24,11.24,96946,466592480.0,8.45,2.36,0.28,38.78
2016-05-27,12.0,11.38,12.37,11.36,106607,518806560.0,8.33,-6.11,-0.74,42.64
2016-05-30,11.22,12.57,12.57,11.05,102705,506046336.0,13.36,10.46,1.19,41.08
2016-05-31,12.75,13.02,13.46,12.26,155669,814740352.0,9.55,3.58,0.45,62.27
2016-06-01,12.78,13.19,13.52,12.76,124692,667780176.0,5.84,1.31,0.17,49.88
2016-06-02,12.96,13.6,13.87,12.78,110753,596564992.0,8.26,3.11,0.41,44.3
2016-06-03,13.41,13.14,13.73,13.07,95499,517785376.0,4.85,-3.38,-0.46,38.2
2016-06-06,12.96,13.14,13.33,12.8,54900,291688272.0,4.03,0.0,0.0,21.96
2016-06-07,13.15,14.41,14.5,13.15,125017,711360960.0,10.27,9.67,1.27,50.01
2016-06-08,14.0,13.51,14.06,13.34,103320,576875536.0,5.0,-6.25,-0.9,41.33
2016-06-13,12.76,12.11,12.91,12.11,65541,334372272.0,5.92,-10.36,-1.4,26.22
2016-06-14,11.74,12.06,12.11,11.45,46093,223566064.0,5.45,-0.41,-0.05,18.44
2016-06-15,11.76,12.61,12.96,11.68,59007,302560656.0,10.61,4.56,0.55,23.6
2016-06-16,12.58,12.51,12.9,12.42,49534,255697585.0,3.81,-0.79,-0.1,19.81
2016-06-17,12.58,13.55,13.78,12.58,84375,451390192.0,9.59,8.31,1.04,33.75
2016-06-20,13.57,13.89,14.25,13.01,90460,504104384.0,9.15,2.51,0.34,36.18
2016-06-21,13.9,14.85,15.33,13.73,124935,738984576.0,11.52,6.91,0.96,49.97
2016-06-22,14.62,14.67,15.3,14.41,93125,559355056.0,5.99,-1.21,-0.18,37.25
2016-06-23,14.51,14.52,14.96,13.9,63142,372003872.0,7.23,-1.02,-0.15,25.26
2016-06-24,14.29,14.53,14.8,13.47,69747,404153216.0,9.16,0.07,0.01,27.9
2016-06-27,14.31,15.69,16.02,14.18,91582,569394976.0,12.66,7.98,1.16,36.63
2016-06-28,15.68,15.81,15.94,15.44,82435,523352656.0,3.19,0.76,0.12,32.97
2016-06-29,15.69,17.44,17.44,15.66,96781,656792816.0,11.26,10.31,1.63,38.71
2016-06-30,16.71,16.86,17.78,16.58,126437,874989088.0,6.88,-3.33,-0.58,50.57
2016-07-01,17.14,17.89,18.31,17.14,101731,729290784.0,6.94,6.11,1.03,40.69
2016-07-04,17.32,18.4,18.59,17.14,89041,640547152.0,8.11,2.85,0.51,35.62
2016-07-05,18.32,20.29,20.29,18.21,86525,681055568.0,11.3,10.27,1.89,34.61
2016-07-06,20.82,19.81,21.14,19.12,113239,914422208.0,9.96,-2.37,-0.48,45.3
2016-07-07,19.28,19.7,19.81,18.88,70423,549432160.0,4.69,-0.56,-0.11,28.17
2016-07-08,19.48,18.67,19.58,18.62,60438,463393136.0,4.87,-5.23,-1.03,24.18
2016-07-11,18.75,16.97,18.98,16.77,72401,511506688.0,11.84,-9.11,-1.7,28.96
2016-07-12,16.98,18.6,18.67,16.59,79169,560307536.0,12.26,9.61,1.63,31.67
2016-07-13,18.24,18.92,19.79,18.08,91214,699509504.0,9.19,1.72,0.32,36.49
2016-07-14,19.33,20.23,20.52,19.05,89106,706281136.0,7.77,6.92,1.31,35.64
2016-07-15,20.06,19.92,21.0,19.64,85897,700151568.0,6.72,-1.53,-0.31,34.36
2016-07-18,19.79,19.53,20.66,19.33,59425,477035808.0,6.68,-1.96,-0.39,23.77
2016-07-19,19.09,19.54,19.54,18.41,62415,474191808.0,5.79,0.05,0.01,24.97
2016-07-20,19.39,18.85,19.46,18.7,41467,319840144.0,3.89,-3.53,-0.69,16.59
2016-07-21,18.79,18.01,19.02,17.98,46828,349138672.0,5.52,-4.46,-0.84,18.73
