日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-10-31,10.36,12.54,12.54,10.36,99,168886.0,25.53,46.84,4.0,0.03
2017-11-01,13.85,13.85,13.85,13.85,62,115446.0,0.0,10.45,1.31,0.02
2017-11-02,15.29,15.29,15.29,15.29,55,112997.0,0.0,10.4,1.44,0.02
2017-11-03,16.87,16.87,16.87,16.87,93,209693.0,0.0,10.33,1.58,0.03
2017-11-06,18.62,18.62,18.62,18.62,92,229264.0,0.0,10.37,1.75,0.03
2017-11-07,20.53,20.53,20.53,20.53,179,490419.0,0.0,10.26,1.91,0.05
2017-11-08,22.64,22.64,22.64,22.64,281,847245.0,0.0,10.28,2.11,0.08
2017-11-09,24.96,24.96,24.96,24.96,742,2460119.0,0.0,10.25,2.32,0.21
2017-11-10,27.52,27.52,27.52,27.52,2404,8770809.0,0.0,10.26,2.56,0.69
2017-11-13,29.43,29.99,30.3,28.43,200427,778345808.0,6.8,8.98,2.47,57.23
2017-11-14,28.68,26.94,28.91,26.93,144640,532666352.0,6.6,-10.17,-3.05,41.3
2017-11-15,25.99,26.67,27.26,24.6,107525,367142704.0,9.87,-1.0,-0.27,30.7
2017-11-16,25.76,24.85,26.34,24.61,70187,238129241.0,6.49,-6.82,-1.82,20.04
2017-11-17,24.9,22.64,25.28,22.45,71581,224001829.0,11.39,-8.89,-2.21,20.44
2017-11-20,22.23,21.74,22.29,20.83,55341,158771643.0,6.45,-3.98,-0.9,15.8
2017-11-21,21.6,21.29,21.74,20.38,58053,163461286.0,6.26,-2.07,-0.45,16.58
2017-11-22,21.17,21.43,21.66,20.68,42882,121638390.0,4.6,0.66,0.14,12.25
2017-11-23,21.19,20.82,21.59,20.69,37827,106474598.0,4.2,-2.85,-0.61,10.8
2017-11-24,20.81,20.56,21.37,20.45,30181,84361348.0,4.42,-1.25,-0.26,8.62
2017-11-27,20.45,19.32,20.68,19.3,36338,95684930.0,6.71,-6.03,-1.24,10.38
2017-11-28,19.32,19.53,19.68,19.29,26963,70308865.0,2.02,1.09,0.21,7.7
2017-11-29,19.49,18.68,19.54,18.29,43094,107936703.0,6.4,-4.35,-0.85,12.31
2017-11-30,18.75,18.78,19.09,18.59,29955,75555686.0,2.68,0.54,0.1,8.55
2017-12-01,18.77,18.85,18.95,18.42,27830,69792366.0,2.82,0.37,0.07,7.95
2017-12-04,18.59,16.98,18.68,16.97,42793,101615723.0,9.07,-9.92,-1.87,12.22
2017-12-05,17.02,16.64,17.22,16.51,28762,64962170.0,4.18,-2.0,-0.34,8.21
2017-12-06,16.76,17.32,17.32,16.64,35789,81565408.0,4.09,4.09,0.68,10.22
2017-12-07,17.72,18.4,19.06,17.34,68759,168028424.0,9.93,6.24,1.08,19.63
