日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-05-25,5.95,7.3,7.3,5.95,261,209455.0,27.95,51.14,2.47,0.05
2018-05-28,8.11,8.11,8.11,8.11,96,85110.0,0.0,11.1,0.81,0.02
2018-05-29,9.0,9.0,9.0,9.0,132,129130.0,0.0,10.97,0.89,0.03
2018-05-30,9.98,9.98,9.98,9.98,244,263024.0,0.0,10.89,0.98,0.05
2018-05-31,11.06,11.06,11.06,11.06,190,225031.0,0.0,10.82,1.08,0.04
2018-06-01,12.25,12.25,12.25,12.25,263,342704.0,0.0,10.76,1.19,0.05
2018-06-04,13.55,13.55,13.55,13.55,878,1258449.0,0.0,10.61,1.3,0.17
2018-06-05,14.98,14.98,14.98,14.98,971,1530604.0,0.0,10.55,1.43,0.18
2018-06-06,16.56,16.56,16.56,16.56,687,1191910.0,0.0,10.55,1.58,0.13
2018-06-07,18.3,18.3,18.3,18.3,789,1505895.0,0.0,10.51,1.74,0.15
2018-06-08,20.21,20.21,20.21,20.21,6350,13334916.0,0.0,10.44,1.91,1.21
2018-06-11,22.31,22.31,22.31,22.31,3275,7564349.0,0.0,10.39,2.1,0.62
2018-06-12,24.62,24.62,24.62,24.62,1690,4293959.0,0.0,10.35,2.31,0.32
2018-06-13,27.16,27.16,27.16,27.16,2694,7528332.0,0.0,10.32,2.54,0.51
2018-06-14,29.96,29.96,29.96,29.96,5637,17333006.0,0.0,10.31,2.8,1.07
2018-06-15,33.04,33.04,33.04,32.06,315555,1065562304.0,3.27,10.28,3.08,59.99
2018-06-19,33.51,35.41,36.42,32.66,414870,1464967184.0,11.38,7.17,2.37,78.87
2018-06-20,31.79,34.69,37.21,31.79,352411,1211000448.0,15.31,-2.03,-0.72,67.0
2018-06-21,34.77,32.11,37.59,31.71,359947,1300277088.0,16.95,-7.44,-2.58,68.43
2018-06-22,28.82,28.82,30.36,28.82,235688,703069520.0,4.8,-10.25,-3.29,44.81
2018-06-25,27.92,29.57,29.9,27.86,245823,732866704.0,7.08,2.6,0.75,46.73
2018-06-26,28.49,31.64,32.61,28.21,328710,1048170016.0,14.88,7.0,2.07,62.49
2018-06-27,31.55,34.89,34.89,30.47,276436,917530032.0,13.97,10.27,3.25,52.55
2018-06-28,35.21,31.73,36.8,31.73,348410,1225716608.0,14.53,-9.06,-3.16,66.24
2018-06-29,30.56,33.46,34.81,30.51,281112,943103152.0,13.55,5.45,1.73,53.44
2018-07-02,34.71,36.89,36.89,33.89,192299,702828624.0,8.97,10.25,3.43,36.56
2018-07-03,39.21,35.21,40.66,34.8,392335,1515835120.0,15.89,-4.55,-1.68,74.59
2018-07-04,33.32,31.61,34.81,31.61,240053,810034256.0,9.09,-10.22,-3.6,45.64
2018-07-05,29.9,33.67,34.85,29.9,262086,876232576.0,15.66,6.52,2.06,49.83
2018-07-06,34.24,33.71,36.52,33.39,281062,1005286320.0,9.3,0.12,0.04,53.43
2018-07-09,33.66,36.45,36.71,33.66,253135,908837904.0,9.05,8.13,2.74,48.12
2018-07-10,35.86,37.05,38.17,34.81,252457,937268544.0,9.22,1.65,0.6,48.0
2018-07-11,35.01,38.15,40.61,34.29,277267,1062740592.0,17.06,2.97,1.1,52.71
2018-07-12,38.23,39.27,40.1,36.81,252423,998335696.0,8.62,2.94,1.12,47.99
2018-07-13,39.01,36.42,42.66,36.04,310614,1244315984.0,16.86,-7.26,-2.85,59.05
2018-07-16,34.98,34.08,35.77,33.21,193268,679522112.0,7.03,-6.43,-2.34,36.74
2018-07-17,33.81,35.48,35.48,33.47,167126,594009344.0,5.9,4.11,1.4,31.77
2018-07-18,35.13,32.28,35.41,32.22,169406,585077168.0,8.99,-9.02,-3.2,32.21
2018-07-19,32.83,32.69,33.29,31.03,125928,416038640.0,7.0,1.27,0.41,23.94
2018-07-20,32.31,32.44,33.09,31.77,100651,335308528.0,4.04,-0.76,-0.25,19.14
2018-07-23,32.21,31.8,32.94,31.51,90944,299308208.0,4.41,-1.97,-0.64,17.29
2018-07-24,31.82,35.06,35.06,31.82,109248,381644464.0,10.19,10.25,3.26,20.77
2018-07-25,38.65,38.65,38.65,36.21,196769,763831456.0,6.96,10.24,3.59,37.41
2018-07-26,37.96,34.71,38.61,34.71,249362,938704192.0,10.09,-10.19,-3.94,47.41
2018-07-27,32.94,31.8,33.57,31.54,195603,649864240.0,5.85,-8.38,-2.91,37.19
2018-07-30,31.51,30.58,32.87,30.12,157227,510230816.0,8.65,-3.84,-1.22,29.89
2018-07-31,30.21,30.04,30.74,29.42,116869,359578192.0,4.32,-1.77,-0.54,22.22
2018-08-01,30.34,30.79,32.48,30.21,160142,510219200.0,7.56,2.5,0.75,30.45
2018-08-02,29.21,28.21,29.69,27.63,154681,450395792.0,6.69,-8.38,-2.58,29.41
2018-08-03,27.95,25.52,28.56,25.36,121008,333360064.0,11.34,-9.54,-2.69,23.01
2018-08-06,25.09,25.68,26.48,24.51,104006,273467504.0,7.72,0.63,0.16,19.77
2018-08-07,26.43,26.69,27.14,25.74,109649,300027632.0,5.45,3.93,1.01,20.85
2018-08-08,26.7,24.18,26.7,24.06,118293,308013456.0,9.89,-9.4,-2.51,22.49
2018-08-09,24.27,24.78,25.37,24.09,91673,234831913.0,5.29,2.48,0.6,17.43
2018-08-10,24.58,24.85,25.36,24.46,78149,200729264.0,3.63,0.28,0.07,14.86
2018-08-13,24.13,25.87,25.88,23.59,114133,293724768.0,9.22,4.1,1.02,21.7
2018-08-14,25.87,26.2,26.65,25.82,113972,307125392.0,3.21,1.28,0.33,21.67
2018-08-15,25.91,26.26,27.87,25.91,138556,382806016.0,7.48,0.23,0.06,26.34
2018-08-16,24.85,25.05,25.71,24.24,93705,242603005.0,5.6,-4.61,-1.21,17.81
2018-08-17,25.53,24.23,25.71,24.01,84797,218933321.0,6.79,-3.27,-0.82,16.12
2018-08-20,23.96,23.69,24.64,22.26,79954,193984096.0,9.82,-2.23,-0.54,15.2
2018-08-21,23.51,23.72,24.01,23.01,68656,167121885.0,4.22,0.13,0.03,13.05
2018-08-22,23.59,22.32,24.0,22.31,70478,168959171.0,7.12,-5.9,-1.4,13.4
2018-08-23,22.35,22.81,23.36,22.35,67468,159742136.0,4.53,2.2,0.49,12.83
2018-08-24,23.03,22.71,23.16,22.28,61666,144828656.0,3.86,-0.44,-0.1,11.72
2018-08-27,22.89,23.33,23.38,22.53,73928,176457242.0,3.74,2.73,0.62,14.05
2018-08-28,23.42,23.19,23.42,22.86,60478,144468542.0,2.4,-0.6,-0.14,11.5
2018-08-29,23.26,22.32,23.31,22.02,71131,165998010.0,5.56,-3.75,-0.87,13.52
2018-08-30,22.38,22.85,24.23,22.35,107101,256326076.0,8.42,2.37,0.53,20.36
2018-08-31,22.86,21.89,22.86,21.82,63885,146331789.0,4.55,-4.2,-0.96,12.15
2018-09-03,21.21,20.81,21.47,20.16,69561,149699103.0,5.98,-4.93,-1.08,13.22
2018-09-04,20.61,21.06,21.81,20.61,55889,122848526.0,5.77,1.2,0.25,10.63
2018-09-05,21.13,20.52,21.53,20.41,67983,148490531.0,5.32,-2.56,-0.54,12.92
2018-09-06,20.46,22.65,22.65,20.46,59454,135981333.0,10.67,10.38,2.13,11.3
2018-09-07,23.62,23.0,24.01,22.07,171595,408508160.0,8.57,1.55,0.35,32.62
2018-09-10,22.57,21.61,22.65,21.51,94189,215861228.0,4.96,-6.04,-1.39,17.91
2018-09-11,21.97,21.96,22.41,21.57,68682,156511013.0,3.89,1.62,0.35,13.06
2018-09-12,21.61,22.06,22.21,21.36,56095,127055654.0,3.87,0.46,0.1,10.66
2018-09-13,22.71,22.21,23.39,21.81,65412,151082819.0,7.16,0.68,0.15,12.44
2018-09-14,22.2,20.49,22.21,20.26,75902,166791792.0,8.78,-7.74,-1.72,14.43
2018-09-17,20.18,19.47,20.18,19.21,50058,101473701.0,4.73,-4.98,-1.02,9.52
2018-09-18,19.3,20.5,20.71,19.22,70940,147655699.0,7.65,5.29,1.03,13.49
2018-09-19,20.49,20.49,21.18,20.19,67477,144115466.0,4.83,-0.05,-0.01,12.83
2018-09-20,20.75,19.97,20.75,19.92,48768,102524035.0,4.05,-2.54,-0.52,9.27
2018-09-21,20.01,20.14,20.31,19.77,40434,84362438.0,2.7,0.85,0.17,7.69
2018-09-25,20.15,20.24,20.46,19.96,35143,73900955.0,2.48,0.5,0.1,6.68
2018-09-26,20.38,20.1,20.39,19.99,39680,83161649.0,1.98,-0.69,-0.14,7.54
2018-09-27,20.09,18.58,20.17,18.56,64587,129472246.0,8.01,-7.56,-1.52,12.28
2018-09-28,18.73,18.98,19.31,18.72,44417,88194102.0,3.18,2.15,0.4,8.44
2018-10-29,17.77,17.39,18.95,17.21,44571,82855950.0,9.17,-8.38,-1.59,8.47
2018-10-30,17.19,19.21,19.21,17.17,102978,203903568.0,11.73,10.47,1.82,19.58
2018-10-31,19.43,19.74,20.41,18.91,139862,286145568.0,7.81,2.76,0.53,26.59
2018-11-01,19.41,19.37,19.64,19.01,102261,205410427.0,3.19,-1.87,-0.37,19.44
2018-11-02,19.35,19.67,19.69,19.23,87676,177718818.0,2.37,1.55,0.3,16.67
2018-11-05,19.98,19.6,20.21,19.3,87582,180244327.0,4.63,-0.36,-0.07,16.65
2018-11-06,19.21,18.73,19.21,18.11,74214,144099474.0,5.61,-4.44,-0.87,14.11
2018-11-07,18.56,18.56,18.92,18.42,44400,86242800.0,2.67,-0.91,-0.17,8.44
2018-11-08,19.16,18.58,19.17,18.46,43640,85521667.0,3.83,0.11,0.02,8.3
2018-11-09,18.31,18.16,18.64,18.03,34068,65010744.0,3.28,-2.26,-0.42,6.48
2018-11-12,18.1,18.73,18.79,18.0,46410,89402878.0,4.35,3.14,0.57,8.82
2018-11-13,18.32,18.91,19.19,18.31,64330,125791965.0,4.7,0.96,0.18,12.23
2018-11-14,18.91,19.39,19.68,18.73,86569,173291712.0,5.02,2.54,0.48,16.46
2018-11-15,19.37,19.81,19.98,18.99,102974,208883200.0,5.11,2.17,0.42,19.58
2018-11-16,19.98,19.46,19.98,19.39,62325,126782390.0,2.98,-1.77,-0.35,11.85
2018-11-19,19.33,19.91,20.02,19.27,64316,131775872.0,3.85,2.31,0.45,12.23
2018-11-20,19.62,18.71,19.69,18.5,56004,112464664.0,5.98,-6.03,-1.2,10.65
2018-11-21,18.41,18.5,18.66,18.21,35510,68238100.0,2.41,-1.12,-0.21,6.75
2018-11-22,18.56,18.49,18.78,18.32,28418,54955377.0,2.49,-0.05,-0.01,5.4
2018-11-23,18.41,17.18,18.62,17.11,49857,92275158.0,8.17,-7.08,-1.31,9.48
2018-11-26,17.21,16.97,17.49,16.87,22467,40240673.0,3.61,-1.22,-0.21,4.27
2018-11-27,17.02,16.94,17.21,16.76,21294,37892287.0,2.65,-0.18,-0.03,4.05
2018-11-28,16.94,17.01,17.01,16.24,27703,48537075.0,4.55,0.41,0.07,5.27
2018-11-29,17.14,16.28,17.25,16.23,30545,53485755.0,6.0,-4.29,-0.73,5.81
2018-11-30,16.03,16.31,16.56,15.86,29818,50735675.0,4.3,0.18,0.03,5.67
2018-12-03,16.76,16.81,16.97,16.36,37049,64999148.0,3.74,3.07,0.5,7.04
2018-12-04,16.75,16.95,17.02,16.57,33769,59461440.0,2.68,0.83,0.14,6.42
2018-12-05,16.54,16.41,16.68,16.31,31498,54428619.0,2.18,-3.19,-0.54,5.99
