日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-08-02,4.89,6.05,6.05,4.89,106695,95460009.0,29.59,54.34,2.13,0.92
2016-08-03,6.74,6.74,6.74,6.74,80270,79708418.0,0.0,11.4,0.69,0.7
2016-08-04,7.5,7.5,7.5,7.5,54761,59798706.0,0.0,11.28,0.76,0.47
2016-08-05,8.34,8.34,8.34,7.72,5469614,6432869120.0,8.27,11.2,0.84,47.38
2016-08-08,8.18,7.92,8.18,7.78,4064548,4670736640.0,4.8,-5.04,-0.42,35.21
2016-08-09,7.9,8.48,8.71,7.86,4727997,5584560384.0,10.73,7.07,0.56,40.95
2016-08-10,8.33,8.86,9.23,8.23,4381806,5435933952.0,11.79,4.48,0.38,37.96
2016-08-11,8.72,8.63,9.3,8.58,3634283,4626589440.0,8.13,-2.6,-0.23,31.48
2016-08-12,8.63,9.51,9.56,8.52,4045348,5222662400.0,12.05,10.2,0.88,35.04
2016-08-15,9.49,10.15,10.52,9.37,4546387,6350872832.0,12.09,6.73,0.64,39.38
2016-08-16,9.99,10.07,10.13,9.87,3111208,4400520192.0,2.56,-0.79,-0.08,26.95
2016-08-17,10.01,9.65,10.01,9.41,3045651,4193537536.0,5.96,-4.17,-0.42,26.38
2016-08-18,9.56,9.61,9.81,9.5,2071181,2833380112.0,3.21,-0.41,-0.04,17.94
2016-08-19,9.62,9.29,9.66,9.22,2031242,2705956176.0,4.58,-3.33,-0.32,17.59
2016-08-22,9.22,9.12,9.27,8.96,1602687,2085723888.0,3.34,-1.83,-0.17,13.88
2016-08-23,9.05,9.21,9.26,9.0,1552113,2023571680.0,2.85,0.99,0.09,13.44
2016-08-24,9.16,8.86,9.25,8.83,1722795,2219006080.0,4.56,-3.8,-0.35,14.92
2016-08-25,8.69,8.62,8.7,8.47,1425750,1759943808.0,2.6,-2.71,-0.24,12.35
2016-08-26,8.62,8.42,8.66,8.41,1174629,1441192704.0,2.9,-2.32,-0.2,10.17
2016-08-29,8.39,8.47,8.54,8.36,748149,909968176.0,2.14,0.59,0.05,6.48
2016-08-30,8.51,8.49,8.58,8.39,826425,1007218688.0,2.24,0.24,0.02,7.16
2016-08-31,8.51,8.62,8.83,8.4,1823037,2258230784.0,5.06,1.53,0.13,15.79
2016-09-01,8.56,8.34,8.59,8.32,1218159,1479903536.0,3.13,-3.25,-0.28,10.55
2016-09-02,8.26,8.19,8.32,8.13,943854,1119917952.0,2.28,-1.8,-0.15,8.18
2016-09-05,8.22,8.02,8.23,7.98,852996,998122816.0,3.05,-2.08,-0.17,7.39
2016-09-06,7.99,8.13,8.18,7.99,787036,919672880.0,2.37,1.37,0.11,6.82
2016-09-07,8.1,8.06,8.18,8.04,716304,836543040.0,1.72,-0.86,-0.07,6.2
2016-09-08,8.05,8.06,8.11,8.0,533484,620784608.0,1.36,0.0,0.0,4.62
2016-09-09,8.06,7.89,8.06,7.87,717560,826884640.0,2.36,-2.11,-0.17,6.22
2016-09-12,7.72,7.49,7.72,7.48,955649,1056022768.0,3.04,-5.07,-0.4,8.28
2016-09-13,7.56,7.6,7.71,7.5,735476,813754976.0,2.8,1.47,0.11,6.37
2016-09-14,7.54,7.48,7.56,7.44,454107,496161744.0,1.58,-1.58,-0.12,3.93
2016-09-19,7.48,7.56,7.62,7.48,417856,459940464.0,1.87,1.07,0.08,3.62
2016-09-20,7.55,7.57,7.68,7.49,489916,540216208.0,2.51,0.13,0.01,4.24
2016-09-21,7.55,7.53,7.56,7.5,370051,405393328.0,0.79,-0.53,-0.04,3.21
2016-09-22,7.57,7.51,7.6,7.49,499210,548007328.0,1.46,-0.27,-0.02,4.32
2016-09-23,7.52,7.3,7.52,7.29,675813,728752080.0,3.06,-2.8,-0.21,5.85
2016-09-26,7.26,6.89,7.26,6.88,891840,921770896.0,5.21,-5.62,-0.41,7.73
2016-09-27,6.85,6.93,6.95,6.81,526284,531108032.0,2.03,0.58,0.04,4.56
2016-09-28,6.9,6.82,6.91,6.8,397690,400129888.0,1.59,-1.59,-0.11,3.44
2016-09-29,6.85,6.83,6.89,6.82,363724,366748752.0,1.03,0.15,0.01,3.15
2016-09-30,6.8,6.79,6.82,6.76,364912,364655264.0,0.88,-0.59,-0.04,3.16
2016-10-10,6.82,6.92,6.94,6.78,545511,550969216.0,2.36,1.91,0.13,4.73
2016-10-11,6.93,6.94,6.99,6.9,478246,487355760.0,1.3,0.29,0.02,4.14
2016-10-12,6.92,6.89,6.95,6.86,371836,376967488.0,1.3,-0.72,-0.05,3.22
2016-10-13,6.91,6.85,6.92,6.84,378588,382248352.0,1.16,-0.58,-0.04,3.28
2016-10-14,6.85,6.95,6.96,6.82,670571,680865504.0,2.04,1.46,0.1,5.81
2016-10-17,6.95,6.81,6.95,6.79,523206,527692576.0,2.3,-2.01,-0.14,4.53
2016-10-18,6.79,6.92,6.93,6.78,600738,606177760.0,2.2,1.62,0.11,5.2
2016-10-19,6.93,6.89,6.93,6.84,429839,434918880.0,1.3,-0.43,-0.03,3.72
2016-10-20,6.88,6.86,6.89,6.81,352072,354867264.0,1.16,-0.44,-0.03,3.05
2016-10-21,6.84,6.89,6.93,6.82,467730,472528176.0,1.6,0.44,0.03,4.05
2016-10-24,6.91,7.12,7.23,6.86,1610456,1668948928.0,5.37,3.34,0.23,13.95
2016-10-25,7.09,7.1,7.14,7.05,668355,694393376.0,1.26,-0.28,-0.02,5.79
2016-10-26,7.09,6.99,7.09,6.94,693834,712505024.0,2.11,-1.55,-0.11,6.01
2016-10-27,6.99,6.94,6.99,6.92,365280,372323904.0,1.0,-0.72,-0.05,3.16
2016-10-28,6.94,7.06,7.36,6.94,1211451,1268743600.0,6.05,1.73,0.12,10.49
2016-10-31,7.02,7.09,7.14,6.94,694419,715647296.0,2.83,0.42,0.03,6.02
2016-11-01,7.05,7.09,7.12,6.99,478639,495604928.0,1.83,0.0,0.0,4.15
2016-11-02,7.06,6.95,7.07,6.94,584642,599431040.0,1.83,-1.97,-0.14,5.06
2016-11-03,6.92,6.96,7.01,6.89,492845,502718272.0,1.73,0.14,0.01,4.27
2016-11-04,6.95,6.91,6.98,6.89,428583,435913376.0,1.29,-0.72,-0.05,3.71
2016-11-07,6.91,6.89,6.92,6.86,322354,326258864.0,0.87,-0.29,-0.02,2.79
2016-11-08,6.92,7.08,7.22,6.89,902447,929521648.0,4.79,2.76,0.19,7.82
2016-11-09,7.04,6.92,7.06,6.88,737647,753521808.0,2.54,-2.26,-0.16,6.39
2016-11-10,6.96,7.13,7.22,6.96,1287017,1341446464.0,3.76,3.03,0.21,11.15
2016-11-11,7.15,7.2,7.27,7.07,1192556,1250790048.0,2.81,0.98,0.07,10.33
2016-11-14,7.15,7.35,7.44,7.12,1452966,1550964848.0,4.44,2.08,0.15,12.59
2016-11-15,7.28,7.26,7.32,7.2,635367,673058720.0,1.63,-1.22,-0.09,5.5
2016-11-16,7.26,7.21,7.29,7.19,445567,471026240.0,1.38,-0.69,-0.05,3.86
2016-11-17,7.18,7.19,7.21,7.12,420183,440289568.0,1.25,-0.28,-0.02,3.64
2016-11-18,7.17,7.09,7.19,7.08,444019,463404432.0,1.53,-1.39,-0.1,3.85
2016-11-21,7.09,7.13,7.2,7.07,516430,540491712.0,1.83,0.56,0.04,4.47
2016-11-22,7.15,7.25,7.26,7.13,748732,787959200.0,1.82,1.68,0.12,6.49
2016-11-23,7.26,7.37,7.56,7.22,1766201,1910721888.0,4.69,1.66,0.12,15.3
2016-11-24,7.33,7.65,7.69,7.31,1690298,1853149280.0,5.16,3.8,0.28,14.64
2016-11-25,7.63,7.66,7.77,7.5,989557,1098397024.0,3.53,0.13,0.01,8.57
2016-11-28,7.72,7.82,7.99,7.72,1411638,1612827376.0,3.52,2.09,0.16,12.23
2016-11-29,7.75,7.59,7.81,7.56,859018,958847264.0,3.2,-2.94,-0.23,7.44
2016-11-30,7.55,7.39,7.56,7.32,770952,833574896.0,3.16,-2.64,-0.2,6.68
2016-12-01,7.39,7.45,7.52,7.39,429351,466336480.0,1.76,0.81,0.06,3.72
2016-12-02,7.46,7.32,7.46,7.29,376450,403724096.0,2.28,-1.74,-0.13,3.26
2016-12-05,7.23,7.19,7.28,7.15,455637,479550384.0,1.78,-1.78,-0.13,3.95
2016-12-06,7.21,7.22,7.26,7.17,337025,355296880.0,1.25,0.42,0.03,2.92
2016-12-07,7.21,7.26,7.26,7.11,363470,381604048.0,2.08,0.55,0.04,3.15
2016-12-08,7.26,7.39,7.48,7.22,635050,683347296.0,3.58,1.79,0.13,5.5
2016-12-09,7.36,7.49,7.68,7.31,872863,959415024.0,5.01,1.35,0.1,7.56
2016-12-12,7.46,7.3,7.69,7.29,854525,929952912.0,5.34,-2.54,-0.19,7.4
2016-12-13,7.26,7.27,7.35,7.16,427474,451949088.0,2.6,-0.41,-0.03,3.7
2016-12-14,7.24,7.33,7.42,7.18,518985,555132736.0,3.3,0.83,0.06,4.5
2016-12-15,7.29,7.16,7.39,7.11,563706,592943568.0,3.82,-2.32,-0.17,4.88
2016-12-16,7.11,7.06,7.16,7.02,402450,417072928.0,1.96,-1.4,-0.1,3.49
2016-12-19,7.03,6.86,7.06,6.79,608411,616231504.0,3.82,-2.83,-0.2,5.27
2016-12-20,6.87,6.79,6.87,6.76,512735,512335296.0,1.6,-1.02,-0.07,4.44
2016-12-21,6.8,6.87,6.89,6.8,278204,280273872.0,1.33,1.18,0.08,2.41
2016-12-22,6.87,6.82,6.87,6.78,222390,222956648.0,1.31,-0.73,-0.05,1.93
2016-12-23,6.82,6.66,6.82,6.64,395046,391788560.0,2.64,-2.35,-0.16,3.42
2016-12-26,6.64,6.6,6.64,6.41,463864,445752912.0,3.45,-0.9,-0.06,4.02
2016-12-27,6.58,6.49,6.6,6.48,384907,371258464.0,1.82,-1.67,-0.11,3.33
2016-12-28,6.49,6.47,6.52,6.45,180013,172746346.0,1.08,-0.31,-0.02,1.56
2016-12-29,6.48,6.49,6.56,6.45,252194,242686023.0,1.7,0.31,0.02,2.18
2016-12-30,6.49,6.51,6.53,6.49,186057,179001651.0,0.62,0.31,0.02,1.61
2017-01-03,6.52,6.6,6.61,6.52,293717,285633456.0,1.38,1.38,0.09,2.54
2017-01-04,6.6,6.64,6.66,6.56,270386,263747423.0,1.52,0.61,0.04,2.34
2017-01-05,6.64,6.59,6.64,6.59,195946,191106228.0,0.75,-0.75,-0.05,1.7
2017-01-06,6.59,6.51,6.59,6.5,214133,206689902.0,1.37,-1.21,-0.08,1.85
2017-01-09,6.51,6.53,6.55,6.49,129731,125087157.0,0.92,0.31,0.02,1.12
2017-01-10,6.52,6.5,6.53,6.49,150975,145255852.0,0.61,-0.46,-0.03,1.31
2017-01-11,6.49,6.42,6.51,6.41,216860,207022220.0,1.54,-1.23,-0.08,1.88
2017-01-12,6.41,6.23,6.42,6.2,372177,348666432.0,3.43,-2.96,-0.19,3.22
2017-01-13,6.21,6.29,6.36,6.08,504468,464983456.0,4.49,0.96,0.06,4.37
2017-01-16,6.24,6.41,6.44,6.1,869621,814682432.0,5.41,1.91,0.12,7.53
2017-01-17,6.33,6.36,6.41,6.3,224968,212040079.0,1.72,-0.78,-0.05,1.95
2017-01-18,6.35,6.29,6.36,6.28,192685,180686047.0,1.26,-1.1,-0.07,1.67
2017-01-19,6.29,6.29,6.33,6.27,162770,152312666.0,0.95,0.0,0.0,1.41
2017-01-20,6.26,6.37,6.4,6.26,219808,207100707.0,2.23,1.27,0.08,1.9
2017-01-23,6.36,6.39,6.43,6.36,175718,166651862.0,1.1,0.31,0.02,1.52
2017-01-24,6.39,6.35,6.39,6.32,115526,108910377.0,1.1,-0.63,-0.04,1.0
2017-01-25,6.32,6.39,6.4,6.3,121557,115009820.0,1.57,0.63,0.04,1.05
2017-01-26,6.39,6.48,6.49,6.39,240324,229962822.0,1.56,1.41,0.09,2.08
2017-02-03,6.47,6.44,6.48,6.42,108887,103926455.0,0.93,-0.62,-0.04,0.94
2017-02-06,6.45,6.49,6.49,6.42,146057,139771912.0,1.09,0.78,0.05,1.27
2017-02-07,6.46,6.42,6.49,6.39,148159,141161160.0,1.54,-1.08,-0.07,1.28
2017-02-08,6.4,6.48,6.48,6.33,233230,221228501.0,2.34,0.93,0.06,2.02
2017-02-09,6.45,6.49,6.52,6.43,240135,230586901.0,1.39,0.15,0.01,2.08
2017-02-10,6.49,6.62,6.7,6.49,580402,569009424.0,3.24,2.0,0.13,5.03
2017-02-13,6.7,6.8,7.07,6.65,1027036,1034218624.0,6.34,2.72,0.18,8.9
2017-02-14,6.82,6.71,6.84,6.65,444717,440705664.0,2.79,-1.32,-0.09,3.85
2017-02-15,6.72,6.87,7.02,6.7,1066388,1083650400.0,4.77,2.38,0.16,9.24
2017-02-16,6.85,6.99,7.06,6.79,804084,819952384.0,3.93,1.75,0.12,6.97
2017-02-17,6.94,6.77,7.02,6.76,685201,692343520.0,3.72,-3.15,-0.22,5.94
2017-02-20,6.74,7.25,7.33,6.72,1685515,1750422800.0,9.01,7.09,0.48,14.6
2017-02-21,7.22,7.08,7.29,7.03,954801,993314304.0,3.59,-2.34,-0.17,8.27
2017-02-22,7.05,6.97,7.05,6.9,634358,647527728.0,2.12,-1.55,-0.11,5.49
2017-02-23,6.96,6.99,7.05,6.91,422323,432606608.0,2.01,0.29,0.02,3.66
2017-02-24,6.98,6.92,6.99,6.84,552613,559998944.0,2.15,-1.0,-0.07,4.79
2017-02-27,6.91,6.83,6.93,6.82,368522,371861568.0,1.59,-1.3,-0.09,3.19
2017-02-28,6.84,7.1,7.21,6.84,1218696,1262548784.0,5.42,3.95,0.27,10.56
2017-03-01,7.06,6.98,7.16,6.97,752033,777635968.0,2.68,-1.69,-0.12,6.51
2017-03-02,7.02,7.11,7.23,7.0,1126379,1175767056.0,3.3,1.86,0.13,9.76
2017-03-03,7.05,6.93,7.07,6.92,618196,632654576.0,2.11,-2.53,-0.18,5.35
2017-03-06,6.92,6.96,7.02,6.88,416136,424333824.0,2.02,0.43,0.03,3.6
2017-03-07,6.93,7.05,7.06,6.91,535925,550405808.0,2.16,1.29,0.09,4.64
2017-03-08,7.02,6.98,7.08,6.95,478925,492120928.0,1.84,-0.99,-0.07,4.15
2017-03-09,6.96,6.87,6.99,6.83,528597,535217104.0,2.29,-1.58,-0.11,4.58
2017-03-10,6.87,6.79,6.9,6.78,449496,451135152.0,1.75,-1.16,-0.08,3.89
2017-03-13,6.79,6.82,6.83,6.72,306419,305591472.0,1.62,0.44,0.03,2.65
2017-03-14,6.82,6.79,6.86,6.76,276127,276796992.0,1.47,-0.44,-0.03,2.39
2017-03-15,6.79,6.79,6.82,6.76,230579,230322368.0,0.88,0.0,0.0,2.0
2017-03-16,6.8,7.01,7.07,6.8,921255,942751600.0,3.98,3.24,0.22,7.98
2017-03-17,6.99,6.85,7.01,6.82,617407,626623600.0,2.71,-2.28,-0.16,5.35
