日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.76,2.78,2.81,2.75,20753,40632445.81,2.18,1.09,0.03,4.94
2010-01-05,2.8,2.86,2.87,2.76,39575,78764774.41,3.96,2.88,0.08,9.42
2010-01-06,2.87,2.86,2.9,2.82,31201,62870212.18,2.8,0.0,0.0,7.43
2010-01-07,2.84,2.76,2.87,2.7,31142,60690811.16,5.94,-3.5,-0.1,7.41
2010-01-08,2.71,2.78,2.79,2.7,15400,29917081.56,3.26,0.72,0.02,3.67
2010-01-11,2.74,2.77,2.8,2.72,18723,36246382.0,2.88,-0.36,-0.01,4.46
2010-01-12,2.76,2.85,2.86,2.74,32259,63953601.1,4.33,2.89,0.08,7.68
2010-01-13,2.8,2.79,2.86,2.77,24511,48490318.88,3.16,-2.11,-0.06,5.84
2010-01-14,2.82,2.95,2.97,2.8,65638,134049429.41,6.09,5.73,0.16,15.63
2010-01-18,2.94,2.95,2.97,2.87,32571,66822266.34,3.39,0.0,0.0,7.76
2010-01-19,2.95,2.9,2.96,2.9,24551,50294272.14,2.03,-1.69,-0.05,5.85
2010-01-20,2.9,2.98,3.14,2.87,85510,180503378.46,9.31,2.76,0.08,20.36
2010-01-21,2.92,2.92,2.97,2.84,39882,81686615.57,4.36,-2.01,-0.06,9.5
2010-01-22,2.84,2.8,2.9,2.7,32648,64324362.92,6.85,-4.11,-0.12,7.77
2010-01-25,2.79,2.7,2.83,2.67,12889,25008238.01,5.71,-3.57,-0.1,3.07
2010-01-26,2.7,2.63,2.74,2.56,18273,33876743.38,6.67,-2.59,-0.07,4.35
2010-01-27,2.59,2.6,2.64,2.56,13115,24015815.86,3.04,-1.14,-0.03,3.12
2010-01-28,2.6,2.65,2.69,2.6,11079,20675681.91,3.46,1.92,0.05,2.64
2010-01-29,2.63,2.65,2.71,2.6,13312,24967806.09,4.15,0.0,0.0,3.17
2010-02-01,2.64,2.56,2.69,2.47,21206,38409518.49,8.3,-3.4,-0.09,5.05
