日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-04-17,23.09,27.83,27.83,23.09,300,1441900.0,24.76,45.4,8.69,0.13
2018-04-18,30.67,30.67,30.67,30.67,253,1337041.0,0.0,10.2,2.84,0.11
2018-04-19,33.8,33.8,33.8,33.8,218,1266274.0,0.0,10.21,3.13,0.09
2018-04-20,37.25,37.25,37.25,37.25,2664,17040648.0,0.0,10.21,3.45,1.13
2018-04-23,41.03,41.03,41.03,41.03,3212,22599537.0,0.0,10.15,3.78,1.36
2018-04-24,45.2,45.2,45.2,45.2,1090,8439083.0,0.0,10.16,4.17,0.46
2018-04-25,49.78,49.78,49.78,49.78,1098,9345468.0,0.0,10.13,4.58,0.46
2018-04-26,54.82,54.82,54.82,54.82,8594,80500092.0,0.0,10.12,5.04,3.63
2018-04-27,56.2,50.46,56.2,50.06,151077,1385734208.0,11.2,-7.95,-4.36,63.88
2018-05-02,48.51,48.37,49.03,46.44,82891,681185952.0,5.13,-4.14,-2.09,35.05
2018-05-03,47.9,51.19,53.24,47.62,94653,825486976.0,11.62,5.83,2.82,40.02
2018-05-04,50.17,48.0,51.68,47.32,75398,638140752.0,8.52,-6.23,-3.19,31.88
2018-05-07,48.78,50.64,52.65,48.51,73883,640659808.0,8.63,5.5,2.64,31.24
2018-05-08,50.8,54.54,55.73,50.31,97491,882669936.0,10.7,7.7,3.9,41.22
2018-05-09,56.2,54.12,57.26,53.36,87234,821518320.0,7.15,-0.77,-0.42,36.89
2018-05-10,53.52,53.9,55.22,52.19,63856,583338592.0,5.6,-0.41,-0.22,27.0
2018-05-11,53.69,51.46,55.59,51.4,70619,645914352.0,7.77,-4.53,-2.44,29.86
2018-05-14,50.87,52.57,53.76,50.87,59734,534910800.0,5.62,2.16,1.11,25.26
2018-05-15,53.0,56.33,56.59,52.65,80832,751223920.0,7.49,7.15,3.76,34.18
2018-05-16,55.1,53.49,55.3,52.06,66950,616615744.0,5.75,-5.04,-2.84,28.31
2018-05-17,53.51,53.56,54.93,53.29,51859,479580032.0,3.07,0.13,0.07,21.93
2018-05-18,52.68,52.76,53.24,51.46,51948,464428464.0,3.32,-1.49,-0.8,21.97
2018-05-21,53.12,55.75,57.26,52.77,75287,708558384.0,8.51,5.67,2.99,31.84
2018-05-22,55.6,56.7,58.44,55.03,76942,743590384.0,6.12,1.7,0.95,32.54
2018-05-23,57.31,56.87,59.57,55.69,77674,762801152.0,6.84,0.3,0.17,32.84
2018-05-24,57.32,55.07,57.38,54.02,52051,490243840.0,5.91,-3.17,-1.8,22.01
2018-05-25,55.46,53.69,55.9,53.59,41227,385252144.0,4.19,-2.51,-1.38,17.43
2018-05-28,53.24,48.77,53.24,48.39,56519,486969280.0,9.03,-9.16,-4.92,23.9
2018-05-29,48.51,49.01,49.75,48.21,33496,280908912.0,3.16,0.49,0.24,14.16
2018-05-30,47.29,44.53,47.88,44.12,47370,374684272.0,7.67,-9.14,-4.48,20.03
2018-05-31,45.43,45.71,45.87,43.84,40750,315039360.0,4.56,2.65,1.18,17.23
2018-06-01,45.0,44.98,46.01,43.62,33296,256249962.0,5.23,-1.6,-0.73,14.08
2018-06-04,45.84,45.42,45.95,44.72,24386,189685568.0,2.73,0.98,0.44,10.31
2018-06-05,45.25,47.2,47.38,45.25,34845,277034464.0,4.69,3.92,1.78,14.73
2018-06-06,46.74,46.61,47.02,46.01,29792,237168987.0,2.14,-1.25,-0.59,12.6
2018-06-07,46.99,45.44,47.09,45.01,28847,226638570.0,4.46,-2.51,-1.17,12.2
2018-06-08,44.78,44.9,45.12,44.13,25708,196136986.0,2.18,-1.19,-0.54,10.87
2018-06-11,44.36,43.28,44.93,43.17,24959,188060114.0,3.92,-3.61,-1.62,10.55
