日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.52,12.25,12.71,12.23,40436,61909924.0,3.84,-2.08,-0.26,2.0
2010-01-05,12.22,11.83,12.23,11.66,67123,98480392.0,4.65,-3.43,-0.42,3.33
2010-01-06,11.81,11.95,12.15,11.63,61004,89855096.0,4.4,1.01,0.12,3.02
2010-01-07,11.93,11.76,12.08,11.68,43989,64817308.0,3.35,-1.59,-0.19,2.18
2010-01-08,11.76,12.0,12.0,11.72,45451,66873724.0,2.38,2.04,0.24,2.25
2010-01-11,11.93,11.54,12.05,11.43,60918,88208744.0,5.17,-3.83,-0.46,3.02
2010-01-12,11.62,11.78,11.83,11.4,43894,63345584.0,3.73,2.08,0.24,2.18
2010-01-13,11.52,11.2,11.66,11.16,70865,100085336.0,4.24,-4.92,-0.58,3.51
2010-01-14,11.23,11.41,11.53,11.18,41690,58793252.0,3.13,1.88,0.21,2.07
2010-01-15,11.45,11.86,11.91,11.45,78871,115450104.0,4.03,3.94,0.45,3.91
2010-01-18,11.87,12.0,12.2,11.87,63353,94367336.0,2.78,1.18,0.14,3.14
2010-01-19,12.02,11.87,12.05,11.79,56931,83908816.0,2.17,-1.08,-0.13,2.82
2010-01-20,11.92,11.39,11.92,11.35,42275,60820316.0,4.8,-4.04,-0.48,2.1
2010-01-21,11.38,11.55,11.58,11.19,40117,56648924.0,3.42,1.4,0.16,1.99
2010-01-22,11.42,11.92,11.98,11.33,89653,129896248.0,5.63,3.2,0.37,4.44
2010-01-25,11.83,11.3,11.86,11.2,64249,91835336.0,5.54,-5.2,-0.62,3.19
2010-01-26,11.28,10.6,11.4,10.56,46848,63520752.0,7.43,-6.19,-0.7,2.32
2010-01-27,10.58,10.57,10.84,10.47,24385,32275726.0,3.49,-0.28,-0.03,1.21
2010-01-29,10.59,10.45,10.79,10.42,40293,53073380.0,3.5,-1.14,-0.12,2.0
2010-02-01,10.43,10.55,10.67,9.89,46384,59075408.0,7.46,0.96,0.1,2.3
2010-02-02,10.51,10.51,10.8,10.48,42593,56562352.0,3.03,-0.38,-0.04,2.11
2010-02-03,10.43,11.05,11.06,10.1,51617,68708752.0,9.13,5.14,0.54,2.56
2010-02-04,10.89,11.17,11.37,10.8,53835,74778624.0,5.16,1.09,0.12,2.67
2010-02-05,10.97,10.55,11.0,10.48,36334,48538564.0,4.66,-5.55,-0.62,1.8
2010-02-08,10.58,10.3,10.66,10.3,21002,27252596.0,3.41,-2.37,-0.25,1.04
2010-02-09,10.3,10.2,10.43,10.11,17037,21742958.0,3.11,-0.97,-0.1,0.84
2010-02-10,10.3,10.36,10.36,10.18,17499,22415688.0,1.76,1.57,0.16,0.87
