日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.61,4.6,4.68,4.6,27978,19676722.45,1.72,-0.86,-0.04,0.76
2010-01-05,4.6,4.62,4.68,4.6,29013,20400665.93,1.74,0.43,0.02,0.79
2010-01-06,4.68,4.48,4.68,4.47,38325,26552602.13,4.55,-3.03,-0.14,1.05
2010-01-07,4.5,4.36,4.57,4.32,34872,23612773.46,5.58,-2.68,-0.12,0.95
2010-01-08,4.33,4.37,4.4,4.27,25352,16806253.36,2.98,0.23,0.01,0.69
2010-01-11,4.37,4.39,4.45,4.32,23363,15606433.08,2.97,0.46,0.02,0.64
2010-01-12,4.39,4.47,4.49,4.32,26929,18061258.49,3.87,1.82,0.08,0.74
2010-01-13,4.36,4.33,4.45,4.32,25759,17167533.82,2.91,-3.13,-0.14,0.7
2010-01-14,4.33,4.42,4.44,4.26,37548,25006640.57,4.16,2.08,0.09,1.03
2010-01-15,4.45,4.55,4.55,4.45,43489,29929556.41,2.26,2.94,0.13,1.19
2010-01-18,4.55,4.56,4.67,4.52,31286,21742605.7,3.3,0.22,0.01,0.86
2010-01-19,4.61,4.5,4.61,4.48,26971,18524048.26,2.85,-1.32,-0.06,0.74
2010-01-20,4.52,4.35,4.55,4.32,30608,20596653.87,5.11,-3.33,-0.15,0.84
2010-01-21,4.35,4.44,4.5,4.32,26996,18148697.59,4.14,2.07,0.09,0.74
2010-01-22,4.42,4.32,4.44,4.27,21040,13932278.13,3.83,-2.7,-0.12,0.58
2010-01-25,4.29,4.09,4.29,4.09,49427,31123958.17,4.63,-5.32,-0.23,1.35
2010-01-26,3.87,3.87,3.97,3.87,37489,22382291.98,2.44,-5.38,-0.22,1.02
2010-01-27,3.65,3.77,3.86,3.65,90404,51636198.08,5.43,-2.58,-0.1,2.47
2010-01-28,3.82,3.86,3.98,3.78,50157,30019166.29,5.31,2.39,0.09,1.37
2010-01-29,3.85,3.77,3.91,3.65,29021,17081435.86,6.74,-2.33,-0.09,0.79
2010-02-01,3.72,3.85,3.88,3.56,32573,18726485.81,8.49,2.12,0.08,0.89
2010-02-02,3.89,3.81,3.94,3.8,21934,13080890.99,3.64,-1.04,-0.04,0.6
2010-02-03,3.8,3.8,3.87,3.66,19622,11420145.1,5.51,-0.26,-0.01,0.54
2010-02-04,3.84,3.87,3.91,3.76,29047,17290655.77,3.95,1.84,0.07,0.79
2010-02-05,3.79,4.03,4.08,3.75,54086,32998486.58,8.53,4.13,0.16,1.48
2010-02-08,3.95,3.97,4.11,3.92,24094,14819577.2,4.71,-1.49,-0.06,0.66
2010-02-09,3.93,3.95,4.02,3.93,14817,9026852.67,2.27,-0.5,-0.02,0.4
2010-02-10,3.98,4.04,4.17,3.79,32690,20210295.62,9.62,2.28,0.09,0.89
2010-02-11,4.0,3.97,4.07,3.97,13693,8405494.74,2.48,-1.73,-0.07,0.37
2010-02-12,3.97,4.0,4.03,3.97,10765,6632585.23,1.51,0.76,0.03,0.29
2010-02-22,4.01,4.0,4.07,3.98,17196,10620511.07,2.25,0.0,0.0,0.47
2010-02-23,3.95,3.95,4.02,3.89,18897,11437826.02,3.25,-1.25,-0.05,0.52
2010-02-24,3.97,4.02,4.02,3.84,26922,16399529.51,4.56,1.77,0.07,0.74
2010-02-25,4.02,4.11,4.15,3.96,38733,24145860.76,4.73,2.24,0.09,1.06
2010-02-26,4.07,4.1,4.15,4.05,23303,14688903.36,2.43,-0.24,-0.01,0.64
2010-03-01,4.27,4.32,4.32,4.25,121937,80167353.28,1.71,5.37,0.22,3.33
2010-03-02,4.32,4.25,4.35,4.18,78328,50962269.87,3.94,-1.62,-0.07,2.14
2010-03-03,4.25,4.24,4.29,4.18,34294,22146010.92,2.59,-0.24,-0.01,0.94
2010-03-04,4.24,4.02,4.25,4.01,46806,29567173.66,5.66,-5.19,-0.22,1.28
2010-03-05,4.02,4.03,4.09,3.97,26992,16739437.72,2.99,0.25,0.01,0.74
2010-03-08,4.0,4.04,4.05,3.99,24309,14990247.28,1.49,0.25,0.01,0.66
2010-03-09,4.05,4.26,4.26,4.05,84371,54646128.75,5.2,5.45,0.22,2.31
2010-03-10,4.29,4.15,4.29,4.1,56804,36194742.72,4.46,-2.58,-0.11,1.55
2010-03-11,4.14,4.06,4.15,4.02,33888,21135468.92,3.13,-2.17,-0.09,0.93
2010-03-12,4.07,3.99,4.15,3.97,36582,22674857.13,4.43,-1.72,-0.07,1.0
2010-03-15,3.94,3.91,3.97,3.9,23587,14223889.96,1.75,-2.01,-0.08,0.64
2010-03-16,3.93,3.95,3.97,3.9,17381,10510837.79,1.79,1.02,0.04,0.48
2010-03-17,3.97,4.02,4.03,3.95,17272,10607261.34,2.03,1.77,0.07,0.47
2010-03-18,4.02,4.03,4.1,3.99,27115,16799042.11,2.74,0.25,0.01,0.74
2010-03-19,4.03,4.12,4.12,4.01,32790,20454471.84,2.73,2.23,0.09,0.9
2010-03-22,4.12,4.1,4.14,4.04,25149,15749303.22,2.43,-0.49,-0.02,0.69
2010-03-23,4.1,4.07,4.12,4.02,27290,17037415.13,2.44,-0.73,-0.03,0.75
2010-03-24,4.08,4.07,4.1,4.03,19045,11854071.06,1.72,0.0,0.0,0.52
2010-03-25,4.07,3.94,4.07,3.92,31113,18948812.64,3.69,-3.19,-0.13,0.85
2010-03-26,3.94,3.97,4.0,3.9,19341,11757651.07,2.54,0.76,0.03,0.53
2010-03-29,3.98,3.99,4.0,3.92,27122,16549387.17,2.02,0.5,0.02,0.74
2010-03-30,4.0,3.98,4.02,3.94,33077,20137805.92,2.01,-0.25,-0.01,0.9
2010-03-31,3.98,3.97,4.02,3.92,25054,15303557.69,2.51,-0.25,-0.01,0.68
2010-04-01,3.99,3.99,4.0,3.95,37598,22937442.4,1.26,0.5,0.02,1.03
2010-04-02,4.0,4.07,4.21,3.96,86534,54554794.3,6.27,2.01,0.08,2.37
2010-04-06,4.05,4.15,4.22,4.05,67898,42999403.0,4.18,1.97,0.08,1.86
2010-04-07,4.15,4.17,4.22,4.07,44742,28448532.33,3.61,0.48,0.02,1.22
