日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-06-22,1.65,1.6,1.68,1.59,88058,154057309.0,5.17,-8.05,-0.14,55.0
2011-06-23,1.6,1.68,1.74,1.55,68771,121491621.0,11.88,5.0,0.08,42.95
2011-06-24,1.66,1.77,1.84,1.65,64369,119608470.0,11.31,5.36,0.09,40.21
2011-06-27,1.8,1.84,1.87,1.78,46173,89373128.0,5.08,3.95,0.07,28.84
2011-06-28,1.82,1.83,1.87,1.8,25137,48840171.0,3.8,-0.54,-0.01,15.7
2011-06-29,1.81,1.77,1.84,1.77,22654,43366513.0,3.83,-3.28,-0.06,14.15
2011-06-30,1.77,1.78,1.8,1.75,18124,34108632.0,2.82,0.56,0.01,11.32
2011-07-01,1.8,1.77,1.84,1.77,18879,36140488.0,3.93,-0.56,-0.01,11.79
2011-07-04,1.78,1.81,1.82,1.77,18003,34246160.0,2.82,2.26,0.04,11.24
2011-07-05,1.81,1.79,1.81,1.75,14377,27239436.0,3.31,-1.1,-0.02,8.98
2011-07-06,1.78,1.85,1.93,1.78,34383,67437447.0,8.38,3.35,0.06,21.48
2011-07-07,1.87,1.91,1.99,1.87,38899,78980899.0,6.49,3.24,0.06,24.3
2011-07-08,1.92,1.92,1.96,1.88,19367,39062163.0,4.19,0.52,0.01,12.1
2011-07-11,1.92,1.93,1.96,1.91,17737,36148035.0,2.6,0.52,0.01,11.08
2011-07-12,1.91,1.84,1.92,1.83,18235,36034045.0,4.66,-4.66,-0.09,11.39
2011-07-13,1.84,1.91,1.91,1.82,26173,51686766.0,4.89,3.8,0.07,16.35
2011-07-14,1.91,1.96,1.96,1.88,20764,41884205.0,4.19,2.62,0.05,12.97
2011-07-15,1.96,2.0,2.07,1.94,28208,59446048.0,6.63,2.04,0.04,17.62
2011-07-18,2.01,1.96,2.02,1.95,15688,32552678.0,3.5,-2.0,-0.04,9.8
2011-07-19,1.95,1.89,1.95,1.86,18210,36392319.0,4.59,-3.57,-0.07,11.37
2011-07-20,1.91,1.88,1.92,1.85,10926,21651268.0,3.7,-0.53,-0.01,6.82
2011-07-21,1.88,1.89,1.91,1.87,12412,24739327.0,2.13,0.53,0.01,7.75
2011-07-22,1.91,1.92,1.95,1.89,14673,29733681.0,3.17,1.59,0.03,9.16
2011-07-25,1.9,1.82,1.92,1.82,15102,29754110.0,5.21,-5.21,-0.1,9.43
2011-07-26,1.84,1.84,1.84,1.79,9530,18383479.0,2.75,1.1,0.02,5.95
2011-07-27,1.84,1.98,2.04,1.82,35327,72187256.0,11.96,7.61,0.14,22.07
2011-07-28,1.95,2.0,2.02,1.94,21619,44889698.0,4.04,1.01,0.02,13.5
2011-07-29,1.99,1.95,2.01,1.93,20443,41969620.0,4.0,-2.5,-0.05,12.77
2011-08-01,1.96,2.06,2.09,1.95,33123,70842078.0,7.18,5.64,0.11,20.69
2011-08-02,2.03,2.06,2.07,1.97,25361,53561377.0,4.85,0.0,0.0,15.84
2011-08-03,2.02,2.01,2.06,1.99,19244,40760873.0,3.4,-2.43,-0.05,12.02
2011-08-04,2.03,1.95,2.03,1.94,17919,37120649.0,4.48,-2.99,-0.06,11.19
2011-08-05,1.85,1.89,1.92,1.84,16094,32110174.0,4.1,-3.08,-0.06,10.05
2011-08-08,1.87,1.74,1.88,1.69,18690,35483696.0,10.05,-7.94,-0.15,11.67
2011-08-09,1.68,1.75,1.77,1.63,13346,24465409.0,8.05,0.57,0.01,8.34
2011-08-10,1.8,1.76,1.82,1.75,16335,30986906.0,4.0,0.57,0.01,10.2
2011-08-11,1.71,1.82,1.83,1.71,14236,27034856.0,6.82,3.41,0.06,8.89
2011-08-12,1.85,1.84,1.88,1.83,12359,24189044.0,2.75,1.1,0.02,7.72
2011-08-15,1.87,1.89,1.91,1.85,11525,22844798.0,3.26,2.72,0.05,7.2
2011-08-16,1.9,1.88,1.93,1.88,14042,28066754.0,2.65,-0.53,-0.01,8.77
2011-08-17,1.89,1.91,1.92,1.87,12561,25149407.0,2.66,1.6,0.03,7.85
2011-08-18,1.9,1.85,1.92,1.85,13294,26463560.0,3.66,-3.14,-0.06,8.3
2011-08-19,1.82,1.82,1.84,1.79,13445,25822353.0,2.7,-1.62,-0.03,8.4
2011-08-22,1.83,1.92,1.95,1.83,19329,38600708.0,6.59,5.49,0.1,12.07
2011-08-23,1.93,2.09,2.13,1.92,38376,81463072.0,10.94,8.85,0.17,23.97
2011-08-24,2.09,2.12,2.16,2.07,41581,91516745.0,4.31,1.44,0.03,25.97
2011-08-26,2.09,2.19,2.3,2.08,30554,69775920.0,10.38,3.3,0.07,19.08
2011-08-29,2.18,2.19,2.28,2.18,22777,52436621.0,4.57,0.0,0.0,14.23
2011-08-30,2.22,2.09,2.24,2.09,21802,49149807.0,6.85,-4.57,-0.1,13.62
2011-08-31,2.06,2.17,2.19,2.06,24023,53043051.0,6.22,3.83,0.08,15.0
2011-09-01,2.16,2.11,2.18,2.07,14622,32484519.0,5.07,-2.76,-0.06,9.13
2011-09-02,2.09,2.2,2.21,2.07,22831,51077849.0,6.64,4.27,0.09,14.26
2011-09-05,2.15,2.13,2.2,2.11,20014,44917563.0,4.09,-3.18,-0.07,12.5
2011-09-06,2.08,1.94,2.1,1.9,24377,50937600.0,9.39,-8.92,-0.19,15.23
2011-09-07,1.96,2.01,2.03,1.93,12318,25595921.0,5.15,3.61,0.07,7.69
