日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.98,5.93,6.01,5.91,54325,44075732.0,1.68,-0.5,-0.03,1.52
2010-01-05,5.93,6.01,6.02,5.84,76770,62046991.0,3.04,1.35,0.08,2.15
2010-01-06,6.01,5.98,6.06,5.97,61637,50557679.0,1.5,-0.5,-0.03,1.72
2010-01-07,5.95,5.72,5.96,5.7,85855,68380816.0,4.35,-4.35,-0.26,2.4
2010-01-08,5.71,5.74,5.77,5.6,56400,43848152.0,2.97,0.35,0.02,1.58
2010-01-11,5.81,5.73,5.83,5.66,53670,42040929.0,2.96,-0.17,-0.01,1.5
2010-01-12,5.76,5.89,5.9,5.7,78043,62026442.0,3.49,2.79,0.16,2.18
2010-01-13,5.79,5.75,5.91,5.74,71444,56697051.0,2.89,-2.38,-0.14,2.0
2010-01-14,5.8,5.9,5.9,5.76,73789,58944116.0,2.43,2.61,0.15,2.06
2010-01-15,5.9,6.01,6.05,5.9,83757,68381634.0,2.54,1.86,0.11,2.34
2010-01-18,6.03,6.09,6.1,5.97,99177,81612567.0,2.16,1.33,0.08,2.77
2010-01-19,6.09,6.06,6.1,5.98,71528,58806730.0,1.97,-0.49,-0.03,2.0
2010-01-20,6.08,6.09,6.23,5.86,166713,137929758.0,6.11,0.5,0.03,4.66
2010-01-21,6.07,6.2,6.21,5.98,110308,91650410.0,3.78,1.81,0.11,3.08
2010-01-22,6.1,5.94,6.14,5.85,107180,87458627.0,4.68,-4.19,-0.26,3.0
2010-01-25,5.88,5.72,5.93,5.7,58645,46624349.0,3.87,-3.7,-0.22,1.64
2010-01-26,5.73,5.5,5.77,5.44,66084,50257228.0,5.77,-3.85,-0.22,1.85
2010-01-27,5.52,5.48,5.63,5.46,40286,30446020.0,3.09,-0.36,-0.02,1.13
2010-01-28,5.48,5.53,5.56,5.46,34222,25786187.0,1.82,0.91,0.05,0.96
2010-01-29,5.52,5.59,5.62,5.46,53522,40693221.0,2.89,1.08,0.06,1.5
2010-02-01,5.6,5.8,5.94,5.53,94176,73059803.0,7.33,3.76,0.21,2.63
2010-02-02,5.76,5.77,5.92,5.72,90007,71641347.0,3.45,-0.52,-0.03,2.52
2010-02-03,5.76,5.83,5.86,5.54,52973,41520442.0,5.55,1.04,0.06,1.48
2010-02-04,5.79,5.96,5.98,5.75,87826,70800022.0,3.95,2.23,0.13,2.46
2010-02-05,5.93,6.0,6.2,5.84,142657,117520216.0,6.04,0.67,0.04,3.99
2010-02-08,6.0,5.93,6.08,5.9,55206,44853836.0,3.0,-1.17,-0.07,1.54
2010-02-09,5.91,5.86,5.96,5.79,52684,42298744.0,2.87,-1.18,-0.07,1.47
2010-02-10,5.88,5.94,5.97,5.86,32300,26072354.0,1.88,1.37,0.08,0.9
2010-02-11,5.91,5.88,5.95,5.86,32490,26148587.0,1.52,-1.01,-0.06,0.91
2010-02-12,5.88,5.93,5.99,5.88,40403,32749788.0,1.87,0.85,0.05,1.13
2010-02-22,5.94,5.95,6.0,5.92,46512,37775225.0,1.35,0.34,0.02,1.3
2010-02-23,5.98,6.2,6.25,5.89,143993,119521277.0,6.05,4.2,0.25,4.03
2010-02-24,6.15,6.22,6.24,6.11,114430,96450153.0,2.1,0.32,0.02,3.2
2010-02-25,6.25,6.26,6.36,6.18,125326,106825427.0,2.89,0.64,0.04,3.5
2010-02-26,6.23,6.22,6.36,6.19,88817,75677877.0,2.72,-0.64,-0.04,2.48
2010-03-01,6.24,6.33,6.37,6.23,104691,89716651.0,2.25,1.77,0.11,2.93
2010-03-02,6.33,6.23,6.36,6.16,93108,78875105.0,3.16,-1.58,-0.1,2.6
2010-03-03,6.31,6.88,6.88,6.3,315722,291359382.0,9.31,10.43,0.65,8.83
2010-03-04,7.1,6.5,7.21,6.43,474140,437950196.0,11.34,-5.52,-0.38,13.25
2010-03-05,6.49,6.44,6.68,6.32,181723,160876954.0,5.54,-0.92,-0.06,5.08
2010-03-08,6.45,6.57,6.68,6.37,129629,115603210.0,4.81,2.02,0.13,3.62
2010-03-09,6.55,6.46,6.57,6.33,103433,90531968.0,3.65,-1.67,-0.11,2.89
2010-03-10,6.46,6.4,6.58,6.31,87766,76566188.0,4.18,-0.93,-0.06,2.45
2010-03-11,6.36,6.32,6.47,6.24,83661,72062837.0,3.59,-1.25,-0.08,2.34
2010-03-12,6.34,6.14,6.34,6.11,75406,63866661.0,3.64,-2.85,-0.18,2.11
2010-03-15,6.11,6.16,6.18,6.05,45888,38203558.0,2.12,0.33,0.02,1.28
2010-03-16,6.16,6.23,6.23,6.11,52142,43833684.0,1.95,1.14,0.07,1.46
2010-03-17,6.25,6.36,6.36,6.2,65435,56065199.0,2.57,2.09,0.13,1.83
2010-03-18,6.34,6.38,6.5,6.33,75851,66013814.0,2.67,0.31,0.02,2.12
2010-03-19,6.34,6.5,6.51,6.34,80155,70148278.0,2.66,1.88,0.12,2.24
2010-03-22,6.5,6.54,6.58,6.38,91299,80421084.0,3.08,0.62,0.04,2.55
2010-03-23,6.56,6.39,6.56,6.38,70126,61407389.0,2.75,-2.29,-0.15,1.96
2010-03-24,6.4,6.48,6.54,6.34,104740,91871923.0,3.13,1.41,0.09,2.93
2010-03-25,6.46,6.3,6.47,6.27,72169,62374279.0,3.09,-2.78,-0.18,2.02
2010-03-26,6.3,6.4,6.43,6.25,58416,50449060.0,2.86,1.59,0.1,1.63
2010-03-29,6.4,6.47,6.5,6.34,83825,73162609.0,2.5,1.09,0.07,2.34
2010-03-30,6.47,6.54,6.6,6.46,123502,109494563.0,2.16,1.08,0.07,3.45
2010-03-31,6.55,6.49,6.56,6.44,65477,57849023.0,1.83,-0.76,-0.05,1.83
2010-04-01,6.46,6.56,6.58,6.46,102709,91200528.0,1.85,1.08,0.07,2.87
2010-04-02,6.56,6.55,6.6,6.49,84032,74598936.0,1.68,-0.15,-0.01,2.35
2010-04-06,6.59,6.47,6.6,6.42,87426,77035434.0,2.75,-1.22,-0.08,2.44
2010-04-07,6.49,6.45,6.5,6.4,58729,51490591.0,1.55,-0.31,-0.02,1.64
2010-04-08,6.43,6.36,6.43,6.29,97229,83934874.0,2.17,-1.4,-0.09,2.72
2010-04-09,6.36,6.44,6.44,6.34,68097,59232795.0,1.57,1.26,0.08,1.9
2010-04-12,6.44,6.33,6.48,6.27,89727,77515591.0,3.26,-1.71,-0.11,2.51
2010-04-13,6.33,6.21,6.4,6.05,89801,76065122.0,5.53,-1.9,-0.12,2.51
2010-04-14,6.22,6.33,6.37,6.2,60075,51560225.0,2.74,1.93,0.12,1.68
2010-04-15,6.33,6.2,6.34,6.15,65106,55176529.0,3.0,-2.05,-0.13,1.82
2010-04-16,6.18,6.24,6.3,6.18,45154,38396993.0,1.94,0.65,0.04,1.26
2010-04-19,6.23,5.9,6.23,5.9,70707,58322608.0,5.29,-5.45,-0.34,1.98
2010-04-20,5.92,5.96,6.02,5.82,52738,42514283.0,3.39,1.02,0.06,1.47
2010-04-21,5.96,6.06,6.07,5.84,68976,56028390.0,3.86,1.68,0.1,1.93
2010-04-22,5.91,5.76,5.93,5.71,129885,102826633.0,3.63,-4.95,-0.3,3.63
2010-04-23,5.72,5.56,5.78,5.56,87986,68071770.0,3.82,-3.47,-0.2,2.46
2010-04-26,5.57,5.59,5.63,5.54,45499,34806311.0,1.62,0.54,0.03,1.27
2010-04-27,5.58,5.38,5.58,5.26,64544,47605543.0,5.72,-3.76,-0.21,1.8
2010-04-28,5.25,5.18,5.33,5.15,66525,47535311.0,3.35,-3.72,-0.2,1.86
2010-04-29,5.23,5.15,5.27,5.11,52233,37411124.0,3.09,-0.58,-0.03,1.46
2010-04-30,5.13,4.99,5.19,4.9,66067,45329636.0,5.63,-3.11,-0.16,1.85
2010-05-04,4.93,4.92,5.04,4.87,37846,25819166.0,3.41,-1.4,-0.07,1.06
2010-05-05,4.92,5.03,5.03,4.83,52749,35892718.0,4.07,2.24,0.11,1.47
2010-05-06,5.02,4.93,5.14,4.93,66648,46251899.0,4.17,-1.99,-0.1,1.86
2010-05-07,4.79,5.03,5.1,4.75,71556,48484712.0,7.1,2.03,0.1,2.0
2010-05-10,5.01,5.03,5.1,4.87,44457,30599400.0,4.57,0.0,0.0,1.24
2010-05-11,5.1,4.89,5.13,4.85,50111,34500097.0,5.57,-2.78,-0.14,1.4
2010-05-12,4.85,4.7,4.9,4.6,52180,34169218.0,6.13,-3.89,-0.19,1.46
2010-05-13,4.66,4.77,4.77,4.6,40256,26142802.0,3.62,1.49,0.07,1.13
2010-05-14,4.73,4.72,4.8,4.7,33731,22072210.0,2.1,-1.05,-0.05,0.94
2010-05-17,4.67,4.3,4.69,4.3,47454,29420921.0,8.26,-8.9,-0.42,1.33
2010-05-18,4.3,4.4,4.45,4.14,50401,30030757.0,7.21,2.33,0.1,1.41
2010-05-19,4.36,4.33,4.4,4.24,37815,22678161.0,3.64,-1.59,-0.07,1.06
2010-05-20,4.26,4.21,4.4,4.2,30121,18011444.0,4.62,-2.77,-0.12,0.84
