日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-10,2.45,2.78,2.78,2.45,118,123563.0,19.64,65.48,1.1,0.04
2015-06-11,3.15,3.15,3.15,3.15,34,39202.0,0.0,13.31,0.37,0.01
2015-06-12,3.54,3.54,3.54,3.54,74,93832.0,0.0,12.38,0.39,0.02
2015-06-15,3.98,3.98,3.98,3.98,26,36270.0,0.0,12.43,0.44,0.01
2015-06-16,4.47,4.47,4.47,4.47,69,105915.0,0.0,12.31,0.49,0.02
2015-06-17,5.0,5.0,5.0,5.0,139,234771.0,0.0,11.86,0.53,0.05
2015-06-18,5.59,5.59,5.59,5.59,96,178368.0,0.0,11.8,0.59,0.03
2015-06-19,6.23,6.23,6.23,6.23,1048,2142275.0,0.0,11.45,0.64,0.35
2015-06-23,6.94,6.94,6.94,6.94,414,930672.0,0.0,11.4,0.71,0.14
2015-06-24,7.71,7.71,7.71,7.71,75,185475.0,0.0,11.1,0.77,0.03
2015-06-25,8.57,8.57,8.57,8.57,292,795056.0,0.0,11.15,0.86,0.1
2015-06-26,9.51,9.51,9.51,9.51,20063,60028226.0,0.0,10.97,0.94,6.69
2015-06-29,9.88,8.48,9.88,8.48,157638,446600144.0,14.72,-10.83,-1.03,52.55
2015-06-30,7.55,9.41,9.41,7.54,159377,424234016.0,22.05,10.97,0.93,53.13
2015-07-01,9.26,9.95,10.43,9.21,117455,369701232.0,12.96,5.74,0.54,39.15
2015-07-02,8.95,9.95,10.92,8.95,114283,353460720.0,19.8,0.0,0.0,38.09
2015-07-03,9.18,9.88,10.8,8.87,94103,282689936.0,19.4,-0.7,-0.07,31.37
2015-07-06,10.96,10.52,10.96,9.19,96327,312689248.0,17.91,6.48,0.64,32.11
2015-07-07,9.54,11.66,11.66,9.39,95716,301922480.0,21.58,10.84,1.14,31.91
2015-07-08,10.41,10.41,10.41,10.41,9327,30340731.0,0.0,-10.72,-1.25,3.11
2015-07-09,9.29,11.54,11.54,9.29,204495,668178432.0,21.61,10.85,1.13,68.17
2015-07-10,11.58,12.78,12.78,11.58,140206,541533888.0,10.4,10.75,1.24,46.74
2015-07-13,12.65,14.14,14.14,11.88,153643,629298160.0,17.68,10.64,1.36,51.21
2015-07-14,13.62,13.21,15.25,13.0,137069,593524032.0,15.91,-6.58,-0.93,45.69
2015-07-15,12.26,11.8,12.64,11.8,35301,130987250.0,6.36,-10.67,-1.41,11.77
2015-07-16,10.54,10.54,12.12,10.54,92468,315547536.0,13.39,-10.68,-1.26,30.82
2015-07-17,10.57,11.22,11.27,9.71,89011,295527952.0,14.8,6.45,0.68,29.67
2015-07-20,10.85,10.47,11.15,10.13,66841,223048957.0,9.09,-6.68,-0.75,22.28
2015-07-21,10.13,10.11,10.69,9.64,98183,306832640.0,10.03,-3.44,-0.36,32.73
2015-07-22,9.74,9.76,10.22,9.64,64377,199913673.0,5.74,-3.46,-0.35,21.46
2015-07-23,9.8,10.82,10.82,9.8,77698,252190788.0,10.45,10.86,1.06,25.9
2015-07-24,11.23,11.1,11.75,10.69,119114,419501696.0,9.8,2.59,0.28,39.7
2015-07-27,10.52,9.91,11.48,9.91,81726,272596640.0,14.14,-10.72,-1.19,27.24
2015-07-28,9.15,10.58,10.64,8.84,90448,271925504.0,18.16,6.76,0.67,30.15
2015-07-29,10.87,11.72,11.72,10.17,82135,281197664.0,14.65,10.78,1.14,27.38
2015-07-30,11.9,11.75,12.89,11.27,90877,342481200.0,13.82,0.26,0.03,30.29
2015-07-31,11.13,12.49,12.9,11.12,82865,313457824.0,15.15,6.3,0.74,27.62
2015-08-03,12.49,11.84,12.87,11.61,68835,260555373.0,10.09,-5.2,-0.65,22.95
2015-08-04,11.41,12.02,12.27,10.83,65501,235518959.0,12.16,1.52,0.18,21.83
2015-08-05,11.99,13.31,13.31,11.61,56899,226687228.0,14.14,10.73,1.29,18.97
2015-08-06,14.38,14.72,14.72,13.86,114352,507682496.0,6.46,10.59,1.41,38.12
2015-08-07,14.24,15.18,16.1,13.3,108835,492287920.0,19.02,3.13,0.46,36.28
2015-08-10,14.73,15.42,15.8,14.51,78580,366003216.0,8.5,1.58,0.24,26.19
2015-08-11,15.07,16.34,16.81,14.94,84947,409926032.0,12.13,5.97,0.92,28.32
2015-08-12,15.88,15.42,16.27,15.07,65951,313019840.0,7.34,-5.63,-0.92,21.98
2015-08-13,15.07,16.56,16.56,14.19,44642,204332684.0,15.37,7.39,1.14,14.88
2015-08-14,16.11,16.18,16.8,15.7,47732,235631619.0,6.64,-2.29,-0.38,15.91
2015-08-17,15.77,16.47,16.63,15.07,46096,220308862.0,9.64,1.79,0.29,15.37
2015-08-18,16.98,15.42,16.98,14.74,44226,213234390.0,13.6,-6.38,-1.05,14.74
2015-08-19,15.42,15.43,15.45,13.97,31240,141689669.0,9.6,0.06,0.01,10.41
2015-08-20,15.05,13.82,15.05,13.82,21504,95095912.0,7.97,-10.43,-1.61,7.17
2015-08-21,13.14,12.35,13.24,12.35,24754,95881958.0,6.44,-10.64,-1.47,8.25
2015-08-24,11.16,11.04,11.68,11.04,10130,35018400.0,5.18,-10.61,-1.31,3.38
2015-08-25,9.85,9.85,11.61,9.85,33002,106703580.0,15.94,-10.78,-1.19,11.0
2015-08-26,9.88,10.92,10.92,9.16,58289,191561022.0,17.87,10.86,1.07,19.43
2015-08-27,11.58,11.57,11.58,10.75,39069,136828067.0,7.6,5.95,0.65,13.02
2015-08-28,11.59,12.47,12.51,10.93,38140,138511722.0,13.66,7.78,0.9,12.71
2015-08-31,12.11,11.61,12.11,11.48,20605,75624506.0,5.05,-6.9,-0.86,6.87
2015-09-01,11.54,10.8,11.54,10.37,23152,77702546.0,10.08,-6.98,-0.81,7.72
2015-09-02,9.64,10.95,11.48,9.64,31884,108351970.0,17.04,1.39,0.15,10.63
2015-09-07,10.61,10.82,11.56,10.4,27078,92737455.0,10.59,-1.19,-0.13,9.03
2015-09-08,10.82,11.2,11.27,10.23,21203,72987159.0,9.61,3.51,0.38,7.07
2015-09-09,11.33,11.54,12.06,10.98,42225,150256772.0,9.64,3.04,0.34,14.08
2015-09-10,10.99,11.09,11.27,10.99,16302,56454547.0,2.43,-3.9,-0.45,5.43
2015-09-11,11.09,11.09,11.43,10.82,9818,33896059.0,5.5,0.0,0.0,3.27
2015-09-14,11.1,9.9,11.22,9.9,14684,47352150.0,11.9,-10.73,-1.19,4.89
2015-09-15,10.0,9.64,10.0,9.38,13753,41111861.0,6.26,-2.63,-0.26,4.58
2015-09-16,9.92,10.52,10.68,9.58,20087,63420205.0,11.41,9.13,0.88,6.7
2015-09-17,10.52,9.85,10.53,9.81,18262,58129045.0,6.84,-6.37,-0.67,6.09
2015-09-18,10.23,9.86,10.23,9.63,11287,34867141.0,6.09,0.1,0.01,3.76
2015-09-21,9.86,10.03,10.08,9.4,15618,48706564.0,6.9,1.72,0.17,5.21
2015-09-22,10.02,10.62,10.75,9.74,31854,103710819.0,10.07,5.88,0.59,10.62
2015-09-23,10.53,10.26,10.58,9.95,19534,62909974.0,5.93,-3.39,-0.36,6.51
2015-09-24,10.27,10.34,10.45,10.23,12762,41270583.0,2.14,0.78,0.08,4.25
2015-09-25,10.36,10.42,10.75,10.06,19184,62842042.0,6.67,0.77,0.08,6.39
2015-09-28,10.68,10.57,10.71,10.16,12423,40569864.0,5.28,1.44,0.15,4.14
2015-09-29,10.27,10.43,10.46,10.23,13479,43377397.0,2.18,-1.32,-0.14,4.49
2015-09-30,10.48,10.53,10.57,10.43,9576,31362808.0,1.34,0.96,0.1,3.19
2015-10-08,10.75,10.9,10.98,10.65,11125,37600022.0,3.13,3.51,0.37,3.71
2015-10-09,10.85,10.82,10.9,10.58,7829,26189264.0,2.94,-0.73,-0.08,2.61
2015-10-12,10.64,11.75,11.95,10.64,28901,101627436.0,12.11,8.6,0.93,9.63
2015-10-13,11.43,11.58,11.65,11.25,21975,78128784.0,3.4,-1.45,-0.17,7.32
2015-10-14,11.61,11.6,11.87,11.39,18729,67576918.0,4.15,0.17,0.02,6.24
2015-10-15,11.83,12.25,12.76,11.61,32504,122001748.0,9.91,5.6,0.65,10.83
2015-10-16,12.21,12.25,12.54,11.86,33978,127670900.0,5.55,0.0,0.0,11.33
2015-10-19,12.39,13.57,13.57,11.96,54249,215553040.0,13.14,10.78,1.32,18.08
2015-10-20,14.29,13.11,14.29,12.73,54445,225662451.0,11.5,-3.39,-0.46,18.15
2015-10-21,12.93,12.03,12.97,11.72,54686,207698415.0,9.53,-8.24,-1.08,18.23
2015-10-22,12.2,12.19,12.22,11.44,35091,129485872.0,6.48,1.33,0.16,11.7
2015-10-23,12.39,12.31,12.51,11.9,40500,153242463.0,5.0,0.98,0.12,13.5
2015-10-26,12.48,12.33,12.52,11.96,35765,135362292.0,4.55,0.16,0.02,11.92
2015-10-27,12.65,12.12,12.65,11.44,41601,154477376.0,9.81,-1.7,-0.21,13.87
2015-10-28,11.72,11.33,11.91,11.23,44176,158344283.0,5.61,-6.52,-0.79,14.73
2015-10-29,11.34,11.35,11.51,11.15,22167,77844953.0,3.18,0.18,0.02,7.39
2015-10-30,11.37,11.42,11.45,11.13,21991,77430856.0,2.82,0.62,0.07,7.33
2015-11-02,11.27,11.56,11.99,11.19,50362,181504737.0,7.01,1.23,0.14,16.79
2015-11-03,11.54,11.3,11.58,10.92,34679,121030310.0,5.71,-2.25,-0.26,11.56
2015-11-04,11.37,11.95,11.99,11.21,85518,309633200.0,6.9,5.75,0.65,28.51
2015-11-05,11.96,11.7,12.24,11.61,61747,226493527.0,5.27,-2.09,-0.25,20.58
2015-11-06,11.7,12.14,12.19,11.58,67963,252841237.0,5.21,3.76,0.44,22.65
2015-11-09,12.16,12.82,12.95,12.06,100402,387779136.0,7.33,5.6,0.68,33.47
2015-11-10,12.55,12.44,12.79,12.14,68001,261106563.0,5.07,-2.96,-0.38,22.67
2015-11-11,12.36,13.07,13.16,12.18,97990,385778784.0,7.88,5.06,0.63,32.66
2015-11-12,12.93,13.76,14.13,12.88,103118,427675680.0,9.56,5.28,0.69,34.37
2015-11-13,13.34,12.31,13.62,12.3,88761,349811328.0,9.59,-10.54,-1.45,29.59
2015-11-16,11.79,12.19,12.26,11.51,42946,158951531.0,6.09,-0.97,-0.12,14.32
2015-11-17,12.26,11.89,12.49,11.84,44116,166454431.0,5.33,-2.46,-0.3,14.71
2015-11-18,11.79,11.53,12.09,11.51,29589,107904935.0,4.88,-3.03,-0.36,9.86
2015-11-19,11.58,11.89,11.91,11.56,31336,114214682.0,3.04,3.12,0.36,10.45
2015-11-20,11.95,11.77,11.95,11.64,30324,110764721.0,2.61,-1.01,-0.12,10.11
2015-11-23,11.77,11.99,12.06,11.62,30610,113239687.0,3.74,1.87,0.22,10.2
2015-11-24,12.04,12.57,12.82,11.94,48582,184508497.0,7.34,4.84,0.58,16.19
2015-11-25,12.36,12.44,12.63,12.31,40129,153958541.0,2.55,-1.03,-0.13,13.38
2015-11-26,12.45,12.27,12.96,12.22,43430,168800930.0,5.95,-1.37,-0.17,14.48
2015-11-27,12.25,11.09,12.25,10.99,41559,149988800.0,10.27,-9.62,-1.18,13.85
2015-11-30,11.01,11.18,11.3,10.24,33357,113299321.0,9.56,0.81,0.09,11.12
2015-12-01,11.09,11.21,11.42,10.98,23426,81831852.0,3.94,0.27,0.03,7.81
2015-12-02,11.22,11.01,11.23,10.23,17822,60537360.0,8.92,-1.78,-0.2,5.94
2015-12-03,11.09,11.51,11.52,10.89,21075,74341757.0,5.72,4.54,0.5,7.03
2015-12-04,11.4,12.74,12.74,11.3,76171,288990320.0,12.51,10.69,1.23,25.39
