日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-07-07,4.68,4.42,5.75,4.41,245282,603930913.79,56.07,84.94,2.03,90.18
2011-07-08,3.97,4.22,4.55,3.97,105019,221172759.25,13.12,-4.52,-0.2,38.61
2011-07-11,4.09,4.06,4.2,4.04,61793,124893596.12,3.79,-3.79,-0.16,22.72
2011-07-12,4.0,4.15,4.15,3.9,69724,139187670.7,6.16,2.22,0.09,25.63
2011-07-13,4.05,4.13,4.21,4.03,52163,106497076.0,4.34,-0.48,-0.02,19.18
2011-07-14,4.13,4.3,4.34,4.07,73702,153478671.43,6.54,4.12,0.17,27.1
2011-07-15,4.24,4.43,4.5,4.22,73499,159903598.18,6.51,3.02,0.13,27.02
2011-07-18,4.4,4.36,4.47,4.32,41968,90937537.94,3.39,-1.58,-0.07,15.43
2011-07-19,4.34,4.14,4.34,4.11,33727,69894595.22,5.28,-5.05,-0.22,12.4
2011-07-20,4.2,4.3,4.33,4.07,42501,88787534.88,6.28,3.86,0.16,15.63
2011-07-21,4.29,4.15,4.29,4.15,25962,54130395.95,3.26,-3.49,-0.15,9.54
2011-07-22,4.15,4.12,4.22,4.1,18021,37193482.55,2.89,-0.72,-0.03,6.63
2011-07-25,4.13,3.83,4.13,3.81,35390,69162320.75,7.77,-7.04,-0.29,13.01
2011-07-26,3.83,3.85,3.86,3.68,24478,46027535.0,4.7,0.52,0.02,9.0
2011-07-27,3.81,3.9,3.94,3.74,23559,45322530.98,5.19,1.3,0.05,8.66
2011-07-28,3.85,3.8,3.86,3.78,18195,34552995.08,2.05,-2.56,-0.1,6.69
2011-07-29,3.79,3.98,4.1,3.79,48279,95609399.15,8.16,4.74,0.18,17.75
2011-08-01,3.94,4.39,4.39,3.94,80032,169961529.16,11.31,10.3,0.41,29.42
2011-08-02,4.42,4.7,4.8,4.36,134372,303436860.21,10.02,7.06,0.31,49.4
2011-08-03,4.69,4.46,4.69,4.45,61241,137410291.63,5.11,-5.11,-0.24,22.51
2011-08-04,4.49,4.46,4.57,4.29,58617,128111648.1,6.28,0.0,0.0,21.55
2011-08-05,4.24,4.24,4.4,4.18,40316,85539409.6,4.93,-4.93,-0.22,14.82
2011-08-08,4.13,3.81,4.19,3.81,48230,92861201.39,8.96,-10.14,-0.43,17.73
