日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.25,3.16,3.27,3.15,65078,85268680.0,3.81,0.32,0.01,4.36
2010-01-05,3.15,3.21,3.22,3.14,43587,57104328.0,2.53,1.58,0.05,2.92
2010-01-06,3.22,3.19,3.23,3.17,42020,55137624.0,1.87,-0.62,-0.02,2.82
2010-01-07,3.2,3.12,3.27,3.09,55526,72812584.0,5.64,-2.19,-0.07,3.72
2010-01-08,3.11,3.2,3.2,3.09,40636,52360032.0,3.53,2.56,0.08,2.72
2010-01-11,3.24,3.28,3.3,3.19,82689,110203248.0,3.44,2.5,0.08,5.54
2010-01-12,3.3,3.31,3.34,3.26,67095,90877984.0,2.44,0.91,0.03,4.5
2010-01-13,3.26,3.2,3.28,3.17,52537,69375688.0,3.32,-3.32,-0.11,3.52
2010-01-14,3.2,3.31,3.31,3.19,52019,69501040.0,3.75,3.44,0.11,3.49
2010-01-15,3.36,3.52,3.61,3.31,116383,163677392.0,9.06,6.34,0.21,7.8
2010-01-19,3.42,3.74,3.81,3.4,204633,301292768.0,11.65,6.25,0.22,13.72
2010-01-20,3.77,3.61,3.77,3.53,123546,182642752.0,6.42,-3.48,-0.13,8.28
2010-01-21,3.6,3.65,3.69,3.56,69393,102596896.0,3.6,1.11,0.04,4.65
2010-01-22,3.56,3.47,3.6,3.4,69723,99211752.0,5.48,-4.93,-0.18,4.68
2010-01-25,3.48,3.53,3.6,3.44,47643,68724896.0,4.61,1.73,0.06,3.19
2010-01-26,3.51,3.34,3.55,3.31,35228,49118288.0,6.8,-5.38,-0.19,2.36
2010-01-27,3.36,3.25,3.4,3.24,27088,36682164.0,4.79,-2.69,-0.09,1.82
2010-01-28,3.25,3.37,3.37,3.22,32432,43933668.0,4.62,3.69,0.12,2.17
2010-01-29,3.37,3.36,3.47,3.31,28480,39705420.0,4.75,-0.3,-0.01,1.91
2010-02-01,3.35,3.37,3.43,3.34,23770,32919164.0,2.68,0.3,0.01,1.59
2010-02-02,3.38,3.27,3.44,3.26,31921,43407488.0,5.34,-2.97,-0.1,2.14
2010-02-03,3.27,3.31,3.35,3.12,29513,39180268.0,7.03,1.22,0.04,1.98
2010-02-04,3.31,3.42,3.49,3.25,46163,64511924.0,7.25,3.32,0.11,3.1
2010-02-05,3.37,3.44,3.52,3.32,53943,76010360.0,5.85,0.58,0.02,3.62
2010-02-09,3.45,3.26,3.46,3.24,38871,53030644.0,6.4,-5.23,-0.18,2.61
