日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-07-19,7.15,7.81,7.81,7.15,111,159906.0,12.31,45.71,2.45,0.04
2016-07-20,8.62,8.62,8.62,8.62,14,22274.0,0.0,10.37,0.81,0.01
2016-07-21,9.5,9.5,9.5,9.5,28,49035.0,0.0,10.21,0.88,0.01
2016-07-22,10.47,10.47,10.47,10.47,47,90475.0,0.0,10.21,0.97,0.02
2016-07-25,11.55,11.55,11.55,11.55,50,105900.0,0.0,10.32,1.08,0.02
2016-07-26,12.72,12.72,12.72,12.72,74,173445.0,0.0,10.13,1.17,0.03
2016-07-27,14.02,14.02,14.02,14.02,100,255018.0,0.0,10.22,1.3,0.04
2016-07-28,15.44,15.44,15.44,15.44,147,414393.0,0.0,10.13,1.42,0.06
2016-07-29,17.01,17.01,17.01,17.01,213,660513.0,0.0,10.17,1.57,0.08
2016-08-01,18.73,18.73,18.73,18.73,296,1009383.0,0.0,10.11,1.72,0.12
2016-08-02,20.62,20.62,20.62,20.62,158,591577.0,0.0,10.09,1.89,0.06
2016-08-03,22.71,22.71,22.71,22.71,223,919413.0,0.0,10.14,2.09,0.09
2016-08-04,25.0,25.0,25.0,25.0,260,1181353.0,0.0,10.08,2.29,0.1
2016-08-05,27.52,27.52,27.52,27.52,564,2814368.0,0.0,10.08,2.52,0.22
2016-08-08,30.3,30.3,30.3,30.3,1467,8060538.0,0.0,10.1,2.78,0.57
2016-08-09,33.35,33.35,33.35,33.35,8303,50168659.0,0.0,10.07,3.05,3.24
2016-08-10,34.67,36.7,36.7,34.22,79023,510403328.0,7.44,10.04,3.35,30.87
2016-08-11,38.4,37.6,39.77,37.0,152064,1050907808.0,7.55,2.45,0.9,59.4
2016-08-12,36.45,38.79,39.67,36.38,125692,870292256.0,8.75,3.16,1.19,49.1
2016-08-15,38.96,39.14,40.22,37.9,114958,808875952.0,5.98,0.9,0.35,44.91
2016-08-16,38.67,39.06,40.17,38.5,93242,665201648.0,4.27,-0.2,-0.08,36.42
2016-08-17,38.84,40.2,40.54,38.11,102169,731662784.0,6.22,2.92,1.14,39.91
2016-08-18,41.45,40.67,43.89,40.65,125372,951279760.0,8.06,1.17,0.47,48.97
2016-08-19,39.5,38.46,40.16,38.39,82096,582367872.0,4.35,-5.43,-2.21,32.07
2016-08-22,38.03,39.22,39.59,37.17,66073,463511936.0,6.29,1.98,0.76,25.81
2016-08-23,39.74,39.06,39.81,38.32,51710,366272816.0,3.8,-0.41,-0.16,20.2
2016-08-24,38.82,37.62,38.99,37.39,51776,357726912.0,4.1,-3.69,-1.44,20.23
2016-08-25,37.0,37.14,37.78,35.11,48031,317027536.0,7.1,-1.28,-0.48,18.76
2016-08-26,37.06,35.67,37.54,35.62,33979,224409921.0,5.17,-3.96,-1.47,13.27
2016-08-29,35.49,35.27,36.08,34.99,21820,139999942.0,3.06,-1.12,-0.4,8.52
