日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-11-23,5.81,5.85,5.91,5.63,121035,373938048.0,6.65,38.95,1.64,89.0
2011-11-24,5.71,5.68,5.83,5.59,59172,180071713.0,4.1,-2.91,-0.17,43.51
2011-11-25,5.51,5.4,5.59,5.37,45037,132280723.0,3.87,-4.93,-0.28,33.12
2011-11-28,5.36,5.44,5.48,5.36,24329,70700034.0,2.22,0.74,0.04,17.89
2011-11-29,5.48,5.45,5.49,5.31,31180,89996156.0,3.31,0.18,0.01,22.93
2011-11-30,5.43,4.88,5.43,4.86,36937,101697861.0,10.46,-10.46,-0.57,27.16
2011-12-01,5.05,5.03,5.17,4.99,28690,78560005.0,3.69,3.07,0.15,21.1
2011-12-02,4.97,4.93,4.99,4.85,15947,42232263.0,2.78,-1.99,-0.1,11.73
2011-12-05,4.87,4.65,4.87,4.64,13817,35457593.0,4.67,-5.68,-0.28,10.16
2011-12-06,4.66,4.86,4.86,4.64,16107,41617081.0,4.73,4.52,0.21,11.84
2011-12-07,4.81,4.89,4.94,4.78,14200,37270635.0,3.29,0.62,0.03,10.44
2011-12-08,4.86,4.93,5.01,4.69,20314,53501073.0,6.54,0.82,0.04,14.94
2011-12-09,4.87,4.97,5.01,4.82,14198,37845606.0,3.85,0.81,0.04,10.44
2011-12-12,4.97,5.02,5.12,4.93,15356,41688950.0,3.82,1.01,0.05,11.29
2011-12-13,4.97,4.78,4.99,4.75,12368,32213469.0,4.78,-4.78,-0.24,9.09
2011-12-14,4.72,4.72,4.82,4.7,8432,21706219.0,2.51,-1.26,-0.06,6.2
2011-12-15,4.7,4.93,5.07,4.67,23113,61322263.0,8.47,4.45,0.21,17.0
2011-12-16,4.92,5.09,5.11,4.81,23805,63637735.0,6.09,3.25,0.16,17.5
2011-12-19,5.02,5.11,5.16,4.92,19994,54282568.0,4.72,0.39,0.02,14.7
2011-12-20,5.06,4.9,5.1,4.88,17544,47330218.0,4.31,-4.11,-0.21,12.9
2011-12-21,4.95,4.63,4.97,4.61,17819,46361118.0,7.35,-5.51,-0.27,13.1
2011-12-22,4.49,4.41,4.52,4.27,17659,42293920.0,5.4,-4.75,-0.22,12.98
2011-12-23,4.38,4.38,4.5,4.36,8304,19961575.0,3.17,-0.68,-0.03,6.11
2011-12-26,4.41,4.41,4.53,4.39,10589,25760179.0,3.2,0.68,0.03,7.79
2011-12-27,4.39,4.11,4.41,4.09,10728,24977452.0,7.26,-6.8,-0.3,7.89
2011-12-28,4.08,4.02,4.09,3.89,9554,20902664.0,4.87,-2.19,-0.09,7.02
2011-12-29,3.96,4.06,4.08,3.95,5720,12655391.0,3.23,1.0,0.04,4.21
2011-12-30,4.07,4.15,4.21,4.06,6232,14123853.0,3.69,2.22,0.09,4.58
2012-01-04,4.19,3.79,4.21,3.77,12212,26797136.0,10.6,-8.67,-0.36,8.98
2012-01-05,3.73,3.63,3.81,3.61,8943,18297004.0,5.28,-4.22,-0.16,6.58
2012-01-06,3.61,3.75,3.76,3.54,5637,11395285.0,6.06,3.31,0.12,4.15
2012-01-09,3.75,3.9,3.94,3.57,8964,18869245.0,9.87,4.0,0.15,6.59
2012-01-10,3.89,4.0,4.07,3.81,12844,27854050.0,6.67,2.56,0.1,9.44
2012-01-11,3.97,3.99,4.18,3.95,11235,24949007.0,5.75,-0.25,-0.01,8.26
2012-01-12,3.96,3.87,4.04,3.84,9798,21158986.0,5.01,-3.01,-0.12,7.2
2012-01-13,3.88,3.61,3.88,3.61,9871,20256879.0,6.98,-6.72,-0.26,7.26
2012-01-16,3.56,3.48,3.57,3.46,4886,9538955.0,3.05,-3.6,-0.13,3.59
2012-01-17,3.57,3.8,3.81,3.55,10192,20625312.0,7.47,9.2,0.32,7.49
2012-01-18,3.81,3.46,3.85,3.46,13182,26765658.0,10.26,-8.95,-0.34,9.69
2012-01-19,3.42,3.65,3.73,3.42,8253,16478895.0,8.96,5.49,0.19,6.07
2012-01-20,3.66,3.69,3.76,3.62,6025,12376082.0,3.84,1.1,0.04,4.43
2012-01-30,3.7,3.8,3.9,3.68,10115,21291757.0,5.96,2.98,0.11,7.44
2012-01-31,3.78,3.82,3.88,3.74,5456,11455806.0,3.68,0.53,0.02,4.01
2012-02-01,3.82,3.81,3.96,3.79,9956,21233198.0,4.45,-0.26,-0.01,7.32
2012-02-02,3.81,3.9,3.9,3.77,9633,20333469.0,3.41,2.36,0.09,7.08
2012-02-03,3.88,3.96,3.98,3.87,9418,20335962.0,2.82,1.54,0.06,6.92
2012-02-06,3.94,3.95,4.01,3.92,10049,21849836.0,2.27,-0.25,-0.01,7.39
2012-02-07,3.95,3.81,3.95,3.78,9166,19428646.0,4.3,-3.54,-0.14,6.74
2012-02-08,3.81,3.93,3.93,3.79,8693,18530044.0,3.67,3.15,0.12,6.39
2012-02-09,3.92,3.99,4.1,3.91,10048,22107248.0,4.83,1.53,0.06,7.39
2012-02-10,3.97,4.17,4.17,3.97,18546,41750327.0,5.01,4.51,0.18,13.64
2012-02-13,4.13,4.25,4.31,4.11,16518,38226385.0,4.8,1.92,0.08,12.15
2012-02-14,4.24,4.23,4.27,4.16,8913,20521032.0,2.59,-0.47,-0.02,6.55
2012-02-15,4.23,4.29,4.33,4.2,10490,24447811.0,3.07,1.42,0.06,7.71
2012-02-16,4.39,4.49,4.68,4.39,23481,57669162.0,6.76,4.66,0.2,17.27
2012-02-17,4.47,4.42,4.5,4.38,10954,26413099.0,2.67,-1.56,-0.07,8.05
2012-02-21,4.44,4.55,4.55,4.35,17377,41938871.0,4.52,2.94,0.13,12.78
2012-02-22,4.51,4.75,4.8,4.51,21287,54148322.0,6.37,4.4,0.2,15.65
2012-02-23,4.75,4.82,4.91,4.72,40877,106331987.0,4.0,1.47,0.07,24.05
2012-02-24,4.81,4.78,4.85,4.74,20979,54278545.0,2.28,-0.83,-0.04,12.34
2012-02-27,4.82,4.94,5.05,4.79,25760,68322243.0,5.44,3.35,0.16,15.15
2012-02-28,4.95,5.07,5.23,4.92,32443,88826741.0,6.28,2.63,0.13,19.08
2012-02-29,5.03,4.96,5.09,4.89,19296,51809778.0,3.94,-2.17,-0.11,11.35
2012-03-01,5.31,5.12,5.31,5.06,25665,71722810.0,5.04,3.23,0.16,15.1
2012-03-02,5.13,5.24,5.25,5.13,11300,31654160.0,2.34,2.34,0.12,6.65
2012-03-05,5.24,5.28,5.37,5.18,16033,45277230.0,3.63,0.76,0.04,9.43
2012-03-06,5.25,5.09,5.26,5.09,14869,41072092.0,3.22,-3.6,-0.19,8.75
2012-03-07,5.01,5.13,5.25,5.01,17972,49927368.0,4.72,0.79,0.04,10.57
2012-03-08,5.14,5.12,5.19,5.09,10702,29586378.0,1.95,-0.19,-0.01,6.3
2012-03-09,5.14,5.28,5.29,5.14,11336,31838483.0,2.93,3.13,0.16,6.67
2012-03-12,5.27,5.24,5.35,5.18,12308,34769630.0,3.22,-0.76,-0.04,7.24
2012-03-13,5.31,5.41,5.41,5.19,15780,44937710.0,4.2,3.24,0.17,9.28
2012-03-14,5.39,5.03,5.44,4.99,23304,65626953.0,8.32,-7.02,-0.38,13.71
2012-03-15,5.02,4.95,5.1,4.92,12423,33405254.0,3.58,-1.59,-0.08,7.31
2012-03-16,4.99,5.04,5.05,4.9,13768,37026906.0,3.03,1.82,0.09,8.1
2012-03-19,5.01,5.1,5.14,5.0,12162,33250628.0,2.78,1.19,0.06,7.15
2012-03-20,5.06,4.75,5.09,4.75,26520,69692561.0,6.67,-6.86,-0.35,15.6
2012-03-21,4.8,4.67,4.8,4.59,13823,35099045.0,4.42,-1.68,-0.08,8.13
2012-03-22,4.65,4.73,4.79,4.64,7117,18130360.0,3.21,1.28,0.06,4.19
2012-03-23,4.68,4.67,4.77,4.65,6708,17058157.0,2.54,-1.27,-0.06,3.95
2012-03-26,4.63,4.69,4.76,4.63,6343,16141517.0,2.78,0.43,0.02,3.73
2012-03-27,4.5,4.33,4.55,4.21,33533,80447761.0,7.25,-7.68,-0.36,19.73
2012-03-28,4.23,4.13,4.33,4.11,13972,32191621.0,5.08,-4.62,-0.2,8.22
2012-03-29,4.12,4.09,4.18,4.06,9244,20859723.0,2.91,-0.97,-0.04,5.44
2012-03-30,4.08,3.97,4.12,3.93,10795,23650309.0,4.65,-2.93,-0.12,6.35
2012-04-05,3.97,4.12,4.12,3.94,8456,18767168.0,4.53,3.78,0.15,4.97
2012-04-06,4.11,4.13,4.14,4.06,8207,18426513.0,1.94,0.24,0.01,4.83
2012-04-09,4.09,4.13,4.18,4.07,10526,23825102.0,2.66,0.0,0.0,6.19
2012-04-10,4.09,4.16,4.17,3.95,8613,19264528.0,5.33,0.73,0.03,5.07
2012-04-11,4.15,4.23,4.29,4.12,15728,36245420.0,4.09,1.68,0.07,9.25
2012-04-12,4.22,4.23,4.23,4.11,13999,31983310.0,2.84,0.0,0.0,8.23
2012-04-13,4.24,4.22,4.27,4.18,11009,25387339.0,2.13,-0.24,-0.01,6.48
2012-04-16,4.18,4.11,4.19,4.09,7660,17289362.0,2.37,-2.61,-0.11,4.51
2012-04-17,4.11,4.04,4.13,4.04,5190,11566985.0,2.19,-1.7,-0.07,3.05
2012-04-18,4.06,4.19,4.2,4.04,7289,16485768.0,3.96,3.71,0.15,4.29
2012-04-19,4.19,4.19,4.22,4.15,5768,13177632.0,1.67,0.0,0.0,3.39
2012-04-20,4.19,4.29,4.3,4.17,10614,24650575.0,3.1,2.39,0.1,6.24
2012-04-23,4.24,3.96,4.24,3.96,15485,34646764.0,6.53,-7.69,-0.33,9.11
2012-04-24,3.91,3.8,3.92,3.69,9735,20484670.0,5.81,-4.04,-0.16,5.73
2012-04-25,3.79,3.82,3.84,3.76,4142,8711568.0,2.11,0.53,0.02,2.44
2012-04-26,3.82,3.78,3.83,3.71,4957,10332835.0,3.14,-1.05,-0.04,2.92
2012-04-27,3.78,3.83,3.85,3.76,3831,8038199.0,2.38,1.32,0.05,2.25
2012-05-02,3.88,3.88,3.9,3.83,3877,8262914.0,1.83,1.31,0.05,2.28
2012-05-03,3.89,3.88,3.89,3.84,4147,8830530.0,1.29,0.0,0.0,2.44
2012-05-04,3.89,4.0,4.02,3.88,6078,13230981.0,3.61,3.09,0.12,3.58
2012-05-07,3.98,4.13,4.14,3.98,6423,14346599.0,4.0,3.25,0.13,3.78
2012-05-08,4.11,4.13,4.17,4.08,5999,13531783.0,2.18,0.0,0.0,3.53
2012-05-09,4.09,4.05,4.09,4.01,4340,9616920.0,1.94,-1.94,-0.08,2.55
2012-05-10,4.04,4.12,4.15,4.04,5144,11586840.0,2.72,1.73,0.07,3.03
2012-05-11,4.1,4.1,4.14,4.09,3607,8112167.0,1.21,-0.49,-0.02,2.12
2012-05-14,4.13,4.11,4.17,4.06,4796,10790852.0,2.68,0.24,0.01,2.82
2012-05-15,4.06,4.02,4.06,3.99,4033,8883842.0,1.7,-2.19,-0.09,2.37
2012-05-16,4.02,3.99,4.03,3.99,2302,5059998.0,1.0,-0.75,-0.03,1.35
2012-05-17,3.97,4.06,4.07,3.97,3520,7796577.0,2.51,1.75,0.07,2.07
2012-05-18,4.04,4.0,4.07,3.98,2827,6240640.0,2.22,-1.48,-0.06,1.66
2012-05-21,4.01,3.96,4.03,3.94,2108,4606590.0,2.25,-1.0,-0.04,1.24
2012-05-22,3.99,4.0,4.02,3.98,2024,4439949.0,1.01,1.01,0.04,1.19
2012-05-23,4.0,3.93,4.02,3.89,2912,6329021.0,3.25,-1.75,-0.07,1.71
2012-05-24,3.94,3.95,3.99,3.9,3116,6751041.0,2.29,0.51,0.02,1.83
2012-05-25,3.96,3.8,3.97,3.79,4086,8705601.0,4.56,-3.8,-0.15,2.4
2012-05-28,3.79,3.82,3.82,3.7,2111,4378729.0,3.16,0.53,0.02,1.24
2012-05-29,3.81,3.9,3.91,3.8,2542,5385367.0,2.88,2.09,0.08,1.5
2012-05-30,3.89,3.91,3.92,3.86,2358,5056065.0,1.54,0.26,0.01,1.39
2012-05-31,3.9,3.98,3.99,3.86,3598,7795609.0,3.32,1.79,0.07,2.12
2012-06-01,3.99,3.95,4.06,3.94,3733,8192288.0,3.02,-0.75,-0.03,2.2
2012-06-04,3.91,3.78,3.91,3.78,5123,10809967.0,3.29,-4.3,-0.17,3.01
2012-06-05,3.8,3.79,3.83,3.76,2476,5169348.0,1.85,0.26,0.01,1.46
2012-06-06,3.81,3.75,3.84,3.75,2415,5048825.0,2.37,-1.06,-0.04,1.42
2012-06-07,3.81,3.76,3.81,3.73,1713,3563991.0,2.13,0.27,0.01,1.01
2012-06-08,3.79,3.8,3.8,3.75,2140,4456509.0,1.33,1.06,0.04,1.26
2012-06-11,3.79,3.92,3.93,3.76,4883,10387929.0,4.47,3.16,0.12,2.87
2012-06-12,3.9,3.9,3.91,3.86,2254,4821028.0,1.28,-0.51,-0.02,1.33
2012-06-13,3.92,3.98,4.0,3.89,5109,11077946.0,2.82,2.05,0.08,3.01
2012-06-14,3.97,3.98,3.99,3.93,4483,9762860.0,1.51,0.0,0.0,2.64
2012-06-15,3.99,3.99,3.99,3.91,3113,6771902.0,2.01,0.25,0.01,1.83
2012-06-18,3.99,4.14,4.14,3.97,10041,22475018.0,4.26,3.76,0.15,5.91
2012-06-19,4.14,4.2,4.23,4.1,8421,19217102.0,3.14,1.45,0.06,4.95
2012-06-20,4.21,4.13,4.21,4.13,10837,24647556.0,1.9,-1.67,-0.07,6.37
2012-06-21,4.13,4.17,4.2,4.1,8477,19292815.0,2.42,0.97,0.04,4.99
2012-06-25,4.17,3.99,4.17,3.97,7109,15794848.0,4.8,-4.32,-0.18,4.18
2012-06-26,3.97,3.91,4.01,3.86,6146,13275959.0,3.76,-2.01,-0.08,3.62
2012-06-27,3.94,3.9,3.99,3.85,10719,11402885.0,3.58,-0.26,-0.01,3.15
2012-06-28,3.91,3.95,4.02,3.89,11151,11922299.0,3.33,1.28,0.05,3.28
2012-06-29,3.91,3.91,3.93,3.78,10798,11321503.0,3.8,-1.01,-0.04,3.18
2012-07-02,3.95,3.91,3.96,3.87,8839,9367528.0,2.3,0.0,0.0,2.6
2012-07-03,3.88,4.07,4.08,3.88,16714,18078272.0,5.12,4.09,0.16,4.92
2012-07-04,4.07,3.98,4.17,3.94,16446,18044920.0,5.65,-2.21,-0.09,4.84
2012-07-05,3.93,3.73,3.95,3.72,13456,13918169.0,5.78,-6.28,-0.25,3.96
2012-07-06,3.74,3.7,3.76,3.57,11810,11794943.0,5.09,-0.8,-0.03,3.47
2012-07-09,3.67,3.56,3.7,3.56,7401,7344974.0,3.78,-3.78,-0.14,2.18
2012-07-10,3.56,3.54,3.58,3.5,4634,4468826.0,2.25,-0.56,-0.02,1.36
2012-07-11,3.55,3.56,3.6,3.51,4367,4239181.0,2.54,0.56,0.02,1.28
2012-07-12,3.56,3.57,3.59,3.47,6802,6571997.0,3.37,0.28,0.01,2.0
2012-07-13,3.56,3.5,3.59,3.5,4684,4534075.0,2.52,-1.96,-0.07,1.38
2012-07-16,3.48,3.22,3.48,3.19,8741,8005064.0,8.29,-8.0,-0.28,2.57
2012-07-17,3.2,3.17,3.25,3.15,6304,5539000.0,3.11,-1.55,-0.05,1.85
2012-07-18,3.16,3.22,3.23,3.11,5042,4392271.0,3.79,1.58,0.05,1.48
2012-07-19,3.2,3.24,3.3,3.2,5491,4923405.0,3.11,0.62,0.02,1.62
2012-07-20,3.24,3.22,3.28,3.22,2411,2154554.0,1.85,-0.62,-0.02,0.71
2012-07-23,3.17,3.26,3.3,3.14,4538,4037676.0,4.97,1.24,0.04,1.33
2012-07-24,3.27,3.26,3.31,3.23,4722,4244155.0,2.45,0.0,0.0,1.39
2012-07-25,3.24,3.23,3.32,3.22,3956,3547939.0,3.07,-0.92,-0.03,1.16
2012-07-26,3.23,3.22,3.31,3.22,2915,2611379.0,2.79,-0.31,-0.01,0.86
2012-07-27,3.24,3.25,3.27,3.21,1524,1358701.0,1.86,0.93,0.03,0.45
2012-07-30,3.23,3.13,3.27,3.12,2715,2383091.0,4.62,-3.69,-0.12,0.8
2012-07-31,3.1,3.04,3.11,3.02,2705,2283122.0,2.88,-2.88,-0.09,0.8
2012-08-01,3.0,3.05,3.12,3.0,3600,3051014.0,3.95,0.33,0.01,1.06
2012-08-02,3.05,3.06,3.11,3.02,2404,2037519.0,2.95,0.33,0.01,0.71
2012-08-03,3.06,3.13,3.13,3.04,3155,2694738.0,2.94,2.29,0.07,0.93
2012-08-06,3.11,3.23,3.24,3.1,7339,6430057.0,4.47,3.19,0.1,2.16
2012-08-07,3.22,3.27,3.28,3.22,5469,4900027.0,1.86,1.24,0.04,1.61
2012-08-08,3.26,3.3,3.32,3.24,4719,4262324.0,2.45,0.92,0.03,1.39
2012-08-09,3.28,3.29,3.3,3.16,19504,17349816.0,4.24,-0.3,-0.01,5.74
