日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-11-27,6.88,8.42,8.42,6.88,90,105221.0,27.55,50.63,2.83,0.04
2017-11-28,9.34,9.34,9.34,9.34,31,40369.0,0.0,10.93,0.92,0.01
2017-11-29,10.36,10.36,10.36,10.36,35,50651.0,0.0,10.92,1.02,0.01
2017-11-30,11.47,11.47,11.47,11.47,51,81258.0,0.0,10.71,1.11,0.02
2017-12-01,12.7,12.7,12.7,12.7,60,104987.0,0.0,10.72,1.23,0.02
2017-12-04,14.06,14.06,14.06,14.06,386,746872.0,0.0,10.71,1.36,0.16
2017-12-05,15.54,15.54,15.54,15.54,1321,2809660.0,0.0,10.53,1.48,0.54
2017-12-06,17.18,17.18,17.18,17.18,837,1959188.0,0.0,10.55,1.64,0.34
2017-12-07,18.98,18.98,18.98,18.98,565,1454232.0,0.0,10.48,1.8,0.23
2017-12-08,20.96,20.96,20.96,20.96,6290,17807273.0,0.0,10.43,1.98,2.58
2017-12-11,23.13,23.13,23.13,22.26,60299,187633274.0,4.15,10.35,2.17,24.71
2017-12-12,23.14,23.82,25.06,22.49,179780,572714032.0,11.11,2.98,0.69,73.68
2017-12-13,21.44,21.78,22.23,21.36,140266,407731936.0,3.65,-8.56,-2.04,57.49
2017-12-14,21.64,24.04,24.04,21.14,137309,416725936.0,13.31,10.38,2.26,56.27
2017-12-15,24.56,21.56,24.86,21.56,152256,470449440.0,13.73,-10.32,-2.48,62.4
2017-12-18,20.16,19.32,20.41,19.32,99385,264446924.0,5.06,-10.39,-2.24,40.73
2017-12-19,18.92,19.02,19.61,18.65,69528,180496032.0,4.97,-1.55,-0.3,28.49
2017-12-20,19.1,18.37,19.59,18.19,69353,178466922.0,7.36,-3.42,-0.65,28.42
2017-12-21,18.02,18.64,19.06,17.69,73736,184485457.0,7.46,1.47,0.27,30.22
2017-12-22,18.93,20.59,20.59,18.68,71070,192985337.0,10.25,10.46,1.95,29.13
2017-12-25,20.35,22.1,22.72,19.95,143507,406777344.0,13.45,7.33,1.51,58.81
2017-12-26,21.1,22.48,23.78,20.73,136546,410550480.0,13.8,1.72,0.38,55.96
2017-12-27,22.16,24.81,24.81,21.95,148093,464548864.0,12.72,10.36,2.33,60.69
2017-12-28,26.02,27.37,27.37,26.02,110996,400379568.0,5.44,10.32,2.56,45.49
2017-12-29,26.87,24.56,27.32,24.56,90835,308000432.0,10.08,-10.27,-2.81,37.23
2018-01-02,23.79,25.72,26.84,23.3,143192,477469216.0,14.41,4.72,1.16,58.69
2018-01-03,24.43,23.56,24.47,23.06,113708,360209280.0,5.48,-8.4,-2.16,46.6
2018-01-04,23.09,22.96,23.87,22.41,86378,269388960.0,6.2,-2.55,-0.6,35.4
2018-01-05,23.09,23.48,23.91,22.93,87741,276474368.0,4.27,2.26,0.52,35.96
2018-01-08,23.56,24.6,24.6,22.26,98699,314279360.0,9.97,4.77,1.12,40.45
2018-01-09,24.35,23.76,25.86,23.64,125100,418387120.0,9.02,-3.41,-0.84,51.27
2018-01-10,22.72,22.34,23.36,22.23,90250,274925744.0,4.76,-5.98,-1.42,36.99
2018-01-11,21.76,22.72,23.26,21.49,72393,220897257.0,7.92,1.7,0.38,29.67
2018-01-12,22.72,21.58,23.09,21.52,62355,187629085.0,6.91,-5.02,-1.14,25.56
2018-01-15,21.17,23.82,23.82,21.02,89938,277921616.0,12.97,10.38,2.24,36.86
2018-01-16,24.02,24.79,26.28,23.85,135122,455557296.0,10.2,4.07,0.97,55.38
2018-01-17,24.02,27.36,27.36,23.88,124370,435039760.0,14.04,10.37,2.57,50.97
2018-01-18,27.36,25.62,27.36,24.54,131755,461161504.0,10.31,-6.36,-1.74,54.0
2018-01-19,25.0,26.49,28.22,25.0,132433,475978192.0,12.57,3.4,0.87,54.28
2018-01-22,24.78,23.76,25.18,23.76,81042,260832310.0,5.36,-10.31,-2.73,33.21
2018-01-23,22.63,24.47,24.9,22.53,73699,238410417.0,9.97,2.99,0.71,30.2
2018-01-24,24.18,25.98,26.33,24.1,91902,313259952.0,9.11,6.17,1.51,37.66
2018-01-25,25.95,25.09,28.17,25.01,116145,411365152.0,12.16,-3.43,-0.89,47.6
2018-01-26,24.18,24.15,25.72,23.68,76318,251605946.0,8.13,-3.75,-0.94,31.28
2018-01-29,24.33,26.65,26.65,24.03,106142,364184640.0,10.85,10.35,2.5,43.5
2018-01-30,27.09,27.79,27.79,26.09,114632,413322048.0,6.38,4.28,1.14,46.98
2018-01-31,26.16,26.68,27.24,24.94,91436,321753472.0,8.28,-3.99,-1.11,37.47
2018-02-01,26.95,27.64,29.1,26.68,128678,484424688.0,9.07,3.6,0.96,52.74
2018-02-02,25.33,29.34,29.59,24.79,115620,416158720.0,17.37,6.15,1.7,47.39
2018-02-05,28.01,26.32,29.64,26.32,90679,337415904.0,11.32,-10.29,-3.02,37.16
2018-02-06,23.87,23.61,25.84,23.61,71000,231748484.0,8.47,-10.3,-2.71,29.1
2018-02-07,24.25,22.36,24.44,21.26,79684,245658832.0,13.47,-5.29,-1.25,32.66
2018-02-08,21.49,22.18,22.87,21.33,54476,162429021.0,6.89,-0.81,-0.18,22.33
2018-02-09,21.1,19.88,21.24,19.88,58007,160574865.0,6.13,-10.37,-2.3,23.77
2018-02-12,20.1,20.35,20.86,20.09,42831,118486423.0,3.87,2.36,0.47,17.55
2018-02-13,20.59,21.07,22.13,20.33,58042,166681302.0,8.85,3.54,0.72,23.79
2018-02-14,20.79,20.71,21.36,19.26,52005,142784240.0,9.97,-1.71,-0.36,21.31
2018-02-22,20.72,21.58,21.69,20.46,45227,129863533.0,5.94,4.2,0.87,18.54
2018-02-23,21.32,21.49,21.86,21.06,42486,122911931.0,3.71,-0.42,-0.09,17.41
2018-02-26,22.1,22.68,23.19,22.1,57804,175618438.0,5.07,5.54,1.19,23.69
2018-02-27,22.39,23.41,23.41,22.26,63733,196913198.0,5.07,3.22,0.73,26.12
2018-02-28,23.02,22.26,23.26,22.25,49211,150120934.0,4.31,-4.91,-1.15,20.17
2018-03-01,21.68,22.42,22.64,21.5,40739,122292975.0,5.12,0.72,0.16,16.7
2018-03-02,22.16,21.26,22.36,21.23,49413,144874836.0,5.04,-5.17,-1.16,20.25
2018-03-05,21.56,21.89,22.14,21.26,35860,104894870.0,4.14,2.96,0.63,14.7
2018-03-06,21.78,24.16,24.16,21.65,100584,316704576.0,11.47,10.37,2.27,41.22
2018-03-07,24.41,24.39,24.54,23.66,90939,294170016.0,3.64,0.95,0.23,37.27
2018-03-08,24.29,25.2,25.33,23.95,88454,293721344.0,5.66,3.32,0.81,36.25
2018-03-09,24.72,25.11,25.51,24.42,70128,235362525.0,4.33,-0.36,-0.09,28.74
2018-03-12,25.39,25.79,26.24,24.99,77097,265528092.0,4.98,2.71,0.68,31.6
2018-03-13,25.67,24.42,26.75,24.18,75321,257090165.0,9.97,-5.31,-1.37,30.87
2018-03-14,24.35,26.03,26.95,23.91,105145,368981856.0,12.45,6.59,1.61,43.09
2018-03-15,24.92,24.33,24.95,23.35,77545,250651726.0,6.15,-6.53,-1.7,31.78
2018-03-16,24.29,25.02,25.72,24.05,69515,233535961.0,6.86,2.84,0.69,28.49
2018-03-19,24.52,25.99,27.41,24.52,71673,249144930.0,11.55,3.88,0.97,29.37
2018-03-20,25.49,26.61,26.72,25.34,72409,253571875.0,5.31,2.39,0.62,29.68
2018-03-21,26.32,25.1,26.82,24.96,63086,220439472.0,6.99,-5.67,-1.51,25.85
2018-03-22,25.06,25.3,26.24,25.06,41215,141416361.0,4.7,0.8,0.2,16.89
2018-03-23,23.95,22.69,24.39,22.69,54523,171180036.0,6.72,-10.32,-2.61,22.35
2018-03-26,22.1,23.91,23.99,21.72,43361,135606946.0,10.0,5.38,1.22,17.77
