日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.65,7.5,7.65,7.49,36259,38667464.0,2.12,-0.66,-0.05,2.59
2010-01-05,7.46,7.17,7.57,7.07,68654,71046688.0,6.67,-4.4,-0.33,4.91
2010-01-06,7.13,7.2,7.38,6.97,61389,63360600.0,5.72,0.42,0.03,4.39
2010-01-07,7.04,6.96,7.27,6.87,53450,54344572.0,5.56,-3.33,-0.24,3.83
2010-01-08,6.87,7.06,7.06,6.87,37954,38441996.0,2.73,1.44,0.1,2.72
2010-01-11,7.11,7.33,7.38,6.9,73829,75789456.0,6.8,3.82,0.27,5.28
2010-01-12,7.26,7.57,7.7,7.14,95396,101360224.0,7.64,3.27,0.24,6.83
2010-01-13,7.36,7.01,7.38,6.98,64926,66945988.0,5.28,-7.4,-0.56,4.65
2010-01-14,7.17,7.14,7.32,6.98,50885,52272616.0,4.85,1.85,0.13,3.64
2010-01-15,7.16,7.44,7.63,7.16,85853,90770824.0,6.58,4.2,0.3,6.14
2010-01-18,7.48,7.5,7.6,7.28,65151,68714712.0,4.3,0.81,0.06,4.66
2010-01-19,7.52,7.4,7.66,7.34,49913,52859828.0,4.27,-1.33,-0.1,3.57
2010-01-20,7.4,7.55,7.8,7.4,127557,136757664.0,5.41,2.03,0.15,9.13
2010-01-21,7.79,8.62,8.62,7.76,286894,329750976.0,11.39,14.17,1.07,20.53
2010-01-22,8.62,7.97,8.62,7.56,228949,256753376.0,12.3,-7.54,-0.65,16.38
2010-01-25,7.76,7.15,7.95,7.15,97414,103864112.0,10.04,-10.29,-0.82,6.97
2010-01-26,7.21,6.47,7.34,6.36,81619,80105808.0,13.71,-9.51,-0.68,5.84
2010-01-27,6.49,6.55,6.74,6.36,47080,45821956.0,5.87,1.24,0.08,3.37
2010-01-28,6.54,6.52,6.56,6.24,40151,38312668.0,4.89,-0.46,-0.03,2.87
2010-01-29,6.38,6.59,6.66,6.26,44974,43350068.0,6.13,1.07,0.07,3.22
2010-02-01,6.58,6.29,6.58,6.04,47284,44145644.0,8.19,-4.55,-0.3,3.38
2010-02-02,6.34,6.14,6.52,6.11,43374,41102928.0,6.52,-2.38,-0.15,3.1
2010-02-03,6.1,6.86,6.91,5.78,74938,70332504.0,18.4,11.73,0.72,5.36
2010-02-04,6.81,6.85,7.11,6.44,111358,111518840.0,9.77,-0.15,-0.01,7.97
2010-02-05,6.51,6.32,6.65,6.27,51773,49677036.0,5.55,-7.74,-0.53,3.71
