日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.95,9.72,10.03,9.69,71878,96273496.0,3.42,-2.31,-0.23,3.17
2010-01-05,9.69,9.5,9.69,9.27,122845,157938352.0,4.32,-2.26,-0.22,5.42
2010-01-06,9.49,9.64,9.73,9.29,114561,149858368.0,4.63,1.47,0.14,5.06
2010-01-07,9.56,9.77,9.86,9.42,132278,174898256.0,4.56,1.35,0.13,5.84
2010-01-08,9.69,10.28,10.29,9.66,204362,279500288.0,6.45,5.22,0.51,9.02
2010-01-12,9.97,10.22,10.33,9.86,175281,241476352.0,4.57,-0.58,-0.06,7.74
2010-01-13,9.87,9.56,9.96,9.5,135212,179650080.0,4.5,-6.46,-0.66,5.97
2010-01-14,9.57,9.68,9.71,9.48,83915,110254680.0,2.41,1.26,0.12,3.7
2010-01-15,9.74,9.9,10.11,9.71,103246,140198480.0,4.13,2.27,0.22,4.56
2010-01-18,9.96,10.23,10.32,9.92,170054,236376176.0,4.04,3.33,0.33,7.51
2010-01-19,10.26,10.79,10.98,10.05,281936,404075040.0,9.09,5.47,0.56,12.45
2010-01-20,10.79,10.96,11.87,10.63,488380,748334144.0,11.49,1.58,0.17,21.56
2010-01-21,11.17,11.12,11.35,10.89,258619,391169216.0,4.2,1.46,0.16,11.42
2010-01-22,10.87,11.33,11.72,10.65,298491,457589728.0,9.62,1.89,0.21,13.18
2010-01-25,11.28,10.39,11.28,10.34,180123,263797568.0,8.3,-8.3,-0.94,7.95
2010-01-26,10.26,9.51,10.46,9.43,174185,231454080.0,9.91,-8.47,-0.88,7.69
2010-01-27,9.5,9.6,9.8,9.44,95623,126097216.0,3.79,0.95,0.09,4.22
2010-01-28,9.57,9.7,9.73,9.29,93423,121492808.0,4.58,1.04,0.1,4.12
2010-01-29,9.58,10.06,10.2,9.51,165957,223318720.0,7.11,3.71,0.36,7.33
2010-02-01,9.87,9.97,10.26,9.55,112134,151428560.0,7.06,-0.89,-0.09,4.95
2010-02-02,9.99,9.81,10.41,9.81,112743,156174944.0,6.02,-1.6,-0.16,1.79
2010-02-03,9.8,10.35,10.42,9.39,198183,273231040.0,10.5,5.5,0.54,3.14
2010-02-04,10.26,10.69,10.98,10.13,237417,345219328.0,8.21,3.29,0.34,3.76
2010-02-05,10.32,10.91,11.13,10.32,275176,407582464.0,7.58,2.06,0.22,4.36
2010-02-08,10.96,10.6,10.99,10.42,132674,192511168.0,5.22,-2.84,-0.31,2.1
2010-02-09,10.93,10.8,11.69,10.77,294731,450187296.0,8.68,1.89,0.2,4.67
2010-02-10,10.79,10.6,10.8,10.48,110830,159989216.0,2.96,-1.85,-0.2,1.76
2010-02-11,10.57,10.38,10.74,10.36,81583,117053896.0,3.58,-2.08,-0.22,1.29
2010-02-12,10.48,10.64,10.92,10.46,123718,180471792.0,4.43,2.5,0.26,1.96
2010-02-22,10.79,11.17,11.47,10.73,245046,373089248.0,6.95,4.98,0.53,3.88
2010-02-23,11.12,11.77,11.9,11.02,318754,498697120.0,7.88,5.37,0.6,5.05
2010-02-24,11.73,11.9,12.14,11.45,308924,496883808.0,5.86,1.1,0.13,4.89
2010-02-25,11.93,11.94,12.41,11.81,345965,570194240.0,5.04,0.34,0.04,5.48
2010-02-26,11.94,11.99,12.4,11.78,275104,453547488.0,5.19,0.42,0.05,4.36
2010-03-02,12.71,11.93,13.03,11.93,431887,726779520.0,9.17,-0.5,-0.06,6.84
2010-03-03,11.65,11.56,11.73,11.39,239273,375378464.0,2.85,-3.1,-0.37,3.79
2010-03-04,11.48,11.41,11.91,11.32,196417,310626112.0,5.1,-1.3,-0.15,3.11
2010-03-05,11.41,11.34,11.58,11.03,156482,239945440.0,4.82,-0.61,-0.07,2.48
2010-03-08,11.62,11.64,11.84,11.35,250939,394534560.0,4.32,2.65,0.3,3.98
2010-03-09,11.56,11.46,11.77,11.17,183595,286906112.0,5.15,-1.55,-0.18,2.91
2010-03-10,11.39,11.14,11.44,11.09,114609,175517856.0,3.05,-2.79,-0.32,1.82
2010-03-11,11.14,10.88,11.24,10.65,122983,182922096.0,5.3,-2.33,-0.26,1.95
2010-03-12,10.84,10.6,10.87,10.6,115707,168837488.0,2.48,-2.57,-0.28,1.83
2010-03-15,10.59,10.72,10.75,10.42,87887,127351568.0,3.11,1.13,0.12,1.39
2010-03-16,10.75,10.79,10.79,10.5,69083,100366344.0,2.71,0.65,0.07,1.09
2010-03-17,10.86,11.02,11.05,10.71,108032,160605088.0,3.15,2.13,0.23,1.71
2010-03-18,11.02,11.03,11.31,10.93,101303,153385168.0,3.45,0.09,0.01,1.6
2010-03-19,11.1,11.21,11.35,11.05,114818,175101024.0,2.72,1.63,0.18,1.82
2010-03-22,11.21,11.32,11.39,11.1,96539,148507504.0,2.59,0.98,0.11,1.53
2010-03-23,11.27,10.79,11.27,10.75,148243,220687136.0,4.59,-4.68,-0.53,2.35
2010-03-24,10.8,10.69,10.93,10.66,78595,115142664.0,2.5,-0.93,-0.1,1.25
2010-03-25,10.67,10.39,10.67,10.38,99277,141729136.0,2.71,-2.81,-0.3,1.57
2010-03-26,10.4,10.56,10.64,10.39,78992,113478592.0,2.41,1.64,0.17,1.25
2010-03-29,10.55,10.74,10.75,10.52,75241,109583952.0,2.18,1.7,0.18,1.19
2010-03-30,10.78,10.75,10.9,10.64,92131,135119904.0,2.42,0.09,0.01,1.46
2010-03-31,10.75,10.63,10.78,10.51,77945,112711552.0,2.51,-1.12,-0.12,1.23
2010-04-01,10.6,10.99,10.99,10.57,129155,190855392.0,3.95,3.39,0.36,2.05
2010-04-02,11.05,10.96,11.09,10.92,92128,137904400.0,1.55,-0.27,-0.03,1.46
2010-04-06,11.54,11.26,12.0,11.14,324571,507774496.0,7.85,2.74,0.3,5.14
2010-04-07,11.02,10.96,11.14,10.85,137589,205277664.0,2.58,-2.66,-0.3,2.18
2010-04-08,10.96,10.99,11.2,10.88,97002,145886016.0,2.92,0.27,0.03,1.54
2010-04-09,10.93,10.98,11.07,10.81,87166,129516992.0,2.37,-0.09,-0.01,1.38
2010-04-12,10.93,10.54,10.98,10.45,150779,218123008.0,4.83,-4.01,-0.44,2.39
2010-04-13,10.54,10.56,10.65,10.27,98904,140762736.0,3.61,0.19,0.02,1.57
2010-04-14,10.75,10.62,10.75,10.54,84956,111848880.0,1.99,0.57,0.06,1.22
